,民國102年01月,,,,,,,Jan-13,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
05745776群益,20858700,11157000,498,1.87,1.84,1.93,2.08,1月30日,1.69,1月24日
057458永豐5L,407380,516000,28,0.79,0.83,0.76,0.99,1月11日,0.71,1月28日
057459永豐5M,1009600,1077000,21,0.94,0.97,0.95,1.09,1月7日,0.9,1月24日
057460永豐5N,1853220,1255000,60,1.48,1.45,1.8,1.8,1月30日,1.08,1月7日
057461永豐5P,436020,446000,23,0.98,0.93,1.04,1.08,1月28日,0.77,1月25日
057462永豐5Q,1277620,1202000,18,1.06,0.96,0.83,1.3,1月4日,0.7,1月24日
0574634T凱基,2032580,15158000,331,0.13,0.12,0.07,0.25,1月2日,0.06,1月31日
057464K5元富,83200,140000,9,0.59,0.63,0.89,0.89,1月30日,0.43,1月16日
057465K6元富,16638370,12485000,268,1.33,1.29,1.52,1.94,1月28日,0.73,1月9日
057466元大EU,3961030,4816000,347,0.82,0.83,0.86,1,1月11日,0.69,1月9日
057467元大EV,5347100,1244000,144,4.3,4.19,4.22,5.15,1月3日,3.72,1月10日
057469大眾5V,12150,5000,1,2.43,2.43,2.43,2.43,1月2日,2.43,1月2日
057470兆豐NT,57200,215000,24,0.27,0.32,0.3,0.55,1月4日,0.21,1月24日
057471兆豐NU,3366420,2560000,83,1.32,1.31,1.51,1.51,1月31日,1.12,1月23日
057472兆豐NV,7681500,7339000,337,1.05,1.04,1.01,1.16,1月17日,0.92,1月9日
057473兆豐NW,5859330,4930000,118,1.19,1.27,1.04,1.58,1月10日,0.89,1月25日
057474兆豐NX,21878530,15866000,458,1.38,1.38,1.34,1.74,1月2日,1.27,1月24日
057475兆豐NY,4345620,3108000,107,1.4,1.47,1.9,1.94,1月30日,0.92,1月3日
057476兆豐NZ,2169200,1226000,106,1.77,1.75,2.13,2.13,1月30日,1.6,1月9日
057477兆豐I1,36490,54000,7,0.68,0.7,0.59,0.93,1月11日,0.58,1月28日
057478兆豐I2,25046750,24883000,927,1.01,1.03,0.92,1.52,1月3日,0.57,1月24日
057479兆豐I3,531880,761000,52,0.7,0.7,0.61,0.91,1月10日,0.49,1月25日
057480兆豐I4,25701560,21261000,412,1.21,1.08,1.17,1.41,1月10日,0.65,1月2日
057481兆豐I5,5100,15000,3,0.34,0.34,0.29,0.37,1月9日,0.29,1月28日
057482國票NY,365950,302000,18,1.21,1.15,1.07,1.46,1月7日,0.51,1月22日
057483國票NZ,6335410,7838000,241,0.81,0.8,0.74,1.04,1月25日,0.63,1月17日
057484日盛BW,207960,37000,16,5.62,5.4,5.1,6.7,1月3日,4.69,1月14日
057485康和MH,1576960,1027000,47,1.54,1.54,1.09,1.81,1月3日,1.01,1月24日
057486康和MI,388490,1577000,39,0.25,0.25,0.13,0.43,1月2日,0.13,1月25日
057487康和MJ,719200,280000,8,2.57,2.5,2.78,2.8,1月30日,2.03,1月3日
057488康和MK,3264330,2945000,103,1.11,1.1,1.04,1.43,1月25日,0.88,1月2日
057489亞東G1,506050,413000,25,1.23,1.3,1.54,1.54,1月30日,1.05,1月25日
057490亞東G2,940740,1004000,27,0.94,0.93,1.03,1.16,1月2日,0.69,1月28日
057491亞東G3,240960,768000,41,0.31,0.33,0.3,0.44,1月4日,0.26,1月24日
057492亞東G4,2022700,2503000,441,0.81,0.86,0.84,1.13,1月2日,0.58,1月7日
057493亞東G5,3046620,1646000,75,1.85,1.94,2.46,2.46,1月31日,1.5,1月7日
057494亞東G6,25779930,19889000,477,1.3,1.3,1.47,1.52,1月30日,1.14,1月9日
057495亞東G7,2230040,2375000,68,0.94,0.92,0.94,1.1,1月11日,0.83,1月21日
057496亞東G8,1213230,1824000,35,0.67,0.65,0.48,0.84,1月3日,0.46,1月24日
057497亞東G9,1827710,1416000,36,1.29,1.28,1.32,1.5,1月3日,1.15,1月2日
057498國泰5D,2000840,1398000,38,1.43,1.49,1.3,1.89,1月4日,1.07,1月28日
057499永豐5T,30900,20000,2,1.54,1.54,1.52,1.57,1月29日,1.52,1月30日
057500永豐5U,34572180,18905000,397,1.83,1.81,1.91,2.13,1月3日,1.45,1月17日
057501統一MH,280210,212000,4,1.32,1.27,1.38,1.38,1月29日,1.2,1月18日
057502統一MJ,1107580,808000,14,1.37,1.41,1.52,1.52,1月29日,1.28,1月21日
057503統一MK,2405920,2090000,66,1.15,1.17,1.61,1.61,1月30日,0.82,1月8日
057504統一ML,946560,737000,25,1.28,1.33,1.18,1.61,1月3日,1.07,1月29日
057505統一MM,2392700,1153000,40,2.08,2.31,3.23,3.23,1月31日,1.6,1月7日
057506統一MN,196350,102000,4,1.92,1.93,1.93,1.95,1月16日,1.9,1月15日
057507統一MP,23900,10000,1,2.39,2.39,2.39,2.39,1月3日,2.39,1月3日
057508元大EW,783230,473000,62,1.66,1.72,2.09,2.11,1月30日,1.34,1月7日
057509元大EX,12569610,20685000,446,0.61,0.66,0.7,1.09,1月3日,0.46,1月25日
057510元大EY,3316230,5076000,181,0.65,0.68,0.55,1.07,1月3日,0.49,1月28日
057511第一6Q,341710,268000,29,1.28,1.28,0.98,1.44,1月10日,0.98,1月31日
0575124W凱基,1801140,1418000,29,1.27,1.39,1.22,1.92,1月3日,1.01,1月25日
0575134X凱基,7609420,5560000,167,1.37,1.27,0.96,1.61,1月8日,0.96,1月31日
0575144Y凱基,8719400,3431000,152,2.54,2.76,2.66,3.33,1月21日,2.01,1月3日
0575154Z凱基,9715100,1177000,111,8.25,7.75,8.3,11.2,1月3日,6.1,1月24日
0575165A凱基,288560,369000,6,0.78,0.92,0.68,1.35,1月4日,0.59,1月28日
057517AM富邦,6050,25000,6,0.24,0.25,0.23,0.27,1月7日,0.22,1月11日
057518AN富邦,18627040,43156000,491,0.43,0.5,0.37,0.87,1月3日,0.31,1月28日
057519AP富邦,2327590,1494000,67,1.56,1.54,1.43,1.66,1月16日,1.38,1月8日
057520AQ富邦,151850,85000,5,1.79,1.79,1.69,1.9,1月7日,1.69,1月29日
057521AR富邦,4375670,3057000,57,1.43,1.32,0.97,1.8,1月8日,0.94,1月28日
057522AS富邦,24390,5000,5,4.88,4.78,4.82,5,1月23日,4.75,1月18日
057523工銀CT,536400,110000,2,4.88,4.66,4.32,5,1月2日,4.32,1月30日
057524工銀CU,746900,953000,23,0.78,0.87,0.87,1.01,1月11日,0.66,1月7日
057525工銀CV,23680,14000,3,1.69,1.69,1.71,1.72,1月2日,1.65,1月15日
057526工銀CW,3305320,2592000,60,1.28,1.21,0.87,1.9,1月3日,0.87,1月31日
057527工銀CX,9259910,10429000,165,0.89,0.87,1.05,1.21,1月30日,0.62,1月8日
057528工銀CY,481890,1468000,31,0.33,0.31,0.27,0.52,1月2日,0.19,1月25日
057529中信BT,1403260,1023000,41,1.37,1.41,1.2,1.7,1月11日,1.2,1月17日
057530中信BU,9677270,9758000,436,0.99,0.98,1.32,1.52,1月3日,0.67,1月24日
057531中信BW,15303740,11620000,303,1.32,1.15,0.93,1.57,1月15日,0.92,1月28日
057532中信BX,14901040,4926000,144,3.02,3.12,2.29,4.83,1月3日,2.29,1月31日
057533兆豐IC,1258820,790000,56,1.59,1.6,2.29,2.68,1月28日,1.02,1月7日
057534兆豐ID,448600,859000,46,0.52,0.49,0.68,0.78,1月7日,0.37,1月25日
057535兆豐IE,5921640,2280000,175,2.6,2.44,2.08,3.07,1月9日,2.05,1月25日
057536兆豐IF,225240,155000,13,1.45,1.46,1.62,1.68,1月30日,1.13,1月4日
057537兆豐IG,2597220,1641000,97,1.58,1.49,1.51,1.76,1月3日,1.13,1月17日
057538兆豐IH,2437560,3264000,286,0.75,0.78,0.58,1.02,1月3日,0.54,1月25日
057539兆豐IJ,663770,571000,36,1.16,1.13,1.36,1.54,1月30日,1,1月24日
057540兆豐IK,4414710,6611000,263,0.67,0.66,0.65,0.81,1月25日,0.57,1月17日
057541兆豐IL,600110,183000,30,3.28,3.61,4.03,4.2,1月11日,2.85,1月2日
057542日盛BY,7507310,6053000,167,1.24,1.21,1.34,1.53,1月17日,0.88,1月2日
057543日盛BZ,802080,1360000,24,0.59,0.58,0.54,0.67,1月11日,0.51,1月24日
057544日盛CA,385630,915000,41,0.42,0.39,0.36,0.65,1月4日,0.27,1月21日
057545日盛CB,422100,791000,26,0.53,0.61,0.37,0.9,1月3日,0.37,1月30日
057546日盛CC,446380,626000,41,0.71,0.7,0.7,1.07,1月3日,0.53,1月18日
057547大華03,160300,230000,7,0.7,0.69,0.6,0.74,1月17日,0.6,1月24日
0575485B凱基,2994250,1657000,65,1.81,2.02,1.76,2.5,1月11日,1.33,1月2日
0575495C凱基,1588500,3053000,97,0.52,0.56,0.59,1.06,1月3日,0.34,1月24日
057550元大FB,4354840,3935000,77,1.11,1.08,0.9,1.35,1月8日,0.76,1月25日
057551K8元富,47382130,19984000,589,2.37,2.32,2.88,2.89,1月30日,1.69,1月7日
057553L2元富,924130,571000,55,1.62,1.61,2,2.04,1月30日,1.38,1月24日
057554L3元富,5497090,9640000,107,0.57,0.54,0.35,0.74,1月8日,0.31,1月28日
057555L4元富,27562840,6022000,295,4.58,4.6,4.71,5.4,1月2日,4.15,1月14日
05755680群益,7104640,2635000,126,2.7,2.67,2.76,4.03,1月3日,2.17,1月24日
05755781群益,13642960,5024000,288,2.72,2.95,3.42,4.73,1月3日,2.12,1月24日
05755883群益,28480,53000,11,0.54,0.49,0.38,0.8,1月3日,0.32,1月29日
05755984群益,12272440,5114000,279,2.4,2.26,2.66,2.73,1月31日,1.91,1月18日
05756085群益,850070,1919000,94,0.44,0.43,0.4,0.54,1月3日,0.38,1月28日
05756186群益,517300,631000,25,0.82,0.64,0.64,1.08,1月4日,0.45,1月24日
05756287群益,149080,69000,7,2.16,2.17,1.94,2.39,1月3日,1.94,1月31日
05756388群益,17414230,8061000,627,2.16,2.12,1.87,2.84,1月3日,1.43,1月25日
05756491群益,1609160,1957000,59,0.82,0.9,0.82,1.31,1月4日,0.73,1月28日
057565永豐5V,2876270,5192000,144,0.55,0.56,0.62,0.65,1月30日,0.47,1月9日
057566永豐5W,10563490,13352000,228,0.79,0.66,0.48,1.06,1月3日,0.44,1月25日
057567永豐5X,4407880,4247000,121,1.04,1.01,0.92,1.25,1月14日,0.82,1月24日
057568永豐5Y,4016390,4421000,105,0.91,0.82,0.58,1.12,1月8日,0.53,1月31日
057569永豐5Z,8945900,2564000,171,3.49,3.55,3.5,4.24,1月21日,2.59,1月3日
057570康和MN,17903270,11628000,305,1.54,1.55,1.77,1.88,1月30日,1.19,1月28日
057571康和MP,11543230,6363000,273,1.81,1.7,2,2.19,1月30日,1.22,1月7日
057572康和MQ,725820,931000,39,0.78,0.81,0.73,1.03,1月2日,0.68,1月28日
057573日盛CF,10294900,8899000,217,1.16,1.09,1.44,1.61,1月30日,0.86,1月24日
057574日盛CG,348330,305000,9,1.14,1.14,1.06,1.51,1月11日,0.98,1月29日
057575大華04,9651270,9441000,196,1.02,1.01,0.66,1.41,1月3日,0.66,1月31日
057576大華05,1323040,2306000,194,0.57,0.52,0.5,0.79,1月3日,0.25,1月16日
057577大華06,107910,423000,9,0.26,0.26,0.26,0.32,1月4日,0.23,1月28日
057578AV富邦,733070,1019000,116,0.72,0.71,0.94,1.15,1月2日,0.47,1月24日
057579AW富邦,2162650,1468000,56,1.47,1.49,1.53,1.74,1月15日,1.36,1月3日
057580AX富邦,15851080,9683000,205,1.64,1.68,1.42,2.2,1月3日,1.17,1月28日
057582工銀CZ,4847440,4322000,154,1.12,1.2,1.28,1.58,1月15日,0.75,1月8日
057583中信BY,3197030,3172000,122,1.01,1.14,0.96,1.76,1月4日,0.86,1月25日
057584中信BZ,41200,40000,4,1.03,1.03,0.86,1.16,1月3日,0.86,1月7日
057585中信CC,4908880,4338000,91,1.13,1.06,0.92,1.73,1月2日,0.75,1月24日
057586兆豐IN,209760,1260000,32,0.17,0.21,0.15,0.39,1月3日,0.11,1月28日
057587兆豐IP,9303350,2418000,264,3.85,3.9,3.9,4.65,1月14日,2.84,1月2日
057588兆豐IQ,197170,461000,12,0.43,0.55,0.49,0.92,1月3日,0.31,1月16日
057589兆豐IR,2256270,1893000,45,1.19,1.16,1.66,1.66,1月29日,0.69,1月8日
057590兆豐IS,6541630,8496000,143,0.77,0.72,0.77,0.99,1月4日,0.47,1月25日
057591兆豐IT,6842370,6157000,186,1.11,1.11,1.31,1.36,1月28日,0.85,1月17日
057592兆豐IU,3856910,1230000,80,3.14,3.06,3.32,3.68,1月4日,2.55,1月18日
057593兆豐IV,5745750,6675000,412,0.86,0.84,1.08,1.17,1月31日,0.66,1月17日
057594國泰5J,3759680,2785000,130,1.35,1.34,1.04,1.73,1月3日,1.01,1月31日
057595統一MT,4496860,3032000,238,1.48,1.58,1.68,3.02,1月2日,1.09,1月24日
057596統一MU,1093360,1350000,54,0.81,0.8,0.74,1.32,1月2日,0.62,1月24日
057597統一MV,5339760,5176000,154,1.03,1.02,0.94,1.33,1月3日,0.84,1月17日
057598統一MW,3603410,1798000,89,2,2.13,2.61,3,1月4日,1.69,1月23日
057599統一MX,650960,1535000,68,0.42,0.44,0.41,0.79,1月3日,0.3,1月28日
057600國票2A,1783030,1349000,100,1.32,1.24,1.46,1.49,1月23日,0.96,1月11日
057601國票3A,1394610,1792000,18,0.78,0.83,0.69,1.1,1月3日,0.66,1月16日
057602日盛CJ,4111090,3817000,154,1.08,1.07,0.89,1.44,1月8日,0.81,1月25日
057603日盛CK,11302850,8500000,347,1.33,1.28,2.01,2.08,1月31日,0.95,1月28日
057604日盛CL,3633530,5016000,126,0.72,0.71,0.67,1.14,1月3日,0.53,1月17日
057605BB富邦,7006740,1810000,203,3.87,3.85,3.95,4.54,1月2日,3.44,1月8日
057606BC富邦,8349890,2835000,180,2.95,2.56,2.55,4.78,1月3日,1.67,1月24日
057607BD富邦,430250,321000,38,1.34,1.29,1.25,1.46,1月15日,1.16,1月28日
057608BE富邦,4144630,2391000,64,1.73,1.76,1.93,2.16,1月2日,1.27,1月28日
057609BF富邦,3005870,5109000,150,0.59,0.68,0.71,1.21,1月3日,0.41,1月25日
057610L6元富,276020,431000,13,0.64,0.61,0.46,0.98,1月3日,0.39,1月10日
057611L7元富,4403200,3550000,97,1.24,1.11,1.12,1.36,1月3日,0.96,1月28日
057612L8元富,14240200,6386000,157,2.23,2.7,2.3,3.91,1月9日,1.92,1月24日
057613L9元富,20974450,17436000,261,1.2,1.19,0.87,1.4,1月29日,0.85,1月31日
0576145D凱基,16265670,28928000,1137,0.56,0.57,0.64,0.82,1月4日,0.35,1月28日
0576155E凱基,23470270,22579000,637,1.04,0.93,0.71,1.5,1月7日,0.71,1月31日
0576165F凱基,1927910,1519000,52,1.27,1.28,1.16,1.57,1月3日,0.91,1月28日
057617永豐6I,143500,100000,8,1.44,1.63,2.29,2.29,1月31日,1.16,1月7日
057618永豐6J,3656780,5485000,133,0.67,0.65,0.65,0.92,1月3日,0.48,1月7日
057619永豐6K,5724720,3196000,214,1.79,1.79,1.83,2.19,1月2日,1.55,1月17日
057620中信CD,8318320,6439000,204,1.29,1.3,0.9,1.52,1月29日,0.9,1月31日
057621元大FC,19212070,8488000,249,2.26,2.21,2.26,2.61,1月7日,1.75,1月17日
057622元大FD,13485120,13616000,461,0.99,0.97,0.92,1.32,1月8日,0.77,1月28日
057623元大FE,6131040,6033000,167,1.02,0.97,0.72,1.15,1月29日,0.72,1月31日
057624永豐6L,1422790,1669000,56,0.85,0.73,0.65,1,1月3日,0.53,1月28日
057625永豐6M,1927580,1298000,31,1.49,1.54,1.25,1.9,1月8日,1.23,1月23日
057626永豐6N,27010,96000,8,0.28,0.32,0.2,0.4,1月7日,0.2,1月25日
057627永豐6P,5804720,6310000,292,0.92,0.81,0.59,1.15,1月10日,0.56,1月28日
057628永豐6Q,2911630,3559000,513,0.82,0.79,0.7,0.97,1月11日,0.64,1月17日
057630元大FI,184190,162000,11,1.14,1.1,1.12,1.21,1月2日,0.97,1月14日
057631元大FJ,363120,343000,31,1.06,1.03,1,1.14,1月10日,0.94,1月29日
057632元大FK,10228920,9971000,433,1.03,1.06,1.05,1.39,1月3日,0.79,1月7日
057633元大FL,22172910,8032000,424,2.76,3.3,2.35,6.05,1月7日,1.92,1月24日
057634元大FM,8481420,4648000,158,1.82,1.63,1.36,2.35,1月7日,1.34,1月28日
057635M3元富,4539710,1381000,76,3.29,3.22,3.4,3.59,1月10日,2.77,1月9日
057636M5元富,985590,658000,29,1.5,1.5,1.61,1.76,1月30日,1.37,1月17日
057637M7元富,7270160,3004000,70,2.42,2.17,1.57,2.72,1月11日,1.52,1月28日
057638M9元富,7080340,8857000,208,0.8,0.87,1.13,1.28,1月24日,0.49,1月2日
057639N1元富,16180410,13215000,409,1.22,1.2,1.42,1.6,1月8日,0.95,1月17日
0576405G凱基,4250870,3407000,69,1.25,1.21,1.13,1.55,1月25日,1,1月30日
0576415H凱基,20829680,12242000,340,1.7,1.71,1.9,1.99,1月11日,1.43,1月7日
0576425K凱基,1894940,1328000,75,1.43,1.39,1.31,1.64,1月3日,1.17,1月24日
0576435L凱基,4836120,3544000,160,1.36,1.42,1.87,2.01,1月31日,1.22,1月17日
057644BG富邦,2290340,777000,36,2.95,2.89,3,3.25,1月11日,2.5,1月25日
057645BJ富邦,2857730,1662000,67,1.72,1.78,1.63,2.32,1月3日,1.28,1月24日
057646BL富邦,4214830,4018000,81,1.05,1.07,0.98,1.25,1月3日,0.92,1月14日
057647日盛CQ,228690,217000,7,1.05,0.98,1.07,1.08,1月30日,0.88,1月25日
057648日盛CR,923900,282000,20,3.28,3.25,3.05,3.52,1月16日,3.03,1月28日
057649日盛CS,4278190,3151000,234,1.36,1.38,1.12,1.9,1月10日,0.97,1月2日
057651大華08,4008210,4114000,78,0.97,0.97,1.06,1.11,1月28日,0.82,1月25日
057652兆豐IW,230040,2109000,60,0.11,0.11,0.13,0.24,1月2日,0.06,1月24日
057653兆豐IX,1277250,2699000,67,0.47,0.47,0.45,0.51,1月10日,0.44,1月30日
057654兆豐IY,421830,341000,10,1.24,1.18,0.89,1.33,1月4日,0.89,1月31日
057655兆豐IZ,5922910,5461000,189,1.08,1.04,0.96,1.31,1月11日,0.83,1月17日
057656兆豐EA,734070,610000,24,1.2,1.54,2.07,2.07,1月31日,1.05,1月2日
057657兆豐EB,2191170,2875000,125,0.76,0.76,0.76,1.38,1月3日,0.46,1月25日
057658兆豐EC,13635310,12224000,481,1.12,1.06,0.8,1.36,1月29日,0.77,1月31日
057659兆豐ED,28900,40000,6,0.72,0.67,0.49,0.93,1月11日,0.49,1月25日
057660兆豐EE,40663610,13635000,487,2.98,3.11,3.29,5.05,1月3日,2.31,1月24日
057661兆豐EG,3382160,8702000,136,0.39,0.4,0.28,0.67,1月3日,0.25,1月28日
057662兆豐EH,565030,714000,22,0.79,0.75,0.78,0.85,1月30日,0.68,1月25日
057663兆豐EJ,3455130,4223000,105,0.82,0.76,0.62,0.98,1月3日,0.58,1月28日
057664兆豐EK,1742880,1506000,110,1.16,1.04,0.92,1.25,1月7日,0.87,1月31日
057665兆豐EL,446570,598000,13,0.75,0.75,0.76,0.86,1月10日,0.7,1月21日
057666兆豐EM,1724190,2349000,86,0.73,0.67,0.64,0.89,1月11日,0.52,1月28日
057667兆豐EN,1829160,1454000,137,1.26,1.33,1.35,1.6,1月3日,1.1,1月25日
057668中信CF,851960,800000,44,1.06,1.07,0.95,1.37,1月2日,0.87,1月28日
057669中信CG,25564030,6029000,569,4.24,4.36,4.39,5.1,1月3日,3.52,1月25日
057670BN富邦,20366470,14973000,404,1.36,1.33,1.3,1.62,1月4日,1.13,1月14日
057671BP富邦,16080570,6386000,298,2.52,2.52,1.74,3.99,1月3日,1.74,1月31日
057672BQ富邦,7008190,16438000,470,0.43,0.38,0.41,0.72,1月4日,0.22,1月24日
057673元大FV,49497300,4687000,493,10.56,10.72,10.6,16.5,1月2日,9.5,1月28日
057674元大FW,6646970,6543000,154,1.02,1.07,1.29,1.4,1月30日,0.79,1月8日
057675元大FX,5026070,3415000,97,1.47,1.38,1.16,1.75,1月4日,0.96,1月25日
057676元大FY,21553650,16766000,332,1.29,1.25,1.28,1.61,1月11日,1,1月7日
057677元大FZ,26651670,35035000,725,0.76,0.84,0.88,1.41,1月3日,0.55,1月25日
057678元大GA,14937670,15015000,326,0.99,1.1,1.25,1.32,1月10日,0.7,1月2日
057679元大GB,17997240,18271000,354,0.99,0.94,0.86,1.18,1月4日,0.8,1月17日
057680統一NA,474140,620000,27,0.76,0.76,0.64,0.91,1月2日,0.64,1月24日
057682國票4A,84800,340000,13,0.25,0.26,0.14,0.42,1月3日,0.14,1月29日
057683國票5A,230890,902000,14,0.26,0.28,0.22,0.46,1月4日,0.2,1月23日
057684國票6A,2852220,2447000,58,1.17,1.17,1.29,1.4,1月2日,0.99,1月8日
057685日盛CW,2154160,1204000,66,1.79,1.83,2.11,2.32,1月24日,1.28,1月8日
057686日盛CX,4857070,4029000,71,1.21,1.16,0.87,1.48,1月8日,0.79,1月29日
057687日盛CY,50200,50000,2,1,1.01,0.98,1.04,1月3日,0.98,1月4日
057688日盛CZ,54000,266000,6,0.2,0.28,0.15,0.4,1月7日,0.15,1月30日
057689日盛DA,2960560,1790000,89,1.65,1.55,2,2,1月31日,1.14,1月17日
057690日盛DB,4089160,3628000,88,1.13,1.15,0.84,1.53,1月3日,0.83,1月31日
057691日盛DC,86400,13000,2,6.65,7.05,6.3,7.8,1月2日,6.3,1月4日
057692大華09,1413580,1476000,26,0.96,0.97,0.88,1.05,1月15日,0.88,1月21日
057693大華12,7416610,4513000,116,1.64,1.77,2.11,2.11,1月30日,1.3,1月7日
057694BR富邦,3022680,2552000,79,1.18,1.24,1.96,1.96,1月25日,0.87,1月9日
057695BT富邦,1283060,1443000,40,0.89,0.87,0.8,1.04,1月4日,0.74,1月24日
057696BU富邦,1001480,774000,15,1.29,1.27,1.3,1.34,1月31日,1.17,1月24日
057697BV富邦,3563320,2104000,139,1.69,1.63,1.53,2.08,1月3日,1.36,1月17日
057698BW富邦,472020,487000,29,0.97,0.96,1.15,1.18,1月30日,0.75,1月7日
057699BZ富邦,5095010,3104000,64,1.64,1.75,1.97,1.97,1月31日,1.37,1月9日
057700CA富邦,2648900,1953000,54,1.36,1.38,1.58,1.58,1月31日,1.13,1月28日
05770194群益,92470,23000,5,4.02,4.01,3.86,4.57,1月2日,3.32,1月10日
05770295群益,861060,498000,24,1.73,1.72,2.06,2.06,1月31日,1.49,1月16日
05770398群益,402450,454000,36,0.89,0.92,0.69,1.15,1月3日,0.69,1月31日
057704N2元富,11870170,9262000,263,1.28,1.21,1.52,1.61,1月30日,1.06,1月9日
057705N3元富,4281790,2080000,181,2.06,1.98,2,2.58,1月15日,1.62,1月8日
057706N4元富,6703040,3866000,67,1.73,1.62,1.28,2.09,1月8日,1.1,1月25日
057707N5元富,183730,185000,19,0.99,0.9,0.82,1.48,1月3日,0.72,1月14日
057709N9元富,759940,591000,53,1.29,1.32,1.32,1.5,1月4日,1.17,1月2日
057710AA元富,4300430,4158000,87,1.03,1.02,1.18,1.23,1月31日,0.86,1月15日
057711AB元富,3922230,2764000,64,1.42,1.52,1.21,2.29,1月4日,1.09,1月28日
0577125M凱基,7990490,5006000,75,1.6,1.51,1.52,1.78,1月4日,1.32,1月14日
0577135Q凱基,2256250,242000,10,9.32,9.42,9.25,10.7,1月3日,8.8,1月8日
0577145R凱基,33900,20000,2,1.7,1.7,1.84,1.84,1月31日,1.55,1月8日
0577155S凱基,3209700,2718000,55,1.18,1.14,1.38,1.45,1月24日,0.95,1月17日
0577165T凱基,172850,200000,4,0.86,0.82,0.72,0.9,1月24日,0.72,1月28日
0577175U凱基,1125660,2039000,54,0.55,0.64,0.54,0.98,1月4日,0.45,1月24日
057718中信CJ,2135590,987000,60,2.16,2.2,2.19,2.4,1月17日,1.94,1月14日
057719中信CK,23975010,6493000,388,3.69,3.55,4.28,4.28,1月31日,2.68,1月7日
057720中信CL,4112200,2644000,183,1.56,1.46,0.93,1.89,1月8日,0.89,1月31日
057722統一NC,13945270,12695000,333,1.1,1.05,1.71,1.74,1月31日,0.79,1月18日
057723CD富邦,7073350,5247000,148,1.35,1.5,1.66,1.88,1月10日,0.92,1月2日
057724CE富邦,16501730,13535000,278,1.22,1.27,1.04,1.84,1月2日,0.84,1月25日
057725CF富邦,10011560,5155000,173,1.94,1.94,2.1,2.24,1月30日,1.59,1月4日
057726CH富邦,2017450,1160000,27,1.74,2.1,2.69,2.8,1月31日,1.37,1月3日
057727CJ富邦,5589790,2749000,196,2.03,1.92,1.8,2.35,1月11日,1.6,1月25日
057728CK富邦,10224510,7254000,179,1.41,1.67,1.24,2.86,1月4日,0.97,1月24日
057729兆豐EP,4175380,5780000,209,0.72,0.68,0.79,0.94,1月11日,0.53,1月17日
057730兆豐EQ,1904260,1483000,62,1.28,1.33,1.29,1.65,1月3日,1.09,1月17日
057731兆豐ER,1579160,706000,36,2.24,1.8,1.36,2.57,1月3日,1.35,1月31日
057732兆豐ES,1130170,1248000,72,0.91,0.89,0.87,1.02,1月11日,0.82,1月17日
057733兆豐ET,4952990,5995000,177,0.83,0.76,0.82,0.95,1月18日,0.6,1月7日
057734兆豐EU,29420180,11727000,1009,2.51,2.48,2.43,5,1月3日,1.39,1月24日
057735兆豐EV,5725450,12088000,232,0.47,0.35,0.17,0.6,1月8日,0.16,1月25日
057736兆豐EW,9517620,11686000,222,0.81,0.89,1.14,1.14,1月30日,0.66,1月10日
057737兆豐EX,4526360,3626000,223,1.25,1.04,0.89,1.67,1月3日,0.77,1月25日
057738兆豐EY,2528360,2704000,158,0.94,0.85,0.58,1.13,1月4日,0.53,1月29日
057739兆豐EZ,1578050,956000,24,1.65,1.67,1.64,1.76,1月14日,1.59,1月30日
057740兆豐GL,9400,15000,2,0.63,0.59,0.48,0.7,1月2日,0.48,1月15日
057741兆豐GM,425500,1684000,67,0.25,0.28,0.12,0.55,1月2日,0.12,1月31日
057742兆豐HR,1225850,1226000,31,1,0.94,1.14,1.17,1月30日,0.71,1月17日
057743兆豐HS,664830,671000,15,0.99,0.97,1.37,1.37,1月31日,0.8,1月17日
057744兆豐LB,892570,1040000,45,0.86,0.81,0.65,0.99,1月10日,0.57,1月29日
057745兆豐MN,1468670,1637000,57,0.9,0.9,0.68,1.33,1月8日,0.62,1月28日
057746兆豐MP,1879860,1381000,115,1.36,1.51,1.14,2.12,1月2日,1.14,1月31日
057747兆豐MR,747930,1131000,110,0.66,0.61,0.71,0.8,1月3日,0.5,1月18日
057748兆豐MS,21600,35000,6,0.62,0.6,0.58,0.67,1月8日,0.54,1月16日
057749兆豐MT,7450,20000,3,0.37,0.39,0.32,0.44,1月15日,0.32,1月21日
057750兆豐MY,1569310,1496000,59,1.05,0.97,0.73,1.3,1月10日,0.69,1月28日
057751兆豐MZ,1537780,1552000,39,0.99,0.94,0.81,1.13,1月3日,0.81,1月18日
057752兆豐NA,276040,1106000,16,0.25,0.21,0.17,0.3,1月3日,0.15,1月17日
057753大華13,2200080,1874000,22,1.17,1.15,0.96,1.44,1月3日,0.96,1月30日
057754大華14,2525900,2236000,39,1.13,1.06,0.94,1.32,1月4日,0.81,1月28日
