,民國102年01月,,,,,,,Jan-13,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2405  浩鑫,180957027,17283493,5366,10.47,10.38,10.25,11.15,1月3日,9.91,1月25日,9.09
2417  圓剛,121635452,8092277,4166,15.03,14.9,14.8,15.9,1月3日,14.3,1月17日,3.91
2424  隴華,18763812,680843,433,27.56,27.58,27.9,29.3,1月17日,25.8,1月2日,2.27
2442  新美齊,69374131,9032013,2955,7.68,7.46,7.62,8.28,1月17日,7.1,1月7日,5.77
2465  麗臺,16162781,3408668,1198,4.74,4.68,4.56,4.89,1月14日,4.48,1月25日,3.18
2474  可成,40235760556,293079359,154965,137.29,134.93,132,151.5,1月7日,123,1月24日,39.04
3002  歐格,26912108,2373510,977,11.34,11.38,11.25,11.7,1月17日,10.5,1月2日,2.33
3005  神基,2167730805,135252427,42197,16.03,15.7,15.25,17,1月8日,14.6,1月29日,23.37
3013  晟銘電,953849611,35767541,14286,26.67,26.14,23.05,28.95,1月9日,23,1月31日,19.32
3017  奇鋐,2367850523,143124963,43071,16.54,16.3,16.45,17.75,1月22日,15.25,1月14日,40.51
3022  威達電,753768334,19248702,11264,39.16,38.95,40.1,40.5,1月3日,38,1月25日,6.53
3046  建碁,16222491,3017593,1190,5.38,5.21,5.57,5.77,1月30日,4.95,1月3日,1.94
3057  喬鼎,151110261,11626472,4383,13,12.75,13.4,13.55,1月10日,12.05,1月17日,7.68
3060  銘異,3711525034,42185175,23606,87.98,87.02,91.7,92.4,1月30日,82.2,1月17日,25.18
