,民國101年10月,,,,,,,Oct-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2616  山隆,105424917,4884464,2256,21.58,21.45,21.35,22.65,10月22日,20.75,10月30日,4.32
6505  台塑化,2613630845,30564872,17994,85.51,85.41,85,88.7,10月1日,81.8,10月24日,0.32
8926  台汽電,167741134,8771461,4486,19.12,19.21,18.75,19.65,10月2日,18.5,10月29日,1.49
9908  大台北,146735467,7351583,3058,19.96,20.19,19.05,21.45,10月2日,18.85,10月29日,1.42
9918  欣天然,11668324,375681,382,31.06,30.87,30,32.55,10月1日,29.35,10月24日,0.21
9926  新海,11115828,290325,275,38.29,38.56,37.7,39.6,10月1日,37.45,10月25日,0.19
9931  欣高,7835398,307932,129,25.45,25.53,25.3,26,10月5日,24.85,10月23日,0.33
9937  全國,67476665,2237297,1405,30.16,30.23,29.3,31,10月5日,29,10月29日,0.72
24 半導體業類,,,,,,,,,,,
Semiconductor,,,,,,,,,,,
1437  勤益,283613649,17689098,6138,16.03,15.7,13.15,17.9,10月5日,13,10月31日,8.67
2302  麗正,10948887,2770348,1022,3.95,3.96,3.73,4.36,10月4日,3.56,10月29日,1.73
2303  聯電,5663262966,494115210,91964,11.46,11.45,10.85,12.15,10月3日,10.85,10月31日,3.82
2311  日月光,9948794032,456382674,118954,21.8,21.86,22,22.95,10月9日,20.05,10月26日,6.01
2325  矽品,4830245982,154210758,54186,31.32,31.56,28.5,33.55,10月8日,28.5,10月31日,4.95
2329  華泰,37868943,9117619,2570,4.15,4.16,4,4.5,10月1日,3.94,10月31日,1.13
2330  台積電,69977887531,798788914,206242,87.6,87.64,88.7,91.3,10月5日,84.5,10月25日,3.08
2337  旺宏,3662750235,418451588,103565,8.75,8.85,7.6,9.76,10月2日,7.4,10月29日,11.88
2338  光罩,43573800,4405517,1463,9.89,9.86,9.25,10.3,10月18日,9.25,10月31日,1.63
2342  茂矽,96222800,46102999,12562,2.09,2.06,1.83,2.33,10月4日,1.78,10月16日,6.82
2344  華邦電,380479244,90768137,17919,4.19,4.17,3.94,4.48,10月8日,3.9,10月29日,2.46
2351  順德,71674667,3676176,1748,19.5,19.61,19.25,21.65,10月1日,18,10月29日,2.12
2363  矽統,928047320,79407853,22588,11.69,11.33,10.7,12.5,10月8日,9.96,10月29日,12.65
2369  菱生,668313012,42988131,17454,15.55,15.6,14.1,17.4,10月1日,13.25,10月29日,11.31
2379  瑞昱,2645129340,46816381,28002,56.5,56.07,55,59.2,10月8日,52.4,10月26日,9.39
2388  威盛,610430021,35209096,16264,17.34,16.54,13.4,22,10月4日,12.55,10月30日,7.14
2401  凌陽,370057721,37560554,10167,9.85,9.34,8.15,10.85,10月5日,8.13,10月29日,6.29
2425  承啟,106836782,2398082,1807,44.55,44.79,45.75,48.4,10月8日,38.5,10月17日,2.56
2434  統懋,8568973,1628048,649,5.26,5.26,4.8,5.66,10月1日,4.71,10月30日,1.97
2436  偉詮電,217864997,17930380,6924,12.15,11.68,10.3,13.45,10月3日,10.1,10月30日,7.27
2441  超豐,133375543,5901377,3369,22.6,22.56,22.25,23.4,10月3日,21.9,10月30日,1.07
2449  京元電,2284079146,142584604,41146,16.02,16.02,15.9,16.8,10月24日,14.75,10月9日,12.04
2451  創見,906867754,11630707,8390,77.97,78.3,73.5,82,10月8日,73.3,10月29日,2.7
2454  聯發科,64182783383,199140615,126633,322.3,321.93,324.5,331.5,10月29日,305.5,10月1日,14.76
2458  義隆,8747854326,170361260,81986,51.35,50.75,45.2,56,10月3日,44.85,10月29日,40.92
