,民國101年10月,,,,,,,Oct-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
054329JP永豐,2243740,2588000,82,0.87,0.96,0.63,1.34,10月18日,0.57,10月31日
054330日盛3T,4363410,6417000,349,0.68,0.64,0.34,1.07,10月3日,0.2,10月29日
054331日盛3U,1412420,454000,145,3.11,3.42,3.33,4.62,10月5日,2.37,10月25日
054332日盛3V,13635140,24432000,589,0.56,0.57,0.56,0.75,10月15日,0.34,10月29日
054333日盛3W,957450,1980000,51,0.48,0.44,0.25,0.58,10月19日,0.25,10月30日
054334日盛3Y,16606750,1674000,158,9.92,9.97,9.35,11.4,10月5日,8.55,10月1日
054335日盛3Z,2091600,178000,30,11.75,11.73,12.2,12.9,10月5日,10.7,10月15日
054336日盛4A,193500,30000,10,6.45,6.41,6.55,7.35,10月5日,5.55,10月1日
054337日盛4B,6616840,7833000,244,0.84,0.83,0.14,1.7,10月2日,0.05,10月29日
054338日盛4C,178100,1161000,23,0.15,0.16,0.02,0.28,10月8日,0.02,10月30日
054339大華1M,15368530,14302000,344,1.07,1.01,0.65,1.43,10月18日,0.56,10月31日
054340大華1N,13499810,19117000,371,0.71,0.87,0.5,1.22,10月3日,0.36,10月29日
054342大華1Q,520370,1814000,61,0.29,0.33,0.17,0.53,10月4日,0.15,10月30日
054343工銀H5,2328350,2178000,119,1.07,1.03,1.02,1.25,10月15日,0.73,10月29日
054344工銀H6,872940,7053000,119,0.12,0.11,0.04,0.23,10月5日,0.03,10月31日
054345中信D3,8189960,11146000,387,0.73,0.77,0.43,1.2,10月1日,0.43,10月31日
054346中信D4,35503240,11212000,177,3.17,3.29,3.41,4.17,10月3日,2.62,10月24日
054347中信D5,2895100,740000,39,3.91,3.65,4.06,4.61,10月31日,2.99,10月11日
054348中信D6,20702780,4871000,168,4.25,4.34,4.38,5.35,10月5日,3.46,10月25日
054349富邦HL,8132980,11068000,277,0.73,0.69,0.1,1.44,10月3日,0.03,10月29日
054350永昌GH,44550,396000,4,0.11,0.12,0.1,0.15,10月22日,0.1,10月31日
054351永昌GJ,7287920,8997000,211,0.81,0.91,0.57,1.26,10月3日,0.39,10月29日
054352永昌GK,206130,1316000,33,0.16,0.14,0.14,0.21,10月3日,0.1,10月16日
054353永昌GL,355410,594000,6,0.6,0.6,0.57,0.62,10月5日,0.57,10月8日
054354兆豐D2,206460,384000,10,0.54,0.5,0.24,0.83,10月2日,0.24,10月30日
054355兆豐D3,669960,1440000,26,0.47,0.42,0.3,0.56,10月4日,0.3,10月29日
054356兆豐D4,682190,774000,31,0.88,0.96,0.59,1.25,10月15日,0.56,10月30日
054357兆豐D5,1057040,3946000,154,0.27,0.28,0.07,0.51,10月1日,0.06,10月29日
054358兆豐D6,2087770,1808000,27,1.15,1,0.38,1.32,10月3日,0.38,10月26日
054359兆豐D7,913020,1024000,30,0.89,0.85,0.75,1,10月24日,0.75,10月31日
054360國泰B9,141220,48000,8,2.94,2.93,2.85,3.1,10月3日,2.54,10月19日
054362元富3Y,67672190,16827000,476,4.02,4.69,4.76,6.5,10月3日,3.37,10月29日
054363元富3Z,243600,450000,28,0.54,0.53,0.36,0.65,10月5日,0.35,10月29日
054364元富4A,239110,202000,6,1.18,1.12,0.93,1.22,10月15日,0.93,10月18日
054365DY元大,947000,621000,16,1.52,1.46,1.34,1.58,10月9日,1.34,10月25日
054366DZ元大,11130,6000,2,1.86,1.86,1.96,1.96,10月16日,1.75,10月11日
054367EA元大,804040,1068000,57,0.75,0.6,0.42,0.85,10月2日,0.41,10月29日
054368EB元大,11868150,13045000,687,0.91,0.91,0.75,1.21,10月4日,0.63,10月29日
054369凱基4B,1565880,720000,50,2.17,2.17,2.04,2.57,10月24日,1.68,10月9日
054370凱基4C,6680560,5995000,166,1.11,1.1,0.69,1.5,10月2日,0.69,10月31日
054371凱基4D,44700,6000,1,7.45,7.45,7.45,7.45,10月15日,7.45,10月15日
054372凱基4E,115550,230000,12,0.5,0.49,0.39,0.61,10月25日,0.39,10月26日
054373凱基4F,26892500,13371000,487,2.01,2.12,2.12,2.75,10月15日,1.64,10月1日
054374凱基4G,477250,296000,23,1.61,1.86,1.45,2.44,10月3日,1.39,10月29日
054375工銀H7,433780,914000,26,0.47,0.45,0.28,0.58,10月5日,0.2,10月26日
054376工銀H8,132530,147000,16,0.9,0.99,0.58,1.47,10月11日,0.58,10月31日
054377工銀H9,773720,1907000,41,0.41,0.34,0.14,0.66,10月1日,0.14,10月31日
054378工銀J1,1147860,338000,26,3.4,3.34,3.32,3.66,10月5日,2.81,10月1日
054379中信D7,402840,515000,18,0.78,0.86,0.34,1.22,10月23日,0.34,10月31日
054380中信D8,900420,1827000,80,0.49,0.94,0.23,1.7,10月1日,0.22,10月29日
054381中信D9,3235780,2720000,60,1.19,1.29,1.12,1.64,10月9日,0.81,10月29日
054382日盛4D,4333920,7720000,212,0.56,0.6,0.32,0.87,10月1日,0.31,10月29日
054383大華1R,81640,52000,7,1.57,1.54,1.28,1.78,10月8日,1.28,10月12日
054384大華1S,10347260,2951000,221,3.51,3.42,3.35,5.15,10月5日,2.2,10月25日
054385大華1T,3310160,2560000,73,1.29,1.25,1.13,1.43,10月17日,1.13,10月30日
054386大華1U,470320,583000,45,0.81,0.81,0.54,1.06,10月1日,0.54,10月30日
054387JQ永豐,3074700,8718000,270,0.35,0.39,0.06,0.84,10月2日,0.01,10月30日
054388JR永豐,205000,50000,1,4.1,4.1,4.1,4.1,10月29日,4.1,10月29日
054389JS永豐,211890,501000,9,0.42,0.49,0.25,0.6,10月19日,0.25,10月29日
054390JT永豐,529650,553000,37,0.96,0.93,1.07,1.32,10月5日,0.73,10月29日
054391JU永豐,27550,19000,1,1.45,1.45,1.45,1.45,10月4日,1.45,10月4日
054392JV永豐,604390,3867000,100,0.16,0.17,0.1,0.27,10月3日,0.06,10月30日
054393JW永豐,442520,246000,23,1.8,1.45,1.1,2.04,10月2日,0.95,10月26日
054394JX永豐,1627510,1699000,48,0.96,0.96,0.82,1.14,10月11日,0.74,10月19日
054395KA永豐,1870500,2987000,90,0.63,0.57,0.42,0.72,10月4日,0.39,10月30日
054396兆豐D8,498010,2977000,126,0.17,0.22,0.05,0.38,10月5日,0.05,10月31日
054397兆豐D9,266210,1259000,33,0.21,0.25,0.16,0.4,10月2日,0.13,10月26日
054398兆豐F1,41530,51000,11,0.81,0.77,0.39,0.88,10月9日,0.39,10月29日
054399兆豐F2,51250,79000,9,0.65,0.6,0.45,0.72,10月1日,0.45,10月25日
054400兆豐F3,1810740,2343000,46,0.77,0.81,0.82,1.01,10月9日,0.61,10月30日
054401兆豐F4,1822190,4617000,114,0.39,0.41,0.24,0.64,10月11日,0.24,10月31日
054402兆豐F5,52220,85000,7,0.61,0.6,0.56,0.64,10月1日,0.56,10月4日
054403兆豐F6,850390,5184000,134,0.16,0.19,0.03,0.37,10月2日,0.03,10月31日
054404兆豐F7,1729720,4967000,168,0.35,0.34,0.2,0.6,10月2日,0.18,10月29日
054405兆豐F8,3496190,2488000,105,1.41,1.42,1.59,1.66,10月24日,1.26,10月11日
054407兆豐G1,243170,261000,11,0.93,0.98,0.77,1.3,10月11日,0.77,10月22日
054408兆豐G2,212230,328000,12,0.65,0.58,0.51,0.83,10月2日,0.47,10月29日
054409國票KC,172950,259000,51,0.67,0.63,0.4,0.82,10月3日,0.4,10月30日
054410國票KF,207920,246000,106,0.85,0.67,0.36,0.97,10月2日,0.36,10月22日
054411凱基4J,1900730,1805000,33,1.05,0.94,0.62,1.18,10月15日,0.62,10月30日
054412凱基4M,4078390,11727000,314,0.35,0.38,0.24,0.58,10月3日,0.16,10月29日
054413凱基4N,3888030,8241000,232,0.47,0.48,0.32,0.77,10月2日,0.18,10月29日
054414凱基4P,806250,164000,14,4.92,5.08,5.05,5.75,10月5日,4.65,10月15日
054415凱基4R,3045160,565000,24,5.39,5.54,5.2,6.05,10月8日,4.65,10月1日
054416第一4C,1696540,1704000,65,1,0.93,0.41,1.56,10月2日,0.41,10月29日
054417第一4D,243100,281000,11,0.87,0.71,0.39,0.91,10月1日,0.39,10月31日
054418中信E1,4145650,16113000,326,0.26,0.27,0.1,0.56,10月3日,0.05,10月29日
054419中信E3,8865090,7232000,270,1.23,1.16,0.49,2.3,10月2日,0.35,10月30日
054420兆豐G4,4220840,4581000,175,0.92,0.65,0.35,1.2,10月5日,0.35,10月31日
054421群益IL,710830,510000,32,1.39,1.24,0.79,1.6,10月1日,0.79,10月31日
054422群益IM,54400,58000,11,0.94,1.02,0.81,1.18,10月2日,0.81,10月17日
054423群益IN,18712760,13860000,382,1.35,1.36,1.51,1.76,10月8日,1.07,10月25日
054424群益IP,889990,1799000,88,0.49,0.5,0.35,0.68,10月19日,0.29,10月29日
054425群益IQ,554580,643000,17,0.86,0.79,0.51,0.96,10月2日,0.51,10月31日
054426群益IR,1332120,2640000,85,0.5,0.48,0.3,0.64,10月2日,0.3,10月31日
054427群益IS,485720,2603000,47,0.19,0.21,0.13,0.34,10月2日,0.08,10月29日
054428群益IT,190,1000,1,0.19,0.19,0.19,0.19,10月4日,0.19,10月4日
054429群益IU,6912750,4795000,90,1.44,1.43,1.22,1.77,10月4日,1.07,10月29日
054430群益IV,1157320,1649000,62,0.7,0.68,0.45,0.99,10月2日,0.45,10月29日
054432KC永豐,1622890,1814000,31,0.89,0.93,0.71,1.1,10月1日,0.71,10月23日
054433統一DC,2109920,1127000,32,1.87,2.19,1.43,2.97,10月5日,1.43,10月31日
054434統一DE,525950,508000,16,1.04,0.93,0.65,1.15,10月4日,0.65,10月31日
054435統一DG,2583180,2959000,139,0.87,0.94,0.57,1.62,10月3日,0.5,10月29日
054436統一DH,561420,2185000,33,0.26,0.28,0.14,0.49,10月2日,0.14,10月31日
054437統一DJ,1787890,3022000,37,0.59,0.62,0.4,1.09,10月2日,0.4,10月31日
054438統一DK,474270,1115000,41,0.43,0.37,0.18,0.6,10月2日,0.18,10月30日
054439ED元大,11491920,11088000,326,1.04,1.21,0.68,1.63,10月4日,0.56,10月31日
054440日盛4E,1036160,1155000,50,0.9,1.06,0.65,2.32,10月2日,0.65,10月31日
054441日盛4F,548300,793000,23,0.69,0.92,0.22,1.37,10月4日,0.22,10月31日
054442日盛4G,15479140,5188000,204,2.98,2.86,1.67,4.87,10月4日,1.53,10月29日
054443大華1V,51310,61000,9,0.84,1.09,0.55,1.64,10月4日,0.55,10月31日
054444大華1W,490650,600000,49,0.82,0.87,0.53,1.15,10月2日,0.53,10月26日
054445大華1X,15937350,8743000,181,1.82,1.59,0.94,2.36,10月5日,0.91,10月31日
054446亞東58,273620,215000,30,1.27,1.31,0.78,1.93,10月3日,0.68,10月29日
054447亞東59,327860,538000,38,0.61,0.59,0.45,0.75,10月1日,0.39,10月30日
054448亞東60,4507990,2252000,64,2,1.81,1.33,2.15,10月9日,1.33,10月31日
054449亞東61,3482900,2964000,69,1.18,1.25,1.04,1.92,10月1日,1,10月24日
054450亞東62,8292120,14661000,389,0.57,0.63,0.4,0.92,10月1日,0.38,10月31日
054451亞東63,2053160,3494000,129,0.59,0.54,0.31,0.71,10月8日,0.31,10月29日
054452富邦HM,29000,100000,2,0.29,0.29,0.22,0.36,10月8日,0.22,10月11日
054453富邦HN,2272900,1265000,37,1.8,1.78,1.93,1.93,10月31日,1.58,10月26日
054454富邦HP,7826030,4010000,65,1.95,2.65,1.26,4.22,10月2日,1.26,10月31日
054455富邦HQ,5145880,1973000,95,2.61,3.38,1.83,5.2,10月2日,1.63,10月29日
054457第一4F,446020,1023000,24,0.44,0.38,0.23,0.51,10月5日,0.23,10月30日
054458凱基4S,567790,454000,35,1.25,1.45,0.72,2.29,10月1日,0.72,10月31日
054459凱基4W,686610,1223000,32,0.56,0.52,0.15,0.95,10月2日,0.14,10月29日
054460凱基4X,4650,2000,2,2.32,2.33,2.28,2.37,10月22日,2.28,10月23日
054461EH元大,1126630,3638000,88,0.31,0.28,0.12,0.44,10月3日,0.12,10月30日
054462EI元大,794340,745000,100,1.07,1,0.62,1.38,10月1日,0.57,10月29日
054463EJ元大,464840,182000,28,2.55,2.59,2.55,2.8,10月29日,2.3,10月1日
054464EK元大,3894690,1976000,89,1.97,1.9,1.38,2.8,10月2日,1.14,10月26日
054465富邦HT,949470,648000,43,1.47,1.25,0.91,1.71,10月2日,0.9,10月22日
054466富邦HV,21076490,11772000,163,1.79,1.7,1.36,2.13,10月1日,1.26,10月29日
054467富邦HX,296740,481000,42,0.62,0.76,0.51,1.17,10月2日,0.48,10月22日
054468富邦HY,1116250,1150000,17,0.97,1.03,0.59,1.41,10月8日,0.59,10月31日
054470KD永豐,897320,1477000,98,0.61,0.52,0.15,0.82,10月3日,0.13,10月29日
054471群益IX,18010,198000,3,0.09,0.1,0.11,0.11,10月30日,0.08,10月29日
054472群益IZ,3249110,2119000,94,1.53,1.77,0.98,2.74,10月2日,0.87,10月29日
054473群益JA,9020400,3647000,123,2.47,2.4,1.37,3.41,10月2日,1.24,10月29日
054474康和IR,2945180,2467000,77,1.19,1.37,0.52,2.33,10月2日,0.52,10月31日
054475康和IS,1316780,1732000,202,0.76,0.8,0.19,1.58,10月2日,0.15,10月30日
054476康和IT,1032540,1433000,31,0.72,0.71,0.44,0.94,10月2日,0.44,10月31日
054477康和IU,393030,597000,21,0.66,0.48,0.28,0.69,10月4日,0.28,10月24日
054478康和IV,1860600,1726000,68,1.08,1.12,1.06,1.26,10月3日,1.05,10月16日
054479國票KG,572110,467000,23,1.23,1.09,0.91,1.32,10月1日,0.9,10月15日
054480國票KH,905040,1634000,41,0.55,0.49,0.22,0.86,10月5日,0.15,10月30日
054481日盛4H,1708150,808000,54,2.11,1.86,0.95,2.55,10月1日,0.86,10月29日
054482日盛4J,1124490,652000,42,1.72,1.56,0.83,2.01,10月5日,0.83,10月31日
054483中信E4,15860,38000,2,0.42,0.4,0.4,0.42,10月12日,0.4,10月12日
054484中信E6,120580,386000,9,0.31,0.32,0.2,0.47,10月9日,0.2,10月25日
054485永昌GM,16223300,19941000,474,0.81,0.77,0.68,0.97,10月11日,0.61,10月30日
054486永昌GN,172560,224000,8,0.77,0.86,0.69,1.01,10月17日,0.69,10月29日
054487永昌GP,438450,1005000,11,0.44,0.42,0.26,0.6,10月8日,0.25,10月26日
054488永昌GQ,79880,122000,17,0.65,0.65,0.44,0.74,10月5日,0.44,10月30日
054490永昌GS,8150,10000,2,0.82,0.82,0.68,0.95,10月2日,0.68,10月16日
054491永昌GT,512900,1073000,45,0.48,0.47,0.26,0.58,10月1日,0.26,10月26日
054492凱基4Y,2064540,2080000,97,0.99,0.83,0.28,1.21,10月3日,0.28,10月29日
054493KE永豐,622300,445000,23,1.4,1.42,0.99,1.73,10月3日,0.99,10月31日
054494KF永豐,384770,902000,132,0.43,0.44,0.27,0.58,10月3日,0.27,10月11日
054495統一DL,14890350,10783000,251,1.38,1.31,1.33,1.65,10月23日,0.97,10月11日
054496統一DM,8271850,9110000,333,0.91,0.81,0.25,1.36,10月5日,0.2,10月29日
054497統一DN,5872680,9300000,190,0.63,0.68,0.45,1,10月2日,0.37,10月29日
054498國泰C4,284900,360000,8,0.79,0.79,0.62,0.91,10月3日,0.62,10月8日
054499EM元大,30350,60000,4,0.51,0.5,0.31,0.64,10月2日,0.31,10月19日
05449PHV富邦,3960,198000,2,0.02,0.02,0.02,0.02,10月5日,0.02,10月5日
054500EN元大,5726770,5798000,191,0.99,1.12,0.86,1.74,10月8日,0.77,10月12日
054501中信E8,3057650,1064000,20,2.87,3.44,3.22,4.88,10月8日,2.76,10月12日
054502中信E9,23124440,18388000,385,1.26,1.2,0.68,2.2,10月2日,0.66,10月26日
054503日盛4L,4150440,2862000,201,1.45,1.51,0.9,2.08,10月3日,0.9,10月31日
054504日盛4M,136000,348000,16,0.39,0.33,0.19,0.55,10月3日,0.19,10月24日
054505日盛4N,1273780,1451000,28,0.88,1.02,0.64,1.44,10月2日,0.63,10月26日
054506日盛4P,407250,688000,18,0.59,0.77,0.16,1.32,10月3日,0.16,10月31日
054507日盛4Q,6587620,2240000,237,2.94,2.91,2.89,3.6,10月9日,2.25,10月26日
054508大華1Y,1865760,3920000,103,0.48,0.51,0.11,0.9,10月2日,0.1,10月30日
054509大華1Z,68080,97000,5,0.7,0.71,0.44,0.9,10月2日,0.44,10月16日
054510富邦JB,1962690,1307000,46,1.5,1.78,1.13,2.32,10月5日,1.01,10月26日
054511富邦JD,9006880,7006000,95,1.29,1.23,1.03,1.58,10月4日,0.85,10月26日
054512富邦JE,24058250,14135000,511,1.7,1.87,1.66,3.12,10月5日,1.03,10月25日
054513富邦JF,7736850,7520000,145,1.03,1.02,1.09,1.38,10月9日,0.6,10月26日
054514富邦JG,79300,52000,5,1.52,1.49,1.26,1.58,10月5日,1.26,10月12日
054515統一DP,388820,485000,19,0.8,1.06,0.67,1.52,10月1日,0.6,10月31日
054516統一DQ,14440,26000,7,0.56,0.58,0.5,0.77,10月8日,0.49,10月22日
054517群益JC,1083900,1136000,28,0.95,1.08,0.91,1.75,10月9日,0.9,10月25日
054518群益JD,4974970,2265000,63,2.2,2.35,2.6,2.76,10月12日,1.95,10月1日
054519群益JF,1598280,1444000,103,1.11,1.12,0.69,1.96,10月3日,0.67,10月31日
054521元富4B,2318330,2080000,213,1.11,1.09,0.84,1.42,10月2日,0.84,10月26日
054522元富4C,3129640,887000,99,3.53,3.51,3.79,4.1,10月31日,2.82,10月11日
054523元富4E,6538050,6099000,243,1.07,1.07,0.91,1.5,10月2日,0.83,10月30日
054524元富4F,12045880,12344000,292,0.98,0.92,0.68,1.21,10月4日,0.62,10月26日
054525元富4G,16664240,33664000,923,0.5,0.5,0.3,0.84,10月2日,0.16,10月29日
054526凱基5A,1005810,3605000,142,0.28,0.3,0.22,0.44,10月3日,0.14,10月29日
054527EP元大,2011190,1942000,114,1.04,0.95,0.32,1.48,10月2日,0.26,10月29日
054528EQ元大,407740,221000,15,1.84,1.78,1.75,2.41,10月4日,1.34,10月26日
054529ER元大,2350790,3612000,123,0.65,0.7,0.27,1.12,10月2日,0.27,10月31日
054530大華2A,618750,995000,32,0.62,0.57,0.22,0.94,10月2日,0.22,10月31日
054531大華2B,1055010,1197000,30,0.88,0.87,0.54,1.23,10月8日,0.52,10月12日
054532大華2C,28400,30000,3,0.95,0.95,0.83,1.03,10月2日,0.83,10月16日
054533兆豐G5,4604660,19204000,348,0.24,0.22,0.14,0.34,10月19日,0.11,10月29日
054534兆豐G6,874170,528000,8,1.66,1.68,1.65,1.75,10月5日,1.57,10月9日
054535兆豐G7,32800,40000,2,0.82,0.82,0.82,0.82,10月4日,0.82,10月4日
054536兆豐G8,1616870,1728000,94,0.94,1,0.46,1.49,10月2日,0.45,10月29日
054537兆豐G9,947720,1043000,44,0.91,0.8,0.36,1.09,10月1日,0.36,10月26日
054538兆豐H1,1018790,2080000,48,0.49,0.44,0.32,0.53,10月2日,0.32,10月24日
054539兆豐H2,642230,1552000,38,0.41,0.33,0.24,0.44,10月2日,0.24,10月29日
054540第一4G,139710,96000,35,1.46,1.41,0.88,2.06,10月5日,0.81,10月24日
054541第一4H,53360,46000,2,1.16,1.16,1.14,1.18,10月2日,1.14,10月5日
054542第一4J,638180,465000,52,1.37,1.31,1,1.53,10月2日,1,10月31日
054545元富4K,30070,11000,2,2.73,2.98,2.68,3.27,10月8日,2.68,10月24日
054546兆豐H3,996630,2559000,116,0.39,0.45,0.13,0.73,10月3日,0.12,10月30日
054547兆豐H4,6966740,7102000,270,0.98,0.95,0.96,1.23,10月9日,0.51,10月26日
054548KM永豐,1198550,6835000,157,0.18,0.17,0.09,0.28,10月3日,0.05,10月29日
054549KN永豐,61380,297000,3,0.21,0.23,0.17,0.28,10月11日,0.17,10月25日
054550KP永豐,5681300,3132000,112,1.81,1.8,1.2,2.22,10月9日,1.14,10月31日
054551國票KK,194330,262000,43,0.74,0.74,0.29,1.2,10月2日,0.27,10月29日
054552日盛4W,8970,16000,4,0.56,0.63,0.44,0.83,10月4日,0.44,10月25日
054553日盛4X,1568510,2451000,74,0.64,1.02,0.36,1.64,10月9日,0.33,10月29日
054554日盛4Y,5055390,2717000,282,1.86,2.01,1.88,2.77,10月9日,1.02,10月26日
054555富邦JL,264440,1704000,26,0.16,0.15,0.1,0.2,10月23日,0.06,10月29日
054556富邦JM,171820,360000,16,0.48,0.47,0.25,0.77,10月2日,0.25,10月25日
054557富邦JN,561610,558000,12,1.01,1,0.95,1.06,10月3日,0.95,10月4日
054558工銀J3,719390,1248000,76,0.58,0.72,0.19,1.2,10月2日,0.17,10月29日
054559工銀J4,6369040,7074000,180,0.9,0.79,0.66,1.01,10月4日,0.53,10月29日
054560工銀J5,263020,162000,19,1.62,1.69,1.79,2.08,10月5日,1.27,10月24日
054561工銀J6,364100,984000,35,0.37,0.61,0.2,0.92,10月3日,0.1,10月30日
054562凱基5E,2183520,844000,85,2.59,2.66,2.78,3.08,10月9日,2.28,10月26日
054563凱基5G,4445290,2066000,51,2.15,2.03,1.59,2.61,10月5日,1.52,10月29日
054564統一DU,116470,48000,5,2.43,2.3,2.34,2.55,10月19日,2.1,10月1日
054565國泰C8,31020,14000,2,2.22,2.23,2.23,2.23,10月31日,2.21,10月31日
054566KQ永豐,645910,1211000,21,0.53,0.59,0.43,0.88,10月4日,0.43,10月31日
054567KR永豐,9674350,12419000,327,0.78,0.72,0.57,1.06,10月1日,0.45,10月29日
054568群益JI,4443480,6846000,121,0.65,1.26,0.51,1.99,10月9日,0.5,10月31日
054569群益JJ,1931300,3117000,154,0.62,0.66,0.49,0.95,10月2日,0.33,10月29日
054570群益JK,23624630,19156000,599,1.23,1.55,1.06,2.68,10月3日,0.8,10月29日
054571元富4M,4128180,1020000,103,4.05,4.04,4.25,4.99,10月2日,3.18,10月24日
054572富邦JP,9724860,4032000,146,2.41,2.59,2.03,3.99,10月5日,2,10月24日
054573富邦JR,722820,763000,31,0.95,0.89,0.23,1.21,10月8日,0.23,10月31日
054574富邦JS,13718360,13227000,227,1.04,1.07,0.66,1.53,10月11日,0.65,10月19日
054575富邦JU,415200,370000,9,1.12,0.97,0.88,1.15,10月1日,0.88,10月18日
054576亞東64,151250,93000,17,1.63,1.61,1.62,1.87,10月15日,1.34,10月2日
054577亞東65,773740,744000,77,1.04,1.08,1.09,1.3,10月3日,0.89,10月29日
054578亞東66,352470,411000,6,0.86,0.85,0.8,0.91,10月4日,0.8,10月17日
054579亞東67,584470,1054000,39,0.55,0.48,0.21,0.89,10月1日,0.21,10月31日
054580亞東68,8162970,8007000,203,1.02,0.91,0.67,1.19,10月4日,0.63,10月29日
054581亞東69,8254030,9080000,281,0.91,0.85,0.59,1.07,10月5日,0.59,10月31日
054582大華2D,3188640,2513000,120,1.27,1.44,0.81,2.31,10月16日,0.54,10月29日
054583大華2G,795510,273000,12,2.91,3.25,3.5,4.04,10月4日,2.64,10月24日
054584大華2H,309300,238000,6,1.3,1.13,0.93,1.43,10月11日,0.81,10月26日
054585康和IW,899250,353000,25,2.55,2.98,3.19,3.69,10月2日,2,10月26日
054586康和IX,2372590,1873000,170,1.27,1.22,0.46,1.93,10月1日,0.45,10月29日
054587康和JA,3876010,787000,53,4.93,5.98,5.45,8.05,10月3日,3.91,10月24日
054588中信F1,26617500,1875000,224,14.2,14.75,15.5,19.1,10月3日,11.4,10月29日
054589中信F2,1816300,135000,68,13.45,14.1,14.5,16.8,10月5日,11.4,10月25日
054590EW元大,11513470,8423000,169,1.37,1.18,0.77,1.65,10月11日,0.69,10月19日
054591日盛5A,1699800,254000,59,6.69,6.49,6.7,7.65,10月3日,5.35,10月29日
054592第一4K,2095470,2728000,108,0.77,0.82,0.42,1.07,10月2日,0.38,10月29日
054593第一4L,357180,479000,8,0.75,0.72,0.57,0.84,10月5日,0.57,10月24日
054594凱基5J,15592330,9473000,353,1.65,1.53,0.85,2.22,10月5日,0.79,10月29日
054595凱基5K,1394610,2164000,118,0.64,0.75,0.38,1.47,10月2日,0.36,10月31日
054596大眾7R,586500,536000,36,1.09,1.07,0.59,1.3,10月1日,0.59,10月29日
054597大眾8R,4950,5000,1,0.99,0.99,0.99,0.99,10月1日,0.99,10月1日
054598大眾9R,1674710,3329000,43,0.5,0.56,0.09,1.02,10月3日,0.09,10月31日
054600大華2I,1007970,1519000,54,0.66,0.56,0.27,0.88,10月1日,0.27,10月31日
054601大華2J,1829320,1741000,81,1.05,0.84,0.23,1.79,10月2日,0.21,10月31日
054602群益JM,7683930,5383000,159,1.43,1.32,0.97,1.94,10月1日,0.77,10月29日
054603KT永豐,1128640,2051000,26,0.55,0.71,0.53,1.2,10月5日,0.47,10月26日
054604KU永豐,2374650,5161000,111,0.46,0.49,0.25,1.37,10月18日,0.21,10月31日
054605凱基5M,1343160,521000,64,2.58,2.67,2.95,3.21,10月3日,2.12,10月18日
054606凱基5N,332520,241000,10,1.38,1.4,1.4,1.82,10月8日,1.04,10月29日
054607凱基5Q,179620,527000,29,0.34,0.35,0.37,0.49,10月3日,0.24,10月11日
054609兆豐H6,1985770,4014000,138,0.49,0.55,0.41,0.69,10月1日,0.39,10月31日
054610兆豐H7,1370290,9466000,223,0.14,0.17,0.08,0.28,10月18日,0.07,10月31日
054611兆豐H8,3360510,2578000,92,1.3,1.16,0.79,1.75,10月2日,0.64,10月29日
054612兆豐H9,128010,187000,19,0.68,0.97,0.57,1.34,10月8日,0.57,10月30日
054613兆豐J1,626640,2370000,55,0.26,0.26,0.15,0.44,10月1日,0.15,10月31日
054614兆豐J2,737450,4475000,150,0.16,0.21,0.06,0.4,10月2日,0.04,10月30日
054615日盛5B,223570,551000,21,0.41,0.4,0.42,0.52,10月5日,0.3,10月25日
054616日盛5C,7488820,1615000,127,4.64,4.33,3.18,5.1,10月17日,2.92,10月29日
054617大華2K,15425930,4550000,58,3.39,3.37,3.21,3.7,10月29日,3,10月1日
054618大華2L,453590,1749000,27,0.26,0.3,0.21,0.47,10月3日,0.18,10月29日
054619中信F3,7395400,7056000,570,1.05,1.13,0.47,1.87,10月2日,0.34,10月29日
054620中信F4,54194100,2457000,162,22.06,21.61,21.3,24.1,10月5日,19,10月1日
054621凱基5R,984750,1070000,329,0.92,0.92,0.64,1.12,10月5日,0.64,10月31日
054622富邦JV,9519140,16052000,296,0.59,0.56,0.27,0.86,10月2日,0.27,10月31日
054623富邦JX,2222520,830000,22,2.68,2.5,2.03,3.02,10月18日,1.77,10月26日
054624富邦JY,64660,64000,5,1.01,1.02,0.9,1.13,10月1日,0.9,10月15日
054626富邦KA,8629830,9365000,335,0.92,0.97,0.31,1.55,10月2日,0.3,10月31日
054627富邦KB,611460,409000,24,1.5,1.43,1.35,1.65,10月16日,1.07,10月29日
054628富邦KD,2093960,4560000,155,0.46,0.41,0.08,0.67,10月8日,0.07,10月30日
054629富邦KE,792890,2655000,57,0.3,0.47,0.19,0.73,10月3日,0.16,10月30日
054630永昌GU,141820,103000,9,1.38,1.32,1.42,1.42,10月31日,1.22,10月25日
054631永昌GV,75010,58000,11,1.29,1.29,1.3,1.37,10月9日,1.19,10月12日
054632永昌GW,150910,103000,15,1.47,1.36,0.92,1.84,10月1日,0.71,10月29日
054633EZ元大,33618400,42682000,1411,0.79,0.78,0.58,1.05,10月3日,0.46,10月29日
