,民國101年08月,,,,,,,Aug-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
052969元富KQ,6622540,1981000,57,3.34,3.33,2.69,3.85,8月9日,2.69,8月29日
052970元富KS,643690,670000,19,0.96,0.86,0.78,1.04,8月1日,0.75,8月16日
052971元富KV,2706210,3220000,437,0.84,0.83,0.78,0.92,8月21日,0.65,8月3日
052972元富KW,1476050,2200000,87,0.67,0.66,0.66,0.75,8月14日,0.54,8月3日
052973元富KY,4524320,5082000,137,0.89,0.89,0.94,1.26,8月28日,0.62,8月7日
052974元富KZ,1457580,1573000,62,0.93,0.94,0.98,1.07,8月24日,0.82,8月3日
052975元富LA,906800,339000,21,2.67,2.56,2.68,2.8,8月16日,2.31,8月1日
052976國票HE,1268520,481000,37,2.64,2.43,2.98,3.04,8月27日,1.7,8月1日
052977CM永豐,330340,1084000,34,0.3,0.29,0.2,0.41,8月9日,0.19,8月29日
052978CN永豐,122140,106000,7,1.15,1.12,1.08,1.21,8月14日,1.05,8月3日
052979兆豐07,1353290,1497000,41,0.9,0.91,0.89,1.08,8月10日,0.73,8月30日
052980兆豐08,4936510,3783000,120,1.3,1.34,1.28,1.57,8月9日,1.2,8月20日
052981兆豐09,338690,299000,15,1.13,1.15,1.13,1.28,8月6日,1.06,8月20日
052982第一2K,420200,348000,8,1.21,1.23,1.15,1.32,8月10日,1.15,8月14日
052983第一2L,17320,17000,3,1.02,1.01,1.01,1.02,8月31日,1.01,8月31日
052984凱基KR,474900,1131000,30,0.42,0.35,0.1,0.52,8月14日,0.1,8月31日
052985凱基KT,4963480,2934000,69,1.69,1.71,1.51,2.07,8月10日,1.51,8月31日
052986富邦BC,1034120,609000,9,1.7,1.73,1.78,1.78,8月16日,1.66,8月1日
052987富邦BD,894130,675000,65,1.32,1.36,1.39,1.57,8月21日,1.03,8月3日
052988富邦BF,21600,15000,2,1.44,1.44,1.44,1.44,8月17日,1.44,8月17日
052990富邦BH,29031780,12280000,286,2.36,2.32,2.49,2.97,8月7日,1.85,8月13日
052991富邦BJ,4587940,2395000,71,1.92,1.93,1.56,2.37,8月8日,1.52,8月31日
052992富邦BK,2375290,1746000,78,1.36,1.31,1.32,1.55,8月8日,1.19,8月3日
052993富邦BL,430780,271000,18,1.59,1.61,1.53,1.8,8月16日,1.27,8月3日
052994富邦BM,707160,977000,21,0.72,0.71,0.66,0.8,8月22日,0.66,8月27日
052995富邦BN,63810,92000,20,0.69,0.7,0.67,0.78,8月14日,0.63,8月10日
052996統一BB,3746980,2274000,112,1.65,1.61,1.66,2,8月6日,1.23,8月13日
052997統一BC,1967990,1272000,24,1.55,1.5,1.69,1.77,8月24日,0.92,8月8日
052998統一BD,6758870,4691000,98,1.44,1.47,1.39,1.73,8月8日,1.31,8月30日
052999群益DB,2586430,4793000,289,0.54,0.59,0.32,0.84,8月14日,0.29,8月29日
053000群益DC,8747920,4341000,200,2.02,2,2.6,2.65,8月30日,1.27,8月1日
053001群益DD,1598150,1947000,46,0.82,0.83,0.67,1.03,8月17日,0.67,8月30日
053002群益DE,1311500,927000,57,1.41,1.44,1.17,1.72,8月16日,1.15,8月30日
053003元大H1,1491830,2408000,67,0.62,0.57,0.55,0.71,8月17日,0.49,8月1日
053004元大H2,702770,3762000,101,0.19,0.17,0.14,0.44,8月1日,0.1,8月20日
053005元大H5,1715200,2240000,53,0.77,0.72,0.62,0.87,8月1日,0.62,8月31日
053006元大H6,5408740,4292000,292,1.26,1.28,1.32,1.4,8月14日,1.09,8月3日
053007元大H7,3409090,3490000,342,0.98,0.87,0.55,1.28,8月17日,0.55,8月31日
053008元大H8,1728300,2491000,125,0.69,0.71,0.59,0.91,8月9日,0.59,8月30日
053009大華KQ,975410,541000,60,1.8,1.79,1.54,1.98,8月9日,1.48,8月30日
053010大華KR,681110,616000,54,1.11,1.11,1.06,1.4,8月27日,0.41,8月3日
053011大華KU,15146970,7975000,431,1.9,1.84,1.22,2.22,8月14日,1.19,8月29日
053012大華KV,708000,607000,18,1.17,1.05,1.21,1.23,8月24日,0.83,8月1日
053013大華KW,255770,674000,23,0.38,0.41,0.42,0.61,8月24日,0.26,8月6日
053014大華KX,2844520,1858000,33,1.53,1.51,1.63,1.63,8月31日,1.36,8月28日
053015大華KY,548260,702000,46,0.78,0.8,0.7,0.91,8月17日,0.66,8月8日
053016大華KZ,165680,290000,10,0.57,0.54,0.5,0.62,8月9日,0.5,8月13日
053017大華LA,2309290,1800000,74,1.28,1.35,1.23,1.62,8月27日,0.88,8月8日
053018大華LB,282000,470000,19,0.6,0.56,0.52,0.73,8月27日,0.52,8月31日
053019國泰51,6916570,5446000,156,1.27,1.24,1.45,1.61,8月17日,0.76,8月7日
053020國泰52,177210,95000,29,1.87,2.15,2.99,2.99,8月24日,1.53,8月1日
053021國泰53,12702230,25086000,592,0.51,0.48,0.39,0.63,8月9日,0.27,8月29日
053022國泰54,1326030,1658000,69,0.8,0.83,0.83,0.96,8月27日,0.7,8月6日
053023工銀C8,50650,46000,11,1.1,1.05,0.93,1.2,8月10日,0.93,8月30日
053024工銀C9,192520,194000,19,0.99,0.95,0.82,1.13,8月21日,0.8,8月7日
053025工銀D1,2350900,2538000,73,0.93,0.93,1,1.14,8月24日,0.73,8月3日
053026工銀D2,2204500,1280000,22,1.72,1.65,1.67,1.82,8月16日,1.56,8月13日
053027工銀D3,148280,249000,10,0.6,0.55,0.45,0.72,8月9日,0.45,8月31日
053028CS永豐,253400,190000,22,1.33,1.31,1.21,1.48,8月21日,1.01,8月1日
053029CT永豐,245480,300000,6,0.82,0.81,0.89,0.91,8月21日,0.66,8月1日
053030CU永豐,742920,606000,10,1.23,1.23,1.19,1.28,8月22日,1.19,8月31日
053031CV永豐,12566430,20382000,450,0.62,0.57,0.65,0.75,8月27日,0.38,8月7日
053032CW永豐,1867950,1885000,52,0.99,1.05,1.01,1.35,8月7日,0.84,8月13日
053033群益DF,2922850,832000,162,3.51,3.92,5.2,5.3,8月30日,2.3,8月1日
053034凱基KU,193200,260000,9,0.74,0.74,0.84,0.86,8月23日,0.6,8月3日
053035凱基KV,10145330,9994000,197,1.02,0.98,0.53,1.33,8月6日,0.53,8月31日
053036元富LK,43998280,12841000,854,3.43,3.68,4.99,5.25,8月24日,2.28,8月1日
053037元富LL,172157590,49786000,1788,3.46,3.56,4.81,4.98,8月30日,1.6,8月1日
053038元富LM,2183450,1436000,40,1.52,1.29,1.73,1.75,8月31日,0.83,8月3日
053039元富LN,2780310,1375000,55,2.02,2.13,2.09,2.93,8月1日,1.7,8月13日
053040元富LP,39080700,12478000,512,3.13,3.11,3.19,3.72,8月14日,2.45,8月3日
053041元富LQ,5370650,8071000,284,0.67,0.59,0.49,0.87,8月16日,0.45,8月30日
053042元富LR,9109880,7986000,694,1.14,1.07,1.14,1.82,8月28日,0.65,8月7日
053043元富LS,1528560,1408000,72,1.09,1.09,0.93,1.17,8月7日,0.92,8月31日
053044元富LT,3799970,2481000,37,1.53,1.5,1.42,1.65,8月21日,1.34,8月23日
053045康和GK,3274800,2121000,75,1.54,1.56,1.37,1.83,8月8日,1.3,8月29日
053046元大H9,11012080,12079000,232,0.91,0.92,0.98,1.12,8月27日,0.79,8月3日
053048大展K3,67790,91000,15,0.74,0.8,0.83,1.75,8月21日,0.49,8月8日
053051大展K6,487970,597000,61,0.82,0.84,0.79,0.97,8月27日,0.64,8月8日
053052大展K7,510850,312000,14,1.64,1.49,1.71,1.74,8月31日,1.34,8月10日
053053CZ永豐,612430,2293000,76,0.27,0.28,0.11,0.48,8月6日,0.1,8月29日
053054DA永豐,2350470,7055000,311,0.33,0.34,0.38,0.5,8月27日,0.21,8月8日
053055DB永豐,3218950,3197000,86,1.01,0.85,1.11,1.33,8月30日,0.56,8月1日
053056DC永豐,4754880,5244000,111,0.91,0.88,0.83,1.07,8月21日,0.76,8月29日
053057DG永豐,60210,61000,3,0.99,1.06,1.21,1.21,8月13日,0.98,8月3日
053058凱基KW,1832270,7583000,85,0.24,0.36,0.17,0.52,8月9日,0.16,8月28日
053059凱基KX,444800,2366000,410,0.19,0.12,0.07,0.36,8月1日,0.04,8月20日
053060凱基KY,1500470,1968000,82,0.76,0.78,0.48,1.1,8月1日,0.43,8月29日
053061凱基KZ,6629360,5424000,106,1.22,1.22,1.35,1.35,8月23日,1.08,8月3日
053062元富LC,272750,340000,14,0.8,0.8,0.86,0.87,8月30日,0.68,8月28日
053063元富LD,1697380,1676000,48,1.01,0.96,1.06,1.1,8月30日,0.77,8月22日
053064元富LE,217240,538000,14,0.4,0.42,0.45,0.48,8月14日,0.34,8月6日
053065元富LF,1002260,1830000,58,0.55,0.55,0.6,0.67,8月24日,0.47,8月14日
053066元富LG,925080,1806000,32,0.51,0.53,0.47,0.61,8月22日,0.44,8月1日
053067元富LH,5066800,13063000,309,0.39,0.33,0.21,0.54,8月9日,0.2,8月22日
053068元富LV,1279290,903000,39,1.42,1.38,1.52,1.81,8月9日,0.94,8月3日
053069日盛80,23050,100000,8,0.23,0.24,0.2,0.3,8月22日,0.19,8月6日
053070日盛82,2216440,1974000,70,1.12,1.16,1,1.32,8月21日,0.97,8月28日
053071日盛83,988880,757000,84,1.31,1.3,1.06,1.78,8月9日,1.02,8月31日
053072DH永豐,6085310,10951000,205,0.56,0.55,0.5,0.69,8月24日,0.42,8月1日
053073DI永豐,336760,297000,4,1.13,1.12,1.08,1.16,8月1日,1.08,8月6日
053075DK永豐,54640,42000,22,1.3,1.29,1.17,1.4,8月22日,1.17,8月29日
053076DL永豐,110200,75000,10,1.47,1.69,1.97,1.97,8月31日,1.29,8月1日
053077DM永豐,651310,1183000,98,0.55,0.54,0.48,0.65,8月14日,0.41,8月7日
053078DN永豐,457870,684000,39,0.67,0.7,0.67,0.81,8月16日,0.57,8月7日
053079元大I1,1823450,3008000,245,0.61,0.58,0.39,0.99,8月21日,0.35,8月29日
053080中信A4,3732050,1538000,55,2.43,2.24,1.9,2.9,8月17日,1.5,8月3日
053081中信A5,1129720,306000,34,3.69,3.71,4.01,4.2,8月21日,2.85,8月3日
053082國泰55,398420,747000,212,0.53,0.54,0.52,0.62,8月16日,0.45,8月6日
053083統一BE,213840,240000,28,0.89,0.9,0.98,1.02,8月30日,0.69,8月21日
053084元富LW,1391720,964000,40,1.44,1.31,1.52,1.56,8月31日,0.93,8月6日
053085元富LX,3764170,4280000,55,0.88,0.91,1.02,1.11,8月17日,0.68,8月3日
053086凱基LB,830130,1422000,65,0.58,0.62,0.43,0.92,8月10日,0.38,8月30日
053087凱基LD,18572170,11100000,286,1.67,1.71,1.89,2.18,8月21日,0.88,8月3日
053088元大J2,5620110,7809000,331,0.72,0.71,0.8,0.99,8月27日,0.47,8月8日
053089元大J3,572340,1521000,35,0.38,0.39,0.19,0.58,8月9日,0.18,8月30日
053090元大J4,924790,919000,20,1.01,0.98,0.87,1.06,8月21日,0.87,8月30日
053091元大J5,3759460,3904000,219,0.96,0.91,0.69,1.25,8月8日,0.68,8月31日
053092元大J6,1167410,688000,52,1.7,1.74,1.78,1.93,8月14日,1.49,8月3日
053093元大J7,12428800,10038000,403,1.24,1.27,1.41,1.64,8月21日,0.66,8月3日
053094大華LC,3810750,2448000,174,1.56,1.53,1.58,1.9,8月27日,1.19,8月6日
053095大華LD,2552550,2190000,45,1.17,1.07,0.94,1.25,8月15日,0.93,8月27日
053096兆豐10,410190,774000,7,0.53,0.51,0.55,0.55,8月16日,0.45,8月8日
053097兆豐11,309530,491000,32,0.63,0.58,0.47,0.76,8月1日,0.47,8月31日
053098兆豐12,2099630,2038000,39,1.03,1.05,0.99,1.25,8月21日,0.96,8月17日
053099兆豐13,9515880,14097000,507,0.68,0.66,0.74,0.87,8月1日,0.45,8月7日
053100兆豐14,2206770,1108000,35,1.99,1.96,2.01,2.26,8月13日,1.55,8月1日
053101兆豐15,2161040,3321000,105,0.65,0.61,0.51,0.75,8月16日,0.47,8月8日
053102兆豐16,24400,40000,3,0.61,0.61,0.62,0.69,8月21日,0.51,8月29日
053103兆豐17,4308130,4969000,92,0.87,0.84,0.88,1.07,8月27日,0.68,8月7日
053104兆豐18,2856320,1486000,23,1.92,2.07,2.23,2.23,8月21日,1.73,8月15日
053105兆豐19,450820,458000,35,0.98,1,0.66,1.35,8月17日,0.66,8月31日
053106兆豐20,9851710,9030000,174,1.09,1.07,1.19,1.35,8月6日,0.89,8月13日
053107富邦BS,2693050,1525000,19,1.77,1.79,1.44,2.1,8月1日,1.44,8月30日
053108富邦BT,3591810,4358000,58,0.82,0.75,0.81,0.89,8月14日,0.69,8月8日
053109富邦BU,970020,1506000,51,0.64,0.66,0.6,0.76,8月6日,0.58,8月28日
053110DT永豐,6570860,5599000,246,1.17,1.08,1.5,1.65,8月27日,0.73,8月7日
053111DU永豐,1716820,2498000,42,0.69,0.66,0.63,0.8,8月20日,0.53,8月1日
053112DV永豐,1164880,1025000,29,1.14,1.05,1.04,1.2,8月1日,0.68,8月20日
053113DW永豐,533940,530000,33,1.01,0.99,0.86,1.21,8月14日,0.86,8月29日
053114兆豐21,3676440,2929000,81,1.26,1.17,1,1.4,8月15日,1,8月31日
053115DX永豐,40970,31000,9,1.32,1.28,1.31,1.37,8月7日,1.14,8月3日
053116DY永豐,606460,496000,41,1.22,1.26,1.63,1.65,8月30日,0.9,8月1日
053117DZ永豐,756950,6364000,108,0.12,0.13,0.11,0.3,8月3日,0.09,8月22日
053118EA永豐,617460,759000,28,0.81,0.85,0.8,0.96,8月14日,0.7,8月3日
053120國票HG,1987460,11988000,254,0.17,0.15,0.13,0.4,8月1日,0.09,8月22日
053121元大K3,3389460,2341000,128,1.45,1.57,1.29,1.99,8月9日,1.26,8月22日
053122元大K4,4881400,2491000,172,1.96,2.07,2.17,2.55,8月27日,1.15,8月3日
053123元大K5,7657990,3170000,185,2.42,2.49,3.12,3.22,8月31日,1.83,8月3日
053124元大K6,35624620,40267000,756,0.88,0.88,0.83,1.03,8月22日,0.69,8月3日
053125元大K7,3377200,448000,76,7.54,8.29,10.8,10.8,8月29日,5.35,8月1日
053126元大K8,19869780,53233000,1438,0.37,0.37,0.36,0.79,8月1日,0.25,8月7日
053127元大K9,736300,946000,37,0.78,0.77,0.82,0.89,8月28日,0.66,8月6日
053128元大L1,9329410,10557000,342,0.88,0.83,0.74,1,8月17日,0.73,8月31日
053129凱基LE,4383260,3627000,87,1.21,1.15,0.81,1.45,8月9日,0.75,8月30日
053130凱基LF,5497710,5118000,127,1.07,0.99,0.62,1.29,8月10日,0.59,8月29日
053131凱基LG,17747900,17115000,541,1.04,1,1.14,1.24,8月27日,0.76,8月3日
053132凱基LH,6487890,1819000,55,3.57,3.88,3.27,4.73,8月9日,2.9,8月1日
053133富邦BW,8422280,5439000,423,1.55,1.48,1.76,1.84,8月24日,1.04,8月6日
053134富邦BX,13710910,10315000,408,1.33,1.36,1.32,1.64,8月17日,1.09,8月6日
053135群益DH,48759330,51015000,1046,0.96,0.92,0.99,1.31,8月17日,0.55,8月1日
053136群益DJ,20227440,4385000,198,4.61,4.51,4.4,4.98,8月23日,3.64,8月3日
053137群益DM,148220,110000,9,1.35,1.34,1.42,1.43,8月30日,1.21,8月1日
053138國泰63,6903630,5045000,101,1.37,1.46,1.54,1.7,8月21日,1.15,8月3日
053139國泰64,3446510,3228000,182,1.07,1.24,0.83,1.52,8月8日,0.78,8月31日
053140凱基LK,26221950,8390000,444,3.13,3.04,2.83,4.13,8月27日,1,8月3日
053141凱基LM,678730,774000,20,0.88,0.96,0.96,1.07,8月15日,0.83,8月3日
053142凱基LN,751130,581000,30,1.29,1.29,1.16,1.55,8月22日,1.04,8月1日
053143凱基LP,2038470,834000,88,2.44,2.35,2.38,2.68,8月21日,2.14,8月3日
053144凱基LQ,104800,200000,11,0.52,0.52,0.49,0.56,8月17日,0.49,8月20日
053145凱基LR,12210360,10032000,260,1.22,1.12,1.41,1.6,8月28日,0.87,8月15日
053146永昌EP,106090,83000,3,1.28,1.31,1.23,1.43,8月7日,1.23,8月27日
053148永昌ER,1270240,1385000,32,0.92,0.96,0.71,1.1,8月16日,0.69,8月31日
053149永昌ES,94300,202000,6,0.47,0.44,0.48,0.48,8月15日,0.4,8月6日
053150永昌ET,30940,38000,12,0.81,0.8,0.68,0.87,8月9日,0.67,8月29日
053151永昌EU,9760,7000,3,1.39,1.36,1.31,1.47,8月22日,1.31,8月31日
053152永昌EV,1784220,2223000,63,0.8,0.79,0.68,0.96,8月10日,0.61,8月29日
053153永昌EW,165120,398000,5,0.41,0.41,0.39,0.42,8月14日,0.39,8月22日
053155永昌EY,1859450,1914000,60,0.97,0.96,1.26,1.4,8月30日,0.73,8月6日
053156永昌EZ,217280,1814000,37,0.12,0.12,0.13,0.15,8月24日,0.09,8月3日
053157永昌FA,68600,100000,5,0.69,0.73,0.68,0.83,8月24日,0.64,8月15日
053159元大L2,1237270,1478000,88,0.84,0.9,0.68,1.14,8月14日,0.63,8月30日
053160元大L3,7909520,3564000,107,2.22,2.18,2.04,2.37,8月21日,2.01,8月1日
053161元大L4,851450,898000,41,0.95,0.94,0.84,1.03,8月1日,0.84,8月27日
053162元大L5,2654910,10965000,266,0.24,0.26,0.22,0.61,8月1日,0.17,8月20日
053163元大L6,1313300,787000,54,1.67,1.76,1.39,2.18,8月16日,1.39,8月31日
053164元大L7,1779710,1400000,56,1.27,1.32,1.18,1.51,8月9日,1.18,8月31日
053165元大L8,5219670,3887000,137,1.34,1.45,1.48,1.73,8月1日,1.2,8月6日
053166元大L9,8855890,4668000,180,1.9,1.97,2.05,2.56,8月17日,1.22,8月7日
053167元大M1,2212220,2179000,76,1.02,1.02,0.79,1.2,8月8日,0.78,8月31日
053168元大M2,347710,818000,39,0.43,0.44,0.48,0.48,8月31日,0.38,8月29日
053169元大M3,1608990,1907000,56,0.84,0.84,0.8,0.94,8月28日,0.72,8月7日
053170亞東29,3182540,5380000,228,0.59,0.6,0.69,0.77,8月24日,0.44,8月3日
053172亞東31,700720,1519000,66,0.46,0.43,0.35,0.53,8月14日,0.35,8月31日
053173富邦BY,1726750,707000,13,2.44,2.24,2.07,2.55,8月6日,1.91,8月1日
053174富邦BZ,997570,3371000,171,0.3,0.32,0.31,0.7,8月1日,0.22,8月8日
053175統一BF,2535440,2002000,74,1.27,1.6,2.18,2.2,8月29日,1.07,8月1日
053176統一BG,2535150,1731000,104,1.46,1.63,1.82,2.15,8月27日,0.65,8月3日
053177第一2M,3963560,2316000,121,1.71,1.76,1.7,1.86,8月16日,1.66,8月24日
053178第一2N,2686600,2253000,35,1.19,1.2,1.23,1.23,8月24日,1.15,8月14日
053179第一2P,160950,164000,12,0.98,0.97,1.03,1.17,8月28日,0.87,8月15日
053180第一2Q,58410,68000,11,0.86,0.87,0.87,1,8月24日,0.81,8月3日
053181第一2R,792600,1650000,33,0.48,0.47,0.45,0.59,8月20日,0.38,8月8日
053182第一2S,777460,786000,23,0.99,1.16,1.2,1.29,8月23日,0.91,8月1日
053183第一2T,507280,663000,12,0.77,0.77,0.67,0.86,8月17日,0.67,8月31日
053184EG永豐,1180170,2944000,116,0.4,0.47,0.52,0.57,8月27日,0.31,8月1日
053185EH永豐,1060870,1204000,42,0.88,0.85,0.81,0.98,8月20日,0.77,8月1日
053186EI永豐,1557430,1767000,78,0.88,0.83,0.77,1.02,8月8日,0.68,8月30日
053187EJ永豐,225960,286000,10,0.79,0.85,0.76,0.93,8月9日,0.73,8月29日
053188EK永豐,24840,36000,4,0.69,0.69,0.65,0.73,8月1日,0.65,8月17日
053189EL永豐,1802130,2666000,57,0.68,0.62,0.46,0.88,8月9日,0.46,8月31日
053190EM永豐,195320,1163000,24,0.17,0.16,0.16,0.2,8月24日,0.12,8月1日
053191EN永豐,2070900,2193000,37,0.94,0.93,1,1.07,8月17日,0.75,8月1日
053192元富LY,2612060,736000,65,3.55,3.52,3.35,4.06,8月21日,2.71,8月3日
053193元富LZ,2392840,2661000,65,0.9,0.83,0.82,1.02,8月27日,0.77,8月1日
053194元富MA,2633960,6296000,232,0.42,0.4,0.41,0.59,8月24日,0.24,8月7日
053195元富MB,3500830,1890000,80,1.85,1.79,1.74,1.98,8月24日,1.6,8月22日
053196元富MC,18788640,18214000,927,1.03,0.99,1.06,1.58,8月22日,0.55,8月3日
053197元富ME,3334670,1645000,74,2.03,2.04,2.12,2.25,8月14日,1.7,8月3日
053198元富MF,150600,160000,7,0.94,0.9,0.81,0.98,8月14日,0.81,8月24日
053199元富MG,43840,64000,4,0.68,0.68,0.57,0.72,8月13日,0.57,8月20日
053200大華LI,2247070,1331000,76,1.69,1.78,2.12,2.21,8月23日,1.43,8月3日
053201大華LJ,2183400,985000,77,2.22,2.13,2.27,2.84,8月27日,0.88,8月3日
053202大華LK,1440110,17854000,286,0.08,0.09,0.07,0.36,8月1日,0.05,8月22日
053203中信A6,846460,247000,26,3.43,3.34,3.15,3.78,8月16日,2.65,8月1日
053204兆豐23,2645040,1745000,155,1.52,1.33,1.81,1.83,8月30日,0.82,8月1日
053205兆豐24,4697980,7422000,145,0.63,0.63,0.71,0.79,8月24日,0.53,8月14日
053206兆豐25,1115400,1571000,92,0.71,0.71,0.49,0.87,8月6日,0.49,8月30日
053207兆豐26,1872960,2181000,33,0.86,0.89,1.03,1.08,8月23日,0.59,8月3日
053208兆豐27,3459860,4937000,75,0.7,0.68,0.51,0.85,8月9日,0.45,8月29日
053209兆豐28,789730,1441000,44,0.55,0.53,0.59,0.62,8月30日,0.44,8月13日
053210兆豐29,1164910,1920000,342,0.61,0.6,0.53,0.68,8月17日,0.48,8月1日
053211兆豐30,888330,2806000,42,0.32,0.39,0.25,0.56,8月17日,0.2,8月27日
053212兆豐31,8109420,14667000,504,0.55,0.55,0.54,0.62,8月22日,0.49,8月7日
053213兆豐32,2744960,2812000,80,0.98,0.98,0.8,1.11,8月23日,0.78,8月30日
053214兆豐33,3644780,2096000,90,1.74,1.86,1.82,2.09,8月9日,1.33,8月1日
053215兆豐34,1162280,1461000,27,0.8,0.85,1.06,1.06,8月28日,0.67,8月3日
053216元富MH,15241910,11674000,429,1.31,1.19,1.03,1.52,8月14日,0.92,8月7日
053217元富MK,12694580,5180000,171,2.45,2.39,2.11,2.65,8月9日,2.04,8月30日
053218EQ永豐,554180,608000,35,0.91,0.96,1.14,1.69,8月24日,0.63,8月17日
053219ER永豐,1295420,5104000,111,0.25,0.27,0.31,0.39,8月27日,0.17,8月9日
053220元大M5,3386700,3039000,85,1.11,1.07,0.93,1.3,8月10日,0.73,8月1日
053221元大M6,2228510,1074000,111,2.07,2.08,2.1,2.36,8月21日,1.89,8月3日
053222元大M7,3501320,7309000,309,0.48,0.46,0.36,0.98,8月3日,0.35,8月16日
053223元大M8,688910,383000,18,1.8,1.67,1.52,1.85,8月20日,1.52,8月30日
053224元大M9,9055480,15992000,611,0.57,0.65,0.45,0.9,8月15日,0.43,8月28日
053225元大N1,3235220,2406000,108,1.34,1.18,1.43,1.53,8月27日,0.6,8月16日
053226元大N2,3770000,2101000,105,1.79,1.79,1.4,2.05,8月14日,1.36,8月30日
053227康和GM,971600,1978000,347,0.49,0.49,0.37,0.65,8月1日,0.37,8月30日
053228國泰65,1253360,1505000,26,0.83,0.7,0.75,0.94,8月21日,0.57,8月8日
053229國泰66,8675740,10057000,275,0.86,0.82,0.93,1.06,8月21日,0.47,8月7日
053230工銀D6,7698900,5963000,342,1.29,1.29,1.37,1.55,8月27日,1.08,8月1日
053231工銀E2,8740,6000,5,1.46,1.48,1.33,1.58,8月23日,1.33,8月28日
053232工銀E3,558160,466000,11,1.2,1.16,1.13,1.27,8月17日,1.03,8月8日
053233工銀E4,2702550,2333000,69,1.16,1.13,1.07,1.42,8月27日,0.86,8月1日
053234工銀E5,2392520,3640000,67,0.66,0.62,0.64,0.83,8月16日,0.35,8月6日
053235工銀E6,2641950,1805000,88,1.46,1.38,1.3,1.64,8月21日,1.15,8月1日
053236工銀E7,1386120,2394000,74,0.58,0.6,0.58,0.68,8月21日,0.48,8月3日
053237工銀E8,12140,44000,4,0.28,0.26,0.23,0.55,8月1日,0.11,8月7日
053238工銀E9,4589790,3458000,140,1.33,1.37,1.09,1.54,8月9日,1.08,8月31日
053239工銀F1,2092840,1646000,100,1.27,1.23,1.31,1.5,8月24日,1.01,8月8日
053240工銀F2,24500,120000,7,0.2,0.19,0.2,0.22,8月17日,0.17,8月9日
053241富邦CA,30977090,25056000,627,1.24,1.22,0.98,1.63,8月9日,0.93,8月22日
053242富邦CB,19313590,10120000,258,1.91,1.89,1.95,2.38,8月27日,0.79,8月3日
053243富邦CC,2626220,926000,82,2.84,2.73,2.57,3.31,8月27日,2.36,8月8日
053244富邦CD,577790,384000,31,1.5,1.52,1.25,1.72,8月13日,1.25,8月31日
053245富邦CE,8877020,6293000,177,1.41,1.41,1.6,1.79,8月16日,0.99,8月1日
053246兆豐35,4398180,6738000,260,0.65,0.64,0.64,0.79,8月27日,0.53,8月8日
053247群益DP,1295070,1665000,54,0.78,0.78,0.8,0.9,8月28日,0.69,8月8日
053248群益DQ,3015320,2540000,84,1.19,1.24,1.24,1.5,8月14日,1.02,8月6日
053249群益DR,801490,1220000,92,0.66,0.66,0.62,0.75,8月22日,0.52,8月3日
053250群益DT,1352290,2102000,55,0.64,0.62,0.55,0.76,8月14日,0.46,8月8日
053251群益DU,12907050,3011000,98,4.29,4.12,4.34,4.58,8月10日,3.35,8月27日
053252群益DV,1773750,2019000,51,0.88,0.89,0.94,1.01,8月21日,0.78,8月3日
053253亞東32,88970,111000,13,0.8,0.74,0.67,0.92,8月8日,0.64,8月1日
053254亞東33,206000,200000,4,1.03,1.02,1.03,1.05,8月29日,1,8月28日
053255亞東34,4392840,3884000,139,1.13,1.27,2.01,2.01,8月30日,0.82,8月1日
053256亞東35,3365850,5654000,112,0.6,0.54,0.33,0.71,8月10日,0.28,8月28日
053257亞東36,1215860,882000,16,1.38,1.43,1.54,1.55,8月9日,1.31,8月8日
053258亞東37,12594600,10952000,260,1.15,1.14,1.1,1.27,8月14日,1,8月3日
053259亞東38,1312110,1145000,49,1.15,1.15,1.3,1.34,8月21日,0.97,8月1日
053260亞東39,4012400,12087000,210,0.33,0.32,0.29,0.41,8月24日,0.26,8月30日
053261富邦CF,2089120,1303000,51,1.6,1.54,2.26,2.32,8月30日,1.2,8月1日
053262富邦CG,4675250,3899000,61,1.2,1.31,0.85,1.75,8月9日,0.78,8月29日
053263富邦CH,798230,1805000,111,0.44,0.43,0.46,0.81,8月3日,0.32,8月8日
053264元富MM,970170,233000,46,4.16,4.15,4.06,4.65,8月21日,3.38,8月3日
053265元富MN,7383210,13496000,320,0.55,0.61,0.59,1.36,8月1日,0.39,8月20日
053266元富MP,1484670,2884000,129,0.51,0.57,0.56,1.29,8月1日,0.37,8月20日
053267元富MQ,1721750,1885000,67,0.91,0.91,0.63,1.19,8月9日,0.62,8月30日
053268第一2U,1633960,2702000,113,0.6,0.6,0.65,0.75,8月20日,0.5,8月7日
053269第一2V,1047310,1934000,25,0.54,0.51,0.29,0.57,8月7日,0.29,8月28日
053270EU永豐,2163470,14782000,341,0.15,0.14,0.14,0.33,8月1日,0.09,8月20日
053271大華LM,2809180,3878000,84,0.72,0.75,0.76,0.93,8月1日,0.6,8月6日
