,民國101年11月,,,,,,,Nov-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
055298國泰1M,350560,414000,28,0.85,0.92,1.61,1.61,11月30日,0.5,11月5日
055299群益NY,4141910,3017000,92,1.37,1.29,1.48,1.72,11月1日,0.93,11月20日
055300群益NZ,125630,351000,40,0.36,0.37,0.45,0.53,11月7日,0.24,11月16日
055301群益A1,902680,646000,22,1.4,1.31,1.23,1.55,11月2日,1.03,11月27日
055302NF永豐,12685640,14837000,553,0.86,0.83,0.92,1,11月29日,0.69,11月13日
055303NG永豐,294940,1153000,18,0.26,0.24,0.19,0.32,11月9日,0.16,11月13日
055304NH永豐,1167230,1357000,40,0.86,0.88,0.77,1.21,11月2日,0.7,11月19日
055305元富7X,1354560,4176000,90,0.32,0.35,0.35,0.43,11月23日,0.24,11月13日
055306元富7Y,972400,3017000,65,0.32,0.36,0.53,0.53,11月30日,0.24,11月22日
055307凱基9J,31553760,21316000,361,1.48,1.4,1.23,1.71,11月5日,1.1,11月28日
055308凱基9K,1579270,2209000,72,0.71,0.76,0.81,0.97,11月28日,0.51,11月5日
05530904富邦,94140,154000,24,0.61,0.55,0.43,0.7,11月1日,0.4,11月20日
05531006富邦,319950,720000,28,0.44,0.49,0.54,0.62,11月12日,0.34,11月6日
055311亞東83,5337710,11327000,391,0.47,0.47,0.55,0.6,11月2日,0.34,11月21日
055312中信J1,2229310,1996000,76,1.12,1.07,1.51,1.54,11月30日,0.72,11月6日
055313日盛7X,1455460,1665000,41,0.87,0.91,0.77,1.11,11月2日,0.75,11月21日
055314日盛7Y,124790,408000,8,0.31,0.31,0.34,0.34,11月30日,0.24,11月20日
055315JA元大,15997550,6486000,506,2.47,2.42,2.5,2.99,11月9日,2,11月21日
055316JB元大,6864240,6155000,252,1.12,1.08,1.55,1.55,11月30日,0.84,11月1日
055317統一EX,8651430,7590000,310,1.14,0.97,1.1,1.35,11月2日,0.65,11月20日
055318統一EY,2403230,1928000,96,1.25,1.21,1.47,1.51,11月1日,0.91,11月21日
055319統一EZ,1322640,1100000,37,1.2,1.15,1.06,1.36,11月9日,0.87,11月1日
055320統一FA,1902030,4192000,115,0.45,0.43,0.43,0.55,11月12日,0.34,11月21日
055321元富7Z,25972210,14185000,282,1.83,1.8,2.45,2.69,11月30日,1.04,11月1日
055322元富8A,26303650,8875000,356,2.96,3.03,4.2,4.72,11月30日,1.72,11月1日
055323元富8B,4525210,11667000,200,0.39,0.35,0.5,0.56,11月30日,0.2,11月22日
055324元富8C,1450490,767000,36,1.89,1.85,1.47,2.23,11月7日,1.45,11月22日
055325元富8E,20740850,14976000,481,1.38,1.37,1.2,1.68,11月5日,1.05,11月28日
05532607富邦,672340,723000,12,0.93,0.96,1.16,1.16,11月27日,0.8,11月5日
055327大華4V,189700,1180000,22,0.16,0.16,0.19,0.21,11月9日,0.11,11月21日
055328大華4X,1347710,1547000,38,0.87,0.86,0.96,0.98,11月30日,0.74,11月15日
055329國票LH,1066110,1501000,48,0.71,0.71,0.65,0.87,11月7日,0.54,11月19日
055330國票LI,1330900,1866000,88,0.71,0.71,0.82,0.93,11月2日,0.49,11月21日
055331日盛8A,33114720,31919000,874,1.04,1.04,1.08,1.38,11月9日,0.78,11月21日
055332日盛8B,3280360,13103000,231,0.25,0.23,0.26,0.32,11月29日,0.15,11月5日
055333日盛8C,4049530,2897000,112,1.4,1.46,2.39,2.39,11月30日,0.85,11月2日
055334工銀M1,1166210,1609000,430,0.72,0.81,0.9,1.3,11月9日,0.55,11月19日
055335工銀M2,1600900,1646000,38,0.97,0.94,0.8,1.18,11月5日,0.72,11月28日
055336群益A3,1699350,6178000,81,0.28,0.28,0.31,0.36,11月7日,0.21,11月22日
055337群益A4,1237120,2796000,77,0.44,0.44,0.75,0.75,11月30日,0.28,11月15日
055338永昌HL,642500,910000,18,0.71,0.67,0.63,0.83,11月8日,0.59,11月21日
055339永昌HM,4426970,7039000,116,0.63,0.58,0.81,0.84,11月30日,0.43,11月8日
055340永昌HN,93600,298000,4,0.31,0.32,0.3,0.36,11月7日,0.3,11月30日
055341永昌HP,28600,130000,4,0.22,0.23,0.25,0.25,11月23日,0.2,11月20日
055342永昌HQ,1163370,5292000,83,0.22,0.24,0.28,0.29,11月28日,0.17,11月21日
055343永昌HR,1140390,6973000,105,0.16,0.16,0.22,0.22,11月30日,0.1,11月22日
055345永昌HT,76000,200000,3,0.38,0.38,0.38,0.38,11月30日,0.38,11月30日
055346永昌HU,45960,249000,12,0.18,0.17,0.08,0.23,11月9日,0.08,11月22日
055347國泰1N,798860,5914000,131,0.14,0.15,0.13,0.28,11月2日,0.08,11月19日
055348凱基9M,40258720,61835000,1988,0.65,0.72,1.1,1.2,11月30日,0.3,11月5日
05534908富邦,3967290,3954000,124,1,0.98,1.13,1.22,11月29日,0.86,11月8日
05535012富邦,42764000,21395000,924,2,2.06,2.75,3,11月30日,1.21,11月1日
055351元富8F,2933990,4451000,102,0.66,0.69,0.72,0.8,11月7日,0.53,11月22日
055352元富8G,1250760,8259000,331,0.15,0.15,0.23,0.23,11月30日,0.06,11月22日
055353元富8H,1097190,2097000,528,0.52,0.52,0.47,0.78,11月9日,0.33,11月16日
055354元富8J,965980,4585000,97,0.21,0.22,0.39,0.4,11月30日,0.13,11月21日
055355元富8L,67590,436000,6,0.16,0.16,0.18,0.2,11月27日,0.11,11月22日
055356元富8N,2649670,1802000,282,1.47,1.47,1.47,1.71,11月12日,1.3,11月20日
055357康和KH,863240,1068000,16,0.81,0.84,0.98,1.08,11月9日,0.68,11月21日
055358康和KI,37914890,27709000,1252,1.37,1.36,2.38,2.65,11月30日,0.42,11月5日
055359日盛8D,2685870,2558000,37,1.05,1.13,1.06,1.58,11月1日,0.78,11月20日
055360日盛8E,750020,2067000,87,0.36,0.35,0.35,0.49,11月14日,0.27,11月6日
055361日盛8F,1604440,1167000,68,1.37,1.48,1.38,1.76,11月12日,1.12,11月19日
055362日盛8G,3350760,3701000,104,0.91,0.83,1.28,1.49,11月30日,0.55,11月15日
055363日盛8H,900960,1789000,121,0.5,0.51,0.93,0.93,11月30日,0.27,11月21日
055364中信J2,59257360,20644000,592,2.87,2.9,3.16,3.51,11月29日,2.38,11月21日
055365JE元大,1910840,6512000,176,0.29,0.31,0.31,0.46,11月9日,0.19,11月22日
055366JF元大,735920,2445000,77,0.3,0.29,0.39,0.42,11月30日,0.2,11月21日
055367統一FB,105050,120000,8,0.88,0.85,0.91,0.94,11月30日,0.78,11月23日
055368國泰1P,1253620,1425000,40,0.88,0.91,0.93,1.03,11月9日,0.82,11月16日
055369凱基9P,3904940,4751000,162,0.82,0.92,0.74,1.03,11月23日,0.71,11月30日
055370凱基9Q,411710,1577000,31,0.26,0.28,0.35,0.39,11月30日,0.23,11月27日
055371NJ永豐,1902170,5434000,134,0.35,0.27,0.42,0.44,11月30日,0.12,11月1日
055372NK永豐,367350,900000,40,0.41,0.41,0.45,0.5,11月29日,0.32,11月5日
055373NL永豐,1735130,4654000,235,0.37,0.37,0.48,0.55,11月28日,0.21,11月1日
055374大華4Y,1043470,6000000,125,0.17,0.19,0.27,0.28,11月30日,0.11,11月6日
055375國票LK,43010,84000,10,0.51,0.5,0.48,0.57,11月20日,0.46,11月21日
055376日盛8M,5024290,7679000,319,0.65,0.64,0.72,0.76,11月30日,0.53,11月13日
055377日盛8N,15466380,7757000,232,1.99,2.06,2.97,3.39,11月30日,1.06,11月1日
05537815富邦,65450,85000,14,0.77,0.84,0.83,1,11月1日,0.64,11月8日
055379中信J3,1080100,440000,8,2.45,2.17,2.65,2.77,11月30日,1.7,11月8日
055380中信J4,17192800,7755000,222,2.22,2.33,3.34,3.72,11月30日,1.28,11月1日
055381元富8P,2924980,1447000,116,2.02,1.97,2.32,2.35,11月2日,1.57,11月16日
055382JI元大,72500,370000,15,0.2,0.2,0.21,0.23,11月30日,0.16,11月23日
055383JJ元大,40013080,57858000,3091,0.69,0.72,1.11,1.23,11月30日,0.33,11月5日
055384JK元大,31074660,27613000,535,1.13,1.11,1.19,1.33,11月29日,0.88,11月5日
055385凱基9R,410880,998000,17,0.41,0.4,0.4,0.45,11月15日,0.34,11月13日
055386凱基9T,471450,779000,13,0.61,0.64,0.58,0.71,11月2日,0.58,11月28日
055387凱基9U,27237890,22672000,547,1.2,1.09,1.78,1.99,11月12日,0.41,11月5日
055388凱基9V,7916220,9297000,201,0.85,0.82,0.95,0.98,11月29日,0.63,11月6日
055389凱基9W,58720,349000,14,0.17,0.18,0.19,0.22,11月5日,0.13,11月15日
055390國泰1T,4761760,5266000,157,0.9,0.9,1.07,1.15,11月30日,0.65,11月1日
055391群益A7,62170,781000,57,0.08,0.08,0.02,0.19,11月9日,0.02,11月28日
055392群益A8,519690,458000,75,1.13,1.21,1.7,1.7,11月30日,0.89,11月22日
055393群益A9,23249760,15871000,658,1.46,1.46,1.33,1.77,11月5日,1.15,11月28日
055394群益B1,4441560,4883000,215,0.91,0.95,1.47,1.47,11月30日,0.69,11月21日
055395群益B3,58750,63000,7,0.93,0.87,0.82,1.06,11月2日,0.74,11月19日
055396群益B4,5215750,8574000,357,0.61,0.65,0.86,0.86,11月30日,0.49,11月16日
055397群益B5,48300,620000,24,0.08,0.07,0.05,0.14,11月1日,0.04,11月16日
055398群益B7,430410,2897000,64,0.15,0.16,0.14,0.26,11月9日,0.09,11月22日
055399群益B9,1863350,1174000,53,1.59,1.39,2.08,2.08,11月30日,0.96,11月1日
055400NR永豐,1835790,7008000,133,0.26,0.27,0.25,0.33,11月23日,0.19,11月12日
055401NS永豐,3276310,4493000,95,0.73,0.75,0.66,1.01,11月1日,0.57,11月23日
055402NT永豐,6772370,24727000,613,0.27,0.32,0.55,0.62,11月30日,0.09,11月5日
055403NU永豐,88030,407000,9,0.22,0.21,0.27,0.27,11月30日,0.15,11月14日
055404NV永豐,960490,2102000,60,0.46,0.43,0.35,0.59,11月7日,0.32,11月22日
055405永豐01,34850,1171000,96,0.03,0.03,0.03,0.05,11月9日,0.02,11月20日
055406日盛8Q,112890,180000,10,0.63,0.79,0.56,1,11月5日,0.56,11月22日
055407日盛8R,7443160,13113000,412,0.57,0.58,0.52,0.77,11月12日,0.41,11月22日
055408日盛8S,132790,1112000,18,0.12,0.12,0.13,0.14,11月9日,0.1,11月2日
055409大華4Z,466580,14397000,734,0.03,0.03,0.03,0.06,11月6日,0.01,11月22日
055410兆豐BY,157730,2408000,82,0.07,0.06,0.09,0.09,11月30日,0.04,11月19日
055412兆豐CA,16040,200000,6,0.08,0.09,0.07,0.1,11月8日,0.07,11月30日
055413兆豐CB,13350,70000,4,0.19,0.18,0.18,0.2,11月27日,0.15,11月1日
055414兆豐CC,2800,20000,2,0.14,0.14,0.15,0.15,11月23日,0.13,11月20日
055415兆豐CD,4153790,8664000,187,0.48,0.56,0.84,0.88,11月30日,0.3,11月1日
055416兆豐CE,202460,705000,14,0.29,0.29,0.26,0.31,11月1日,0.26,11月14日
055417兆豐CF,18000,70000,11,0.26,0.25,0.25,0.29,11月2日,0.21,11月1日
055418兆豐CG,248730,469000,23,0.53,0.53,0.6,0.64,11月30日,0.42,11月5日
055419兆豐CH,1006340,6530000,150,0.15,0.16,0.3,0.43,11月12日,0.06,11月7日
055420兆豐CK,43620,102000,12,0.43,0.44,0.47,0.6,11月5日,0.3,11月21日
055421工銀M3,1250,5000,1,0.25,0.25,0.25,0.25,11月26日,0.25,11月26日
05542216富邦,5154500,2453000,54,2.1,1.99,2.04,2.35,11月7日,1.73,11月23日
05542317富邦,434500,659000,34,0.66,0.64,0.47,0.78,11月2日,0.47,11月23日
05542418富邦,2383020,3500000,78,0.68,0.6,0.75,0.76,11月30日,0.48,11月14日
05542519富邦,16145660,24458000,317,0.66,0.64,0.64,0.77,11月8日,0.46,11月22日
05542621富邦,4467380,7653000,171,0.58,0.53,0.61,0.67,11月12日,0.35,11月1日
055427永豐02,487310,3108000,57,0.16,0.14,0.12,0.2,11月1日,0.09,11月22日
055428永豐03,9247170,16704000,600,0.55,0.55,0.51,0.71,11月12日,0.39,11月21日
055429永豐04,1412140,8313000,133,0.17,0.23,0.18,0.43,11月2日,0.06,11月27日
055430永豐05,235570,1455000,19,0.16,0.18,0.22,0.29,11月12日,0.1,11月1日
055431永豐06,3873400,3531000,95,1.1,1.1,1.28,1.38,11月28日,0.75,11月1日
055432永豐07,33960,193000,8,0.18,0.2,0.14,0.27,11月9日,0.14,11月19日
055433國泰1U,75550,115000,5,0.66,0.64,0.6,0.75,11月13日,0.55,11月27日
055434統一FD,253700,1159000,31,0.22,0.21,0.15,0.28,11月9日,0.12,11月26日
055435統一FE,1546460,1774000,110,0.87,0.87,0.81,1.17,11月9日,0.66,11月22日
055436凱基9X,6863270,10226000,359,0.67,0.66,0.73,0.79,11月30日,0.48,11月15日
055437凱基9Y,605240,934000,44,0.65,0.59,0.75,0.75,11月30日,0.34,11月1日
055438凱基9Z,2267820,4703000,202,0.48,0.49,0.6,0.63,11月30日,0.37,11月15日
055439A1凱基,140210,340000,32,0.41,0.44,0.44,0.56,11月28日,0.26,11月1日
055440A2凱基,1581570,2460000,43,0.64,0.67,0.66,0.84,11月12日,0.56,11月29日
055441JL元大,34806890,16257000,829,2.14,2.03,2.89,3.18,11月30日,1.16,11月1日
055442JM元大,9675560,13526000,409,0.72,0.72,0.81,0.96,11月2日,0.5,11月21日
055443日盛8V,701250,423000,47,1.66,1.53,1.68,2.14,11月1日,1.03,11月21日
055444日盛8W,50100,300000,9,0.17,0.16,0.18,0.19,11月30日,0.13,11月23日
055445日盛8X,6875580,9816000,205,0.7,0.92,1.59,1.8,11月30日,0.29,11月5日
055446日盛8Y,558660,3562000,78,0.16,0.15,0.14,0.23,11月15日,0.09,11月6日
055447日盛8Z,491770,1932000,62,0.25,0.25,0.35,0.35,11月30日,0.16,11月23日
055448大華5A,2457040,2228000,51,1.1,1.07,1.55,1.55,11月30日,0.57,11月5日
055450兆豐CN,777360,1540000,31,0.5,0.52,0.74,0.74,11月30日,0.27,11月1日
055451兆豐CP,43510,1941000,78,0.02,0.03,0.02,0.04,11月30日,0.01,11月20日
055452兆豐CQ,28390,1063000,49,0.03,0.03,0.04,0.05,11月9日,0.02,11月23日
055453永昌HV,345330,525000,15,0.66,0.77,0.68,0.85,11月2日,0.63,11月30日
055454永昌HW,66240,78000,5,0.85,0.84,0.93,0.93,11月23日,0.75,11月22日
055455永昌HX,347590,501000,21,0.69,0.66,0.74,0.74,11月30日,0.54,11月13日
055457永昌HZ,10100,14000,4,0.72,0.73,0.72,0.8,11月5日,0.7,11月16日
055459第一5F,11860,24000,7,0.49,0.5,0.47,0.66,11月9日,0.4,11月14日
055460第一5G,371110,2140000,41,0.17,0.21,0.27,0.27,11月30日,0.12,11月21日
055461第一5H,773100,1894000,65,0.41,0.4,0.59,0.82,11月30日,0.29,11月22日
055462第一5J,46120,88000,7,0.52,0.52,0.58,0.58,11月29日,0.45,11月22日
055463JQ元大,7782590,3838000,235,2.03,1.92,2.21,2.5,11月2日,1.4,11月16日
055464JR元大,374820,459000,50,0.82,0.81,1.14,1.14,11月30日,0.65,11月21日
055465JS元大,3117450,8256000,217,0.38,0.37,0.38,0.56,11月2日,0.24,11月20日
055466JT元大,16167740,19603000,596,0.82,0.74,1.26,1.8,11月13日,0.25,11月5日
05546723富邦,7262560,6514000,231,1.11,1.08,0.96,1.35,11月5日,0.83,11月28日
055468元富8R,44715770,29350000,351,1.52,1.62,2.65,2.65,11月30日,1.15,11月1日
055469元富8S,1274360,4404000,61,0.29,0.28,0.37,0.38,11月30日,0.19,11月13日
055470元富8T,1126650,1202000,40,0.94,0.92,1.06,1.17,11月1日,0.68,11月20日
055471元富8U,5296290,4270000,161,1.24,1.22,1.24,1.48,11月7日,0.99,11月28日
055472元富8V,1845860,3036000,78,0.61,0.66,0.59,0.82,11月7日,0.5,11月19日
055473永豐08,565530,1807000,72,0.31,0.27,0.34,0.38,11月30日,0.18,11月21日
055474國票LL,2193990,5189000,299,0.42,0.48,0.79,0.8,11月30日,0.29,11月21日
055475國票LM,1511660,1075000,38,1.41,1.54,1.38,2.02,11月7日,1.12,11月21日
055476國票LN,1625540,1808000,33,0.9,0.88,0.7,1.07,11月2日,0.67,11月21日
055477國票LP,421160,7554000,107,0.06,0.07,0.07,0.11,11月30日,0.04,11月14日
055478國票LR,131530,331000,55,0.4,0.39,0.5,0.55,11月30日,0.27,11月22日
055479日盛9A,455480,1887000,34,0.24,0.23,0.26,0.3,11月26日,0.2,11月13日
055480日盛9B,6710800,5985000,237,1.12,1.15,1.18,1.41,11月6日,0.89,11月1日
055481日盛9C,10640,69000,5,0.15,0.2,0.11,0.38,11月1日,0.11,11月28日
055482大華5C,2793780,3228000,130,0.87,0.85,0.85,1.01,11月9日,0.67,11月21日
055483大華5D,449420,1818000,26,0.25,0.25,0.28,0.36,11月2日,0.19,11月14日
055484A4凱基,23863170,15154000,399,1.57,1.6,1.87,1.95,11月29日,1.28,11月21日
055485A5凱基,1025910,3029000,90,0.34,0.34,0.45,0.45,11月30日,0.26,11月19日
055486A8凱基,5109900,10839000,275,0.47,0.39,0.36,0.72,11月9日,0.17,11月5日
055488B1凱基,3902230,6111000,194,0.64,0.61,0.59,0.88,11月13日,0.47,11月5日
055489B2凱基,711320,1303000,57,0.55,0.47,0.47,0.6,11月9日,0.38,11月22日
055490B3凱基,950420,888000,16,1.07,1.06,1.11,1.38,11月2日,0.9,11月22日
055491JX元大,8804950,3826000,208,2.3,2.4,2.97,2.99,11月30日,1.9,11月21日
055492JY元大,1775090,1217000,90,1.46,1.31,1.85,1.92,11月30日,1,11月22日
055493JZ元大,13284440,30210000,550,0.44,0.44,0.59,0.59,11月30日,0.28,11月22日
055494KA元大,4867680,4974000,132,0.98,0.93,1.02,1.08,11月29日,0.75,11月5日
055495KB元大,1063750,4500000,95,0.24,0.23,0.3,0.32,11月30日,0.16,11月22日
055496日盛9G,304840,2386000,33,0.13,0.12,0.07,0.25,11月9日,0.05,11月20日
055497日盛9H,49570810,63523000,3213,0.78,0.9,1.63,1.88,11月30日,0.23,11月5日
055498日盛9J,7268500,8414000,143,0.86,0.82,0.99,1.06,11月29日,0.59,11月1日
055499日盛9K,337420,1022000,13,0.33,0.31,0.36,0.36,11月30日,0.26,11月23日
055500日盛9L,165170,4412000,71,0.04,0.03,0.03,0.05,11月5日,0.02,11月23日
055501永豐10,2602490,5055000,86,0.51,0.51,0.58,0.6,11月2日,0.44,11月5日
055502永豐11,836410,2041000,121,0.41,0.42,0.42,0.57,11月12日,0.25,11月22日
055504永豐13,1370230,1437000,43,0.95,0.97,1.42,1.42,11月30日,0.75,11月16日
055505永豐14,216340,242000,5,0.89,1,1.27,1.27,11月30日,0.75,11月1日
055506永豐15,403730,1293000,37,0.31,0.29,0.55,0.56,11月30日,0.15,11月15日
055507永豐16,23240,145000,17,0.16,0.16,0.17,0.18,11月29日,0.13,11月22日
055508永豐17,403740,1274000,49,0.32,0.31,0.3,0.41,11月9日,0.22,11月1日
055509兆豐CS,2090000,4141000,163,0.5,0.43,0.61,0.73,11月30日,0.2,11月1日
055510兆豐CT,48270,398000,9,0.12,0.12,0.12,0.15,11月20日,0.11,11月22日
055511兆豐CU,66000,160000,4,0.41,0.42,0.43,0.43,11月12日,0.39,11月9日
055512兆豐CV,70640,695000,44,0.1,0.09,0.07,0.15,11月9日,0.05,11月22日
055514工銀M4,427400,2332000,41,0.18,0.21,0.24,0.31,11月12日,0.11,11月1日
055515工銀M6,24196460,23047000,710,1.05,0.97,1.4,1.58,11月30日,0.5,11月1日
055516工銀M7,260400,350000,13,0.74,0.71,0.58,0.81,11月12日,0.58,11月21日
055517工銀M8,470450,845000,17,0.56,0.54,0.51,0.59,11月16日,0.5,11月13日
05551826富邦,2880,18000,1,0.16,0.16,0.16,0.16,11月21日,0.16,11月21日
055519元富9C,11400,15000,2,0.76,0.75,0.78,0.78,11月12日,0.72,11月7日
055520KG元大,4250200,5100000,131,0.83,0.82,0.77,1.05,11月9日,0.61,11月1日
055521KH元大,878150,6343000,87,0.14,0.14,0.12,0.5,11月14日,0.09,11月21日
055522KI元大,1725030,3791000,157,0.46,0.43,0.44,0.53,11月2日,0.31,11月22日
055523KJ元大,3349570,5222000,277,0.64,0.68,0.95,1,11月29日,0.37,11月5日
055524KK元大,26710340,23061000,738,1.16,0.98,1.36,1.45,11月30日,0.68,11月6日
055525永豐19,383060,3644000,46,0.11,0.11,0.11,0.16,11月12日,0.07,11月19日
055526永豐20,506120,1224000,33,0.41,0.41,0.36,0.51,11月7日,0.33,11月16日
055527大眾2T,89600,1720000,33,0.05,0.05,0.03,0.09,11月7日,0.03,11月30日
055528大眾3T,36440,20000,4,1.82,1.81,1.79,1.87,11月27日,1.71,11月23日
055529B5凱基,1788480,2990000,60,0.6,0.63,0.6,0.78,11月6日,0.53,11月22日
055530B6凱基,185150,1057000,28,0.18,0.18,0.16,0.27,11月2日,0.1,11月21日
055531B7凱基,3555690,4353000,205,0.82,0.81,0.96,0.99,11月7日,0.7,11月22日
055532B8凱基,1000,2000,2,0.5,0.5,0.5,0.5,11月30日,0.5,11月30日
055533B9凱基,12618200,19587000,534,0.64,0.62,0.6,0.85,11月2日,0.36,11月22日
055534C1凱基,14765710,13293000,467,1.11,1.08,1.1,1.32,11月7日,0.87,11月1日
055535C2凱基,105034280,120085000,1831,0.87,0.93,0.75,1.34,11月2日,0.67,11月22日
055536C3凱基,17176670,14812000,436,1.16,1.09,1.42,1.51,11月30日,0.77,11月1日
055537C4凱基,1082400,2429000,70,0.45,0.43,0.75,0.75,11月30日,0.24,11月15日
055538C5凱基,75924070,21355000,614,3.56,3.84,5.8,5.8,11月30日,2.33,11月19日
055539中信J7,209150,88000,7,2.38,2.21,2.35,2.41,11月1日,2.01,11月22日
055540大華5E,328220,1752000,25,0.19,0.21,0.29,0.29,11月30日,0.1,11月21日
055541大華5F,498690,1220000,11,0.41,0.38,0.33,0.45,11月8日,0.33,11月22日
055543國票LT,374770,604000,30,0.62,0.62,0.65,0.7,11月29日,0.54,11月9日
055544國票LV,197090,262000,18,0.75,0.74,0.72,0.88,11月12日,0.6,11月1日
055545國票LW,234870,357000,27,0.66,0.68,0.9,0.9,11月29日,0.55,11月16日
055546國票LX,30870,83000,9,0.37,0.4,0.49,0.49,11月29日,0.33,11月16日
055547國票LY,35280,756000,9,0.05,0.06,0.03,0.08,11月1日,0.03,11月13日
055548日盛9M,9815480,6868000,168,1.43,1.42,1.72,1.89,11月2日,1.01,11月22日
055549日盛9N,9450,185000,9,0.05,0.05,0.05,0.08,11月2日,0.04,11月15日
055550統一FH,1696860,3595000,65,0.47,0.46,0.45,0.5,11月5日,0.42,11月16日
055551統一FJ,4992700,3709000,195,1.35,1.34,1.49,1.71,11月5日,1.05,11月16日
055552統一FK,1042680,777000,17,1.34,1.35,1.13,1.63,11月9日,1,11月1日
055553國泰1X,17267650,11736000,304,1.47,1.56,2.33,2.41,11月30日,1.17,11月21日
055554國泰1Y,51263320,26305000,449,1.95,2.26,3.5,3.5,11月30日,1.54,11月1日
055555國泰1Z,900840,4070000,103,0.22,0.2,0.19,0.35,11月9日,0.09,11月1日
055556兆豐DA,842390,1898000,88,0.44,0.45,0.52,0.56,11月2日,0.33,11月20日
055557兆豐DB,3669010,9988000,172,0.37,0.34,0.44,0.65,11月27日,0.23,11月22日
055558兆豐DC,17740,877000,40,0.02,0.02,0.02,0.03,11月7日,0.02,11月20日
055559元富9D,96020,151000,11,0.64,0.62,0.7,0.7,11月30日,0.44,11月20日
055560元富9E,260740,4752000,154,0.05,0.06,0.07,0.08,11月30日,0.03,11月29日
055561元富9F,27220,81000,3,0.34,0.36,0.34,0.42,11月12日,0.33,11月15日
055562C8凱基,16290,89000,11,0.18,0.2,0.24,0.25,11月30日,0.15,11月7日
055563C9凱基,3444240,4815000,135,0.72,0.71,0.62,0.99,11月1日,0.54,11月22日
055564D1凱基,291920,598000,14,0.49,0.48,0.54,0.54,11月30日,0.42,11月5日
055565KN元大,11253620,11560000,311,0.97,0.93,0.84,1.22,11月9日,0.73,11月22日
055566國泰2B,18106330,32481000,1569,0.56,0.54,0.81,0.88,11月30日,0.24,11月5日
055567國泰2C,11877490,10983000,476,1.08,1.03,1.22,1.32,11月9日,0.75,11月1日
055568永豐21,3437510,5603000,225,0.61,0.53,0.73,0.81,11月30日,0.37,11月5日
055569永豐22,725690,837000,48,0.87,0.79,0.8,1.03,11月7日,0.6,11月28日
055572永豐26,76040,132000,12,0.58,0.53,0.46,0.7,11月2日,0.38,11月28日
055573永豐27,2724930,6768000,120,0.4,0.37,0.32,0.51,11月9日,0.27,11月22日
055574日盛9T,112770,986000,60,0.11,0.11,0.13,0.27,11月27日,0.06,11月1日
055575大華5G,2548640,4281000,69,0.6,0.61,0.61,0.8,11月5日,0.51,11月22日
055576大華5H,6697590,9610000,168,0.7,0.71,1.18,1.19,11月30日,0.5,11月21日
055577中信J8,495560,327000,25,1.52,1.5,1.55,1.69,11月1日,1.25,11月21日
055578中信J9,1027120,1026000,20,1,0.91,1.15,1.21,11月8日,0.6,11月5日
055579永昌JB,179410,276000,29,0.65,0.64,0.68,0.74,11月7日,0.54,11月1日
055580永昌JC,20120,56000,4,0.36,0.35,0.42,0.42,11月29日,0.3,11月7日
055581永昌JD,63900,230000,7,0.28,0.27,0.29,0.3,11月9日,0.22,11月21日
055584永昌JG,35400,180000,3,0.2,0.21,0.17,0.25,11月9日,0.17,11月16日
055585永昌JH,39300,80000,4,0.49,0.47,0.45,0.51,11月12日,0.45,11月28日
055586永昌JJ,5397060,8601000,165,0.63,0.69,0.84,0.84,11月30日,0.51,11月21日
055587KQ元大,182100,320000,7,0.57,0.55,0.61,0.61,11月30日,0.47,11月1日
055588KR元大,7747780,12134000,284,0.64,0.67,0.74,0.78,11月28日,0.53,11月22日
055589KS元大,15513670,34471000,656,0.45,0.48,0.43,0.68,11月2日,0.3,11月22日
055590國泰2D,9560,33000,4,0.29,0.31,0.26,0.42,11月1日,0.24,11月23日
055591國泰2E,2956430,3217000,110,0.92,0.87,1.17,1.26,11月30日,0.57,11月6日
055593群益C8,298020,381000,13,0.78,0.73,0.66,0.88,11月5日,0.51,11月21日
055594群益C9,1396050,1728000,50,0.81,0.74,0.65,0.9,11月9日,0.54,11月20日
055595群益D1,3047140,2382000,116,1.28,1.23,1.14,1.48,11月7日,0.88,11月22日
055596群益D2,141960,887000,40,0.16,0.17,0.12,0.27,11月9日,0.09,11月21日
055597群益D3,37549780,23685000,679,1.59,1.7,3,4.86,11月26日,1.16,11月1日
055598群益D4,681060,8447000,228,0.08,0.08,0.05,0.16,11月2日,0.02,11月19日
055599永豐28,277770,1744000,43,0.16,0.15,0.16,0.2,11月2日,0.12,11月22日
055600永豐29,610210,653000,23,0.93,0.98,1.16,1.19,11月29日,0.85,11月22日
055601中信K1,491680,3106000,52,0.16,0.15,0.17,0.27,11月2日,0.07,11月20日
055602D2凱基,40720,184000,8,0.22,0.24,0.24,0.32,11月2日,0.2,11月23日
055603D3凱基,206400,943000,17,0.22,0.23,0.25,0.3,11月12日,0.11,11月1日
055604國票LZ,448580,506000,30,0.89,0.89,0.8,1.07,11月7日,0.63,11月22日
