,民國101年06月,,,,,,,Jun-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
6230  超眾,45065320,1813435,1017,24.85,25.13,25.75,25.9,6月21日,23.5,6月4日,2.1
6235  華孚,50960958,4487351,1957,11.36,11.27,11.3,12.4,6月1日,10.75,6月4日,3.17
6277  宏正,50789972,943663,739,53.82,53.83,54,55.8,6月7日,52.5,6月4日,0.79
8008  建興電,521125267,18160294,10780,28.7,28.59,28.95,29.8,6月14日,26.5,6月4日,2
8210  勤誠,185057394,5951813,3260,31.09,31.49,33.5,33.7,6月29日,28.55,6月4日,5.15
9912  偉聯,13231832,982241,694,13.47,12.09,13.7,14.8,6月28日,9.4,6月5日,2.13
26 光電業類,,,,,,,,,,,
Optoelectronic,,,,,,,,,,,
2323  中環,788372304,161455982,27125,4.88,4.89,5.12,5.13,6月27日,4.41,6月4日,5.78
2340  光磊,368571422,29737233,11815,12.39,12.34,12.7,13.1,6月18日,11.5,6月4日,5.65
2349  錸德,619044780,147621670,22991,4.19,4.18,4.25,4.4,6月21日,3.88,6月4日,5.58
