,民國101年05月,,,,,,,May-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1712  興農,237586146,18381788,5564,12.93,12.92,12.95,13.4,5月3日,12.55,5月21日,5.51
1713  國化,23705185,2127615,582,11.14,11.2,11.3,11.6,5月8日,10.7,5月18日,1.41
1714  和桐,449042615,26235895,8430,17.12,17.1,17.15,17.7,5月4日,16.3,5月24日,3.38
1717  長興,317963472,14135665,8620,22.49,22.56,22.5,23.9,5月3日,21.5,5月28日,1.42
1718  中纖,348641680,36705704,10649,9.5,9.45,9.25,10.6,5月3日,8.7,5月25日,2.6
1721  三晃,25673792,3172651,1297,8.09,7.94,7.78,8.99,5月8日,7.25,5月28日,4.31
1722  台肥,3592362754,51779094,29468,69.38,69.49,69.4,72.6,5月4日,65.1,5月28日,5.28
1723  中碳,1402867940,10405942,7973,134.81,134.57,134.5,140,5月3日,130,5月24日,4.39
1724  台硝,142020447,5940450,2756,23.91,23.72,23.5,24.9,5月2日,22.75,5月28日,4.65
1725  元禎,7161926,505605,374,14.17,14.3,13.5,15.3,5月3日,13,5月31日,0.28
1726  永記,182846270,3682097,2351,49.66,49.44,49.25,51,5月2日,48.4,5月28日,2.27
1727  中華化,70787089,3847217,1795,18.4,18.44,18,19.7,5月4日,17.35,5月28日,4.47
1730  花仙子,62228796,3518763,1341,17.68,17.68,17.55,18.05,5月4日,17.4,5月28日,6.58
1732  毛寶,8396509,605543,403,13.87,13.83,13.9,14.5,5月11日,13.2,5月21日,1.43
1735  日勝化,7182366,688295,312,10.44,10.43,10.4,10.8,5月8日,10.2,5月28日,0.75
1737  臺鹽,199087398,9625949,4607,20.68,20.66,20.55,21.7,5月4日,19.55,5月25日,3.46
1773  勝一,83879693,2150053,1155,39.01,39.22,39.05,39.9,5月10日,38,5月25日,1.61
4725  信昌化,1176860977,16958275,11986,69.4,69.26,72,72.8,5月4日,66,5月21日,5.81
4733  上緯,495310493,10434646,6607,47.47,45.29,44.55,53,5月4日,40.65,5月28日,14.44
22 生技醫療類,,,,,,,,,,,
Biotechnology & Medical Care,,,,,,,,,,,
1701  中化,401799434,22406282,9829,17.93,17.95,17.55,19.25,5月4日,16.75,5月28日,7.52
1707  葡萄王,1217754244,24446358,13656,49.81,49.4,52.3,52.9,5月31日,47.7,5月18日,18.77
1720  生達,108515652,4536890,2394,23.92,23.89,24.1,24.5,5月3日,23.05,5月22日,2.69
1729  必翔,645694183,19875507,9586,32.49,33.19,32.3,36.1,5月3日,30,5月16日,10.61
1731  美吾華,76809056,5936549,2447,12.94,12.77,13.15,13.55,5月7日,12.1,5月28日,4.49
1733  五鼎,2351739380,28995920,18087,81.11,82.07,75.1,86.9,5月8日,69.6,5月25日,30.35
1734  杏輝,200722218,8444701,4586,23.77,23.73,24.2,24.8,5月16日,22.7,5月28日,5.66
1736  喬山,649311283,9509819,6569,68.28,69.27,60.8,80.7,5月2日,58.5,5月28日,4.77
1762  中化生,353223836,6903010,4571,51.17,50.45,49.25,54.7,5月3日,47.1,5月23日,8.9
1789  神隆,1437259929,26938330,15350,53.35,52.19,51.6,57.4,5月3日,47.6,5月28日,4.27
3164  景岳,84574290,2213355,1564,38.21,38.11,39,42.3,5月3日,34.15,5月25日,4.21
3705  永信,123877511,3040319,1735,40.74,40.9,40.75,41.7,5月10日,40,5月21日,1.2
4104  佳醫,401803053,6838202,4787,58.76,58.41,58.6,61.4,5月7日,56.8,5月2日,6.64
4106  雃博,84839038,2685943,1729,31.59,31.31,31.4,32.8,5月2日,30.1,5月25日,3.22
4108  懷特,797222365,18834712,11187,42.33,41.16,42,45.4,5月7日,38.2,5月21日,15.79
4119  旭富,71872496,1321752,990,54.38,53.95,53.3,58,5月2日,50.6,5月31日,2.69
4133  亞諾法,99903744,2173225,1576,45.97,45.4,43.75,50.9,5月8日,42,5月23日,3.65
4141  F-龍燈,1779667732,21837816,13907,81.49,79.31,74.8,91.7,5月7日,70.1,5月21日,18.17
4142  國光生,1871472787,46846652,27200,39.95,37.93,35.2,44.95,5月8日,33.5,5月25日,25.44
4144  F-康聯,394554550,5604467,3797,70.4,69.34,65.1,81.3,5月2日,63.5,5月31日,8.01
4737  華廣,60588163,763390,556,79.37,79.72,81.5,84,5月29日,75.1,5月2日,1.74
4746  台耀,232813202,3476415,2508,66.97,67.27,64.5,71.8,5月2日,61.7,5月25日,5.18
23 油電燃氣類,,,,,,,,,,,
"Oil, Gas and Electricity",,,,,,,,,,,
2616  山隆,40716964,2172357,1261,18.74,18.76,18.7,19,5月11日,18.3,5月28日,1.92
6505  台塑化,3672157103,42896796,25423,85.6,85.95,81.5,92,5月3日,80.7,5月31日,0.45
8926  台汽電,651328568,31131052,12646,20.92,20.76,21,22.65,5月2日,19.65,5月24日,5.28
9908  大台北,104127066,5536894,2354,18.81,18.8,18.95,19,5月15日,18.55,5月18日,1.07
9918  欣天然,12885701,462551,312,27.86,28.05,27.25,29,5月4日,26.6,5月31日,0.26
9926  新海,26491187,718967,210,36.85,37.07,36.5,38,5月17日,36.3,5月9日,0.5
9931  欣高,5714297,260214,171,21.96,21.97,21.9,22.5,5月9日,21.5,5月21日,0.27
9937  全國,222027840,6591222,3295,33.69,33.85,33.25,34.8,5月7日,32.5,5月24日,2.13
24 半導體業類,,,,,,,,,,,
Semiconductor,,,,,,,,,,,
1437  勤益,49467698,3827698,1219,12.92,12.92,12.4,13.9,5月8日,12,5月25日,1.88
2302  麗正,6443052,1533030,710,4.2,4.12,3.92,4.47,5月4日,3.78,5月28日,0.96
2303  聯電,12282890902,887320323,134212,13.84,13.93,13.1,15.6,5月2日,12.4,5月24日,6.86
2311  日月光,13981486247,492537414,119081,28.39,28.47,28.25,30.4,5月3日,26.85,5月25日,7.4
2325  矽品,6503071453,199282767,64327,32.63,32.48,32.5,36.1,5月2日,29.1,5月28日,6.39
2329  華泰,32656693,7409524,2391,4.41,4.39,4.08,4.79,5月3日,4,5月25日,0.92
2330  台積電,79140387237,947974136,244948,83.48,83.94,85.1,89,5月3日,78.1,5月24日,3.66
2337  旺宏,3263477421,358643031,96590,9.1,9.08,8.61,10.3,5月4日,8.27,5月18日,10.57
2338  光罩,51499178,4647780,1404,11.08,11.07,11,11.5,5月3日,10.7,5月25日,1.71
2342  茂矽,111700131,29001282,8153,3.85,3.86,3.51,4.17,5月4日,3.51,5月31日,4.29
2344  華邦電,765473995,155939694,27608,4.91,4.8,4.77,5.36,5月8日,4.25,5月28日,4.23
2351  順德,129525626,5472077,2805,23.67,23.5,24,25,5月4日,22.4,5月28日,3.15
2363  矽統,153221387,15339568,6321,9.99,10.04,9.23,11.15,5月3日,8.8,5月28日,2.44
2369  菱生,753453955,44787047,18900,16.82,16.82,17.1,18.5,5月8日,14.55,5月25日,11.79
2379  瑞昱,7758896545,127776030,68888,60.72,60.38,59.4,67,5月4日,53.5,5月25日,25.96
2388  威盛,413001544,25404996,10913,16.26,16.16,15.55,17.6,5月2日,15,5月18日,3.7
2401  凌陽,233464181,24403690,7857,9.57,9.48,9.09,10.5,5月4日,8.7,5月24日,4.09
2425  承啟,200527131,7409949,3388,27.06,26.27,30.15,30.7,5月30日,21.3,5月15日,11.98
2434  統懋,21159371,3076561,1374,6.88,6.81,6.7,7.36,5月7日,6.2,5月21日,3.73
2436  偉詮電,245421425,17958226,8188,13.67,13.6,13.05,14.7,5月4日,12.9,5月25日,7.28
2441  超豐,111725894,4847016,2813,23.05,23.16,22.85,24.3,5月4日,21.5,5月28日,0.87
