,民國101年09月,,,,,,,Sep-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2395  研華,1143730635,10895659,7742,104.97,105,107,109,9月14日,99.5,9月6日,1.96
2397  友通,79019044,3312974,1353,23.85,23.85,23.4,24.45,9月12日,23.15,9月28日,2.88
2399  映泰,76420389,6034306,2113,12.66,12.65,12.55,12.95,9月24日,12.4,9月11日,3.39
2405  浩鑫,342105749,31062859,8523,11.01,10.77,11.1,12,9月25日,10.35,9月6日,16.34
2417  圓剛,147526020,8225999,4095,17.93,17.9,17.4,18.5,9月21日,17.3,9月28日,3.97
2424  隴華,20003744,1035878,621,19.31,17.81,21.2,21.7,9月27日,15.6,9月3日,3.45
2442  新美齊,43526622,6395274,2221,6.81,6.61,7.14,7.39,9月28日,6.34,9月6日,4.09
2465  麗臺,17311187,3413605,1406,5.07,5.03,5,5.32,9月14日,4.85,9月12日,3.19
2474  可成,50054694902,342566624,196052,146.12,145.88,138,156.5,9月5日,137,9月28日,45.63
3002  歐格,31582907,2863664,799,11.03,10.93,11.65,11.7,9月27日,10.6,9月11日,2.81
3005  神基,4068821813,187088942,64335,21.75,21.53,21,22.8,9月4日,20.55,9月10日,32.37
3013  晟銘電,1721327024,52977087,19869,32.49,32.14,31.1,34.15,9月4日,30.15,9月27日,28.61
3017  奇鋐,638767999,36914566,13465,17.3,16.98,15.25,18.3,9月7日,15.25,9月28日,10.45
3022  威達電,1325822914,24678618,12482,53.72,53.52,53.8,55.7,9月18日,51.9,9月27日,10.88
3046  建碁,7676334,1298038,636,5.91,5.94,5.83,6.22,9月3日,5.71,9月18日,0.83
3057  喬鼎,252402349,16309752,6210,15.48,15.38,15.25,16.1,9月18日,14.9,9月6日,10.8
3060  銘異,4426661535,50377911,30621,87.87,87.6,90.9,92.5,9月28日,84,9月4日,30.66
3231  緯創,6577830711,190681839,72337,34.5,34.47,35.2,36.2,9月24日,32.9,9月5日,8.68
3494  誠研,145395661,8571039,3002,16.96,16.88,16.7,18.05,9月24日,15.8,9月4日,6.2
3515  華擎,122913341,1155284,953,106.39,106.45,105.5,108.5,9月3日,105,9月13日,1
