,民國101年09月,,,,,,,Sep-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
054522元富4C,8950970,2360000,182,3.79,3.85,4.11,4.52,9月14日,3.27,9月6日
054523元富4E,6072910,4540000,170,1.34,1.3,1.44,1.45,9月28日,1.22,9月25日
054524元富4F,6581880,6999000,111,0.94,0.91,0.86,1.13,9月20日,0.83,9月26日
054525元富4G,43775740,40657000,1256,1.08,1.07,0.72,1.54,9月4日,0.69,9月27日
054526凱基5A,1563590,2900000,175,0.54,0.53,0.39,0.71,9月5日,0.38,9月28日
054527EP元大,11839400,10828000,275,1.09,1.19,1.53,1.83,9月20日,0.73,9月3日
054528EQ元大,880500,319000,8,2.76,2.75,2.79,2.99,9月17日,2.68,9月18日
054529ER元大,3686150,3729000,122,0.99,1.02,1.06,1.35,9月18日,0.77,9月10日
054530大華2A,1206850,1089000,34,1.11,1.09,0.94,1.5,9月18日,0.82,9月5日
054531大華2B,1190290,975000,41,1.22,1.21,1.22,1.39,9月19日,0.87,9月3日
054532大華2C,580440,481000,17,1.21,1.21,1.29,1.3,9月10日,1.1,9月17日
054533兆豐G5,1126610,7440000,119,0.15,0.17,0.2,0.22,9月17日,0.13,9月27日
054534兆豐G6,3060830,1672000,30,1.83,1.83,1.58,2.02,9月14日,1.58,9月28日
054535兆豐G7,39600,60000,2,0.66,0.66,0.69,0.69,9月21日,0.63,9月19日
054536兆豐G8,12934000,7997000,261,1.62,1.56,1.43,2.09,9月18日,1.27,9月6日
054537兆豐G9,1091500,1245000,41,0.88,0.86,0.95,1.12,9月24日,0.64,9月4日
054538兆豐H1,1017710,1670000,37,0.61,0.62,0.55,0.72,9月17日,0.55,9月28日
054539兆豐H2,2000350,3756000,81,0.53,0.51,0.48,0.6,9月19日,0.45,9月26日
054540第一4G,310510,145000,30,2.14,2.13,2.06,2.27,9月14日,1.94,9月28日
054542第一4J,2832770,1596000,74,1.77,1.7,1.45,1.95,9月11日,1.41,9月27日
054544元富4J,511770,261000,5,1.96,2.15,2.53,2.53,9月19日,1.91,9月3日
054545元富4K,610340,173000,28,3.53,3.43,3.61,3.77,9月13日,3.3,9月19日
054546兆豐H3,2101310,3133000,149,0.67,0.67,0.69,0.94,9月19日,0.47,9月6日
054547兆豐H4,6785610,5159000,168,1.32,1.33,1.19,1.49,9月17日,1.17,9月28日
054548KM永豐,1888300,5262000,155,0.36,0.39,0.25,0.57,9月4日,0.24,9月28日
054549KN永豐,72560,134000,6,0.54,0.53,0.5,0.55,9月6日,0.5,9月21日
054550KP永豐,14152860,9252000,389,1.53,1.41,1.62,1.82,9月19日,0.88,9月3日
054551國票KK,2853330,2225000,94,1.28,1.28,1.14,1.82,9月20日,0.99,9月5日
054552日盛4W,2954360,2709000,119,1.09,1.11,1.02,1.33,9月3日,1,9月24日
054553日盛4X,7571020,7071000,191,1.07,1.32,1.85,1.89,9月24日,0.85,9月4日
054554日盛4Y,8504700,2772000,185,3.07,3.06,2.65,3.42,9月3日,2.65,9月28日
054555富邦JL,106400,328000,9,0.32,0.38,0.3,0.56,9月17日,0.28,9月27日
054556富邦JM,615320,761000,57,0.81,0.8,0.75,0.94,9月14日,0.67,9月26日
054557富邦JN,2804060,2591000,60,1.08,1.04,1.01,1.17,9月18日,0.9,9月6日
054558工銀J3,2255030,1985000,97,1.14,1.17,1.13,1.52,9月19日,0.81,9月11日
054559工銀J4,2155090,2978000,69,0.72,0.73,0.69,0.91,9月20日,0.62,9月14日
054560工銀J5,5668860,2379000,136,2.38,2.51,2.28,3.61,9月14日,2.03,9月26日
054561工銀J6,1750700,1684000,78,1.04,1.06,0.86,1.26,9月18日,0.86,9月28日
054562凱基5E,1347050,590000,46,2.28,2.32,2.93,2.93,9月28日,1.68,9月5日
054563凱基5G,3586340,1629000,24,2.2,2.23,2.42,2.42,9月28日,2.13,9月25日
054564統一DU,798400,461000,20,1.73,1.89,2.11,2.11,9月28日,1.61,9月26日
054565國泰C8,655100,331000,26,1.98,1.96,2.23,2.23,9月27日,1.76,9月12日
054566KQ永豐,4302250,4261000,64,1.01,1.02,0.91,1.27,9月12日,0.87,9月18日
054567KR永豐,4714880,5581000,169,0.84,0.77,1.04,1.25,9月25日,0.62,9月13日
054568群益JI,25973620,15117000,247,1.72,1.61,2.11,2.38,9月24日,1.05,9月3日
054569群益JJ,5788890,5044000,345,1.15,1.12,0.89,1.47,9月4日,0.84,9月27日
054570群益JK,12103030,4984000,248,2.43,2.36,1.99,2.72,9月14日,1.86,9月26日
054571元富4M,142800,30000,1,4.76,4.76,4.76,4.76,9月26日,4.76,9月26日
054572富邦JP,2389720,693000,34,3.45,3.5,4.02,4.13,9月26日,2.88,9月5日
054573富邦JR,903690,543000,16,1.66,1.4,1.82,1.93,9月25日,1.01,9月10日
054574富邦JS,12560350,9748000,160,1.29,1.36,1.29,1.57,9月13日,1.2,9月18日
054575富邦JU,766510,722000,20,1.06,1.07,1.02,1.17,9月17日,1,9月20日
054576亞東64,632550,531000,41,1.19,1.21,1.38,1.4,9月10日,1.05,9月25日
054577亞東65,3463550,2541000,198,1.36,1.35,1.28,1.63,9月17日,1.16,9月6日
054578亞東66,871350,684000,9,1.27,1.19,0.99,1.32,9月19日,0.99,9月26日
054579亞東67,5881210,5716000,121,1.03,1.06,0.93,1.31,9月19日,0.79,9月6日
054580亞東68,582650,661000,31,0.88,0.86,0.78,1.09,9月20日,0.77,9月11日
054581亞東69,8327730,7468000,197,1.12,1.11,1.06,1.44,9月17日,0.97,9月6日
054582大華2D,4202520,1102000,157,3.81,3.69,2.63,4.37,9月14日,2.63,9月28日
054583大華2G,46920,11000,3,4.27,4.41,3.96,4.65,9月25日,3.96,9月26日
054584大華2H,1879330,744000,26,2.53,2.52,2.5,2.79,9月3日,2.36,9月11日
054585康和IW,1260170,324000,38,3.89,3.88,3.57,4.24,9月17日,3.57,9月28日
054586康和IX,11015870,6361000,267,1.73,1.79,1.87,2.37,9月19日,1.33,9月10日
054587康和JA,4275750,495000,89,8.64,9.21,7.95,12,9月14日,7.35,9月6日
054588中信F1,29562000,1394000,141,21.21,20.34,18.3,25.3,9月17日,15,9月3日
054589中信F2,1723800,129000,56,13.36,13.11,16.2,16.2,9月28日,10.6,9月6日
054590EW元大,4654670,3348000,65,1.39,1.42,1.35,1.67,9月13日,1.3,9月26日
054591日盛5A,4442600,558000,85,7.96,7.84,7.6,9.55,9月17日,6.8,9月6日
054592第一4K,129910,121000,11,1.07,1.16,1,1.33,9月20日,0.96,9月27日
054594凱基5J,3911230,2126000,113,1.84,1.73,1.86,2.14,9月14日,1.37,9月3日
054595凱基5K,1244340,942000,63,1.32,1.44,1.37,1.78,9月24日,1.12,9月12日
054596大眾7R,1728230,1572000,153,1.1,1.09,1.2,1.29,9月17日,0.99,9月26日
054597大眾8R,886650,607000,15,1.46,1.4,1.13,1.64,9月18日,1.13,9月26日
054598大眾9R,1709850,1544000,30,1.11,1.14,0.88,1.38,9月25日,0.87,9月27日
054599大眾1S,29050,35000,5,0.83,0.83,0.89,0.89,9月19日,0.74,9月7日
054600大華2I,4774180,6240000,126,0.77,0.73,0.91,0.94,9月24日,0.27,9月6日
054601大華2J,9373010,5562000,222,1.69,1.66,1.71,2.04,9月21日,1.32,9月12日
054602群益JM,8250380,4557000,166,1.81,1.56,2,2.38,9月25日,1.3,9月19日
054603KT永豐,548850,493000,23,1.11,1.07,1.1,1.2,9月19日,0.94,9月12日
054604KU永豐,1619930,2599000,76,0.62,0.64,0.49,0.83,9月17日,0.44,9月28日
054605凱基5M,1799910,604000,59,2.98,3.07,3.26,3.49,9月17日,2.57,9月6日
054606凱基5N,1781150,905000,18,1.97,1.94,1.78,2.12,9月12日,1.69,9月26日
054607凱基5Q,111200,175000,26,0.64,0.63,0.45,0.87,9月4日,0.45,9月28日
054609兆豐H6,1356150,1754000,96,0.77,0.76,0.7,0.85,9月17日,0.7,9月28日
054610兆豐H7,1031680,4697000,99,0.22,0.22,0.16,0.31,9月17日,0.15,9月27日
054611兆豐H8,12468530,7960000,294,1.57,1.62,1.55,1.97,9月11日,1.11,9月3日
054612兆豐H9,866890,770000,39,1.13,1.19,1.28,1.48,9月25日,0.86,9月3日
054613兆豐J1,6266360,17866000,268,0.35,0.37,0.45,0.47,9月26日,0.16,9月6日
054614兆豐J2,1996330,4704000,164,0.42,0.37,0.34,0.55,9月18日,0.23,9月6日
054615日盛5B,542440,676000,34,0.8,0.79,0.5,0.92,9月14日,0.46,9月27日
054616日盛5C,11190870,2029000,89,5.52,5.59,4.78,6.5,9月17日,4.78,9月28日
054617大華2K,7479450,1998000,62,3.74,3.77,2.96,4.31,9月14日,2.96,9月28日
054618大華2L,1541840,3109000,27,0.5,0.52,0.56,0.63,9月17日,0.42,9月6日
054619中信F3,10872600,6653000,528,1.63,1.75,1.61,2.46,9月18日,1.22,9月6日
054620中信F4,41309300,1750000,123,23.61,24.24,19,28.3,9月14日,18.2,9月28日
054621凱基5R,1710810,1456000,79,1.18,1.11,1.2,1.21,9月17日,0.98,9月11日
054622富邦JV,13195270,18255000,898,0.72,0.79,0.97,1.02,9月26日,0.3,9月6日
054623富邦JX,2869510,1669000,59,1.72,1.84,2.1,2.39,9月19日,1.3,9月5日
054624富邦JY,123980,94000,10,1.32,1.33,1.27,1.38,9月14日,1.27,9月21日
054625富邦JZ,426490,240000,9,1.78,1.8,1.8,1.87,9月3日,1.7,9月6日
054626富邦KA,5117880,2881000,172,1.78,1.72,1.48,2.03,9月13日,1.46,9月28日
054627富邦KB,3887990,2001000,88,1.94,1.83,1.4,2.1,9月19日,1.39,9月26日
054628富邦KD,11514850,16692000,482,0.69,0.65,0.56,0.88,9月3日,0.51,9月13日
054629富邦KE,2104970,2689000,100,0.78,0.78,0.62,1.03,9月18日,0.6,9月12日
054630永昌GU,125400,122000,24,1.03,1.08,1.46,1.48,9月26日,0.82,9月5日
054631永昌GV,392420,366000,19,1.07,1.08,1.19,1.19,9月12日,0.92,9月6日
054632永昌GW,1925180,1216000,60,1.58,1.51,1.68,1.88,9月27日,1.3,9月24日
054633EZ元大,28486260,24512000,957,1.16,1.2,0.94,1.55,9月4日,0.92,9月27日
054634第一4M,607420,876000,20,0.69,0.68,0.76,0.81,9月25日,0.62,9月10日
054635國票KN,2357780,907000,143,2.6,2.67,2.14,3.1,9月14日,2.07,9月28日
054636日盛5E,8430030,6631000,217,1.27,1.21,1.23,1.5,9月27日,1.01,9月26日
054637兆豐J3,28957140,47635000,1713,0.61,0.62,0.56,0.89,9月18日,0.41,9月6日
054638工銀J8,2718640,1568000,37,1.73,1.73,1.65,1.88,9月4日,1.61,9月13日
054639FA元大,4612830,4143000,194,1.11,1.09,1.19,1.57,9月21日,0.7,9月6日
054640FB元大,7035250,1168000,66,6.02,6.38,5.3,7.3,9月14日,5.25,9月28日
054641FC元大,12077670,32867000,928,0.37,0.36,0.3,0.48,9月18日,0.28,9月6日
054642群益JP,3170630,2702000,108,1.17,1.27,0.96,1.62,9月17日,0.92,9月27日
054643群益JQ,9916470,2256000,205,4.4,4.33,3.67,4.94,9月14日,3.6,9月28日
054644群益JS,283210,428000,38,0.66,0.73,0.45,0.9,9月7日,0.43,9月26日
054645群益JT,15366260,8427000,275,1.82,1.96,2.33,2.53,9月19日,1.3,9月6日
054646KV永豐,4705780,7794000,191,0.6,0.57,0.67,0.75,9月24日,0.44,9月11日
054647KW永豐,3030950,3038000,98,1,1.02,0.79,1.33,9月4日,0.75,9月12日
054648KX永豐,46800,35000,4,1.34,1.22,1.03,1.5,9月14日,1.03,9月28日
054649KY永豐,523870,640000,18,0.82,0.78,0.79,0.87,9月17日,0.73,9月17日
054650KZ永豐,5060,6000,6,0.84,0.83,0.8,0.87,9月20日,0.8,9月21日
054651LA永豐,153350,238000,6,0.64,0.63,0.62,0.68,9月14日,0.6,9月13日
054652LB永豐,145260,333000,21,0.44,0.43,0.5,0.5,9月28日,0.38,9月12日
054653LC永豐,2080140,2521000,53,0.83,0.86,1.1,1.1,9月28日,0.6,9月5日
054654凱基5S,1792920,2192000,67,0.82,0.88,0.79,1.07,9月17日,0.56,9月10日
054655凱基5T,4990560,6980000,272,0.71,0.69,0.73,0.98,9月21日,0.41,9月6日
054656凱基5U,322870,732000,42,0.44,0.4,0.35,0.52,9月21日,0.32,9月14日
054657凱基5V,43256050,13392000,439,3.23,3.21,2.75,3.76,9月13日,2.74,9月28日
054658凱基5W,1390120,910000,47,1.53,1.52,1.31,1.69,9月12日,1.31,9月28日
054659凱基5X,10093260,6551000,376,1.54,1.67,1.46,2.61,9月18日,1.02,9月6日
054660元富4P,17659220,10929000,323,1.62,1.7,2.18,2.55,9月24日,1.1,9月3日
054661元富4Q,7862590,6209000,531,1.27,1.31,1.33,1.48,9月14日,0.9,9月3日
054662元富4R,8903880,5758000,119,1.55,1.44,1.43,1.76,9月17日,1.06,9月5日
054663元富4V,4014510,8391000,214,0.48,0.49,0.38,0.68,9月21日,0.35,9月13日
054664日盛5G,5019400,4293000,119,1.17,1.18,0.89,1.57,9月5日,0.88,9月28日
054665日盛5H,3118050,3159000,121,0.99,0.99,0.99,1.44,9月21日,0.6,9月7日
054666大華2P,6138940,3431000,168,1.79,1.77,1.4,2.19,9月4日,1.36,9月27日
054667大華2Q,4013780,2581000,87,1.56,1.46,1.29,1.68,9月13日,1.26,9月3日
054668國票KQ,2019030,1633000,76,1.24,1.18,1.02,1.4,9月13日,1.02,9月28日
054669兆豐J8,1650530,1063000,70,1.55,1.68,1.7,1.98,9月17日,1.13,9月6日
054670兆豐J9,4537470,4346000,239,1.04,0.94,1.27,1.6,9月20日,0.53,9月3日
054671兆豐K1,639730,1108000,31,0.58,0.6,0.63,0.68,9月17日,0.54,9月6日
054672兆豐K2,1437930,1393000,87,1.03,1.08,1.22,1.43,9月19日,0.69,9月3日
054673兆豐K3,7155620,11240000,382,0.64,0.6,0.61,0.89,9月19日,0.4,9月10日
054674兆豐K4,1804870,2536000,127,0.71,0.78,0.86,0.95,9月19日,0.6,9月5日
054675兆豐K5,4384520,2004000,124,2.19,2.17,2.01,2.74,9月17日,1.77,9月6日
054676兆豐K6,269240,1000000,32,0.27,0.26,0.24,0.31,9月20日,0.23,9月14日
054677兆豐K7,1008000,3857000,109,0.26,0.26,0.24,0.3,9月14日,0.23,9月26日
054678兆豐K8,318410,348000,21,0.91,1,1.19,1.2,9月7日,0.86,9月5日
054679統一EA,2805780,3254000,126,0.86,0.78,0.69,0.98,9月18日,0.68,9月26日
054680統一EB,42640,45000,13,0.95,0.96,0.9,1.06,9月17日,0.85,9月5日
054681統一EC,2487730,2509000,47,0.99,1.03,1.08,1.3,9月18日,0.9,9月13日
054682富邦KH,1078920,719000,54,1.5,1.35,1.76,1.86,9月25日,1.14,9月13日
054683康和JC,3060110,1477000,37,2.07,2,2.08,2.31,9月17日,1.56,9月6日
054684康和JD,5379820,6068000,127,0.89,0.82,0.78,0.97,9月20日,0.74,9月17日
054685康和JE,1654280,954000,30,1.73,1.66,1.42,1.81,9月5日,1.42,9月27日
054687凱基5Y,2652940,2550000,72,1.04,1.22,1.21,1.5,9月19日,0.95,9月5日
054688FD元大,982480,1517000,69,0.65,0.6,0.53,0.73,9月14日,0.52,9月28日
054689FE元大,19843050,15948000,606,1.24,1.09,1.1,1.58,9月19日,0.74,9月6日
054690FF元大,1169160,1420000,69,0.82,0.76,0.91,0.92,9月28日,0.6,9月6日
054691FG元大,13520010,9045000,301,1.49,1.48,1.21,1.68,9月12日,1.16,9月28日
054692FI元大,40441690,29120000,1066,1.39,1.45,1.02,1.84,9月14日,0.92,9月28日
054693大華2S,286640,1173000,22,0.24,0.25,0.3,0.32,9月14日,0.21,9月5日
054694大華2T,1099320,1074000,28,1.02,1.02,0.97,1.07,9月20日,0.96,9月18日
054695大華2U,374250,525000,33,0.71,0.71,0.66,0.83,9月18日,0.62,9月24日
054696大華2V,970720,1359000,40,0.71,0.71,0.71,0.81,9月17日,0.63,9月25日
054697元富4W,35288650,8318000,140,4.24,4.19,3.48,4.72,9月14日,3.4,9月26日
054698元富4X,3728580,3297000,107,1.13,1.18,1.11,1.55,9月17日,0.84,9月5日
054699元富4Z,27330400,14954000,1043,1.83,1.82,1.68,2.56,9月18日,1.44,9月6日
054700元富5B,5626300,1991000,42,2.83,2.74,2.64,3.24,9月17日,2.4,9月6日
054702工銀J9,1708680,3501000,189,0.49,0.48,0.62,0.69,9月28日,0.34,9月6日
054703工銀K1,468970,1650000,35,0.28,0.31,0.37,0.4,9月28日,0.19,9月6日
054704富邦KK,31800,30000,1,1.06,1.06,1.06,1.06,9月3日,1.06,9月3日
054705富邦KM,2682470,2074000,79,1.29,1.25,1.11,1.81,9月18日,0.85,9月4日
054706富邦KN,3671230,3040000,98,1.21,1.19,1.2,1.57,9月18日,1.01,9月17日
054707大眾2S,1058440,1439000,51,0.74,0.72,0.81,0.92,9月24日,0.6,9月10日
054708LE永豐,604930,538000,30,1.12,1.06,0.91,1.21,9月13日,0.91,9月27日
054709LF永豐,274700,280000,6,0.98,0.89,1.2,1.24,9月17日,0.63,9月7日
054710LG永豐,81900,103000,3,0.8,0.72,0.8,0.8,9月28日,0.63,9月11日
054711LI永豐,887960,617000,38,1.44,1.43,1.34,1.62,9月25日,1.18,9月5日
054712LJ永豐,2414810,3268000,63,0.74,0.72,0.66,0.86,9月20日,0.63,9月17日
054713LK永豐,7251720,6790000,204,1.07,1.04,0.95,1.25,9月19日,0.92,9月28日
054714LL永豐,46430,22000,3,2.11,1.86,2.15,2.15,9月24日,1.63,9月3日
054715LM永豐,133500,80000,5,1.67,1.67,1.65,1.7,9月3日,1.62,9月3日
054716第一4P,278800,258000,22,1.08,1.03,1.03,1.31,9月19日,0.8,9月4日
054717元富5D,2169800,1845000,144,1.18,1.17,1.32,1.35,9月27日,1,9月20日
054718日盛5L,3952730,3142000,90,1.26,1.14,1.31,1.35,9月27日,0.97,9月21日
054719FK元大,2036290,3671000,85,0.55,0.54,0.47,0.64,9月17日,0.47,9月28日
054720FL元大,2843630,3902000,181,0.73,0.71,0.82,0.92,9月24日,0.58,9月11日
054721FM元大,29438020,18541000,870,1.59,1.62,1.45,2.48,9月18日,1.02,9月6日
054722FN元大,1096330,1734000,58,0.63,0.61,0.48,0.73,9月13日,0.48,9月28日
054723工銀K2,3274360,2087000,118,1.57,1.55,1.76,1.98,9月21日,1.21,9月10日
054724兆豐K9,17212500,18060000,779,0.95,0.99,0.83,1.52,9月4日,0.71,9月27日
054725富邦KQ,10143820,7306000,128,1.39,1.35,1.31,1.61,9月17日,1.14,9月6日
054726富邦KU,4714490,4507000,104,1.05,1,0.97,1.17,9月20日,0.9,9月17日
054727統一ED,1756750,1261000,40,1.39,1.49,1.4,1.78,9月19日,1.19,9月6日
054728統一EE,13642250,9783000,181,1.39,1.33,1.4,1.84,9月20日,0.83,9月5日
054729國泰D5,12141460,6347000,184,1.91,1.86,1.81,2.15,9月25日,1.47,9月3日
054730群益JW,974180,925000,38,1.05,1.01,0.85,1.13,9月12日,0.84,9月28日
054731群益JX,1207000,1073000,44,1.12,1.06,0.71,1.39,9月5日,0.69,9月27日
054732群益JY,4529530,4101000,138,1.1,1.22,1.26,1.67,9月19日,0.89,9月10日
054733群益JZ,4240080,4089000,117,1.04,0.99,0.87,1.13,9月17日,0.87,9月28日
054734群益KA,2357460,3244000,55,0.73,0.72,0.73,0.86,9月17日,0.56,9月5日
054735群益KB,14051150,3786000,340,3.71,3.96,3.74,5.5,9月19日,2.75,9月4日
054736群益KC,63800,30000,3,2.13,2.13,1.86,2.36,9月19日,1.86,9月26日
054737群益KF,9753880,2770000,83,3.52,3.28,3.48,3.83,9月20日,2.46,9月6日
054738LN永豐,1483040,1903000,330,0.78,0.76,0.63,0.88,9月18日,0.63,9月28日
054739LP永豐,2907020,3629000,98,0.8,0.75,0.84,0.89,9月27日,0.63,9月18日
054740元富5E,4269190,2199000,73,1.94,2,1.66,2.43,9月14日,1.66,9月28日
054741凱基6A,2557620,2655000,66,0.96,0.93,0.98,1.17,9月17日,0.74,9月6日
054742凱基6D,172700,290000,9,0.6,0.61,0.51,0.72,9月19日,0.51,9月27日
054743凱基6F,16048230,5744000,219,2.79,2.66,2.38,3.23,9月13日,2.28,9月26日
054744凱基6H,3770930,4614000,152,0.82,0.78,0.79,0.97,9月20日,0.65,9月17日
054745日盛5N,17711230,9286000,439,1.91,1.92,1.81,2.56,9月13日,1.34,9月6日
054746日盛5P,10175090,16714000,443,0.61,0.62,0.62,0.8,9月19日,0.44,9月6日
054747大華2X,185780,266000,14,0.7,0.68,0.77,0.77,9月26日,0.58,9月6日
054748大華2Y,1640140,1914000,77,0.86,0.84,0.86,1.05,9月20日,0.71,9月5日
054749大華2Z,645690,403000,46,1.6,1.68,1.87,1.87,9月25日,1.39,9月3日
054750FT元大,4147740,3836000,173,1.08,1.07,1.34,1.36,9月28日,0.83,9月6日
054751FU元大,4372420,2577000,154,1.7,1.67,1.54,2.03,9月21日,1.28,9月6日
054752FV元大,575560,1232000,38,0.47,0.48,0.54,0.58,9月20日,0.37,9月5日
054753FW元大,5782380,8897000,257,0.65,0.63,0.66,0.79,9月18日,0.55,9月26日
054754FX元大,21804020,13273000,589,1.64,1.66,1.27,2.02,9月14日,1.16,9月28日
054755FY元大,14580240,9815000,435,1.49,1.38,1.02,1.66,9月5日,0.95,9月26日
054756FZ元大,7024330,4831000,155,1.45,1.42,1.35,1.66,9月7日,1.22,9月3日
054757GA元大,1789230,1192000,61,1.5,1.46,1.33,1.65,9月13日,1.31,9月27日
054758GB元大,7614360,12703000,338,0.6,0.57,0.54,0.71,9月20日,0.5,9月17日
054759兆豐L1,111510,352000,21,0.32,0.3,0.24,0.41,9月3日,0.23,9月14日
054760工銀K4,4826630,2662000,57,1.81,1.88,1.9,2.09,9月10日,1.54,9月3日
054761亞東70,3663640,3518000,51,1.04,1.01,0.83,1.22,9月14日,0.83,9月28日
054762富邦KV,2751690,2749000,64,1,1,0.8,1.24,9月17日,0.8,9月28日
054763富邦KX,12267020,9313000,260,1.32,1.25,1.33,1.58,9月24日,1.11,9月13日
054764永昌GX,1825150,1440000,45,1.27,1.23,1.17,1.54,9月19日,0.85,9月12日
054765永昌GY,16600,20000,2,0.83,0.83,0.85,0.85,9月21日,0.81,9月20日
054766永昌GZ,362830,210000,14,1.73,1.88,1.81,2.12,9月11日,1.65,9月6日
054767康和JG,8510690,5722000,297,1.49,1.46,1.09,1.69,9月7日,1.07,9月27日
054768康和JI,4912950,2831000,143,1.74,1.75,1.35,2.25,9月4日,1.35,9月28日
054769康和JJ,5076110,3429000,87,1.48,1.48,1.22,1.78,9月14日,1.2,9月28日
054770康和JK,10357780,9199000,304,1.13,1.07,1,1.3,9月20日,0.93,9月17日
054771康和JL,2399440,2009000,46,1.19,1.18,0.98,1.49,9月14日,0.95,9月26日
054772國票KR,136190,161000,24,0.85,0.91,0.93,1.04,9月13日,0.74,9月6日
054773日盛5Q,36202910,8268000,608,4.38,4.42,3.25,5.75,9月14日,2.92,9月28日
054774日盛5R,4213990,2678000,90,1.57,1.58,1.45,1.72,9月12日,1.34,9月24日
054775日盛5S,4911630,6029000,195,0.81,0.8,0.75,0.92,9月25日,0.66,9月5日
054776LS永豐,1795440,1659000,54,1.08,1.05,0.76,1.26,9月5日,0.73,9月27日
054777LT永豐,635140,441000,11,1.44,1.33,1.52,1.71,9月20日,1.05,9月13日
054778LU永豐,3673910,2023000,126,1.82,1.76,1.37,2.2,9月14日,1.37,9月28日
054779工銀K5,1491100,1509000,43,0.99,0.97,0.88,1.14,9月5日,0.88,9月26日
054780凱基6J,8056340,5114000,134,1.58,1.57,1.83,2.03,9月19日,1.06,9月6日
054781凱基6L,8974980,4355000,103,2.06,2.17,2.74,2.76,9月28日,1.68,9月6日
054782凱基6M,1575060,801000,16,1.97,2,1.74,2.13,9月4日,1.74,9月27日
054783凱基6P,2136570,2863000,88,0.75,0.84,0.66,1.02,9月4日,0.66,9月28日
054784GE元大,4374810,2920000,217,1.5,1.36,1.52,1.75,9月24日,1.06,9月11日
054785GF元大,1889950,788000,76,2.4,2.34,3.1,3.1,9月28日,1.86,9月6日
054786GG元大,2547310,2149000,107,1.19,1.1,0.98,1.37,9月4日,0.97,9月27日
054787GH元大,2871490,1895000,112,1.52,1.5,1.43,1.71,9月3日,1.3,9月27日
054788富邦KY,81850,125000,8,0.65,0.65,0.74,0.74,9月28日,0.56,9月3日
054789富邦LA,16467910,8762000,581,1.88,1.82,1.32,2.48,9月4日,1.27,9月27日
054790富邦LB,6527460,4188000,209,1.56,1.53,1.43,1.87,9月7日,1.25,9月3日
054791富邦LC,2340750,1316000,157,1.78,1.78,1.67,2.04,9月25日,1.38,9月3日
054792富邦LD,805040,549000,25,1.47,1.34,1.05,1.56,9月4日,1.05,9月28日
054793富邦LE,7821270,7945000,185,0.98,0.94,0.82,1.12,9月3日,0.82,9月28日
054794富邦LF,7811970,4970000,106,1.57,1.51,1.31,1.78,9月13日,1.3,9月3日
054795富邦LG,1857730,722000,54,2.57,2.49,2.73,3.14,9月13日,1.32,9月3日
054796亞東71,987960,714000,34,1.38,1.66,1.69,2,9月14日,1.2,9月3日
054797亞東72,333320,259000,5,1.29,1.28,1.28,1.35,9月19日,1.17,9月14日
054798亞東73,2426230,2142000,178,1.13,1.13,1.08,1.4,9月24日,0.93,9月12日
054799兆豐L3,572280,373000,43,1.53,1.5,0.94,1.87,9月11日,0.94,9月28日
054800兆豐L4,528030,986000,49,0.54,0.56,0.61,0.84,9月3日,0.42,9月6日
054801兆豐L5,7874400,5538000,142,1.42,1.33,1.28,1.65,9月14日,1.11,9月26日
054802兆豐L6,14556600,11275000,252,1.29,1.2,1.52,1.77,9月24日,0.8,9月6日
054803兆豐L7,1960950,4977000,69,0.39,0.41,0.47,0.49,9月28日,0.36,9月24日
054804兆豐L8,1113850,3504000,71,0.32,0.32,0.27,0.49,9月17日,0.24,9月11日
054805兆豐L9,138380,383000,28,0.36,0.38,0.32,0.52,9月12日,0.3,9月28日
054806兆豐M1,2266650,2389000,114,0.95,0.81,0.85,1.24,9月20日,0.44,9月6日
054807兆豐M2,7720,16000,2,0.48,0.49,0.46,0.52,9月14日,0.46,9月25日
054808兆豐M3,390650,462000,19,0.85,0.86,0.97,1.02,9月14日,0.72,9月6日
054809第一4Q,526670,1073000,22,0.49,0.48,0.6,0.6,9月28日,0.35,9月5日
054810第一4R,208580,252000,15,0.83,0.87,1.04,1.04,9月19日,0.75,9月5日
054811國泰D7,6062510,4409000,119,1.38,1.3,1.18,1.75,9月17日,1.13,9月26日
054812大華3A,8993600,10432000,236,0.86,0.83,0.76,1.17,9月18日,0.72,9月26日
054813大華3B,1748000,2242000,48,0.78,0.8,0.75,0.95,9月14日,0.67,9月26日
054814日盛5U,3552130,2579000,277,1.38,1.35,1.22,1.57,9月3日,1.2,9月11日
054815日盛5V,77621430,35837000,1417,2.17,2.6,2.36,3.88,9月21日,1.62,9月4日
054816群益KG,9973020,5496000,163,1.81,1.84,1.79,2.07,9月25日,1.38,9月3日
054817群益KH,38223260,8935000,651,4.28,4.88,4.65,6.6,9月18日,3.52,9月6日
054818群益KI,334880,389000,13,0.86,0.86,0.81,0.97,9月17日,0.73,9月13日
