,民國101年04月,,,,,,,Apr-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
049062統一79,4622050,4026000,202,1.15,0.94,0.3,2.07,4月2日,0.24,4月27日
049063統一80,306820,408000,9,0.75,0.71,0.61,0.77,4月13日,0.61,4月30日
049065統一82,1229070,1971000,42,0.62,0.56,0.36,0.7,4月6日,0.36,4月23日
049066統一83,1595150,2058000,76,0.78,0.67,0.34,1.12,4月2日,0.29,4月24日
049067寶來49,958570,1320000,37,0.73,0.67,0.49,0.9,4月6日,0.49,4月27日
049068寶來50,386320,902000,41,0.43,0.41,0.33,0.63,4月2日,0.28,4月27日
049069寶來52,6945740,9055000,336,0.77,0.76,0.58,1.55,4月2日,0.39,4月30日
049070寶來53,2043920,2128000,105,0.96,1.03,0.45,1.62,4月3日,0.44,4月27日
049071寶來54,2707040,5486000,135,0.49,0.45,0.32,0.81,4月2日,0.3,4月30日
049072寶來55,2070890,3524000,129,0.59,0.48,0.34,0.9,4月3日,0.32,4月27日
049073寶來56,2885970,4884000,117,0.59,0.64,0.32,0.96,4月13日,0.29,4月30日
049074寶來57,87120,198000,2,0.44,0.44,0.44,0.44,4月3日,0.44,4月3日
049075寶來58,1761920,3160000,152,0.56,0.55,0.52,0.77,4月3日,0.42,4月27日
049076寶來59,475460,1756000,72,0.27,0.3,0.23,0.65,4月2日,0.15,4月27日
049077寶來60,6098250,7939000,336,0.77,0.7,0.42,0.95,4月13日,0.41,4月30日
049078寶來61,54220,283000,11,0.19,0.18,0.1,0.24,4月2日,0.1,4月20日
049079寶來62,310850,1967000,40,0.16,0.27,0.1,0.56,4月2日,0.1,4月30日
049080寶來63,1726640,2795000,89,0.62,0.62,0.58,0.83,4月2日,0.49,4月9日
049081寶來64,1744430,5445000,163,0.32,0.29,0.2,0.52,4月2日,0.18,4月24日
049082寶來65,391170,4428000,153,0.09,0.09,0.02,0.16,4月3日,0.02,4月30日
049083寶來66,7550,20000,3,0.38,0.38,0.35,0.41,4月2日,0.35,4月3日
049084寶來67,2848720,2634000,105,1.08,1.1,0.65,1.43,4月2日,0.65,4月30日
049085寶來68,82300,210000,10,0.39,0.39,0.29,0.5,4月6日,0.29,4月23日
049086寶來69,4852970,9349000,362,0.52,0.53,0.38,0.98,4月13日,0.31,4月30日
049087寶來70,9043130,6591000,292,1.37,1.36,1.15,1.74,4月2日,0.97,4月23日
049088寶來71,1063890,1265000,34,0.84,1.02,0.68,1.29,4月2日,0.64,4月24日
049089寶來72,5379770,9532000,304,0.56,0.5,0.25,0.87,4月2日,0.24,4月30日
049090寶來73,2515930,5094000,148,0.49,0.46,0.23,0.65,4月13日,0.22,4月30日
049091寶來74,993160,854000,46,1.16,1.06,1.1,1.41,4月13日,0.85,4月11日
049092寶來75,857850,2194000,161,0.39,0.37,0.3,0.69,4月2日,0.26,4月23日
049093寶來76,3148630,10714000,364,0.29,0.28,0.09,0.41,4月2日,0.09,4月30日
049094凱基58,9736200,5813000,283,1.67,1.66,1.31,2.11,4月10日,1.3,4月24日
049095凱基60,15918760,39777000,867,0.4,0.35,0.14,0.58,4月13日,0.14,4月30日
049096凱基61,925590,556000,38,1.66,1.64,0.97,1.99,4月16日,0.97,4月26日
049097凱基62,6177000,4778000,248,1.29,1.23,0.61,1.75,4月2日,0.38,4月30日
049098凱基66,366190,4158000,102,0.09,0.11,0.03,0.2,4月17日,0.03,4月27日
049099凱基67,4681000,4125000,164,1.13,1.08,1.07,1.35,4月13日,0.71,4月5日
049100凱基68,27942620,32063000,1313,0.87,0.9,0.25,1.75,4月2日,0.21,4月30日
049101凱基69,13545410,17642000,441,0.77,0.76,0.35,1.04,4月13日,0.35,4月30日
0491027V元大,1762830,3221000,174,0.55,0.54,0.4,0.88,4月16日,0.37,4月5日
0491037W元大,49217490,74458000,1960,0.66,0.68,0.39,0.99,4月16日,0.31,4月30日
0491047X元大,8560280,7892000,570,1.08,1.09,0.43,1.87,4月2日,0.42,4月30日
0491057Y元大,2506750,6335000,155,0.4,0.33,0.15,0.55,4月3日,0.15,4月30日
0491078A元大,403150,704000,35,0.57,0.56,0.71,0.71,4月30日,0.47,4月6日
0491083Q富邦,196780,237000,32,0.83,0.78,0.38,0.98,4月6日,0.38,4月30日
0491093R富邦,3372420,5389000,189,0.63,0.58,0.35,0.84,4月13日,0.33,4月27日
0491103T富邦,844300,1630000,36,0.52,0.53,0.46,0.69,4月3日,0.46,4月17日
0491113U富邦,24760,121000,7,0.2,0.2,0.18,0.22,4月16日,0.18,4月30日
0491123V富邦,635400,872000,43,0.73,0.73,0.65,0.83,4月3日,0.57,4月5日
049113永豐MA,708630,4226000,105,0.17,0.16,0.11,0.34,4月2日,0.09,4月23日
049114永豐MB,3273900,18313000,381,0.18,0.18,0.09,0.3,4月10日,0.07,4月30日
049115永豐MC,245540,1163000,32,0.21,0.24,0.15,0.38,4月3日,0.11,4月23日
049116永豐MD,881270,7854000,184,0.11,0.11,0.05,0.17,4月2日,0.05,4月30日
049117永豐ME,63720,187000,7,0.34,0.34,0.25,0.46,4月3日,0.25,4月25日
049118永豐MF,90830,860000,30,0.11,0.09,0.04,0.21,4月2日,0.03,4月26日
049119永豐MG,198060,1229000,34,0.16,0.14,0.15,0.19,4月2日,0.1,4月23日
049120永豐MH,321400,2154000,46,0.15,0.17,0.08,0.25,4月13日,0.08,4月30日
049121永豐MI,594980,1776000,32,0.34,0.34,0.29,0.51,4月13日,0.21,4月24日
049122永豐MJ,1744590,2853000,81,0.61,0.6,0.44,0.73,4月11日,0.37,4月5日
049123永豐MK,3341350,15802000,387,0.21,0.25,0.08,0.61,4月2日,0.06,4月27日
049124永豐ML,247220,1398000,38,0.18,0.18,0.1,0.28,4月2日,0.1,4月30日
049125永豐MM,1687090,9731000,179,0.17,0.18,0.13,0.32,4月2日,0.12,4月30日
049126永豐MN,255450,3646000,70,0.07,0.09,0.04,0.21,4月2日,0.04,4月27日
049127永豐MP,35970,209000,17,0.17,0.16,0.06,0.31,4月2日,0.06,4月30日
049128永豐MQ,2237310,7057000,204,0.32,0.29,0.15,0.49,4月2日,0.15,4月30日
049129永豐MR,775860,11400000,749,0.07,0.07,0.05,0.12,4月3日,0.03,4月27日
049130日盛HF,1565620,2092000,76,0.75,0.79,0.57,1.45,4月27日,0.55,4月24日
049131日盛HG,709600,1326000,43,0.54,0.48,0.36,0.67,4月6日,0.32,4月23日
049132日盛HH,29170290,29401000,933,0.99,1.65,0.56,4.05,4月2日,0.4,4月30日
049133日盛HJ,913750,790000,49,1.16,1.25,0.88,1.6,4月13日,0.77,4月30日
049134凱基35,7479950,21946000,668,0.34,0.32,0.2,0.72,4月2日,0.15,4月27日
049135凱基36,357120,801000,311,0.45,0.53,0.37,0.67,4月2日,0.37,4月25日
049136凱基37,2828500,1143000,81,2.47,2.24,2.58,2.73,4月27日,1.7,4月5日
049137凱基39,5616950,13471000,272,0.42,0.4,0.25,0.65,4月2日,0.25,4月27日
049138凱基42,4530630,3495000,142,1.3,1.32,1.34,1.6,4月19日,1.1,4月27日
049139凱基43,2006220,1468000,93,1.37,1.3,1.16,1.75,4月3日,0.94,4月26日
049140凱基44,12991790,19129000,696,0.68,0.71,0.49,1.5,4月13日,0.4,4月30日
049141凱基45,5339730,3670000,114,1.45,1.5,1.31,1.8,4月2日,0.88,4月5日
049142凱基46,3964200,5879000,191,0.67,0.69,0.5,1.15,4月2日,0.45,4月23日
049143凱基48,1302010,2653000,92,0.49,0.5,0.41,0.77,4月2日,0.36,4月30日
049144凱基49,1259660,3540000,98,0.36,0.37,0.22,0.81,4月2日,0.19,4月30日
049145凱基50,19500,50000,3,0.39,0.36,0.37,0.51,4月3日,0.35,4月3日
049146凱基51,26710,72000,5,0.37,0.36,0.41,0.41,4月13日,0.28,4月5日
049147凱基52,14061540,25117000,915,0.56,0.68,0.23,1.21,4月2日,0.2,4月30日
049148凱基53,113780,398000,14,0.29,0.27,0.27,0.37,4月3日,0.22,4月10日
049149凱基54,1084450,1168000,66,0.93,0.92,0.52,1.18,4月13日,0.52,4月30日
049150凱基55,1053010,1230000,72,0.86,0.85,0.45,1.33,4月13日,0.44,4月27日
049151第一MK,28800,120000,2,0.24,0.24,0.24,0.24,4月20日,0.24,4月20日
049152第一ML,39060,98000,7,0.4,0.42,0.33,0.5,4月13日,0.33,4月30日
049153兆豐HR,5098620,3023000,84,1.69,1.58,0.42,2.34,4月2日,0.42,4月30日
049154兆豐HS,4480530,3525000,163,1.27,1.26,0.43,1.79,4月2日,0.43,4月30日
049155兆豐HT,4146580,5462000,189,0.76,0.79,0.47,1.34,4月2日,0.43,4月23日
049156寶來78,1445010,5806000,268,0.25,0.23,0.08,0.41,4月3日,0.08,4月30日
0491588C元大,36070,32000,6,1.13,1.12,1.11,1.2,4月12日,1.04,4月6日
0491598D元大,18487560,28789000,762,0.64,0.73,0.36,1.08,4月16日,0.21,4月30日
0491608E元大,22629670,8031000,424,2.82,2.76,1.86,3.61,4月16日,1.69,4月30日
0491618F元大,571760,843000,25,0.68,0.67,0.58,0.84,4月3日,0.54,4月23日
0491628G元大,225220,1248000,20,0.18,0.17,0.15,0.24,4月6日,0.12,4月23日
0491638H元大,9513770,8855000,248,1.07,1.14,0.53,1.53,4月13日,0.52,4月30日
0491648I元大,1491000,2406000,121,0.62,0.57,0.44,0.81,4月13日,0.44,4月30日
049165大華J9,62310,140000,15,0.45,0.44,0.47,0.49,4月3日,0.38,4月9日
049166大華K1,549820,2606000,36,0.21,0.22,0.1,0.34,4月13日,0.1,4月30日
049167大華K2,971060,1275000,38,0.76,0.74,0.62,0.97,4月20日,0.55,4月9日
049168大華K3,6100,45000,5,0.14,0.14,0.1,0.22,4月6日,0.1,4月20日
049169大華K4,303340,764000,27,0.4,0.39,0.27,0.55,4月13日,0.27,4月25日
049170大華K5,1600,10000,1,0.16,0.16,0.16,0.16,4月10日,0.16,4月10日
049172凱基72,271100,600000,29,0.45,0.45,0.33,0.54,4月19日,0.33,4月24日
049173凱基73,70170,500000,18,0.14,0.12,0.08,0.18,4月3日,0.08,4月27日
049174凱基74,7231490,15798000,240,0.46,0.42,0.37,0.64,4月3日,0.33,4月27日
049175凱基75,2680480,2197000,141,1.22,1.2,1.06,1.54,4月20日,0.88,4月5日
049176凱基76,184340,753000,29,0.24,0.21,0.1,0.34,4月3日,0.1,4月30日
049177凱基77,301580,666000,208,0.45,0.47,0.37,0.75,4月3日,0.37,4月30日
049178凱基78,11750,20000,4,0.59,0.59,0.54,0.69,4月11日,0.54,4月30日
049179永豐MS,7881760,23684000,676,0.33,0.34,0.18,0.55,4月13日,0.15,4月27日
049180永豐MT,112870,535000,14,0.21,0.21,0.17,0.23,4月16日,0.17,4月20日
049181永豐MU,257290,1962000,80,0.13,0.17,0.05,0.27,4月2日,0.05,4月30日
049182永豐MV,345200,1246000,56,0.28,0.27,0.18,0.44,4月3日,0.18,4月30日
049183永豐MW,421680,1120000,28,0.38,0.37,0.29,0.52,4月2日,0.26,4月24日
049184永豐MX,28550,147000,10,0.19,0.21,0.18,0.3,4月2日,0.17,4月12日
049185永豐MY,139290,821000,21,0.17,0.2,0.09,0.29,4月3日,0.09,4月24日
049186永豐MZ,3576330,16172000,327,0.22,0.24,0.11,0.33,4月16日,0.08,4月27日
049187永豐NA,5360,51000,4,0.11,0.12,0.1,0.13,4月12日,0.1,4月19日
049188永豐NB,634340,2276000,87,0.28,0.27,0.35,0.35,4月30日,0.23,4月9日
049189永豐NC,9500,40000,10,0.24,0.24,0.19,0.31,4月3日,0.19,4月30日
049190永豐ND,806010,2500000,260,0.32,0.28,0.18,0.45,4月2日,0.17,4月25日
049191永豐NE,860230,5144000,82,0.17,0.16,0.08,0.25,4月2日,0.08,4月27日
049192永豐NF,4065890,13279000,457,0.31,0.28,0.24,0.54,4月2日,0.15,4月30日
049193寶來79,903550,724000,57,1.25,1.16,1.25,1.56,4月17日,0.68,4月5日
049194日盛HL,65315450,89916000,3364,0.73,0.82,0.13,1.72,4月2日,0.11,4月30日
049195日盛HM,274830,904000,23,0.3,0.32,0.25,0.5,4月2日,0.22,4月24日
049196日盛HN,2135330,3147000,110,0.68,0.61,0.32,1.25,4月2日,0.25,4月23日
049197第一MN,327800,723000,37,0.45,0.42,0.25,0.69,4月3日,0.22,4月23日
049198兆豐HU,49810,42000,9,1.19,1.19,1.04,1.31,4月12日,1,4月20日
049199兆豐HV,2157500,2278000,135,0.95,1.07,0.48,2.12,4月2日,0.42,4月30日
049200兆豐HW,1357220,1155000,56,1.18,1.12,0.59,1.45,4月16日,0.55,4月30日
049201兆豐HX,976710,1137000,78,0.86,0.89,0.6,1.16,4月13日,0.53,4月30日
049202兆豐HY,379500,705000,183,0.54,0.52,0.31,0.73,4月3日,0.31,4月30日
049203兆豐HZ,5812420,10553000,308,0.55,0.53,0.41,0.84,4月3日,0.4,4月23日
049204兆豐JA,609310,1012000,137,0.6,0.59,0.48,0.8,4月2日,0.46,4月25日
049205兆豐JB,62750,175000,3,0.36,0.37,0.37,0.37,4月13日,0.35,4月13日
049206兆豐JC,255120,770000,22,0.33,0.28,0.17,0.49,4月2日,0.17,4月23日
049207兆豐JD,449550,2858000,71,0.16,0.13,0.09,0.23,4月2日,0.04,4月30日
049208兆豐JE,56930,94000,6,0.61,0.68,0.66,0.82,4月3日,0.56,4月5日
049209兆豐JF,8347970,8455000,321,0.99,0.96,0.79,1.74,4月2日,0.57,4月20日
049210兆豐JG,1195110,1288000,46,0.93,0.85,0.53,1.25,4月2日,0.53,4月30日
049211兆豐JH,1890510,2053000,147,0.92,0.9,0.9,1.12,4月3日,0.77,4月9日
049212兆豐JJ,486610,1140000,108,0.43,0.41,0.29,0.63,4月2日,0.28,4月24日
049213兆豐JK,435470,614000,58,0.71,0.69,0.48,0.88,4月3日,0.48,4月30日
049214大華K6,332080,743000,25,0.45,0.47,0.36,0.79,4月2日,0.33,4月19日
049215大華K7,1079340,1800000,54,0.6,0.94,0.3,1.93,4月2日,0.28,4月30日
049216大華K8,1539880,2925000,964,0.53,0.49,0.33,0.67,4月2日,0.33,4月24日
049217大華K9,10800,40000,2,0.27,0.27,0.27,0.27,4月26日,0.27,4月26日
049218大華L1,2824220,3601000,117,0.78,0.81,0.77,1,4月13日,0.61,4月3日
049219統一84,741480,1300000,37,0.57,0.55,0.46,0.81,4月3日,0.46,4月30日
049220統一85,2931200,5444000,110,0.54,0.53,0.7,0.7,4月30日,0.4,4月9日
049221統一86,7798160,18344000,279,0.43,0.49,0.34,0.89,4月2日,0.32,4月27日
049222統一87,12952090,12679000,354,1.02,1.02,1,1.32,4月13日,0.62,4月5日
049224統一89,7321570,4143000,242,1.77,1.9,1.14,2.59,4月13日,1.04,4月30日
049225統一90,66100,80000,4,0.83,0.82,0.71,0.88,4月6日,0.71,4月11日
049226統一91,1983090,2980000,85,0.67,0.58,0.5,0.84,4月2日,0.45,4月27日
049227國泰KH,1286710,5787000,88,0.22,0.2,0.09,0.29,4月13日,0.09,4月27日
049228凱基80,489010,945000,39,0.52,0.45,0.22,0.72,4月2日,0.22,4月30日
049229凱基81,19800,198000,3,0.1,0.1,0.1,0.1,4月30日,0.1,4月30日
049230凱基82,1615850,1647000,209,0.98,0.91,1.03,1.23,4月13日,0.72,4月11日
049231凱基83,2887300,7395000,371,0.39,0.35,0.22,0.57,4月2日,0.22,4月27日
049232凱基84,1170380,2348000,47,0.5,0.53,0.47,0.64,4月6日,0.44,4月20日
049233凱基86,45051030,36193000,1346,1.24,1.29,0.51,1.88,4月13日,0.51,4月30日
049234工銀MZ,261330,1971000,37,0.13,0.13,0.1,0.22,4月2日,0.09,4月27日
049235工銀NA,187980,274000,124,0.69,0.8,0.74,0.98,4月2日,0.56,4月24日
049237第一MQ,25500,60000,9,0.42,0.48,0.43,0.68,4月13日,0.3,4月24日
049238寶來80,352980,482000,23,0.73,0.74,0.61,1.18,4月2日,0.56,4月23日
049239寶來81,7869820,9243000,359,0.85,0.81,1.06,1.06,4月30日,0.64,4月9日
049240寶來82,127890,121000,13,1.06,0.99,0.76,1.53,4月2日,0.76,4月20日
049241寶來83,4263650,8151000,284,0.52,0.49,0.27,0.7,4月13日,0.25,4月30日
049242寶來84,2274080,2400000,96,0.95,0.93,0.55,1.3,4月13日,0.54,4月30日
049243寶來86,634220,1096000,37,0.58,0.64,0.55,0.82,4月18日,0.49,4月24日
049244寶來87,919360,886000,41,1.04,1.06,0.84,1.39,4月2日,0.77,4月24日
049245寶來88,124400,280000,7,0.44,0.44,0.41,0.54,4月2日,0.4,4月27日
049246寶來89,27052020,40556000,1407,0.67,0.63,0.47,0.94,4月3日,0.45,4月30日
049247寶來90,838330,1060000,52,0.79,0.78,0.62,1.1,4月3日,0.62,4月26日
049248寶來93,27716550,16668000,618,1.66,1.65,0.82,2.22,4月13日,0.79,4月30日
049249寶來94,91440,515000,18,0.18,0.17,0.1,0.25,4月3日,0.1,4月20日
049250寶來95,372770,4386000,204,0.08,0.13,0.05,0.18,4月2日,0.03,4月30日
049251寶來96,1602180,3739000,69,0.43,0.52,0.23,0.84,4月3日,0.21,4月24日
049252寶來98,781940,1433000,34,0.55,0.57,0.2,0.88,4月3日,0.2,4月26日
049253寶來99,78330,189000,8,0.41,0.44,0.38,0.6,4月3日,0.38,4月17日
049254寶來A1,40200,92000,3,0.44,0.44,0.42,0.48,4月10日,0.42,4月12日
049255國票DY,11285330,12188000,560,0.93,0.85,0.32,1.26,4月13日,0.29,4月30日
049256國票DZ,990620,1079000,35,0.92,0.94,0.56,1.29,4月13日,0.55,4月30日
049257國票EA,701230,835000,227,0.84,0.93,0.36,1.21,4月6日,0.36,4月30日
049258國票EB,4401870,2583000,122,1.7,1.71,1.36,2.27,4月10日,1.36,4月30日
049259國票EC,324450,680000,45,0.48,0.42,0.25,0.72,4月3日,0.24,4月26日
049260永豐NG,8620890,25899000,484,0.33,0.35,0.13,0.52,4月13日,0.13,4月30日
049261永豐NH,196250,1346000,23,0.15,0.15,0.09,0.24,4月2日,0.08,4月30日
049262永豐NI,11066390,41508000,827,0.27,0.27,0.13,0.53,4月13日,0.11,4月30日
049263永豐NJ,911320,7689000,174,0.12,0.12,0.05,0.18,4月13日,0.05,4月30日
049264永豐NK,13020,103000,12,0.13,0.12,0.09,0.15,4月10日,0.09,4月18日
049265永豐NL,63240,245000,10,0.26,0.24,0.1,0.4,4月2日,0.1,4月27日
049266永豐NM,1304050,3647000,136,0.36,0.32,0.19,0.65,4月2日,0.18,4月30日
049267永豐NN,3372350,9050000,288,0.37,0.33,0.18,0.47,4月13日,0.18,4月30日
049268永豐NP,136950,1256000,22,0.11,0.12,0.09,0.15,4月6日,0.07,4月18日
049269永豐NQ,178380,828000,16,0.22,0.17,0.09,0.31,4月2日,0.08,4月30日
049270永豐NR,7620,16000,5,0.48,0.48,0.48,0.5,4月24日,0.46,4月18日
049271永豐NS,974660,3993000,111,0.24,0.3,0.09,0.44,4月2日,0.09,4月30日
0492728L元大,15185080,10050000,404,1.51,1.47,1.05,2.23,4月3日,1.01,4月30日
0492738M元大,2642620,2925000,176,0.9,0.86,0.84,1.09,4月3日,0.7,4月24日
0492748N元大,6736820,6466000,216,1.04,1.03,1.57,1.59,4月30日,0.73,4月5日
0492758P元大,67250,160000,11,0.42,0.42,0.35,0.59,4月3日,0.35,4月27日
0492768Q元大,396800,669000,32,0.59,0.56,0.43,0.78,4月2日,0.38,4月24日
0492778R元大,201280,233000,27,0.86,0.85,0.74,1.03,4月13日,0.63,4月23日
0492788T元大,706430,1198000,58,0.59,0.53,0.37,0.94,4月2日,0.28,4月26日
0492798U元大,889730,2104000,71,0.42,0.38,0.3,0.78,4月2日,0.3,4月30日
0492808V元大,672280,1361000,141,0.49,0.49,0.38,0.61,4月2日,0.38,4月18日
0492818W元大,7477990,4265000,195,1.75,1.69,1.48,2.08,4月16日,1.18,4月24日
0492828X元大,1208380,4280000,85,0.28,0.25,0.17,0.41,4月2日,0.16,4月23日
0492838Y元大,10082210,9696000,372,1.04,0.99,1.08,1.34,4月17日,0.54,4月5日
0492848Z元大,301450,582000,27,0.52,0.57,0.29,0.76,4月3日,0.29,4月27日
0492853W富邦,1449720,6697000,110,0.22,0.21,0.13,0.34,4月2日,0.13,4月30日
0492863X富邦,1229730,2080000,132,0.59,0.53,0.38,0.81,4月2日,0.38,4月26日
0492873Y富邦,5372330,3861000,136,1.39,1.38,1.26,1.74,4月25日,1.05,4月5日
0492883Z富邦,935800,971000,19,0.96,0.85,0.82,1.01,4月2日,0.76,4月12日
0492894A富邦,2400910,2295000,85,1.05,1,1,1.2,4月13日,0.74,4月24日
0492904C富邦,263780,880000,229,0.3,0.3,0.12,0.43,4月12日,0.11,4月27日
0492914D富邦,4500,20000,2,0.22,0.22,0.25,0.25,4月11日,0.2,4月5日
049292凱基87,17183490,21767000,1046,0.79,0.77,0.24,1.12,4月13日,0.11,4月30日
049293凱基88,165920,538000,27,0.31,0.31,0.18,0.5,4月3日,0.15,4月27日
049294凱基89,3600,10000,1,0.36,0.36,0.36,0.36,4月17日,0.36,4月17日
049295日盛HQ,21580,34000,9,0.63,0.65,0.57,0.71,4月9日,0.57,4月18日
049296日盛HR,1102350,4243000,64,0.26,0.26,0.2,0.36,4月2日,0.18,4月24日
049297日盛HS,54660,159000,2,0.34,0.34,0.35,0.35,4月11日,0.34,4月9日
049298日盛HT,2401900,4331000,801,0.55,0.54,0.36,0.85,4月2日,0.36,4月30日
049299日盛HU,2424100,2959000,172,0.82,0.79,0.91,0.95,4月24日,0.69,4月11日
049300日盛HW,435100,400000,31,1.09,0.8,0.54,1.18,4月2日,0.54,4月30日
049301日盛HX,86180,242000,8,0.36,0.31,0.09,0.53,4月2日,0.09,4月27日
049302日盛HY,721970,1640000,640,0.44,0.42,0.14,0.83,4月2日,0.14,4月30日
049303日盛HZ,83730,133000,15,0.63,0.54,0.27,1.03,4月2日,0.27,4月30日
049304日盛JA,1000840,2360000,83,0.42,0.4,0.17,0.59,4月3日,0.17,4月30日
049305日盛JB,278430,220000,9,1.27,1.22,1.11,1.49,4月18日,1.04,4月23日
049306元富23,20257340,20851000,637,0.97,1.02,0.3,1.5,4月2日,0.25,4月30日
049307元富24,6513890,21528000,401,0.3,0.28,0.11,0.44,4月13日,0.1,4月30日
049308元富25,23400,40000,4,0.58,0.56,0.61,0.65,4月25日,0.49,4月10日
049309元富26,3900,30000,3,0.13,0.13,0.1,0.16,4月20日,0.1,4月25日
049310元富27,1438560,2683000,144,0.54,0.63,0.46,1.05,4月13日,0.4,4月30日
049311元富28,21860,68000,8,0.32,0.33,0.18,0.41,4月9日,0.18,4月20日
049312元富29,15409940,11187000,352,1.38,1.37,1.68,1.76,4月30日,1.11,4月5日
049313元富30,657090,1152000,8,0.57,0.35,0.28,0.61,4月2日,0.26,4月24日
049315元富32,1500,5000,1,0.3,0.3,0.3,0.3,4月6日,0.3,4月6日
0493169E元大,1476800,2187000,229,0.68,0.72,0.5,1.08,4月2日,0.46,4月30日
0493179F元大,21427830,65934000,1781,0.32,0.36,0.15,0.81,4月2日,0.1,4月30日
0493189G元大,559660,1484000,30,0.38,0.35,0.3,0.51,4月2日,0.29,4月27日
0493199H元大,3855270,10080000,157,0.38,0.4,0.21,0.66,4月2日,0.21,4月30日
0493204E富邦,22960,56000,2,0.41,0.41,0.41,0.41,4月2日,0.41,4月2日
0493214F富邦,8420,22000,3,0.38,0.34,0.24,0.39,4月5日,0.24,4月24日
0493224G富邦,231520,735000,29,0.31,0.33,0.23,0.45,4月13日,0.22,4月27日
0493234H富邦,444870,1004000,22,0.44,0.45,0.38,0.52,4月5日,0.38,4月24日
0493244K富邦,2771020,2019000,48,1.37,1.38,1.47,1.63,4月2日,1.25,4月9日
0493254L富邦,146000,140000,9,1.04,1.03,0.88,1.12,4月16日,0.88,4月19日
0493264M富邦,532750,1630000,37,0.33,0.32,0.24,0.53,4月2日,0.24,4月18日
0493274N富邦,13718140,13574000,226,1.01,0.9,0.53,1.24,4月16日,0.49,4月30日
0493284P富邦,27100,90000,7,0.3,0.32,0.24,0.4,4月16日,0.24,4月27日
0493294Q富邦,767510,813000,30,0.94,0.83,0.82,1.04,4月26日,0.56,4月9日
0493304R富邦,285150,543000,24,0.53,0.59,0.33,0.7,4月17日,0.33,4月30日
0493314S富邦,3913640,5553000,128,0.7,0.72,0.49,1.37,4月2日,0.33,4月27日
049332亞東LL,868230,2215000,462,0.39,0.44,0.35,0.73,4月2日,0.32,4月24日
049333亞東LM,176080,256000,16,0.69,0.71,0.65,0.92,4月13日,0.58,4月9日
049334亞東LN,43180,320000,11,0.13,0.11,0.08,0.18,4月17日,0.08,4月26日
049335亞東LP,1750100,2349000,113,0.75,0.73,0.75,0.93,4月3日,0.61,4月27日
049336亞東LQ,443620,1422000,41,0.31,0.4,0.23,0.76,4月9日,0.22,4月24日
049337亞東LR,107820,238000,6,0.45,0.32,0.25,0.49,4月2日,0.25,4月12日
049338亞東LS,376820,586000,17,0.64,0.65,0.53,0.73,4月2日,0.53,4月19日
049339亞東LT,762040,706000,193,1.08,1.14,1,1.23,4月10日,0.99,4月19日
049340亞東LU,2900,50000,3,0.06,0.06,0.05,0.1,4月24日,0.04,4月20日
049341永豐NT,1893200,15848000,222,0.12,0.12,0.06,0.22,4月2日,0.06,4月30日
049342永豐NU,108830,466000,19,0.23,0.23,0.15,0.3,4月2日,0.14,4月27日
049343永豐NV,805560,8574000,156,0.09,0.09,0.04,0.16,4月2日,0.04,4月30日
049344永豐NW,80960,223000,8,0.36,0.39,0.35,0.43,4月10日,0.35,4月27日
049345永豐NX,23110,68000,25,0.34,0.31,0.25,1.19,4月3日,0.15,4月26日
049346永豐NZ,202620,1587000,28,0.13,0.13,0.06,0.26,4月2日,0.06,4月27日
049347永豐01,428910,1136000,62,0.38,0.44,0.31,0.76,4月13日,0.29,4月30日
049348寶來A3,2188030,1511000,66,1.45,1.37,1.34,1.82,4月2日,0.96,4月20日
049349寶來A4,3468380,4615000,170,0.75,0.73,0.25,1.08,4月2日,0.25,4月30日
049350寶來A5,10466460,16522000,800,0.63,0.65,0.16,1.02,4月2日,0.12,4月30日
049351寶來A7,1337450,3528000,97,0.38,0.41,0.34,0.6,4月18日,0.28,4月26日
049352寶來A8,67570,250000,15,0.27,0.46,0.22,0.76,4月3日,0.22,4月30日
049353寶來B1,3064880,4349000,122,0.7,0.61,0.41,1.1,4月11日,0.41,4月27日
049354寶來B2,247980,924000,48,0.27,0.24,0.1,0.44,4月2日,0.1,4月30日
049355寶來B3,1477170,1879000,144,0.79,0.78,0.66,1.2,4月3日,0.45,4月24日
049356永昌L9,123480,696000,17,0.18,0.19,0.1,0.29,4月2日,0.1,4月24日
049357永昌M1,6000,40000,4,0.15,0.15,0.12,0.21,4月3日,0.12,4月19日
049358永昌M2,89210,404000,27,0.22,0.21,0.1,0.29,4月3日,0.1,4月26日
049359永昌M3,59230,292000,10,0.2,0.18,0.1,0.23,4月3日,0.1,4月20日
049360永昌M4,89620,398000,27,0.23,0.23,0.15,0.32,4月16日,0.15,4月30日
049361永昌M5,162520,569000,35,0.29,0.26,0.15,0.34,4月13日,0.15,4月30日
049362永昌M6,382040,1716000,54,0.22,0.21,0.1,0.31,4月13日,0.1,4月30日
