,民國101年12月,,,,,,,Dec-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
057241永昌LL,79720,156000,9,0.51,0.5,0.37,0.63,12月5日,0.37,12月27日
057242永昌LM,2395900,2556000,72,0.94,0.93,0.89,1.13,12月6日,0.82,12月21日
057243永昌LN,2361550,2590000,23,0.91,0.91,0.92,1.13,12月19日,0.71,12月3日
057244永昌LP,538720,592000,6,0.91,0.91,0.91,0.91,12月6日,0.91,12月6日
057245永昌LQ,1138200,1530000,41,0.74,0.72,0.67,0.8,12月12日,0.6,12月21日
057246永昌LR,404110,666000,19,0.61,0.57,0.5,0.68,12月5日,0.46,12月22日
057247永昌LS,1523130,1348000,12,1.13,1.07,0.88,1.43,12月6日,0.88,12月28日
057248永昌LT,228080,414000,7,0.55,0.62,0.47,0.72,12月12日,0.47,12月21日
057249永昌LU,681030,371000,13,1.84,1.67,1.88,1.89,12月10日,1.34,12月3日
057250永昌LV,3085380,2868000,68,1.08,1.02,0.87,1.19,12月12日,0.87,12月27日
057251元大DP,3690020,2659000,53,1.39,1.4,1.34,1.52,12月3日,1.27,12月18日
057252元大DQ,880520,527000,105,1.67,1.67,1.66,1.89,12月19日,1.44,12月21日
057253元大DR,469290,778000,58,0.6,0.56,0.48,0.73,12月3日,0.47,12月25日
057254N2富邦,4419240,14659000,339,0.3,0.29,0.19,0.57,12月6日,0.18,12月27日
057255N3富邦,1437600,1905000,69,0.75,0.76,0.76,1,12月17日,0.55,12月4日
057256N4富邦,1931390,1089000,49,1.77,1.89,2.03,2.2,12月10日,1.48,12月3日
057257E7元富,11203740,7213000,126,1.55,1.46,1.41,1.87,12月7日,1.04,12月22日
057258E8元富,37900,30000,2,1.26,1.3,1.18,1.43,12月5日,1.18,12月10日
057259E9元富,52877560,14902000,322,3.55,3.51,4.43,4.57,12月28日,2.93,12月3日
057260F1元富,8765720,19167000,521,0.46,0.51,0.36,0.83,12月4日,0.28,12月20日
0572613U凱基,4680480,3433000,175,1.36,1.32,1.16,1.61,12月11日,1.11,12月17日
0572623V凱基,1789590,3323000,82,0.54,0.55,0.66,0.75,12月26日,0.3,12月3日
057263統一LS,3650800,5179000,174,0.7,0.65,0.59,0.96,12月4日,0.47,12月21日
057264統一LT,3955320,5499000,213,0.72,0.62,0.53,0.98,12月7日,0.43,12月21日
057265統一LU,7337720,8590000,338,0.85,0.84,0.8,1.16,12月5日,0.59,12月21日
057266統一LV,8492740,16513000,399,0.51,0.43,0.31,0.71,12月6日,0.26,12月21日
057267統一LW,1586520,1588000,109,1,1.07,1.25,1.34,12月19日,0.9,12月25日
057268統一LX,1769660,2828000,62,0.63,0.63,0.68,0.73,12月5日,0.57,12月21日
057269國票NX,1017020,1656000,77,0.61,0.62,0.59,0.85,12月4日,0.47,12月18日
057270日盛AN,436750,186000,22,2.35,1.87,1.44,2.64,12月4日,1.35,12月21日
05727159群益,10838360,6974000,171,1.55,1.55,2,2.05,12月28日,1.31,12月18日
05727260群益,3155570,2016000,50,1.57,1.55,1.3,1.78,12月14日,1.3,12月21日
05727363群益,4513950,4401000,197,1.03,0.99,0.95,1.25,12月3日,0.86,12月25日
05727464群益,6142800,3466000,294,1.77,1.69,1.71,2.24,12月6日,1.46,12月21日
057275大眾3V,41100,60000,31,0.68,0.68,0.82,0.82,12月5日,0.55,12月4日
057276兆豐MA,150480,396000,4,0.38,0.38,0.35,0.41,12月20日,0.35,12月24日
057277兆豐MB,14252830,7017000,190,2.03,2.18,2.21,2.72,12月17日,1.57,12月4日
057278工銀CH,726390,464000,30,1.57,1.6,1.95,1.96,12月28日,1.31,12月4日
057279中信BN,787600,600000,23,1.31,1.17,1.06,1.56,12月6日,0.92,12月17日
057280元大DV,4988130,3726000,67,1.34,1.29,1.28,1.63,12月12日,1.03,12月22日
057281元大DW,4078790,4371000,231,0.93,0.95,0.9,1.08,12月19日,0.85,12月27日
057282元大DX,26785740,25835000,716,1.04,1.08,1.16,1.4,12月19日,0.87,12月3日
057283元大DY,8112150,16526000,575,0.49,0.51,0.3,0.9,12月10日,0.28,12月27日
057284元大DZ,53285880,9146000,729,5.83,5.66,6.95,7.25,12月28日,4.71,12月3日
057285元大EA,3816740,6571000,255,0.58,0.55,0.37,0.88,12月3日,0.33,12月25日
0572863X凱基,2714410,2087000,69,1.3,1.27,1.18,1.54,12月7日,0.97,12月3日
0572873Y凱基,2349050,2309000,50,1.02,1.08,1.07,1.25,12月12日,0.91,12月27日
0572883Z凱基,130330,398000,6,0.33,0.32,0.33,0.35,12月6日,0.31,12月4日
0572894A凱基,158458280,38169000,2133,4.15,4.14,5.15,5.65,12月13日,3.49,12月3日
0572904B凱基,22090,78000,11,0.28,0.27,0.31,0.33,12月26日,0.24,12月12日
0572914C凱基,800930,700000,73,1.14,1.12,1.03,1.48,12月4日,0.9,12月18日
057292N6富邦,3282750,461000,108,7.12,6.92,5.65,10,12月13日,5.25,12月24日
057293N7富邦,3320280,1770000,125,1.88,1.66,1.51,2.25,12月6日,1.34,12月17日
057294F2元富,13403990,3271000,309,4.1,4.37,3.42,5.85,12月11日,3.03,12月21日
057295F3元富,7420170,5679000,293,1.31,1.26,1.18,1.94,12月3日,0.9,12月21日
057296F4元富,16365570,15407000,378,1.06,1.08,1.15,1.35,12月20日,0.78,12月5日
057297F5元富,4890860,5170000,75,0.95,0.93,0.85,1.07,12月6日,0.77,12月25日
057298F6元富,11994260,6915000,143,1.73,1.71,1.72,1.88,12月19日,1.48,12月21日
057299F7元富,2894120,5215000,155,0.55,0.51,0.52,0.68,12月20日,0.39,12月11日
057300F8元富,7778460,1711000,71,4.55,4.25,4.6,5.35,12月14日,3.19,12月4日
057301F9元富,61620,58000,6,1.06,1.13,1.07,1.22,12月6日,1.05,12月4日
057302日盛AQ,1959980,2446000,35,0.8,0.81,0.85,0.89,12月14日,0.69,12月3日
057303日盛AR,2038320,2542000,56,0.8,0.79,0.77,0.97,12月19日,0.68,12月11日
057304日盛AS,3159610,1911000,47,1.65,1.61,1.58,2.03,12月4日,1.4,12月19日
057305日盛AT,2274520,2198000,75,1.03,0.88,0.79,1.28,12月7日,0.63,12月21日
057306大華9W,19793260,17545000,293,1.13,1.19,1.14,1.39,12月13日,1.03,12月4日
057307大華9X,58161900,35210000,1106,1.65,1.61,1.39,2.41,12月13日,1.26,12月24日
057308大華9Y,1486430,1637000,51,0.91,0.92,0.78,1.29,12月5日,0.72,12月22日
057309永豐4Y,3767380,3973000,111,0.95,0.92,1.04,1.16,12月28日,0.79,12月18日
057310永豐4Z,5498860,4670000,148,1.18,1.24,1.21,1.57,12月5日,0.98,12月18日
057311臺銀23,138200,72000,12,1.92,1.95,1.35,2.12,12月12日,1.35,12月17日
057312臺銀24,2759620,2160000,106,1.28,1.21,1.11,1.57,12月3日,1.07,12月22日
057313臺銀25,85720,80000,9,1.07,1.12,1.49,1.49,12月26日,1,12月11日
057314臺銀26,10900,10000,1,1.09,1.09,1.09,1.09,12月5日,1.09,12月5日
057315兆豐MD,912420,1308000,18,0.7,0.74,0.74,0.9,12月12日,0.64,12月22日
057316兆豐ME,1090900,1328000,34,0.82,0.82,0.75,1,12月19日,0.7,12月25日
057317兆豐MF,8373900,7562000,132,1.11,1.1,1.03,1.24,12月13日,0.97,12月18日
057318兆豐MG,193100,315000,11,0.61,0.64,0.57,0.72,12月13日,0.55,12月28日
057319兆豐MH,60040,70000,5,0.86,0.86,0.84,0.91,12月13日,0.83,12月11日
057320工銀CJ,1652330,1178000,45,1.4,1.41,1.38,1.75,12月13日,1.14,12月21日
057321工銀CK,55500,50000,1,1.11,1.11,1.11,1.11,12月5日,1.11,12月5日
057322工銀CL,1409870,876000,47,1.61,1.73,1.13,3.4,12月5日,0.93,12月24日
057323工銀CM,3464160,2844000,50,1.22,1.24,1.06,1.61,12月12日,1.01,12月22日
057324元大EE,4315490,4048000,191,1.07,1.08,0.95,1.48,12月6日,0.86,12月28日
057325元大EF,9866550,10814000,290,0.91,0.92,0.9,1.07,12月14日,0.79,12月24日
057326元大EG,2611080,2178000,95,1.2,1.17,1,1.61,12月5日,0.99,12月17日
057327元大EH,1012180,821000,39,1.23,1.23,1.12,1.37,12月19日,1.07,12月3日
057328元大EI,8975330,11826000,419,0.76,0.7,0.68,1.07,12月6日,0.52,12月21日
057329元大EJ,5307680,1876000,149,2.83,3.09,2.99,3.65,12月13日,2.57,12月21日
057330國泰4W,3835500,3495000,96,1.1,1.1,1.1,1.38,12月12日,0.8,12月3日
05733165群益,869320,647000,29,1.34,1.28,1.2,1.61,12月4日,1.09,12月19日
05733266群益,6130120,1676000,84,3.66,3.46,2.85,5.5,12月3日,2.48,12月21日
05733367群益,7242910,5336000,128,1.36,1.29,1.35,1.63,12月19日,1.11,12月24日
05733469群益,3048500,3700000,130,0.82,0.78,0.93,1.07,12月25日,0.39,12月3日
057335康和MD,1446770,1298000,62,1.11,1.1,1.07,1.31,12月3日,0.93,12月17日
057336康和MF,108320,109000,11,0.99,0.88,0.71,1.17,12月6日,0.71,12月28日
057337日盛AV,460460,418000,24,1.1,1.02,0.94,1.26,12月5日,0.89,12月11日
057338日盛AW,2625990,1974000,79,1.33,1.28,1.3,1.51,12月5日,1.13,12月25日
057339日盛AX,9148100,1442000,197,6.34,6.49,8.4,8.55,12月28日,5.45,12月3日
057340大華9Z,130650,297000,24,0.44,0.44,0.46,0.57,12月5日,0.31,12月21日
057341大華01,4414160,4795000,82,0.92,0.91,0.94,1.04,12月19日,0.77,12月22日
057342統一LZ,2953780,1116000,45,2.65,2.6,2.59,2.98,12月13日,2.14,12月21日
057343統一MA,106640,59000,10,1.81,1.94,2.35,2.35,12月28日,1.69,12月7日
057344G3元富,70420,64000,7,1.1,1.26,0.97,1.47,12月14日,0.97,12月21日
057345G4元富,6374230,2026000,53,3.15,3.09,3.13,3.52,12月13日,2.67,12月21日
057346G5元富,3308140,2839000,74,1.17,1.13,1.13,1.27,12月17日,0.98,12月11日
057347G6元富,1726970,1326000,17,1.3,1.3,1.28,1.59,12月10日,1.12,12月22日
057348G7元富,129350,120000,21,1.08,1.03,0.93,1.22,12月4日,0.84,12月21日
057349G9元富,18085110,12864000,218,1.41,1.35,1.21,1.73,12月6日,1.04,12月21日
057350H2元富,3838850,2640000,139,1.45,1.5,1.43,1.87,12月4日,1.23,12月18日
057351H3元富,5891120,5860000,128,1.01,0.95,0.86,1.28,12月6日,0.8,12月17日
0573524D凱基,7326250,5181000,158,1.41,1.3,1.26,1.73,12月5日,0.93,12月21日
0573534E凱基,6691470,6463000,220,1.04,0.85,0.74,1.26,12月4日,0.6,12月21日
0573544F凱基,443560,1032000,14,0.43,0.46,0.42,0.53,12月3日,0.42,12月20日
057355N9富邦,29346250,21361000,684,1.37,1.36,1.43,1.65,12月5日,0.85,12月3日
057356亞東F2,20563110,26132000,425,0.79,0.76,0.79,0.96,12月7日,0.57,12月5日
057357亞東F3,532020,873000,42,0.61,0.58,0.4,0.8,12月6日,0.4,12月27日
057358亞東F4,1787540,2893000,121,0.62,0.67,0.53,1.05,12月3日,0.48,12月21日
057359亞東F5,1028340,1011000,26,1.02,1.01,0.92,1.17,12月14日,0.82,12月21日
057360亞東F6,6210540,5693000,115,1.09,1.09,1.1,1.27,12月19日,0.92,12月3日
057361亞東F7,2311240,4286000,93,0.54,0.57,0.59,0.72,12月7日,0.46,12月17日
057362亞東F8,35942610,33528000,743,1.07,1.06,0.9,1.51,12月13日,0.83,12月22日
057363亞東F9,7513290,11598000,228,0.65,0.72,0.75,0.93,12月17日,0.51,12月4日
057364元大EK,20695390,18361000,660,1.13,1.13,1.19,1.43,12月4日,0.75,12月3日
057365元大EL,2772050,3247000,96,0.85,0.77,0.62,1.02,12月7日,0.62,12月27日
0573664G凱基,5158290,3670000,115,1.41,1.37,1.43,1.69,12月19日,1.18,12月11日
0573674H凱基,289640,261000,8,1.11,1.12,1.1,1.17,12月3日,1.04,12月3日
0573684K凱基,3818130,5286000,111,0.72,0.67,0.52,1.02,12月3日,0.47,12月26日
057369AB富邦,1287420,579000,42,2.22,2.22,2.04,3.05,12月13日,1.77,12月10日
057370AC富邦,115490,123000,10,0.94,0.94,0.93,1.07,12月19日,0.81,12月21日
057371AD富邦,2787350,2084000,89,1.34,1.32,1.31,1.51,12月19日,1.11,12月21日
057372AE富邦,205380,299000,36,0.69,0.68,0.63,0.78,12月13日,0.57,12月22日
057373AF富邦,3849250,2822000,69,1.36,1.29,1.3,1.48,12月18日,1.11,12月21日
057374國泰4X,1107920,1297000,41,0.85,0.83,0.72,1.11,12月7日,0.6,12月21日
057375日盛BC,7255840,7660000,202,0.95,0.82,0.53,1.16,12月3日,0.53,12月27日
057376兆豐MJ,297980,514000,20,0.58,0.55,0.53,0.7,12月19日,0.45,12月21日
057377兆豐MK,543400,1035000,41,0.53,0.5,0.41,0.6,12月13日,0.39,12月21日
057378兆豐ML,1600300,836000,74,1.91,1.92,1.85,2.67,12月7日,1.54,12月17日
057379兆豐MM,895320,1285000,49,0.7,0.67,0.71,0.8,12月4日,0.55,12月17日
057380兆豐MQ,7091930,6090000,105,1.16,1.13,1.15,1.23,12月13日,1,12月22日
057381兆豐MU,1997560,2205000,167,0.91,0.92,0.67,1.21,12月13日,0.5,12月21日
057382兆豐MV,660060,1128000,25,0.59,0.52,0.51,0.71,12月19日,0.44,12月25日
057383兆豐NB,286130,438000,18,0.65,0.64,0.66,0.71,12月4日,0.53,12月17日
057384兆豐NC,3887200,1934000,55,2.01,2.12,2.25,2.31,12月10日,1.7,12月3日
057385兆豐ND,35160,35000,8,1,1.07,1.01,1.35,12月5日,0.8,12月21日
057386兆豐NE,32523870,25269000,535,1.29,1.3,1.26,1.55,12月13日,1.07,12月21日
057387中信BP,9359390,3848000,184,2.43,1.91,1.39,2.87,12月6日,1.32,12月21日
057388元大EN,1321240,618000,49,2.14,2.02,1.87,2.48,12月5日,1.62,12月21日
057389元大EP,165690,174000,20,0.95,0.93,0.81,1.12,12月6日,0.81,12月20日
057390AG富邦,2499100,1338000,205,1.87,1.8,1.72,2.03,12月7日,1.58,12月21日
057391AH富邦,1912320,1814000,79,1.05,1.04,0.94,1.15,12月7日,0.9,12月27日
057392AJ富邦,4286700,930000,91,4.61,4.71,5.75,5.9,12月28日,3.97,12月3日
057393AK富邦,1236250,1163000,123,1.06,0.93,0.65,1.23,12月10日,0.6,12月20日
057394永豐5A,4845960,4460000,102,1.09,1.02,1.06,1.19,12月18日,0.87,12月11日
057395永豐5B,966610,806000,23,1.2,1.15,1.03,1.41,12月5日,0.95,12月22日
057396永豐5C,6523950,6193000,235,1.05,1,0.91,1.25,12月6日,0.86,12月21日
057397永豐5D,2618050,2417000,66,1.08,1.14,1.03,1.46,12月3日,0.87,12月21日
05739872群益,3439050,1849000,49,1.86,1.75,1.56,2.1,12月5日,1.51,12月22日
057399統一MB,15633410,20932000,756,0.75,0.81,0.98,1.13,12月25日,0.39,12月3日
057400統一MC,3798190,2564000,47,1.48,1.38,1.2,1.66,12月5日,1.03,12月21日
057401統一MD,5813580,7756000,353,0.75,0.75,0.76,0.92,12月3日,0.61,12月17日
057402日盛BH,1135310,1466000,88,0.77,0.75,0.8,0.91,12月20日,0.62,12月11日
057403日盛BJ,2647130,1300000,72,2.04,2.1,2.19,2.58,12月13日,1.68,12月21日
057404大華02,1921060,475000,81,4.04,4.2,5.05,5.05,12月28日,3.55,12月3日
057405H5元富,3914250,908000,50,4.31,4.42,4.48,5.15,12月13日,3.67,12月21日
057406H6元富,42231570,27989000,642,1.51,1.52,1.3,1.69,12月17日,1.26,12月3日
057407H7元富,2146440,1806000,68,1.19,1.09,1,1.46,12月7日,0.82,12月21日
057408H8元富,2401090,1991000,51,1.21,1.22,1.3,1.36,12月19日,1.12,12月3日
057409J2元富,2706970,1961000,101,1.38,1.37,1.36,1.61,12月3日,1.17,12月17日
057410J3元富,20798010,3977000,290,5.23,5.41,6.55,6.65,12月28日,4.66,12月3日
057411J4元富,61362550,29156000,777,2.1,2.09,2.17,2.38,12月17日,1.82,12月5日
057412J5元富,13596060,4852000,183,2.8,2.71,2.68,3.4,12月5日,2.13,12月21日
057413K2元富,6017750,4114000,112,1.46,1.23,0.9,1.66,12月3日,0.79,12月17日
057414K3元富,15265490,17347000,282,0.88,0.91,0.93,1.5,12月13日,0.64,12月4日
0574154M凱基,9004000,10309000,322,0.87,0.86,0.89,0.99,12月14日,0.62,12月3日
057416元大EQ,22093210,6615000,463,3.34,3.18,2.76,4.42,12月13日,2.57,12月24日
057417元大ER,2208030,4784000,185,0.46,0.49,0.57,0.66,12月25日,0.25,12月3日
0574184N凱基,35930980,22120000,419,1.62,1.59,1.68,1.9,12月10日,1.14,12月4日
0574194P凱基,16816610,7436000,150,2.26,2.25,2.68,2.68,12月28日,2.03,12月11日
0574204Q凱基,1158490,794000,43,1.46,1.46,1.43,1.75,12月3日,1.17,12月24日
0574214R凱基,9697270,3733000,249,2.6,2.58,2.76,3.14,12月17日,2.12,12月4日
0574224S凱基,16202380,5013000,209,3.23,3.44,3.83,4.4,12月17日,2.39,12月3日
057423國泰5B,12384680,8625000,279,1.44,1.5,1.79,1.98,12月26日,1.06,12月11日
057424國泰5C,54345100,18321000,725,2.97,2.87,2.4,4.08,12月13日,2.25,12月24日
057425AL富邦,16834980,11364000,405,1.48,1.41,1.36,1.78,12月3日,1.22,12月25日
057426永豐5H,2464180,2544000,69,0.97,1,0.89,1.31,12月7日,0.75,12月22日
057427永豐5I,4461650,4314000,89,1.03,1.03,1.02,1.16,12月4日,0.86,12月17日
057428永豐5K,5441110,4500000,76,1.21,1.23,1.28,1.39,12月12日,1.11,12月22日
057429日盛BQ,4364810,2567000,127,1.7,1.9,1.29,3.15,12月13日,1.29,12月28日
057430日盛BR,6366040,2363000,119,2.69,2.13,1.41,3.24,12月4日,1.26,12月21日
057431中信BS,7195060,4200000,154,1.71,1.67,1.7,1.95,12月5日,1.42,12月18日
057432永昌LX,110140,113000,11,0.97,1.02,0.93,1.13,12月14日,0.9,12月21日
057433永昌LY,2426970,3734000,69,0.65,0.63,0.62,0.69,12月6日,0.52,12月21日
057434永昌LZ,4653160,5914000,159,0.79,0.73,0.72,0.94,12月24日,0.56,12月5日
057435永昌MA,46680,51000,9,0.92,0.91,0.86,0.95,12月4日,0.86,12月19日
057436永昌MB,178570,170000,15,1.05,1.03,0.92,1.32,12月14日,0.92,12月24日
057437永昌MC,11374780,10173000,181,1.12,1.1,1.07,1.3,12月19日,1.03,12月21日
057438永昌MD,266810,395000,5,0.68,0.74,0.68,0.86,12月3日,0.67,12月19日
057439永昌ME,570200,861000,29,0.66,0.66,0.68,0.72,12月17日,0.59,12月11日
057440永昌MF,2360070,3413000,61,0.69,0.66,0.68,0.84,12月6日,0.49,12月21日
057441永昌MG,456400,500000,19,0.91,0.93,0.77,1.23,12月13日,0.77,12月21日
057442永昌MH,194390,117000,5,1.66,1.76,1.97,1.97,12月11日,1.61,12月6日
057443永昌MJ,2866690,2928000,49,0.98,0.97,0.87,1.13,12月13日,0.82,12月22日
057444永昌MK,6633870,10885000,287,0.61,0.59,0.56,0.79,12月6日,0.46,12月3日
057445永昌ML,3432290,3138000,44,1.09,1.1,1.06,1.27,12月6日,1.01,12月14日
057446永昌MN,782530,595000,7,1.32,1.34,1.27,1.42,12月7日,1.27,12月27日
057447永昌MP,290380,486000,10,0.6,0.62,0.62,0.66,12月3日,0.56,12月7日
057448永昌MQ,10648950,10233000,286,1.04,1.08,1.29,1.52,12月26日,0.75,12月11日
057450永昌MS,286250,263000,6,1.09,0.87,0.69,1.13,12月3日,0.59,12月21日
057451永昌MT,799920,1156000,49,0.69,0.65,0.59,0.73,12月19日,0.59,12月25日
057453永昌MV,7471600,7512000,227,0.99,1,1.01,1.24,12月11日,0.81,12月24日
057454永昌MW,3090420,2796000,51,1.11,1.12,1.15,1.46,12月12日,0.92,12月21日
057455永昌MX,3164830,2301000,45,1.38,1.4,1.6,1.66,12月26日,1.17,12月7日
05745675群益,1613440,1105000,68,1.46,1.49,1.45,1.71,12月5日,1.19,12月24日
05745776群益,4110760,2126000,139,1.93,1.87,1.87,2.27,12月19日,1.7,12月24日
057458永豐5L,547710,798000,38,0.69,0.72,0.73,0.86,12月3日,0.61,12月21日
057459永豐5M,1434550,1279000,23,1.12,1.14,1.1,1.35,12月11日,1.01,12月21日
057460永豐5N,346780,301000,34,1.15,1.12,1.03,1.37,12月19日,1,12月25日
057461永豐5P,3546090,3238000,91,1.1,1.08,0.99,1.25,12月19日,0.89,12月20日
057462永豐5Q,2039210,1560000,40,1.31,1.27,1.21,1.39,12月26日,1.19,12月6日
0574634T凱基,8048590,18486000,482,0.44,0.48,0.23,0.99,12月3日,0.22,12月21日
057464K5元富,92580,63000,3,1.47,1.34,1.53,1.53,12月10日,1.23,12月4日
057465K6元富,88770,106000,11,0.84,1.03,0.78,1.23,12月4日,0.75,12月21日
057466元大EU,6682880,6572000,432,1.02,0.94,0.91,1.5,12月19日,0.77,12月11日
057467元大EV,11343890,2808000,186,4.04,4.18,5.15,5.15,12月28日,3.55,12月3日
057468大眾4V,58200,60000,2,0.97,0.97,1.03,1.03,12月5日,0.91,12月4日
057469大眾5V,83900,35000,7,2.4,2.4,2.42,2.68,12月17日,2.16,12月21日
057470兆豐NT,3343300,4670000,72,0.72,0.8,0.46,1.13,12月10日,0.42,12月17日
057471兆豐NU,7364790,5570000,153,1.32,1.37,1.36,1.68,12月19日,1.19,12月24日
057472兆豐NV,5572440,6574000,237,0.85,0.82,0.97,0.97,12月28日,0.68,12月3日
057473兆豐NW,2813210,2928000,41,0.96,0.97,0.83,1.11,12月12日,0.82,12月18日
057474兆豐NX,10078810,5509000,110,1.83,1.81,1.62,1.96,12月19日,1.58,12月28日
057475兆豐NY,512280,665000,38,0.77,0.77,0.67,0.95,12月4日,0.63,12月22日
057476兆豐NZ,5390670,3407000,201,1.58,1.6,1.69,1.97,12月19日,1.35,12月3日
057477兆豐I1,10600,20000,1,0.53,0.53,0.53,0.53,12月28日,0.53,12月28日
057478兆豐I2,7139990,8300000,189,0.86,0.76,0.97,1.1,12月27日,0.6,12月4日
057479兆豐I3,436210,636000,46,0.69,0.67,0.73,0.82,12月13日,0.55,12月24日
057480兆豐I4,2149360,3846000,62,0.56,0.56,0.58,0.62,12月22日,0.49,12月12日
057481兆豐I5,1400,4000,2,0.35,0.35,0.37,0.37,12月26日,0.33,12月24日
057482國票NY,2766700,2089000,65,1.32,1.28,1.21,1.57,12月3日,1.18,12月27日
057483國票NZ,1727530,2250000,478,0.77,0.72,0.72,0.87,12月10日,0.62,12月20日
057484日盛BW,1396250,267000,54,5.23,5.43,6.8,6.8,12月28日,4.45,12月3日
057485康和MH,2251310,1521000,79,1.48,1.47,1.52,1.62,12月17日,1.3,12月22日
057486康和MI,2460880,2678000,80,0.92,0.73,0.43,1.25,12月3日,0.43,12月28日
057487康和MJ,8154500,4252000,148,1.92,1.83,1.91,2.22,12月19日,1.61,12月24日
057488康和MK,1555980,1700000,59,0.92,0.96,0.94,1.12,12月14日,0.81,12月17日
057489亞東G1,3658610,2233000,69,1.64,1.51,1.45,1.95,12月5日,1.21,12月21日
057490亞東G2,3542970,2928000,48,1.21,1.14,1.08,1.46,12月5日,0.94,12月20日
057491亞東G3,30660,62000,3,0.49,0.49,0.49,0.5,12月22日,0.48,12月18日
057492亞東G4,7431260,5163000,102,1.44,1.36,1.22,1.89,12月13日,1.07,12月24日
057493亞東G5,9676020,6316000,173,1.53,1.52,1.66,1.88,12月19日,1.35,12月24日
057494亞東G6,9443120,7334000,205,1.29,1.28,1.28,1.6,12月19日,1.11,12月24日
057495亞東G7,7562040,7582000,131,1,0.98,0.96,1.13,12月5日,0.88,12月24日
057496亞東G8,1083660,1285000,49,0.84,0.83,0.84,0.94,12月3日,0.65,12月24日
057497亞東G9,7934140,7252000,171,1.09,1.05,1.12,1.3,12月7日,0.78,12月3日
057498國泰5D,6669920,3690000,92,1.81,1.8,1.74,1.98,12月26日,1.54,12月3日
057499永豐5T,692070,507000,93,1.37,1.36,1.38,1.43,12月14日,1.31,12月18日
057500永豐5U,19518960,11261000,224,1.73,1.69,1.77,2.01,12月13日,1.38,12月21日
057501統一MH,266200,210000,7,1.27,1.3,1.21,1.38,12月5日,1.21,12月21日
057502統一MJ,740720,526000,21,1.41,1.38,1.31,1.47,12月12日,1.28,12月20日
057503統一MK,6001240,4808000,229,1.25,1.1,1.03,1.51,12月7日,0.85,12月21日
057504統一ML,2102350,1615000,51,1.3,1.27,1.32,1.41,12月19日,1.08,12月5日
057505統一MM,10579710,7179000,296,1.47,1.55,1.78,1.8,12月10日,1.12,12月3日
057506統一MN,1599530,559000,29,2.86,3.43,2.9,4.76,12月10日,2.25,12月17日
057507統一MP,4042630,2341000,90,1.73,1.81,1.93,2.22,12月17日,1.49,12月4日
057508元大EW,6860610,4715000,202,1.46,1.39,1.47,1.72,12月19日,1.24,12月11日
057509元大EX,1968780,1507000,54,1.31,1.36,1.07,1.84,12月5日,1.07,12月28日
057510元大EY,16586480,15707000,280,1.06,1.04,1,1.18,12月6日,0.95,12月22日
057511第一6Q,489760,448000,28,1.09,1.17,1.23,1.31,12月20日,1.02,12月4日
0575124W凱基,8628050,4381000,91,1.97,1.94,1.84,2.13,12月25日,1.71,12月3日
0575134X凱基,16074750,12139000,253,1.32,1.32,1.27,1.49,12月13日,1.18,12月21日
0575144Y凱基,27569550,21289000,486,1.3,1.3,2.03,2.19,12月28日,0.68,12月5日
0575154Z凱基,16605950,1800000,158,9.23,9.86,8.95,13.7,12月10日,7.3,12月17日
0575165A凱基,667480,518000,14,1.29,1.26,1.16,1.37,12月13日,1.15,12月19日
057517AM富邦,2306490,2489000,28,0.93,0.88,0.42,1.08,12月6日,0.42,12月19日
057518AN富邦,838900,1010000,49,0.83,0.83,0.78,0.95,12月5日,0.65,12月21日
057519AP富邦,1647710,1344000,79,1.23,1.23,1.43,1.43,12月28日,1.02,12月4日
057520AQ富邦,1056190,686000,57,1.54,1.53,1.55,1.63,12月14日,1.41,12月6日
057521AR富邦,2943560,2067000,53,1.42,1.46,1.41,1.65,12月6日,1.31,12月28日
057522AS富邦,745110,167000,27,4.46,4.79,5.65,5.65,12月28日,4.01,12月3日
057523工銀CT,4130480,1051000,64,3.93,4.03,4.02,4.5,12月6日,3.54,12月3日
057524工銀CU,2029910,2393000,37,0.85,0.85,0.93,1.03,12月25日,0.65,12月11日
057525工銀CV,355810,202000,21,1.76,1.72,1.7,2.07,12月6日,1.61,12月14日
057526工銀CW,1079100,792000,8,1.36,1.36,1.27,1.45,12月10日,1.27,12月11日
057527工銀CX,2329340,2335000,90,1,0.83,0.73,1.15,12月7日,0.64,12月22日
057528工銀CY,10071010,10714000,271,0.94,0.75,0.52,1.15,12月3日,0.43,12月21日
057529中信BT,10646100,5354000,164,1.99,1.79,1.6,2.63,12月14日,1.44,12月11日
057530中信BU,10148290,6534000,320,1.55,1.59,1.47,2.18,12月3日,1.19,12月21日
057531中信BW,16631680,14724000,376,1.13,1.1,1.04,1.43,12月6日,0.9,12月3日
057532中信BX,9271900,2931000,83,3.16,3.16,3.39,3.6,12月10日,2.68,12月21日
