,民國101年12月,,,,,,,Dec-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2362  藍天,1177467301,31991838,12969,36.81,37.03,35.8,38.8,12月6日,34.3,12月22日,4.56
2364  倫飛,42297576,13818243,3832,3.06,3.03,3.23,3.35,12月27日,2.79,12月4日,7.27
2365  昆盈,110809631,12001734,4209,9.23,9.29,9.43,9.6,12月26日,8.68,12月3日,3.93
2376  技嘉,663116614,26640924,12702,24.89,25.13,26,26,12月28日,23.9,12月4日,4.26
2377  微星,376554899,27173191,10069,13.86,13.84,13.95,14.2,12月5日,13.55,12月11日,3.22
2380  虹光,91053735,10229546,3837,8.9,8.85,8.96,9.49,12月11日,7.97,12月3日,4.65
2382  廣達,14624769429,213701785,86412,68.44,68.41,68.3,72.8,12月3日,65.1,12月21日,5.55
2385  群光,2596602064,39269239,22137,66.12,66.03,67.1,68.1,12月5日,63.8,12月24日,5.81
2387  精元,188879906,14337042,3485,13.17,12.79,12.45,14.1,12月6日,12.1,12月27日,3.88
2395  研華,1202250992,10520232,8100,114.28,113.93,122.5,122.5,12月28日,107.5,12月4日,1.88
2397  友通,110661448,4729990,1804,23.4,23.16,24.6,24.8,12月28日,22.5,12月11日,4.12
2399  映泰,202887840,18541758,3105,10.94,11,10.95,11.65,12月18日,10.65,12月11日,10.41
2405  浩鑫,216719202,20179734,6099,10.74,10.6,10.65,11.3,12月19日,10.15,12月4日,10.61
2417  圓剛,422468034,26876959,10959,15.72,15.66,15.7,16.85,12月10日,13.45,12月3日,12.99
2424  隴華,10879334,424397,328,25.63,25.78,25.6,27.75,12月6日,24.45,12月4日,1.41
2442  新美齊,40416178,5703355,1828,7.09,7.06,7.08,7.26,12月13日,6.9,12月10日,3.65
2465  麗臺,21510439,4616293,1583,4.66,4.57,4.87,4.98,12月28日,4.31,12月11日,4.31
2474  可成,34885703703,242531841,138503,143.84,143.52,144,151.5,12月5日,136.5,12月18日,32.31
3002  歐格,12065353,1151290,529,10.48,10.46,10.6,10.8,12月26日,10.05,12月11日,1.13
3005  神基,2853030836,180234800,54234,15.83,15.65,15.75,16.5,12月19日,14.8,12月11日,31.15
3013  晟銘電,1533650059,55370683,15897,27.7,26.73,28.4,29.35,12月28日,25.15,12月17日,29.9
3017  奇鋐,503574396,35084654,12902,14.35,13.95,15.5,15.55,12月28日,12.95,12月11日,9.93
