,41306,,,,,,,41306,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
1444  力麗,205790798,18469944,5151,11.14,11.11,11.1,11.4,41326,10.9,41332,2.03
1445  大宇,8958200,1267757,347,7.07,7.08,7.04,7.15,41331,7.01,41331,0.91
1446  宏和,35096529,1793062,770,19.57,19.43,20.15,20.5,41332,18.8,41311,1.29
1447  力鵬,213162806,20418482,4416,10.44,10.41,10.35,10.65,41330,10.2,41332,2.71
1451  年興,116409574,5457818,2582,21.33,21.21,21.2,22.05,41309,20.7,41306,1.26
1452  宏益,29396336,3044879,700,9.65,9.64,9.7,9.75,41323,9.55,41306,2.3
1453  大將,17156145,1685394,635,10.18,10.25,10.1,10.5,41306,10,41331,2.18
1454  台富,11062824,1554730,434,7.12,7.11,7.11,7.38,41328,6.92,41310,1.11
1455  集盛,316405677,31722204,7125,9.97,9.93,10,10.3,41330,9.75,41323,5.24
1457  宜進,43697362,5919860,1684,7.38,7.36,7.29,7.63,41306,7.25,41324,1.86
1459  聯發,12359642,1433795,649,8.62,8.6,8.59,8.74,41323,8.4,41310,0.4
1460  宏遠,26091151,3655831,1080,7.14,7.14,7.11,7.25,41330,7.03,41306,0.78
1463  強盛,182607279,14861222,3207,12.29,12.19,12.25,13.1,41328,11.65,41306,7.89
1464  得力,9483096,1043200,358,9.09,9.07,9.18,9.28,41332,8.89,41309,0.48
1465  偉全,11600357,924916,344,12.54,12.54,12.55,12.7,41332,12.4,41324,1.07
1466  聚隆,99835218,5253161,2283,19,18.7,19.4,20.35,41330,18.05,41326,5.51
1467  南緯,129146910,11547026,2921,11.18,10.88,12.25,12.25,41332,10.1,41306,6.86
1468  昶和,4316541,381095,238,11.33,11.37,10.7,12.45,41323,10.7,41332,0.24
1469  理隆,575306,63549,56,9.05,9.11,9.09,9.26,41311,8.9,41326,0.05
1470  大統染,1819715,148925,88,12.22,12.41,11.85,13.2,41323,11.85,41332,0.17
1472  三洋紡,15993349,1082139,632,14.78,15.35,13.8,16.7,41306,13.2,41332,1.82
1473  台南,92114077,3034716,1703,30.35,30.39,30.1,31.6,41309,30.05,41332,2.07
1474  弘裕,5117909,736205,286,6.95,6.96,6.95,7.09,41323,6.85,41311,0.53
1475  本盟,3273329,369894,213,8.85,8.55,7.73,10.5,41306,7.7,41325,1.14
1476  儒鴻,2630472541,21140498,13098,124.43,126.88,122,136,41325,115,41331,8.59
1477  聚陽,1182626478,12083601,7762,97.87,97.7,99.2,100.5,41326,94.4,41310,7.3
4414  如興,113614850,10540179,3064,10.78,10.44,10.25,11.55,41330,10,41331,17.98
4426  利勤,117089457,3910515,1953,29.94,27.88,32.15,32.15,41332,26.6,41327,6.11
05 電機機械類,,,,,,,,,,,
Electric Machinery,,,,,,,,,,,
1503  士電,64347436,1795263,941,35.84,35.83,35.9,36,41328,35.6,41331,0.34
1504  東元,2002737300,82743432,27867,24.2,24.16,23.7,24.8,41306,23.45,41324,4.48
1506  正道,35686345,1641397,650,21.74,21.82,21.1,22.5,41309,20.95,41332,1.34
1507  永大,957721200,16544007,8579,57.89,57.98,56,60.5,41324,55.3,41331,4.03
1512  瑞利,33610213,4244558,970,7.92,7.89,8,8.12,41325,7.65,41323,2.33
1513  中興電,250688224,15709898,4153,15.96,15.94,16,16.05,41332,15.8,41311,3.27
1514  亞力,28064921,3211322,856,8.74,8.74,8.86,8.93,41323,8.6,41311,1.6
1515  力山,31331563,3319100,1037,9.44,9.48,9,9.8,41323,8.94,41332,1.83
1517  利奇,95455227,7690964,2288,12.41,12.28,12.3,12.75,41330,11.9,41310,3.38
1519  華城,78883789,6350705,2729,12.42,12.1,12.9,13.3,41331,11.55,41309,2.43
1521  大億,76754142,1592532,1106,48.2,48.21,48.5,49.3,41332,47.15,41327,2.09
1522  堤維西,53430453,4907248,1667,10.89,10.82,10.7,11.25,41325,10.55,41323,1.56
1524  耿鼎,15249218,2315520,816,6.59,6.55,6.7,6.76,41332,6.41,41311,1.43
1525  江申,70734813,1502254,1055,47.09,46.75,46.6,48.5,41323,45.5,41309,2.17
1526  日馳,1758669,250646,136,7.02,7.02,7.14,7.24,41330,6.8,41309,0.5
1527  鑽全,23844997,1265101,673,18.85,18.84,18.65,19.3,41324,18.5,41328,0.83
1528  恩德,193574106,16103445,5039,12.02,11.95,12,12.8,41328,10.6,41306,10.95
1530  亞崴,29883166,949104,426,31.49,31.45,31.45,31.8,41324,31.05,41331,1
1531  高林股,43179087,2377028,1139,18.17,18.14,17.95,18.5,41323,17.9,41332,1.23
1533  車王電,26833744,1526145,811,17.58,17.51,17.35,18.05,41309,17,41323,1.58
1535  中宇,415057651,5322016,3725,77.99,77.19,79.4,81.2,41332,73.5,41309,4.6
1536  和大,713954888,32822871,12152,21.75,21.43,21.8,23.65,41328,20.65,41310,20.73
1537  廣隆,760981577,11303449,6605,67.32,67.24,66.9,69.3,41323,65.2,41325,13.85
1538  正峰新,206746409,14970623,5064,13.81,13.17,14.8,15.65,41328,11,41310,9.24
1539  巨庭,3353391,483375,204,6.94,6.88,6.9,7.2,41327,6.56,41310,0.74
1540  喬福,36600483,1951364,846,18.76,18.76,18.65,19.5,41306,18.4,41326,2.28
1541  錩泰,7651489,718531,279,10.65,10.62,10.45,11.1,41306,10.35,41311,0.91
1560  中砂,2107829795,41303179,21717,51.03,50.36,53.9,55.4,41331,47.2,41306,29.29
1583  程泰,21926108,510408,319,42.96,42.95,42.95,44,41330,42,41332,0.52
1589  F-永冠,284916404,7950318,1360,35.84,37.27,38.3,38.5,41332,36.4,41310,7.88
1590  F-亞德,3373087856,19424416,5857,173.65,171.69,173,182,41309,163.5,41327,12.95
2049  上銀,7925953439,32956815,26024,240.5,239.58,245,249,41325,227,41310,13.37
2231  為升,98715117,1382410,503,71.41,70.96,70,73,41325,69,41330,2.28
4526  東台,93762245,4055575,2032,23.12,23.08,22.95,23.7,41306,22.65,41331,1.79
4532  瑞智,448957966,17136227,5898,26.2,26.15,26.2,26.7,41330,25.45,41324,3.88
6605  帝寶,190310636,2635204,1767,72.22,71.28,72,74.5,41330,68.4,41310,1.59
8374  羅昇,923307705,25645746,16219,36,35.61,35.3,38.5,41324,34,41311,29.27
06 電器電纜類,,,,,,,,,,,
Electrical and Cable,,,,,,,,,,,
1603  華電,70701256,6359686,1610,11.12,11.11,11.05,11.3,41326,10.95,41331,1.86
1604  聲寶,192353966,19034253,3823,10.11,10.09,10.05,10.2,41330,10,41332,3.26
1605  華新,1104851762,108871039,26985,10.15,10.03,10.2,10.5,41332,9.82,41311,3.01
1608  華榮,95745314,8493161,2561,11.27,11.25,11.3,11.55,41331,10.95,41311,1.34
1609  大亞,58867916,8199154,2630,7.18,7.17,7.17,7.29,41328,7.03,41310,1.41
1611  中電,78919327,4447961,2078,17.74,17.75,17.7,18,41310,17.4,41310,1.12
1612  宏泰,176451175,16094445,4304,10.96,10.7,10.75,11.45,41325,10.05,41311,4.97
1613  台一,22641201,4612668,1024,4.91,4.9,4.82,5.04,41324,4.78,41306,2.31
1614  三洋電,101173106,3273700,1273,30.9,30.92,31.25,31.7,41330,30.5,41309,1.03
1615  大山,4884052,441234,232,11.07,11.15,10.9,11.35,41323,10.85,41331,0.39
1616  億泰,26310488,4280208,1186,6.15,6.16,6.09,6.35,41323,6,41327,2.2
1617  榮星,4187298,441503,237,9.48,9.46,9.39,9.77,41306,9,41327,0.31
1618  合機,75765174,6717907,1928,11.28,11.19,11.2,11.7,41328,11,41324,2.79
4930  燦星網,603773273,42554287,12964,14.19,14.08,14.25,14.7,41327,13.55,41324,15.84
08 玻璃陶瓷類,,,,,,,,,,,
Glass and Ceramics,,,,,,,,,,,
1802  台玻,407301647,13987973,6853,29.12,29.02,28.05,29.7,41323,28.05,41332,0.59
1806  冠軍,89052908,8081604,2664,11.02,11,10.85,11.25,41325,10.75,41310,1.85
1809  中釉,102521777,6862098,2827,14.94,14.88,14.85,15.3,41330,14.55,41311,3.62
1810  和成,71625479,7630035,2382,9.39,9.3,9.2,9.65,41310,9.1,41306,2.06
09 造紙工業類,,,,,,,,,,,
Paper and Pulp,,,,,,,,,,,
1902  台紙,78247102,8321296,2166,9.4,9.4,9.41,9.66,41326,9.05,41332,2.07
1903  士紙,127894847,2670560,1077,47.89,47.93,48.3,49.2,41326,47.2,41332,1.03
1904  正隆,163563658,13054247,5558,12.53,12.49,12.7,12.85,41328,12.2,41306,1.22
1905  華紙,218706785,21010412,5402,10.41,10.35,10.35,10.65,41326,10.15,41323,1.67
1906  寶隆,2917767,432384,221,6.75,6.77,6.63,7.02,41323,6.58,41330,0.29
1907  永豐餘,2040527222,134888887,36363,15.13,14.61,15.2,15.9,41328,13.85,41323,8.12
1909  榮成,58545542,7143733,1572,8.2,8.16,8.22,8.34,41330,8.05,41311,1.04
10 鋼鐵工業類,,,,,,,,,,,
Iron and Steel,,,,,,,,,,,
1532  勤美,1765196110,53384493,18328,33.07,32.58,34.3,35.15,41327,28.9,41306,14.11
2002  中鋼,6134040181,221770683,66174,27.66,27.71,27.2,28,41330,27.2,41332,1.45
2002A 中鋼特,4349600,108000,43,40.27,40.39,40.3,41,41328,39.8,41309,0.28
2006  東鋼,405623623,13824652,7280,29.34,29.34,29,29.8,41309,28.9,41332,1.4
