,民國101年07月,,,,,,,Jul-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
3016  嘉晶,60182830,4289997,2436,14.03,13.98,13.1,15.45,7月5日,12.7,7月24日,4.57
3034  聯詠,4990900319,57131044,32940,87.36,86.67,87.6,95.4,7月5日,80,7月17日,9.48
3035  智原,5369340427,133445621,62663,40.24,39.56,41,42.9,7月4日,37.05,7月17日,33.17
3041  揚智,3740394522,109028935,53893,34.31,33.92,33.15,36.9,7月4日,29.9,7月25日,35.87
3054  萬國,11701103,1047441,576,11.17,11.15,10.8,11.75,7月4日,10.6,7月26日,1.35
3094  聯傑,68260922,4174515,2133,16.35,16.18,15.45,18,7月5日,14.9,7月24日,4.9
3189  景碩,7101669406,86116292,49546,82.47,82.23,84.4,85.5,7月31日,77.8,7月17日,19.31
3257  虹冠電,179434398,6943235,3438,25.84,25.1,27.1,27.45,7月31日,23.7,7月25日,17.93
3443  創意,3204771866,32469179,21338,98.7,97.13,97.9,107.5,7月5日,91.6,7月24日,24.23
3474  華亞科,1126989306,189278093,41053,5.95,6.13,5.69,7.5,7月3日,4.85,7月26日,4.08
3519  綠能,1483329409,64063323,28316,23.15,23,20.75,26.5,7月2日,20,7月31日,19.9
3532  台勝科,49628037,1785382,1202,27.8,27.7,27,29.75,7月4日,25.6,7月25日,0.23
3545  旭曜,591223909,20422872,10814,28.95,28.69,28.9,31.1,7月5日,26,7月24日,14.76
3559  全智科,582906491,29056979,12546,20.06,19.67,19.1,21.8,7月4日,18.3,7月25日,24.74
3579  尚志,356778509,12932167,8016,27.59,27.49,23.85,33.6,7月2日,22.2,7月25日,11.19
3588  通嘉,117333298,2213132,1605,53.02,52.01,50.3,56.1,7月4日,48.2,7月26日,4.96
3598  奕力,1991520799,24718804,16023,80.57,79.58,82.4,84,7月5日,75.2,7月23日,38.58
3638  F-IML,3152367060,27705144,14722,113.78,112.45,113,122,7月10日,105.5,7月24日,38.48
3686  達能,662521203,46780622,20540,14.16,13.96,11.9,16.85,7月4日,11.35,7月25日,22.97
3697  F-晨星,16463515448,85057076,43992,193.56,190.84,191.5,206.5,7月6日,181,7月26日,16.07
4919  新唐,1610265416,47163422,22093,34.14,32.19,39,39,7月31日,30.1,7月17日,22.72
