,民國101年07月,,,,,,,Jul-12,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
051982B4永豐,88000,579000,12,0.15,0.15,0.11,0.28,7月5日,0.09,7月18日
051983B6永豐,39470,160000,6,0.25,0.26,0.2,0.32,7月4日,0.2,7月23日
051984B8永豐,111800,314000,7,0.36,0.28,0.18,0.37,7月2日,0.18,7月24日
051985C1永豐,23780,54000,2,0.44,0.62,0.41,0.82,7月11日,0.41,7月30日
051986C2永豐,49390,272000,22,0.18,0.21,0.19,0.33,7月4日,0.14,7月18日
051987元大3A,15850160,4206000,598,3.77,3.82,4.21,4.87,7月2日,3.1,7月17日
051988元大3B,1742770,1540000,25,1.13,1.08,1.09,1.23,7月18日,0.93,7月23日
051989元大3C,111600,310000,17,0.36,0.38,0.32,0.47,7月5日,0.23,7月25日
051990第一1S,533060,1410000,173,0.38,0.43,0.28,0.66,7月5日,0.2,7月26日
051991第一1T,799800,3974000,104,0.2,0.19,0.15,0.23,7月6日,0.15,7月31日
051992富邦90,4658170,8845000,209,0.53,0.52,0.1,1.03,7月4日,0.1,7月31日
051993富邦92,2089750,2395000,83,0.87,0.92,1,1.12,7月30日,0.74,7月24日
051994富邦93,7989110,4244000,115,1.88,1.79,1.55,2.2,7月12日,1.43,7月25日
051995富邦94,2287620,1389000,91,1.65,1.59,1.59,1.89,7月20日,1.37,7月25日
051996富邦95,15500,52000,5,0.3,0.28,0.2,0.38,7月6日,0.2,7月27日
051997富邦96,4164420,5650000,165,0.74,0.62,0.44,0.91,7月6日,0.44,7月31日
051999臺銀04,87171850,58702000,1023,1.48,1.27,1.06,1.64,7月10日,0.85,7月26日
052000群益9R,281140,2468000,33,0.11,0.11,0.05,0.16,7月5日,0.05,7月13日
052001群益9S,1655170,1236000,68,1.34,1.1,0.58,1.56,7月12日,0.58,7月24日
052002群益9X,306270,818000,20,0.37,0.29,0.11,0.41,7月3日,0.11,7月30日
052003C4永豐,391280,690000,49,0.57,0.51,0.16,1.09,7月4日,0.16,7月31日
052004C5永豐,2980,11000,7,0.27,0.34,0.29,0.51,7月3日,0.19,7月25日
052005日盛12,1920850,3846000,125,0.5,0.48,0.17,0.89,7月4日,0.11,7月26日
052006日盛13,88000,470000,8,0.19,0.19,0.13,0.25,7月9日,0.11,7月25日
052007日盛15,3180920,8283000,258,0.38,0.4,0.32,0.6,7月4日,0.29,7月25日
052008大華GG,4140120,2703000,55,1.53,1.38,1.16,1.68,7月6日,1.1,7月16日
052009大華GH,15691260,17710000,391,0.89,0.91,0.95,1.22,7月10日,0.65,7月24日
052010大華GI,5557180,2407000,143,2.31,2.04,1.87,2.65,7月5日,1.55,7月26日
052011元富ET,615680,1841000,229,0.33,0.31,0.08,0.43,7月5日,0.08,7月25日
052012元富EU,60510,201000,9,0.3,0.23,0.14,0.38,7月4日,0.13,7月25日
052013元富EV,13267660,6286000,261,2.11,1.84,1.49,2.39,7月10日,1.17,7月26日
052014元富EW,2639820,4506000,100,0.59,0.72,1,1.01,7月30日,0.52,7月17日
052015元富EX,2897660,1849000,494,1.57,1.57,1.33,1.83,7月6日,1.32,7月26日
052016元富EY,106440,178000,16,0.6,0.63,0.66,0.97,7月4日,0.32,7月25日
052017元富EZ,877090,1218000,23,0.72,0.68,0.58,0.8,7月5日,0.56,7月17日
052018元富FE,15000,20000,2,0.75,0.75,0.75,0.75,7月3日,0.75,7月3日
052019元富FF,93410,352000,12,0.27,0.26,0.21,0.35,7月4日,0.21,7月26日
052020元富FH,34350,100000,4,0.34,0.34,0.27,0.46,7月10日,0.27,7月19日
052021元富FJ,16252720,8805000,1189,1.85,1.77,1.33,2.35,7月12日,1.2,7月27日
052022元富FK,66770,649000,18,0.1,0.19,0.08,0.47,7月5日,0.08,7月26日
052023元富FL,1514600,11855000,245,0.13,0.12,0.04,0.39,7月4日,0.03,7月26日
052024兆豐5K,293440,433000,30,0.68,0.68,0.67,0.82,7月4日,0.55,7月24日
052025兆豐5L,316280,1128000,75,0.28,0.26,0.21,0.39,7月4日,0.19,7月13日
052026兆豐5M,1493800,1978000,95,0.76,0.81,0.51,1.26,7月2日,0.51,7月31日
052027兆豐5N,1208470,2595000,85,0.47,0.46,0.41,0.6,7月9日,0.35,7月25日
052028兆豐5P,2353940,6975000,231,0.34,0.38,0.09,0.7,7月5日,0.09,7月31日
052029兆豐5Q,58300,146000,14,0.4,0.5,0.17,0.78,7月4日,0.17,7月27日
052030兆豐5R,16865170,24996000,472,0.67,0.66,0.66,0.9,7月6日,0.46,7月26日
052031兆豐5S,964030,2998000,80,0.32,0.27,0.1,0.4,7月2日,0.1,7月30日
052032兆豐5T,1694380,2502000,99,0.68,0.69,0.91,0.99,7月31日,0.53,7月2日
052033兆豐5U,2764050,4776000,99,0.58,0.54,0.46,0.68,7月3日,0.38,7月26日
052034兆豐5V,148710,251000,16,0.59,0.58,0.66,0.66,7月31日,0.53,7月24日
052035元大4P,15041440,4360000,194,3.45,3.81,3.8,4.99,7月6日,2.76,7月26日
052036元大4Q,930,4000,3,0.23,0.23,0.21,0.26,7月20日,0.21,7月24日
052037元大4R,3395470,4595000,167,0.74,0.7,0.96,0.97,7月31日,0.58,7月23日
052038元大4S,80000,635000,45,0.13,0.14,0.1,0.26,7月5日,0.09,7月26日
052039元大4T,1874610,6209000,144,0.3,0.28,0.25,0.52,7月4日,0.22,7月26日
052040元大4U,4832060,4747000,226,1.02,1.01,1.09,1.18,7月5日,0.87,7月23日
052041元大4V,1442240,2059000,40,0.7,0.71,0.72,0.83,7月5日,0.59,7月24日
052042元大4W,683600,1176000,511,0.58,0.54,0.5,0.62,7月3日,0.4,7月25日
052043元大4X,1592580,1776000,119,0.9,0.86,0.88,1.09,7月2日,0.75,7月26日
052044元大4Y,2337240,7397000,156,0.32,0.34,0.25,0.47,7月5日,0.18,7月26日
052045元大5D,1460730,1186000,61,1.23,1.2,1.39,1.41,7月30日,1.01,7月16日
052046元大5E,10643290,7051000,193,1.51,1.57,1.69,1.75,7月18日,1.26,7月2日
052047元大5F,4088370,4283000,218,0.95,0.87,1.26,1.26,7月31日,0.63,7月3日
052048元大5G,6101730,6767000,184,0.9,0.89,0.95,1.01,7月12日,0.77,7月25日
052049元大5H,20315940,18275000,558,1.11,1.09,1.19,1.26,7月12日,0.95,7月25日
052050元大5I,3946170,6634000,167,0.59,0.59,0.54,0.73,7月5日,0.43,7月17日
052051元大5J,41000,300000,7,0.14,0.14,0.1,0.17,7月5日,0.1,7月16日
052052國泰16,1037300,5710000,77,0.18,0.21,0.09,0.42,7月5日,0.09,7月31日
052053國泰17,8949300,12752000,365,0.7,0.74,0.58,1.13,7月4日,0.53,7月26日
052054中信74,2167690,2238000,89,0.97,1.06,1.11,1.51,7月5日,0.66,7月25日
052055中信76,3832610,4565000,157,0.84,0.75,0.92,0.96,7月30日,0.63,7月26日
052056中信77,754680,1907000,73,0.4,0.39,0.18,0.92,7月5日,0.16,7月24日
052057工銀69,781600,920000,19,0.85,0.84,0.81,1.05,7月12日,0.77,7月16日
052058工銀70,12890,16000,3,0.81,0.83,0.93,0.94,7月31日,0.73,7月27日
052059工銀71,3423200,3472000,60,0.99,1.05,1.23,1.27,7月11日,0.78,7月2日
052060富邦99,669500,748000,22,0.9,1,0.99,1.26,7月4日,0.74,7月24日
052061富邦A2,1055200,3014000,78,0.35,0.35,0.39,0.44,7月4日,0.29,7月24日
052062富邦A3,707330,1236000,81,0.57,0.55,0.46,0.73,7月4日,0.4,7月17日
052063康和FM,970440,2172000,51,0.45,0.49,0.31,0.74,7月4日,0.18,7月26日
052064康和FN,8744410,10465000,308,0.84,0.88,0.29,1.9,7月4日,0.29,7月30日
052065康和FP,8833410,2062000,101,4.28,2.77,1.38,4.73,7月4日,1.38,7月31日
052066日盛16,610710,3113000,62,0.2,0.28,0.17,0.65,7月2日,0.11,7月30日
052067日盛17,119400,520000,7,0.23,0.21,0.17,0.26,7月4日,0.17,7月18日
052068日盛18,1028980,3012000,77,0.34,0.28,0.1,0.48,7月2日,0.09,7月31日
052069永昌CX,1063160,2094000,70,0.51,0.5,0.4,0.72,7月2日,0.37,7月24日
052070永昌CY,246700,494000,23,0.5,0.42,0.26,0.56,7月6日,0.26,7月27日
052071永昌CZ,1046950,2510000,29,0.42,0.41,0.24,0.75,7月4日,0.24,7月31日
052072C6永豐,68622000,95898000,2306,0.72,0.69,0.86,0.95,7月5日,0.47,7月2日
052073C7永豐,1234490,3110000,83,0.4,0.36,0.2,0.57,7月5日,0.19,7月24日
052074D1永豐,464940,1052000,33,0.44,0.45,0.5,0.54,7月30日,0.4,7月25日
052075D3永豐,96750,248000,101,0.39,0.4,0.38,0.45,7月2日,0.37,7月10日
052076D5永豐,315130,4685000,77,0.07,0.08,0.05,0.15,7月11日,0.04,7月31日
052077D7永豐,210350,278000,12,0.76,0.63,0.49,0.89,7月5日,0.49,7月23日
052078D8永豐,832060,6883000,122,0.12,0.11,0.09,0.24,7月5日,0.04,7月26日
052079D9永豐,102130,347000,5,0.29,0.32,0.32,0.32,7月31日,0.29,7月31日
052080統一K2,299580,464000,25,0.65,0.62,0.54,0.78,7月4日,0.48,7月18日
052081統一K4,3714700,6990000,470,0.53,0.65,0.93,1.06,7月30日,0.47,7月17日
052082統一K5,6394540,6015000,187,1.06,1.08,1.16,1.22,7月18日,0.89,7月3日
052083工銀72,3490990,5041000,276,0.69,0.73,0.57,1.19,7月5日,0.44,7月17日
052084中信78,32500,150000,8,0.22,0.25,0.17,0.39,7月13日,0.13,7月26日
052085中信79,9043530,8147000,361,1.11,1.35,0.43,2.48,7月4日,0.4,7月31日
052086元大5P,391250,374000,26,1.05,1.16,0.71,2.11,7月2日,0.7,7月31日
052087元大5Q,4350,15000,1,0.29,0.29,0.29,0.29,7月10日,0.29,7月10日
052088元大5R,5800,35000,2,0.17,0.12,0.03,0.22,7月2日,0.03,7月31日
052089元大5S,2803120,2902000,139,0.97,0.93,0.81,1.16,7月10日,0.63,7月26日
052090元大5T,277050,332000,19,0.83,0.83,0.88,0.89,7月30日,0.76,7月25日
052091元大5U,1021810,1366000,26,0.75,0.76,0.78,0.81,7月12日,0.72,7月6日
052092元大5V,2722510,1516000,81,1.8,1.84,1.62,2.12,7月12日,1.46,7月27日
052093兆豐5W,2382490,4879000,171,0.49,0.53,0.58,0.67,7月4日,0.39,7月25日
052094兆豐5X,180280,727000,12,0.25,0.25,0.21,0.3,7月4日,0.21,7月18日
052095兆豐5Y,4725610,8616000,165,0.55,0.6,0.74,0.78,7月30日,0.46,7月24日
052096兆豐5Z,674880,3902000,123,0.17,0.16,0.1,0.24,7月5日,0.09,7月31日
052097兆豐6A,1375380,3320000,61,0.41,0.42,0.41,0.55,7月4日,0.31,7月25日
052098兆豐6B,4330510,4520000,358,0.96,1.11,1.12,1.51,7月6日,0.71,7月25日
052099兆豐6C,6606680,9472000,159,0.7,0.67,0.71,0.81,7月10日,0.55,7月26日
052100兆豐6D,323770,833000,40,0.39,0.42,0.31,0.55,7月3日,0.29,7月31日
052101富邦A4,192200,315000,16,0.61,0.53,0.38,0.75,7月4日,0.35,7月27日
052102富邦A5,470780,1192000,344,0.39,0.39,0.48,0.49,7月30日,0.3,7月25日
052103大華GJ,320520,203000,14,1.58,1.64,1.62,1.76,7月9日,1.47,7月26日
052104大華GK,939760,1668000,43,0.56,0.57,0.63,0.64,7月20日,0.47,7月17日
052105大華GL,728990,2492000,31,0.29,0.27,0.14,0.42,7月5日,0.14,7月24日
052106大華GM,577820,879000,27,0.66,0.62,0.2,0.89,7月5日,0.2,7月25日
052107大華GQ,731350,1408000,22,0.52,0.46,0.48,0.58,7月19日,0.36,7月26日
052109永昌DB,165820,211000,22,0.79,0.77,0.85,0.88,7月23日,0.66,7月20日
052110永昌DD,71420,258000,7,0.28,0.26,0.21,0.31,7月5日,0.19,7月24日
052111永昌DE,36800,80000,1,0.46,0.46,0.46,0.46,7月26日,0.46,7月26日
052112永昌DF,2161850,2586000,57,0.84,0.84,1.02,1.02,7月31日,0.77,7月6日
052113永昌DG,442410,695000,91,0.64,0.62,0.61,0.8,7月5日,0.51,7月27日
052114統一L1,3911770,4635000,84,0.84,0.94,0.83,1.35,7月6日,0.61,7月27日
052115統一L2,7481000,6687000,155,1.12,1,0.92,1.3,7月6日,0.78,7月26日
052116統一L3,2306420,4100000,89,0.56,0.67,0.16,1.37,7月4日,0.16,7月31日
052117統一L4,157390,549000,16,0.29,0.36,0.14,0.57,7月5日,0.14,7月13日
052118統一L5,2800,40000,2,0.07,0.07,0.04,0.1,7月11日,0.04,7月31日
052120E1永豐,560050,863000,26,0.65,0.65,0.4,0.88,7月5日,0.4,7月31日
052121E2永豐,3665570,6519000,90,0.56,0.6,0.43,0.94,7月4日,0.41,7月24日
052122E3永豐,1665300,2314000,73,0.72,0.73,0.49,1.21,7月4日,0.4,7月24日
052123E5永豐,1291420,2189000,73,0.59,0.55,0.44,0.73,7月5日,0.42,7月16日
052124E9永豐,693750,1077000,58,0.64,0.59,0.54,0.84,7月30日,0.47,7月18日
052125F2永豐,143600,800000,20,0.18,0.2,0.14,0.3,7月4日,0.14,7月26日
052126F4永豐,42230,238000,7,0.18,0.23,0.15,0.32,7月5日,0.15,7月24日
052127F6永豐,2590990,3345000,106,0.77,0.77,0.98,1.12,7月10日,0.59,7月25日
052128元富FN,236560,798000,16,0.3,0.3,0.25,0.35,7月4日,0.25,7月9日
052129元富FP,106520,612000,15,0.17,0.31,0.1,0.53,7月2日,0.1,7月26日
052130元富FQ,40268210,27203000,640,1.48,1.54,1.53,2.06,7月6日,1.1,7月26日
052131元富FR,9874560,6614000,304,1.49,1.57,1.42,2.17,7月6日,1.07,7月26日
052132元富FT,35500,100000,2,0.36,0.36,0.36,0.36,7月4日,0.35,7月3日
052133元富FV,526940,2067000,45,0.25,0.28,0.41,0.51,7月3日,0.11,7月25日
052134元富FW,2859440,5898000,120,0.48,0.4,0.21,0.97,7月5日,0.19,7月26日
052135元富FX,4712460,17559000,552,0.27,0.26,0.16,0.58,7月5日,0.12,7月26日
052136元富FZ,1655200,734000,43,2.26,2.23,2.14,2.72,7月30日,1.89,7月18日
052137元富GA,1892090,1265000,32,1.5,1.46,1.51,1.55,7月19日,1.32,7月10日
052138凱基FT,198350,519000,7,0.38,0.36,0.29,0.4,7月5日,0.29,7月12日
052139凱基FU,1102780,2917000,76,0.38,0.35,0.33,0.43,7月5日,0.25,7月25日
052140中信80,4048130,6840000,80,0.59,0.66,0.75,1.07,7月4日,0.36,7月25日
052141中信81,434880,1651000,47,0.26,0.31,0.26,0.49,7月4日,0.23,7月26日
052142中信82,8570430,3719000,39,2.3,2.32,2.08,2.99,7月6日,1.74,7月31日
052143國泰22,1572780,1974000,54,0.8,0.69,0.25,1.37,7月4日,0.23,7月27日
052144第一1U,250630,2516000,57,0.1,0.09,0.1,0.13,7月24日,0.01,7月19日
052145元大5X,3892110,10429000,216,0.37,0.39,0.4,0.55,7月5日,0.22,7月25日
052146元大5Y,14738870,23840000,886,0.62,0.59,0.38,1.29,7月5日,0.31,7月24日
052147元大5Z,338850,157000,28,2.16,2.05,1.77,2.67,7月6日,1.53,7月26日
052148元大6A,1500920,588000,119,2.55,2.65,2.66,3.38,7月6日,2.07,7月26日
052149群益AB,14731070,12710000,286,1.16,1.2,2.11,2.11,7月31日,0.84,7月2日
052150群益AC,7068080,3421000,86,2.07,2.01,1.7,2.43,7月12日,1.65,7月27日
052151群益AD,195020,453000,19,0.43,0.41,0.25,0.56,7月5日,0.25,7月30日
052152群益AE,1489310,1320000,82,1.13,1.05,1.36,1.41,7月30日,0.82,7月2日
052153群益AF,3065400,9164000,123,0.33,0.77,0.24,1.69,7月4日,0.24,7月30日
052154群益AG,1116990,970000,69,1.15,1.19,0.55,1.9,7月4日,0.55,7月30日
052155群益AI,1044550,1344000,32,0.78,0.86,0.79,1.13,7月4日,0.69,7月16日
052156群益AJ,6445960,6838000,264,0.94,0.88,0.95,1.23,7月4日,0.57,7月25日
052157群益AL,55411830,34289000,1919,1.62,1.74,1.2,3.5,7月5日,1,7月24日
052158富邦A7,2301990,2695000,117,0.85,0.88,0.86,1,7月10日,0.7,7月30日
052159富邦A9,564590,1518000,24,0.37,0.36,0.43,0.43,7月31日,0.32,7月23日
052160富邦B2,18806870,11348000,569,1.66,1.69,2.01,2.07,7月31日,1.23,7月2日
052161富邦B6,18000,100000,2,0.18,0.18,0.16,0.2,7月16日,0.16,7月24日
052162富邦B7,6891490,5433000,144,1.27,1.26,1.5,1.65,7月13日,0.92,7月2日
052163富邦B8,2023050,2139000,62,0.95,0.93,0.98,1.07,7月30日,0.81,7月17日
052164富邦B9,573860,1306000,40,0.44,0.4,0.42,0.62,7月11日,0.27,7月24日
052165大華GU,5355250,4696000,103,1.14,0.93,0.87,1.34,7月6日,0.56,7月26日
052166日盛23,194110,889000,15,0.22,0.22,0.05,0.66,7月4日,0.04,7月26日
052167日盛24,685700,1589000,89,0.43,0.52,0.33,0.75,7月4日,0.24,7月26日
052168日盛25,7385340,9193000,233,0.8,0.76,0.45,1.13,7月5日,0.33,7月26日
052169日盛26,8620,22000,7,0.39,0.4,0.44,0.44,7月27日,0.3,7月25日
052170元富GB,3216860,3374000,67,0.95,0.85,0.62,1.2,7月5日,0.5,7月25日
052171元富GC,3961630,5299000,160,0.75,0.81,0.59,1.11,7月5日,0.42,7月26日
052173元富GF,9489970,17892000,714,0.53,0.53,0.26,0.95,7月4日,0.26,7月31日
052174元富GG,29965200,22197000,648,1.35,1.33,1.68,2.61,7月30日,1.04,7月17日
052175凱基FW,3544510,6562000,94,0.54,0.67,0.15,1.18,7月4日,0.15,7月31日
052176凱基FY,17588640,33203000,765,0.53,0.47,0.43,0.7,7月4日,0.25,7月24日
052177凱基GA,2811850,4401000,126,0.64,0.74,0.53,1.04,7月5日,0.37,7月26日
052178凱基GC,7841840,5426000,202,1.45,1.49,1.43,2.3,7月4日,1.16,7月31日
052179凱基GD,19342440,28078000,468,0.69,0.76,0.97,1.36,7月3日,0.37,7月23日
052180凱基GE,4608930,3061000,56,1.51,1.5,1.44,2.13,7月2日,1.23,7月27日
052181凱基GF,5408210,2620000,63,2.06,2.03,2.22,2.65,7月10日,1.66,7月26日
052182凱基GG,4577500,3179000,290,1.44,1.67,0.92,2.92,7月4日,0.88,7月31日
052183元大6K,1143300,2708000,100,0.42,0.45,0.41,0.61,7月4日,0.29,7月25日
052184元大6L,4978870,8304000,326,0.6,0.62,0.51,0.79,7月5日,0.4,7月26日
052185元大6M,2238920,5735000,212,0.39,0.39,0.45,0.66,7月4日,0.2,7月23日
052186元大6N,7920450,18366000,481,0.43,0.49,0.31,0.88,7月3日,0.2,7月31日
052187元大6P,2057860,2744000,116,0.75,0.7,0.85,0.86,7月31日,0.6,7月26日
052188元大6Q,76574100,74246000,2209,1.03,1.06,0.44,3.26,7月5日,0.37,7月24日
052189元大6R,3774160,2510000,138,1.5,1.41,1.78,1.84,7月10日,0.86,7月3日
052190元大6S,5690890,5140000,124,1.11,1.1,1.19,1.39,7月10日,0.86,7月24日
052191F8永豐,13320,10000,2,1.33,1.33,1.33,1.35,7月13日,1.33,7月13日
052192F9永豐,27864430,32417000,1015,0.86,0.88,1.08,1.2,7月5日,0.58,7月2日
052193G3永豐,4700,110000,4,0.04,0.04,0.04,0.05,7月26日,0.03,7月24日
052194G5永豐,170550,316000,21,0.54,0.58,0.51,0.73,7月9日,0.5,7月18日
052196G9永豐,1369610,2927000,49,0.47,0.46,0.5,0.54,7月4日,0.35,7月18日
052197H2永豐,230180,1103000,15,0.21,0.2,0.16,0.23,7月3日,0.16,7月10日
052198H5永豐,62630,350000,20,0.18,0.16,0.12,0.26,7月4日,0.07,7月27日
052199H6永豐,4300410,7589000,185,0.57,0.61,0.63,0.9,7月10日,0.39,7月25日
052200H8永豐,1692680,4551000,114,0.37,0.36,0.53,0.6,7月23日,0.24,7月4日
052201H9永豐,660120,3149000,111,0.21,0.25,0.09,0.52,7月5日,0.05,7月26日
052202I3永豐,3500,50000,1,0.07,0.07,0.07,0.07,7月17日,0.07,7月17日
052203I4永豐,297410,1840000,26,0.16,0.17,0.17,0.23,7月3日,0.12,7月13日
052204I5永豐,990,6000,2,0.16,0.16,0.16,0.17,7月23日,0.16,7月24日
052205I6永豐,197820,828000,15,0.24,0.24,0.13,0.35,7月5日,0.1,7月26日
052206I8永豐,82840,173000,8,0.48,0.47,0.46,0.51,7月10日,0.43,7月2日
052207日盛28,3708520,2125000,200,1.75,1.68,1.84,2.17,7月10日,1.39,7月24日
052208日盛29,46806260,28508000,986,1.64,1.63,2.08,2.3,7月10日,0.89,7月3日
052209國泰23,7048480,7719000,225,0.91,0.82,0.4,1.42,7月4日,0.4,7月31日
052210國泰24,335120,1285000,56,0.26,0.25,0.19,0.39,7月2日,0.17,7月17日
052211國泰25,1449210,1768000,65,0.82,0.73,0.72,0.89,7月5日,0.55,7月18日
052212兆豐6N,850500,1956000,78,0.43,0.38,0.5,0.55,7月31日,0.29,7月25日
052213兆豐6P,819140,3336000,119,0.25,0.23,0.2,0.32,7月5日,0.18,7月24日
052214兆豐6Q,19100,49000,2,0.39,0.36,0.41,0.41,7月12日,0.3,7月2日
052216兆豐6S,7072220,15431000,984,0.46,0.35,0.24,0.71,7月5日,0.2,7月24日
052217兆豐6T,2250,6000,3,0.38,0.38,0.37,0.41,7月17日,0.36,7月24日
052218兆豐6U,2882760,6137000,99,0.47,0.45,0.42,0.53,7月5日,0.33,7月25日
052219兆豐6V,4304550,5846000,181,0.74,0.74,0.57,0.97,7月10日,0.49,7月26日
052220元富GH,2638370,4649000,177,0.57,0.56,0.59,0.87,7月4日,0.31,7月25日
052221凱基GH,11611520,8107000,344,1.43,1.43,1.88,1.9,7月10日,0.99,7月3日
052222凱基GJ,273400,543000,21,0.5,0.55,0.36,0.77,7月9日,0.3,7月25日
052223凱基GK,47600,70000,2,0.68,0.68,0.64,0.72,7月5日,0.64,7月6日
052224凱基GL,13060,36000,6,0.36,0.36,0.39,0.41,7月16日,0.32,7月19日
052225元大6V,499840,1167000,32,0.43,0.42,0.56,0.56,7月31日,0.3,7月18日
052226元大6W,2057590,3734000,67,0.55,0.55,0.54,0.64,7月4日,0.48,7月24日
052227元大6X,1622750,2460000,84,0.66,0.6,0.44,0.79,7月4日,0.41,7月26日
052228元大6Y,1047290,3281000,50,0.32,0.36,0.26,0.64,7月5日,0.19,7月26日
052229元大6Z,2021650,4979000,157,0.41,0.45,0.37,0.69,7月6日,0.3,7月17日
052230第一1V,58900,110000,7,0.54,0.43,0.7,0.7,7月31日,0.26,7月24日
052231第一1W,309810,352000,14,0.88,0.86,0.93,0.93,7月31日,0.78,7月11日
052232I9永豐,646650,2373000,55,0.27,0.33,0.14,0.53,7月5日,0.1,7月25日
052233J1永豐,230960,445000,21,0.52,0.52,0.45,0.69,7月5日,0.39,7月27日
052235J4永豐,275160,2024000,48,0.14,0.1,0.02,0.22,7月4日,0.02,7月31日
052236富邦C2,10765000,9820000,754,1.1,0.95,0.89,1.49,7月5日,0.71,7月30日
052237富邦C3,3888610,6510000,163,0.6,0.5,0.46,0.7,7月6日,0.33,7月26日
052238富邦C4,2332070,6649000,187,0.35,0.35,0.16,0.64,7月5日,0.15,7月31日
052239富邦C5,458410,617000,24,0.74,0.83,0.72,0.98,7月11日,0.69,7月30日
052240中信84,7316590,5219000,252,1.4,1.5,0.81,2.49,7月5日,0.53,7月26日
052241工銀78,425080,1589000,11,0.27,0.34,0.27,0.47,7月9日,0.26,7月25日
052245第一1X,2144220,1621000,58,1.32,1.33,1.42,1.53,7月31日,1.2,7月30日
052247第一1Z,3300,10000,2,0.33,0.33,0.33,0.33,7月31日,0.33,7月31日
052248凱基GN,237010,501000,35,0.47,0.46,0.26,0.71,7月5日,0.2,7月26日
052249凱基GP,1672290,1944000,105,0.86,1.07,0.88,1.35,7月4日,0.66,7月26日
052250凱基GQ,38360,88000,4,0.44,0.35,0.24,0.49,7月5日,0.24,7月31日
052252元富GM,5193360,6205000,211,0.84,0.82,0.99,1.05,7月31日,0.64,7月9日
052253J5永豐,340020,505000,72,0.67,0.67,0.71,0.85,7月27日,0.53,7月18日
052254J6永豐,535630,1866000,27,0.29,0.29,0.19,0.35,7月11日,0.19,7月16日
052255J7永豐,6647940,6836000,192,0.97,0.92,1.21,1.29,7月30日,0.7,7月9日
052256康和FT,570450,602000,34,0.95,1.07,1.14,1.52,7月4日,0.7,7月25日
052257康和FU,4030820,5852000,110,0.69,0.67,0.83,0.88,7月4日,0.55,7月26日
052258康和FV,42620370,29095000,1175,1.46,1.55,1.44,2.35,7月6日,0.92,7月26日
052259康和FW,883490,1248000,32,0.71,0.57,0.18,0.99,7月4日,0.18,7月26日
052260康和FX,660350,1323000,41,0.5,0.51,0.18,1.08,7月4日,0.14,7月24日
052261日盛34,887150,2217000,37,0.4,0.37,0.3,0.46,7月2日,0.29,7月26日
052262日盛35,57120,120000,8,0.48,0.49,0.4,0.62,7月5日,0.4,7月13日
052263日盛36,855860,770000,26,1.11,1.21,1.26,1.34,7月11日,1.01,7月25日
052264元大7A,2542810,6351000,134,0.4,0.36,0.2,0.6,7月12日,0.17,7月25日
052265富邦C6,331320,792000,21,0.42,0.37,0.23,0.52,7月5日,0.21,7月27日
052266富邦C7,706410,1247000,33,0.57,0.5,0.33,0.63,7月5日,0.3,7月24日
052267富邦C8,180050,598000,63,0.3,0.3,0.3,0.33,7月20日,0.26,7月24日
052268中信86,6361840,27311000,731,0.23,0.14,0.06,0.47,7月4日,0.04,7月31日
052270工銀81,3662470,5196000,194,0.7,0.66,0.48,0.89,7月4日,0.38,7月25日
052271統一L8,2736490,2507000,104,1.09,0.94,1.37,1.37,7月31日,0.67,7月2日
052272統一M1,1762180,2409000,43,0.73,0.77,1.03,1.05,7月31日,0.65,7月25日
052273統一M2,881870,1044000,15,0.84,0.82,0.88,0.89,7月17日,0.76,7月24日
052274統一M3,1428630,1630000,68,0.88,0.8,0.7,1.04,7月9日,0.6,7月24日
052275統一M4,2134390,4230000,85,0.5,0.48,0.37,0.82,7月5日,0.29,7月17日
052276統一M5,714420,1315000,107,0.54,0.54,0.22,0.93,7月4日,0.2,7月26日
052279國泰27,1044070,3350000,45,0.31,0.29,0.3,0.44,7月4日,0.23,7月25日
052280元富GP,103400,200000,3,0.52,0.5,0.49,0.53,7月12日,0.49,7月31日
052281亞東15,384140,1495000,30,0.26,0.26,0.2,0.41,7月2日,0.18,7月16日
052282亞東16,1533300,2488000,88,0.62,0.67,0.5,0.91,7月5日,0.38,7月26日
052283亞東17,132740,438000,6,0.3,0.32,0.19,0.44,7月5日,0.19,7月19日
052284亞東18,1467500,2579000,86,0.57,0.59,0.53,0.85,7月4日,0.34,7月26日
052285亞東19,550780,1599000,67,0.34,0.43,0.19,0.9,7月6日,0.18,7月30日
052286富邦D2,396180,642000,19,0.62,0.65,0.85,0.85,7月31日,0.55,7月5日
052287富邦D3,10019090,8839000,188,1.13,1.11,1.12,1.26,7月5日,0.99,7月26日
052288富邦D5,940530,1437000,48,0.65,0.64,0.53,0.91,7月3日,0.43,7月13日
052289富邦D6,5400,20000,2,0.27,0.27,0.27,0.27,7月31日,0.27,7月31日
