105年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2016,,,,,
證     券     名     稱,,成   交   值,成   交   量,收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
,TYC,,,,
1524,耿鼎,"3,650,713,801","354,423,629",9.31,197.25
,GORDON,,,,
1525,江申,"9,060,213,457","77,039,831",115.54,110.39
,KSC,,,,
1526,日馳,"798,661,787","53,478,743",13.6,105.7
,SUNRACE,,,,
1527,鑽全,"39,380,003,098","466,618,687",81.32,338.22
,BASSO,,,,
1528,恩德科技,"1,205,698,873","113,865,174",9.94,63.25
,Anderson,,,,
1530,亞崴電機,"230,618,327","7,799,986",29.08,8.37
,Awea,,,,
1531,高林股,"408,292,325","24,104,566",16.63,12.49
,Kaulin,,,,
1532,勤美,"10,173,222,248","295,078,366",31.72,76.59
,CMP,,,,
1533,車王電,"9,919,147,119","205,239,987",43.47,214.36
,MORE,,,,
1535,中宇,"816,572,382","16,384,153",50.35,13.24
,CEC,,,,
1536,和大,"114,480,401,758","805,993,378",140.11,343.04
,HOTA,,,,
1537,廣隆光電,"10,432,035,300","73,585,277",142.48,89.99
,KUNG LONG,,,,
1538,正峰新,"278,397,951","47,110,211",5.4,56.66
,JF,,,,
1539,巨庭機械,"5,784,459,992","183,003,497",29.7,279.94
,GEETECH,,,,
1540,喬福機械,"469,986,882","31,632,786",14.94,37.02
,JOHNFORD,,,,
1541,錩泰,"6,835,801,388","122,915,367",53.43,155.99
,Chang Type,,,,
1558,伸興,"4,721,310,877","31,224,138",148.94,51.56
,ZENG HSING,,,,
1560,中砂,"7,460,500,574","131,882,715",52.88,93.54
,KINIK,,,,
1568,倉佑,"16,243,998,055","515,993,474",28.4,500.53
,T.Y.,,,,
1583,程泰,"308,800,989","5,114,308",59.04,5
,GOODWAY,,,,
1589,永冠-KY,"49,555,801,156","279,514,724",179.52,235.81
,YGG,,,,
1590,亞德客-KY,"40,174,059,026","182,063,612",220.82,101.7
,AIRTAC,,,,
1592,英瑞-KY,"14,089,366,041","272,602,985",45.12,271.42
,Enterex,,,,
2049,上銀科技,"89,909,647,329","626,938,058",143.9,230.87
,HIWIN,,,,
2228,劍麟,"29,156,703,902","145,643,229",198.86,193.07
,IRF,,,,
2231,為升,"38,235,210,614","111,723,487",348.22,129.89
,CUB,,,,
2236,百達-KY,"2,938,392,487","50,166,684",54.36,146.63
,Patec,,,,
2371,大同,"22,479,108,837","3,023,514,354",6.24,129.23
,Tatung,,,,
3167,大量科技,"2,320,380,848","79,387,984",26.13,99.26
,TA LIANG,,,,
4526,東台,"1,543,903,131","64,629,430",23.23,25.26
,TOPPER,,,,
4532,瑞智,"10,132,403,329","312,948,237",29.08,66.52
,RECHI,,,,
4551,智伸科技,"19,601,367,544","169,774,761",111.86,206.42
,GLOBAL PMX,,,,
4552,力達-KY,"10,204,153,413","84,615,990",115.18,84.62
,Lida,,,,
4555,台灣氣立,"850,353,251","12,566,117",65.54,18.78
,CHELIC,,,,
4557,永新-KY,"3,348,216,827","45,912,277",71.68,133.88
,Yusin,,,,
5288,豐祥-KY,"22,775,774,102","225,670,196",98.38,347.26
,Eurocharm,,,,
6605,帝寶,"6,960,963,280","67,443,864",101.16,40.66
,DEPO,,,,
8222,寶一科技,"11,955,689,023","374,142,857",29.56,547.44
,Aero Win,,,,
8374,羅昇,"2,672,646,558","163,849,334",12.75,187.03
,ACE PILLAR,,,,
8996,高力,"10,887,937,333","180,659,437",57.8,202.12
,KAORI,,,,
6,電器電纜類,,,,
,Electrical and Cable,,,,
1603,中華電纜,"1,950,016,852","120,845,062",13.79,47.26
,CWCO,,,,
1604,聲寶,"3,574,249,763","223,703,880",15.32,43.58
,Sampo,,,,
1605,華新麗華,"24,342,529,433","2,333,079,380",9.67,66.74
,WALSIN,,,,
1608,華榮,"726,532,245","94,468,459",7.05,14.93
,HE,,,,
1609,大亞電纜,"887,869,834","175,251,758",4.73,30.65
,TA YA,,,,
1611,中國電器,"1,687,779,365","197,465,267",7.93,49.56
,CE,,,,
1612,宏泰電工,"257,741,940","30,323,641",8.48,9.54
,Hong Tai,,,,
1614,三洋電機,"462,210,107","19,060,646",24.22,7.08
,SANYO,,,,
1615,大山電纜,"58,951,145","5,939,373",9.7,5.3
,Dah San,,,,
1616,億泰電纜,"355,142,773","74,758,759",4.54,38.5
,Evertop,,,,
1617,榮星電線,"63,431,426","9,003,830",6.82,6.24
,JSW,,,,
1618,合機電纜,"507,315,215","63,237,686",7.87,26.27
,Hold-Key,,,,
1626,艾美特-KY,"721,851,096","27,149,759",24.81,22.1
,AIRMATE,,,,
4930,燦星網,"728,887,775","53,584,562",13.26,39.9
,Star Comgistic,,,,
8,玻璃陶瓷類,,,,
,Glass and Ceramics,,,,
1802,臺灣玻璃,"8,803,511,857","635,348,407",13.49,23.71
,Taiwan Glass,,,,
1806,冠軍,"563,193,678","83,908,461",6.84,19.19
,CHAMPION,,,,
1809,中國製釉,"803,287,610","67,818,117",11.26,37.42
,China Glaze,,,,
1810,和成欣業,"1,073,126,245","125,500,852",8.15,33.93
,HCG,,,,
1817,凱撒衛浴,"2,582,299,728","63,269,666",38.44,87.14
,SANITAR,,,,
9,造紙工業類,,,,
,Paper and Pulp,,,,
1902,台灣紙業,"709,612,766","65,304,477",10.66,16.26
,TPPC,,,,
1903,士林紙業,"768,388,086","25,114,486",31.33,9.66
,Shihlin Paper,,,,
1904,正隆,"1,787,661,237","153,133,720",11.5,13.82
,Cheng Loong,,,,
1905,中華紙漿,"1,187,776,089","125,277,251",9.32,11.36
,CHP,,,,
1906,寶隆,"3,453,208,804","254,212,026",10.96,168.37
,P.L,,,,
1907,永豐餘,"3,094,085,252","321,792,755",9.72,19.38
,YFY,,,,
1909,榮成紙業,"9,831,762,902","664,725,790",14.04,74.33
,LCP,,,,
10,鋼鐵工業類,,,,
,Iron and Steel,,,,
2002,中國鋼鐵,"135,166,740,285","6,171,109,029",21.8,39.21
,China Steel,,,,
2002A,中鋼特,"144,239,400","3,557,187",40.5,9.29
,China Steel  (A Preferred),,,,
2006,東和鋼鐵,"5,815,194,288","293,323,435",19.36,29.39
,Tung Ho Steel,,,,
2007,燁興,"145,716,979","29,739,095",4.76,4.72
,YH,,,,
2008,高興昌,"1,161,391,307","113,677,530",8.84,44.46
,KHC,,,,
2009,第一伸銅,"517,709,724","67,544,297",6.93,18.78
,FCC,,,,
2010,春源鋼鐵,"1,527,449,976","139,057,742",10.51,21.47
,Chun Yuan Steel,,,,
2012,春雨工廠,"234,583,357","16,989,057",13.67,5.91
,Chun Yu,,,,
2013,中鋼構,"1,954,317,813","84,144,152",21.82,42.08
,CSSC,,,,
2015,豐興鋼鐵,"4,754,230,250","110,750,490",41.88,19.06
,FH,,,,
2017,官田鋼,"1,099,983,919","143,093,283",7.51,43.74
,Quintain Steel,,,,
2020,美亞,"1,230,279,744","89,970,129",12.92,37.39
,MAYER PIPE,,,,
2022,聚亨,"639,173,278","149,472,014",4.04,27.34
,TYCOONS,,,,
