櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"104年6月  Jun., 15",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值：507,779,256,098元",,,,,,"3. 櫃檯買賣月總成交筆數：4,425,719筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,327,078,947股",,,,,,4. 成交量週轉率：12.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量     （ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　                         Average Price （NTD / Share）,,,,月底收盤價    End of Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均  Average,最　高  Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
8349,恒耀,"266,456,507","2,751,811","1,989",96.83,102.50,89.20,96.85,95.30,24.63 ,4.20,3.01,3.11
8930,青鋼,"19,445,941","1,549,866",536,12.55,13.50,11.60,12.48,12.80,45.71 ,3.91,2.21,0.84
9962,有益,"8,770,638","975,957",351,8.99,9.86,8.50,9.03,8.61,N/A,2.32,1.08,0.80
5102,富強,"31,457,915","2,129,702",396,14.77,15.80,14.15,14.84,14.65,14.65 ,4.78,3.32,1.08
2596,綠意,"13,773,907","762,750",326,18.06,18.60,17.50,18.03,18.05,7.16 ,8.31,0.92,0.99
3489,森寶,"15,152,254","843,597",566,17.96,18.80,17.00,17.86,17.65,N/A,0.00,1.02,1.24
4113,聯上,"231,823,668","10,798,315","4,799",21.47,23.25,20.45,21.40,20.75,3.94 ,21.87,6.97,0.88
4416,三圓,"4,966,982","50,020",30,99.30,100.00,97.50,99.38,99.00,11.91 ,4.55,0.08,2.94
4907,富宇,"1,957,703","145,986",97,13.41,14.40,11.70,13.42,14.05,21.62 ,0.00,0.12,2.53
5206,坤悅,"8,259,391","738,245",313,11.19,11.85,10.65,11.19,10.85,217.00 ,0.00,0.49,0.95
