101年度股票交易量值統計表,,,,,
TRADING STATISTICS OF STOCKS FOR 2012,,,,,
證     券     名     稱,,"成   交   值
(單位：元)","成   交   量
(單位：股)",收盤平均價,"成交量
週轉率"
Name   of    Company,,"Trading Amount
(NT$)","Trading Volume
(Shares)","Average
Closing Price","Volume
Turnover
Rate (%)"
1514,亞力電機,"870,233,090 ","103,790,345 ",8.34 ,51.62 
,AEC,,,,
1515,力山工業,"390,382,617 ","69,055,938 ",5.46 ,30.87 
,REXON,,,,
1517,利奇機械,"4,813,473,512 ","352,532,329 ",12.62 ,154.75 
,Lee Chi,,,,
1519,華城電機,"1,245,774,495 ","84,626,406 ",13.72 ,32.43 
,FE,,,,
1521,大億,"2,318,551,161 ","42,652,677 ",52.78 ,55.96 
,DAIOKU,,,,
1522,堤維西,"1,031,040,302 ","80,852,948 ",12.05 ,25.83 
,TYC,,,,
1524,耿鼎,"601,883,298 ","88,009,554 ",6.37 ,54.18 
,GORDON,,,,
1525,江申,"1,944,115,315 ","40,990,012 ",46.12 ,59.20 
,KSC,,,,
1526,日馳,"152,772,823 ","17,222,639 ",7.87 ,34.45 
,SUNRACE,,,,
1527,鑽全,"1,564,960,078 ","72,850,853 ",20.68 ,46.49 
,BASSO,,,,
1528,恩德科技,"940,999,096 ","72,200,544 ",12.12 ,50.75 
,Anderson,,,,
1530,亞崴電機,"1,484,979,482 ","44,152,771 ",31.11 ,46.51 
,Awea,,,,
1531,高林股,"4,464,681,119 ","201,476,652 ",20.77 ,104.32 
,Kaulin,,,,
1533,車王電,"456,072,965 ","24,683,512 ",17.48 ,25.61 
,MORE,,,,
1535,中宇,"2,092,818,829 ","33,013,084 ",63.17 ,29.17 
,CEC,,,,
1536,和大,"3,077,829,949 ","185,896,310 ",16.06 ,117.42 
,HOTA,,,,
1537,廣隆光電,"9,005,348,491 ","168,776,656 ",51.56 ,206.87 
,KUNG LONG,,,,
1538,正峰新,"3,103,660,291 ","197,144,781 ",13.31 ,121.68 
,JF,,,,
1539,巨庭機械,"58,491,067 ","9,175,898 ",5.93 ,14.04 
,GEETECH,,,,
1540,喬福機械,"665,472,123 ","32,342,677 ",20.31 ,37.84 
,JOHNFORD,,,,
1541,錩泰,"180,780,266 ","14,257,810 ",11.27 ,18.10 
,Chang Type,,,,
1560,中砂,"10,441,550,217 ","235,548,315 ",42.14 ,167.06 
,KINIK,,,,
1583,程泰,"1,254,526,448 ","25,537,013 ",45.39 ,26.19 
,GOODWAY,,,,
1589,F-永冠,"2,763,970,844 ","54,442,545 ",44.91 ,59.36 
,YGG,,,,
1590,F-亞德,"17,948,208,942 ","113,818,396 ",155.20 ,75.89 
,AIRTAC,,,,
2049,上銀科技,"253,695,542,349 ","981,730,877 ",258.22 ,409.91 
,HIWIN,,,,
2231,為升,"816,433,447 ","15,076,887 ",51.23 ,25.02 
,CUB,,,,
4526,東台,"6,792,410,252 ","240,028,945 ",25.55 ,107.64 
,TOPPER,,,,
4532,瑞智,"14,139,939,204 ","539,013,006 ",25.19 ,124.91 
,RECHI,,,,
6605,帝寶,"2,442,427,884 ","38,020,978 ",63.76 ,22.93 
,DEPO,,,,
8374,羅昇,"7,376,205,894 ","155,795,561 ",42.51 ,195.64 
,ACE PILLAR,,,,
06,電器電纜類,,,,
,Electrical and Cable,,,,
1603,中華電纜,"1,552,631,560 ","158,652,315 ",9.00 ,46.34 
,CWCO,,,,
1604,聲寶,"6,404,754,036 ","676,331,833 ",9.25 ,114.67 
,Sampo,,,,
1605,華新麗華,"21,571,663,798 ","2,280,303,621 ",9.20 ,63.07 
,WALSIN,,,,
1608,華榮,"2,598,300,452 ","271,501,543 ",8.97 ,42.89 
,HE,,,,
1609,大亞電纜,"1,640,402,677 ","210,214,337 ",7.51 ,36.24 
,TA YA,,,,
1611,中國電器,"4,932,952,561 ","241,945,676 ",19.48 ,60.74 
,CE,,,,
1612,宏泰電工,"1,289,915,073 ","125,866,606 ",9.87 ,38.84 
,Hong Tai,,,,
1613,台一,"520,037,000 ","97,582,856 ",5.01 ,48.79 
,Tai-I,,,,
1614,三洋電機,"1,528,873,457 ","50,623,131 ",29.18 ,15.98 
,SANYO,,,,
1615,大山電纜,"139,239,989 ","11,856,797 ",11.29 ,10.58 
,Dah San,,,,
1616,億泰電纜,"359,218,712 ","71,619,489 ",4.59 ,36.89 
,Evertop,,,,
1617,榮星電線,"188,079,919 ","17,235,454 ",10.44 ,12.11 
,JSW,,,,
1618,合機電纜,"1,605,990,381 ","145,397,250 ",10.62 ,60.37 
,Hold-Key,,,,
4930,燦星網,"5,419,025,712 ","326,471,180 ",14.97 ,146.77 
,Star Comgistic,,,,
08,玻璃陶瓷類,,,,
,Glass and Ceramics,,,,
1802,臺灣玻璃,"18,026,365,100 ","602,385,745 ",29.58 ,25.99 
,Taiwan Glass,,,,
1806,冠軍,"4,753,619,421 ","360,791,181 ",12.17 ,82.82 
,CHAMPION,,,,
1809,中國製釉,"3,086,805,085 ","189,717,147 ",14.97 ,99.94 
,China Glaze,,,,
1810,和成欣業,"1,800,793,020 ","197,684,079 ",8.66 ,53.45 
,HCG,,,,
09,造紙工業類,,,,
,Paper and Pulp,,,,
1902,台灣紙業,"2,190,670,297 ","213,098,972 ",9.68 ,53.01 
,TPPC,,,,
1903,士林紙業,"2,806,042,601 ","57,712,407 ",45.62 ,22.18 
,Shihlin Paper,,,,
1904,正隆,"2,994,652,674 ","254,922,295 ",11.62 ,23.74 
,Cheng Loong,,,,
1905,中華紙漿,"4,683,790,113 ","443,045,496 ",9.94 ,62.00 
,CHP,,,,
1906,寶隆,"103,428,637 ","14,889,625 ",6.48 ,9.86 
,P.L,,,,
1907,永豐餘,"9,592,391,369 ","726,952,597 ",12.62 ,43.77 
,YFY,,,,
1909,榮成紙業,"1,009,198,152 ","118,343,885 ",8.24 ,17.22 
,LCP,,,,
10,鋼鐵工業類,,,,
,Iron and Steel,,,,
1532,勤美,"6,654,575,086 ","275,472,261 ",21.82 ,73.55 
,CMP,,,,
2002,中國鋼鐵,"125,790,207,313 ","4,559,499,644 ",27.59 ,30.06 
,China Steel,,,,
2002A,中鋼特,"128,136,500 ","3,267,000 ",39.26 ,8.53 
,China Steel  (A Preferred),,,,
2006,東和鋼鐵,"13,911,718,964 ","480,709,604 ",28.58 ,48.96 
,Tung Ho Steel,,,,
2007,燁興,"471,901,448 ","86,604,591 ",5.13 ,13.74 
,YH,,,,
2009,第一伸銅,"981,344,103 ","106,925,121 ",8.64 ,29.71 
,FCC,,,,
2010,春源鋼鐵,"1,411,602,204 ","118,168,733 ",11.80 ,18.48 
,Chun Yuan Steel,,,,
2012,春雨工廠,"883,358,768 ","87,778,895 ",9.81 ,30.50 
,Chun Yu,,,,
2013,中鋼構,"2,541,433,635 ","85,839,351 ",29.38 ,53.24 
,CSSC,,,,
2014,中鴻,"5,366,829,425 ","556,437,423 ",8.72 ,38.77 
,CHUNG HUNG,,,,
2015,豐興鋼鐵,"7,519,295,437 ","151,226,184 ",49.44 ,25.99 
,FH,,,,
2017,官田鋼,"4,368,715,546 ","506,888,974 ",7.44 ,141.58 
,Quintain Steel,,,,
2020,美亞,"1,490,996,020 ","117,191,874 ",12.25 ,42.88 
,MAYER PIPE,,,,
2022,聚亨,"2,931,846,325 ","507,480,634 ",5.41 ,104.90 
,TYCOONS,,,,
2023,燁輝,"7,214,989,704 ","685,364,431 ",9.50 ,42.57 
,YP,,,,
2024,志聯工業,"329,435,562 ","45,905,237 ",6.36 ,46.94 
,CHIH LIEN,,,,
2025,千興,"572,844,896 ","145,652,276 ",3.66 ,45.13 
,CSSSC,,,,
2027,大成鋼,"3,391,743,389 ","214,521,938 ",15.33 ,30.30 
,TC,,,,
2028,威致,"428,265,312 ","75,905,072 ",5.12 ,28.65 
,WEI CHIH,,,,
2029,盛餘,"532,494,198 ","27,659,728 ",18.95 ,8.62 
,Sheng Yu Steel,,,,
2030,彰源,"1,189,607,631 ","110,307,936 ",10.66 ,40.43 
,FROCH,,,,
2031,新光鋼鐵,"3,414,549,335 ","163,025,097 ",19.70 ,58.81 
,Hsin Kuang Steel,,,,
2032,新鋼工業,"778,736,712 ","66,977,276 ",10.79 ,51.46 
,Sinkang,,,,
2033,佳大世界,"601,515,696 ","50,841,733 ",10.96 ,62.99 
,Chia Ta,,,,
2034,允強,"2,217,623,947 ","127,683,350 ",16.76 ,34.50 
,YC,,,,
2038,海光企業,"1,475,856,264 ","116,410,850 ",12.12 ,51.24 
,HAIKWANG,,,,
3004,豐達科技,"2,985,657,185 ","69,287,548 ",42.94 ,290.29 
,NAFCO,,,,
5007,三星科技,"2,085,688,201 ","48,676,050 ",42.76 ,22.14 
,SAN SHING,,,,
9958,世紀鋼,"685,055,574 ","63,587,024 ",9.45 ,46.02 
,CIAS,,,,
11,橡膠工業類,,,,
,Rubber,,,,
2101,南港輪胎,"27,958,916,903 ","637,656,789 ",42.25 ,81.91 
,Nan Kang Rubber Tire,,,,
2102,泰豐輪胎,"10,285,369,534 ","514,601,487 ",17.65 ,129.09 
,FEDERAL CORP,,,,
2103,台橡,"48,337,209,383 ","690,665,041 ",68.70 ,92.64 
,TSRC,,,,
