,民國99年05月,,,,,,,May-10,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
3519  綠能,1878028222 ,28072976 ,16827 ,66.9,66.93,61.9,74.3,5月4日,59.1,5月25日,15.68
3532  台勝科,1059966331 ,15954450 ,9837 ,66.44,75.27,59.1,89.4,5月4日,55.5,5月27日,2.06
3534  雷凌,6825316944 ,47369588 ,29402 ,144.09,143.69,146,151,5月17日,132.5,5月25日,37.71
3545  旭曜,891397882 ,17265561 ,10598 ,51.63,51.6,48.4,59.5,5月3日,43,5月26日,12.71
3559  全智科,1561434360 ,63863639 ,21743 ,24.45,23.64,22.7,27,5月13日,21,5月25日,56.88
3579  尚志,1515240916 ,16826605 ,12282 ,90.05,89.47,81.5,99,5月13日,76.3,5月25日,17.51
3588  通嘉,960300241 ,5884079 ,4583 ,163.2,161.93,148,179,5月4日,142.5,5月27日,14.73
3614  誠致,1362433712 ,8994223 ,4852 ,151.48,151.14,151.5,161.5,5月4日,140,5月25日,24.33
3638  IML,4400006887 ,21801311 ,13681 ,201.82,198.85,191.5,243,5月18日,159.5,5月27日,30.3
5471  松翰,1657582104 ,22466322 ,12447 ,73.78,73.49,69.2,79.4,5月3日,64.5,5月26日,13.38
6145  勁永,1924003575 ,83691299 ,28608 ,22.99,23.32,22.5,28.2,5月3日,18.2,5月26日,37.76
6202  盛群,3597429543 ,74135718 ,33928 ,48.52,47.63,48.1,52.5,5月17日,41.5,5月25日,33.31
6239  力成,9355695638 ,94902934 ,42752 ,98.58,101.32,95.7,116,5月4日,86.5,5月25日,14.18
6243  迅杰,747499217 ,15830689 ,9110 ,47.22,49.35,47.75,56,5月3日,39.55,5月26日,23.97
6257  矽格,3593821917 ,150509266 ,41964 ,23.88,24.01,24.05,26.4,5月4日,21.15,5月25日,47.94
6271  同欣電,1998818209 ,18015130 ,10738 ,110.95,111.31,119.5,120.5,5月31日,98.5,5月7日,14.4
6286  立錡,17082278951 ,57332052 ,42982 ,297.95,298.86,300,342,5月4日,268,5月21日,40.26
8016  矽創,615225250 ,11826344 ,6914 ,52.02,52.3,49.75,58.8,5月3日,45.75,5月25日,10.24
8081  致新,4179533586 ,25814605 ,17545 ,161.91,161.33,157,173,5月4日,148.5,5月25日,30.02
8110  華東,986722674 ,66586086 ,16181 ,14.82,14.72,14.45,16.7,5月3日,12.8,5月26日,13.54
8131  福懋科,1843203342 ,42500259 ,18948 ,43.37,43.92,43.9,52.4,5月4日,37.8,5月21日,9.61
8261  富鼎,1398002053 ,42610086 ,18509 ,32.81,32.7,30.1,37.5,5月3日,27.4,5月26日,31.29
25 電腦及週邊設備業類,,,,,,,,,,,
Computer and Peripheral Equipment,,,,,,,,,,,
1604  聲寶,259814046 ,56508024 ,10546 ,4.6,4.53,4.34,5.07,5月3日,4.03,5月25日,6.45
2301  光寶科,5657103902 ,149074468 ,53964 ,37.95,37.93,36.35,41.9,5月3日,34.2,5月21日,6.59
2305  全友,54651966 ,10538333 ,3020 ,5.19,5.13,5.05,6.08,5月3日,4.6,5月7日,5.12
2315  神達,1398261058 ,106995482 ,29667 ,13.07,13.05,13.1,14.75,5月3日,11.7,5月26日,6.97
2324  仁寶,28020907066 ,696488695 ,177192 ,40.23,40.19,39.8,44.2,5月4日,35.3,5月25日,16.36
2331  精英,745909545 ,64918417 ,16680 ,11.49,11.45,11.3,13.1,5月3日,10.05,5月25日,5.26
2352  佳世達,2819016794 ,163568564 ,46878 ,17.23,16.96,16.65,19,5月4日,15,5月25日,8.48
2353  宏碁,35639399472 ,452245816 ,167220 ,78.81,79.22,80.1,86.5,5月4日,71.4,5月25日,16.82
2356  英業達,2072762278 ,119727312 ,36025 ,17.31,17.37,17.45,18.4,5月4日,16.5,5月25日,4.24
2357  華碩,19981667433 ,375719219 ,139712 ,53.18,54.06,50.4,60.7,5月3日,49,5月17日,8.85
2358  美格,453479593 ,25070493 ,8226 ,18.09,17.37,17.1,19.5,5月17日,15.2,5月26日,38.57
2362  藍天,4551892607 ,71817848 ,35270 ,63.38,63.25,62,69.6,5月3日,57.8,5月21日,10.95
2364  倫飛,330015439 ,62208128 ,12469 ,5.31,5.17,5.02,5.85,5月13日,4.7,5月25日,22.44
2365  昆盈,1176447512 ,36924102 ,15558 ,31.86,31.92,31.7,33.9,5月4日,30.1,5月25日,12.7
2376  技嘉,4472716927 ,133604371 ,44240 ,33.48,33.39,33.7,35.3,5月3日,31.5,5月21日,20.79
2377  微星,1698302198 ,95873017 ,30963 ,17.71,17.73,18.15,19.8,5月4日,15.95,5月25日,8.97
2380  虹光,4542399983 ,204679349 ,53739 ,22.19,21.23,23.95,24.95,5月19日,17.1,5月7日,91.28
2382  廣達,15407582533 ,274323478 ,85578 ,56.17,56.52,58.2,59.5,5月3日,52.5,5月25日,7.2
