,民國99年06月,,,,,,,Jun-10,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月    底,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),收 盤 價,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,End-of-,Monthly,Date of,Monthly,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Month,High,Monthly,Low,Monthly,Turnover
,,,,(Note 1),(Note 2),Closing,,High,,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2425  承啟,627035016 ,36092327 ,11880 ,17.37,16.83,15.3,18.7,6月8日,15.1,6月30日,40.39
2434  統懋,302613818 ,15876129 ,6829 ,19.06,18.87,18.2,19.9,6月4日,18.1,6月30日,19.23
2436  偉詮電,547734215 ,23788366 ,10783 ,23.03,22.83,21.85,23.8,6月1日,21.6,6月30日,9.64
2441  超豐,804470044 ,25145850 ,9192 ,31.99,31.83,30.95,32.9,6月17日,30.7,6月30日,4.65
2449  京元電,1058448275 ,76721016 ,19694 ,13.8,13.7,13.35,14.25,6月17日,13.15,6月9日,6.2
2451  創見,2379888016 ,27353854 ,16951 ,87,87.19,85.6,90.5,6月23日,82.3,6月10日,6.45
2454  聯發科,70387580718 ,141381681 ,94349 ,497.86,504.36,452.5,536,6月4日,452.5,6月30日,12.97
2458  義隆,6522364236 ,141520861 ,65507 ,46.09,46.05,45.15,48.3,6月23日,43.1,6月7日,34.02
2473  思源,471167776 ,16173833 ,8288 ,29.13,28.88,28.5,30.8,6月23日,27.5,6月9日,7.8
2481  強茂,2554212201 ,83200586 ,29088 ,30.7,30.32,28.75,32,6月22日,28.45,6月30日,25.08
3006  晶豪科,12868181000 ,215460192 ,98058 ,59.72,58.97,57,64.5,6月4日,54,6月30日,87.79
3014  聯陽,1694397936 ,33202925 ,18276 ,51.03,50.71,50,52.8,6月23日,48.5,6月30日,16.42
3016  嘉晶,745449019 ,23536545 ,11660 ,31.67,30.52,33.1,33.9,6月29日,28.6,6月9日,29.98
3034  聯詠,7933784913 ,89173450 ,49787 ,88.97,89.14,87.1,93.7,6月24日,83,6月7日,14.97
3035  智原,3626446391 ,69630527 ,34189 ,52.08,51.88,50,53.7,6月1日,49.05,6月30日,18.82
3041  揚智,6791849673 ,131251013 ,56996 ,51.75,52.57,50.8,58.5,6月4日,48.5,6月10日,43.18
3056  駿億,144268425 ,6662161 ,3354 ,21.65,21.52,20.15,23.45,6月17日,19.95,6月30日,7.45
3094  聯傑,909478471 ,20811413 ,11250 ,43.7,43.11,44.2,45.95,6月29日,40.2,6月10日,25.4
3189  景碩,4977205282 ,70232231 ,35518 ,70.87,72.53,62.3,78.2,6月3日,61.8,6月30日,15.75
3443  創意,1590567305 ,12953167 ,9017 ,122.79,121.74,117,131.5,6月24日,116,6月30日,9.8
3474  華亞科,6291706672 ,323582280 ,75170 ,19.44,19.45,18.05,20.8,6月21日,18,6月30日,7.01
3519  綠能,2796385827 ,40952159 ,22422 ,68.28,66.92,63.9,71.6,6月11日,60.7,6月2日,22.87
3532  台勝科,1114010582 ,18608029 ,12714 ,59.87,59.38,61.2,66.8,6月29日,54,6月2日,2.4
3534  雷凌,7020595057 ,49111621 ,30288 ,142.95,141.57,130,153,6月4日,127.5,6月30日,39.1
3545  旭曜,662056124 ,13243081 ,8056 ,49.99,49.7,47.1,53,6月8日,46,6月7日,9.75
3559  全智科,1558190164 ,63849399 ,21843 ,24.4,23.87,22.95,25.8,6月22日,21.7,6月2日,56.87
3579  尚志,1246237924 ,14479364 ,10188 ,86.07,86.14,85.4,92.3,6月22日,76.3,6月2日,15.07
3588  通嘉,852001162 ,5644107 ,4493 ,150.95,150.57,150,160,6月22日,140,6月7日,14.13
3614  誠致,1837708662 ,12255803 ,5869 ,149.95,149.4,139.5,162,6月4日,136.5,6月30日,33.15
3638  IML,2397653768 ,14149434 ,9873 ,169.45,165.93,146,194,6月2日,144,6月30日,19.67
5471  松翰,1159310710 ,17127344 ,10236 ,67.69,67.91,66.7,70.4,6月4日,64.9,6月9日,10.2
6145  勁永,2263634852 ,97865263 ,33957 ,23.13,22.97,22.6,24.7,6月4日,21.2,6月30日,44.16
6202  盛群,1754440370 ,36785813 ,18127 ,47.69,47.33,44.1,49.9,6月8日,43.5,6月30日,16.53
6239  力成,8048644167 ,84806844 ,43450 ,94.91,94.87,90.1,99.2,6月14日,89.2,6月30日,12.04
6243  迅杰,690622767 ,14344105 ,8445 ,48.15,47.14,46.1,51.2,6月18日,42.9,6月10日,21.72
6257  矽格,2748194883 ,112493111 ,33959 ,24.43,24.27,23.85,25.2,6月11日,23.15,6月10日,35.83
6271  同欣電,1979601053 ,16767160 ,10121 ,118.06,116.14,121,128,6月23日,106.5,6月10日,11.88
6286  立錡,9960918585 ,34855285 ,26613 ,285.78,287.38,271.5,306.5,6月1日,266,6月28日,24.48
8016  矽創,430656303 ,8780610 ,5119 ,49.05,49.07,48.3,50.9,6月24日,46.1,6月7日,7.6
8081  致新,2668730777 ,17663135 ,12689 ,151.09,150.86,142,159.5,6月1日,139.5,6月30日,20.54
8110  華東,651951818 ,43447547 ,12287 ,15.01,14.92,15.1,15.6,6月29日,14.1,6月7日,8.83
8131  福懋科,887466578 ,20467517 ,10084 ,43.36,43.23,42.45,45.75,6月4日,39.8,6月9日,4.63
8261  富鼎,1473090725 ,44326167 ,19436 ,33.23,32.28,32.9,35.8,6月24日,29.2,6月7日,32.55
25 電腦及週邊設備業類,,,,,,,,,,,
Computer and Peripheral Equipment,,,,,,,,,,,
1604  聲寶,145527599 ,32699796 ,6434 ,4.45,4.43,4.35,4.68,6月21日,4.2,6月7日,3.73
2301  光寶科,4673190993 ,129360779 ,48793 ,36.13,36.22,35.5,38.85,6月21日,33.5,6月7日,5.72
2305  全友,16078546 ,3194009 ,1098 ,5.03,5.02,4.96,5.23,6月28日,4.8,6月29日,1.55
2315  神達,894563201 ,70728441 ,21204 ,12.65,12.6,12.2,13.1,6月1日,11.95,6月30日,4.6
2324  仁寶,14317233035 ,365594988 ,109996 ,39.16,39.2,38.65,41.5,6月21日,36.7,6月9日,8.59
2331  精英,1218449794 ,103681075 ,25851 ,11.75,11.6,11.15,12.55,6月14日,10.5,6月8日,8.41
2352  佳世達,1736925039 ,106923824 ,32592 ,16.24,16.22,16,16.85,6月4日,15.1,6月9日,5.55
2353  宏碁,24922881017 ,316298210 ,132242 ,78.8,78.8,75.2,83.5,6月24日,74.3,6月2日,11.76
2356  英業達,1026243638 ,58688156 ,21114 ,17.49,17.43,17.2,18,6月21日,16.8,6月7日,2.08
2357  華碩,8981065541 ,36402302 ,24270 ,246.72,243.3,239.5,257,6月25日,235,6月30日,5.71
2358  美格,216652364 ,12424938 ,5458 ,17.44,17.32,15.25,19.2,6月3日,14.6,6月30日,19.12
2362  藍天,6495938590 ,97993283 ,45384 ,66.29,65.77,67.8,73,6月23日,58,6月2日,14.95
2364  倫飛,85768493 ,17742932 ,4316 ,4.83,4.81,4.55,5.05,6月3日,4.36,6月30日,6.4
2365  昆盈,945697629 ,29651872 ,11393 ,31.89,31.72,31.4,33.1,6月4日,30.6,6月10日,10.2
2376  技嘉,1867267099 ,56304216 ,22643 ,33.16,32.99,31.55,34.65,6月1日,31.3,6月30日,8.76
2377  微星,1968993777 ,110079853 ,34360 ,17.89,17.64,17.05,18.6,6月1日,16.5,6月9日,10.3
2380  虹光,3723304611 ,172063075 ,55834 ,21.64,21.13,19.7,25.25,6月1日,19.3,6月11日,76.73
2382  廣達,8455065458 ,145328131 ,53560 ,58.18,58.26,58.5,61.2,6月21日,54.4,6月8日,3.82
2385  群光,6227383845 ,84319724 ,44451 ,73.85,74.52,71.9,79.8,6月2日,69.1,6月10日,14.26
2387  精元,295989289 ,9238801 ,3849 ,32.04,32.09,31.45,33.3,6月11日,30.25,6月1日,2.48
2395  研華,1619950310 ,23203309 ,12984 ,69.82,69.25,66.1,72.6,6月28日,65,6月30日,4.5
2397  友通,63752396 ,1946019 ,1258 ,32.76,32.7,32.85,34,6月21日,31.05,6月7日,1.61
2399  映泰,264276843 ,12366152 ,5402 ,21.37,21.16,20.7,22.5,6月2日,20.25,6月9日,6.94
2405  浩鑫,576827228 ,23426227 ,7614 ,24.62,24.67,23.8,26.2,6月24日,22.45,6月1日,11.59
2417  圓剛,1132308913 ,26559504 ,13751 ,42.63,42.61,42.15,43.7,6月4日,41.7,6月30日,11.76
2424  隴華,39172914 ,2647801 ,1415 ,14.79,14.1,14.9,15.95,6月29日,13.1,6月15日,6.62
2442  美齊,149556341 ,12599081 ,4327 ,11.87,11.7,11,13,6月23日,10.9,6月9日,8.06
2463  研揚,48910400 ,955754 ,696 ,51.17,51.07,51.7,52.1,6月23日,49.5,6月1日,1.05
2465  麗臺,1399136209 ,92388737 ,30800 ,15.14,14.62,13.15,16.45,6月3日,13,6月30日,60.39
2474  可成,8486089062 ,119628200 ,62336 ,70.94,71.71,70,78.9,6月1日,66.3,6月10日,17.99
3002  歐格,65437329 ,3071733 ,1801 ,21.3,21.36,21.85,22.4,6月17日,20.05,6月9日,3.01
3005  神基,1248876230 ,62527186 ,19584 ,19.97,19.68,18.8,21.3,6月1日,18.6,6月30日,11
3013  晟銘電,1090850324 ,42401783 ,15792 ,25.73,25.59,24.8,27,6月3日,23.8,6月30日,22.54
3017  奇鋐,1914532544 ,49379435 ,18615 ,38.77,38.61,38.9,40.55,6月24日,36.55,6月2日,18.13
3022  威達電,1623621501 ,41496361 ,19598 ,39.13,38.64,38.3,41.2,6月23日,36.6,6月7日,19.62
3046  建碁,156243363 ,12827767 ,4609 ,12.18,11.95,11.35,13.2,6月7日,11.05,6月2日,8.24
3054  萬國,31554740 ,1853230 ,843 ,17.03,17.08,16.65,17.8,6月1日,16.2,6月10日,2.39
3057  喬鼎,349672217 ,16031726 ,7003 ,21.81,21.47,20.25,23,6月3日,19.85,6月30日,11.16
3060  銘異,1754543758 ,36126488 ,15366 ,48.57,48.2,48,51.7,6月24日,44.65,6月7日,24.35
3231  緯創,14590857341 ,287832145 ,98914 ,50.69,50.81,47.6,54.1,6月2日,47.4,6月30日,15.39
3494  誠研,773143534 ,14805509 ,7051 ,52.22,50.91,51,56.3,6月3日,47.5,6月10日,13.29
3515  華擎,193488031 ,1542296 ,1399 ,125.45,125.45,121.5,129.5,6月24日,120.5,6月30日,1.34
4938  和碩,6254253220 ,181494539 ,75669 ,34.46,33.26,30.05,40.4,6月24日,30,6月30日,7.94
6117  迎廣,133425261 ,6597320 ,3714 ,20.22,19.99,19.3,21.8,6月2日,18.8,6月30日,7.44
6128  上福,129077740 ,2830705 ,1693 ,45.6,45.32,45.75,47.55,6月23日,43,6月22日,3.38
6166  凌華,939018896 ,20272290 ,9940 ,46.32,44.76,44.85,49.5,6月22日,39.4,6月2日,16.87
6172  互億,683263399 ,42524983 ,18265 ,16.07,15.55,14.35,18.65,6月3日,13.85,6月30日,55.84
6206  飛捷,439708907 ,5109210 ,3485 ,86.06,86.35,84.1,89,6月21日,81,6月7日,6.49
6235  華孚,576351615 ,70085100 ,15743 ,8.22,7.94,7.45,9.1,6月4日,7,6月1日,30.09
6277  宏正,108901294 ,2030083 ,1444 ,53.64,53.44,52.5,55.7,6月4日,51,6月2日,1.7
8008  建興電,7321844378 ,200010194 ,76419 ,36.61,36.23,35.1,38.35,6月23日,34.55,6月10日,22.38
9912  偉聯,4884227 ,537384 ,339 ,9.09,9.16,8.96,9.45,6月24日,8.6,6月10日,1.17
26 光電業類,,,,,,,,,,,
Optoelectronic,,,,,,,,,,,
2323  中環,1770334565 ,216965249 ,40212 ,8.16,8.11,8.06,8.4,6月4日,7.82,6月7日,7.62
2340  光磊,2317921701 ,97375017 ,34314 ,23.8,23.45,22.35,24.9,6月4日,22.05,6月9日,18.46
2349  錸德,2166698047 ,264024567 ,45375 ,8.21,8.15,8.08,8.48,6月17日,7.86,6月7日,9.97
2374  佳能,2422023165 ,49858325 ,23242 ,48.58,48.54,47.9,50.5,6月24日,46.4,6月10日,11.4
2384  勝華,19234693628 ,770326178 ,189696 ,24.97,24.82,26,27.3,6月22日,22.4,6月9日,61.65
2393  億光,7013066277 ,82833612 ,42717 ,84.66,84.6,82.8,88.7,6月21日,79.8,6月9日,19.78
2406  國碩,3435099782 ,94468022 ,37114 ,36.36,35.85,35.15,39.5,6月1日,33.5,6月9日,42.58
