櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年02月 Feb. 10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 239,928,422,738元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,492,700筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,416,941,179股",,,,,,4. 成交量週轉率： 8.85%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
4706,大恭化學,17563351,1422398,476,12.34,13.2,11.3,12.2,12.65,23.87,3.95,1.8,0.84,,,,
4707,磐亞    ,34410881,2886690,1136,11.92,12.7,10.75,12.02,12.5,17.12,11.6,1.27,0.73,,,,
4711,永純    ,20454401,995622,486,20.54,21.8,19.7,20.58,20.85,13.37,4.79,1.63,1.21,,,,
4712,南璋    ,554630753,37483344,6507,14.79,16.65,12.6,14.64,15.45,NA,1.94,62.38,1.3,,,,
4714,永捷    ,24868853,1811541,781,13.72,14.5,12.5,13.79,14,14.74,3.57,4.27,0.93,,,,
4716,大立    ,263657691,10276200,4513,25.65,28.7,22.5,25.23,25.5,63.75,0.94,19.14,2.06,,,,
4720,德淵企業,33209168,2350209,884,14.13,15.2,12.8,14.29,14.65,58.6,3.41,3.46,1.12,,,,
4721,美琪瑪  ,201206625,6577906,3176,30.58,32.5,27,30.15,29.9,55.37,5.01,9.46,2.29,,,,
4722,國精化學,32968130,2010155,843,16.4,17.9,14.8,16.65,17,29.31,1.76,3.31,1.12,,,,
4733,上緯企業,281980916,4749151,2950,59.37,63,55.7,59.34,57.8,11.36,7.31,7.27,3.23,,,,
6509,聚和國際,319182556,13788955,5692,23.14,24.6,21,23.21,23.7,34.85,2.91,9.22,1.46,,,,
1565,精華光學,344709511,1774798,1589,194.22,210,184,194.03,206,17.71,3.89,3.52,5.35,,,,
1752,南光    ,29581496,1370091,659,21.59,22.8,20,21.63,21.5,36.44,4.65,2.17,1.65,,,,
1777,生泰合成,21044298,610749,400,34.45,36,33.2,34.86,36,17.91,5,2.57,2.09,,,,
1781,合世生醫,13227450,860130,478,15.37,16.5,13.85,15.37,16.2,NA,0,2.45,2.42,,,,
1784,訊聯    ,113358850,1915626,1432,59.17,63,55.7,59.18,59.3,17.6,2.14,4.44,2.71,,,,
1788,杏昌生技,73773910,1252876,909,58.88,62,55,58.76,58.9,21.5,5.09,4.28,2.21,,,,
1795,美時化學,73900218,2879166,1717,25.66,27.6,23.1,25.47,25.4,115.45,2.75,7.07,2.02,,,,
1799,紅電醫  ,14629021,656640,363,22.27,23.15,20.9,22.3,22.55,50.11,7.98,2.34,1.51,,,,
1813,寶利徠  ,229097360,5162387,3710,44.37,49.4,40,43.6,44.55,29.31,0,12.56,3.23,,,,
3118,進階    ,16799681,559041,360,30.05,31.2,29.05,30.18,30.3,22.78,5.94,1.81,2.14,,,,
3164,景岳科技,2289540568,32009455,17604,71.52,79,62.3,69.44,76,56.3,1.31,64.93,6.37,,,,
3205,佰研生化,27736561,1061081,732,26.13,28.8,23.7,25.71,26.5,NA,0,7.21,2.86,,,,
3218,大學光學,42339376,1392395,911,30.4,33.3,27.9,30.38,30.25,NA,3.3,3.08,1.95,,,,
3266,弘如洋  ,17681588,1000184,528,17.67,18.8,16.7,17.69,18.65,NA,0,4.32,1.57,,,,
4102,永日化工,121877590,3671481,2116,33.19,35.3,30.55,33.15,33.6,17.78,1.48,11.11,2.39,,,,
4103,百略    ,131255342,3176991,1664,41.31,44,38.1,41.45,41.75,10.28,6.7,2.6,1.97,,,,
4105,東洋藥品,1435949785,17806926,11336,80.63,85.7,72.5,79.42,84.8,33.78,3.89,13.88,5.54,,,,
4107,邦特生技,344722312,7914711,3856,43.55,47.6,40,44.08,42.85,18.79,3.5,10.11,2.78,,,,
4109,加捷    ,37936378,2239778,1052,16.93,17.8,15.6,17,17.2,28.2,4.06,5,1.28,,,,
4111,濟生    ,30964241,1866222,882,16.59,17.4,15.4,16.71,17.15,23.82,2.91,3.89,1.05,,,,
4113,聯上實業,8781656,423817,292,20.72,22.25,18.6,20.62,20.2,10.1,0,0.94,1.93,,,,
4114,健喬信元,131788515,4536260,2481,29.05,30.55,26,28.86,29.65,NA,2.69,5.79,2.22,,,,
