櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
"101年3月 Mar., 12",,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 394,896,730,495元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,375,348筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,181,868,705股",,,,,,4. 成交量週轉率： 15.41%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
5530,龍巖    ,2345632037,24041617,15289,97.56,102.5,91.6,96.83,94.1,20.19,1.59,6.02,5.03,,
6177,達麗建設,567034970,19680890,6852,28.81,32.8,22.7,26.26,27,12.33,11.44,16.62,1.83,,
6212,理銘科技,3356085,303656,154,11.05,11.4,10.75,11.07,11.15,31.86,0,0.3,1.2,,
9946,金革科技,73952454,4511879,1659,16.39,17.4,15.45,16.12,16.3,7.95,0,2.82,1.16,,
2636,台驊國際,176974707,6761187,3301,26.17,27.2,24.5,25.83,25.65,11.55,10.57,10.58,1.31,,
5601,台聯貨櫃,30412316,1646016,966,18.47,19.3,16.75,18,19,65.52,1.21,2.29,0.96,,
5603,陸海交通,10354020,984051,383,10.52,11.15,9.99,10.44,10.4,N/A,0,1.56,0.74,,
5604,中連貨運,9579476,377655,306,25.36,25.95,25,25.37,25.4,16.39,7.72,0.35,1.08,,
5609,中菲行  ,94465854,5032747,2847,18.77,19.8,17.7,18.83,18.1,12.75,8.34,3.73,1.32,,
1259,安心    ,559363569,3192629,2922,175.2,196,162,173.86,164.5,27.88,1.82,10.84,3.24,,
2718,桃園店  ,17150018,449692,225,38.13,40.1,36.7,37.68,40.1,29.93,2.37,1.99,1.56,,
2719,燦星旅  ,851704272,17587459,12113,48.42,61.6,37.6,46.08,40.1,47.74,4.06,51.13,3.08,,
5701,劍湖山  ,153907280,22647309,5925,6.79,7.32,6.1,6.7,6.25,N/A,0,5.45,0.87,,
5703,亞都麗緻,4881778,206023,185,23.69,25.3,22.7,23.76,24.15,36.04,1.04,0.29,2.01,,
5704,老爺知  ,3941181,208620,186,18.89,19.85,18.35,18.91,18.9,24.87,1.59,0.54,1.46,,
5820,日盛金控,861791141,88204767,13518,9.77,10.15,8.93,9.73,9.2,11.5,9.89,3.45,0.84,,
6008,凱基證券,1680479422,132536573,30119,12.67,13.35,11.95,12.71,12.45,20.41,5.22,4.05,0.85,,
6015,宏遠證券,162115984,26157299,6366,6.19,7.14,5.11,6.18,5.3,N/A,0,5.73,0.63,,
6016,康和證券,180067091,23301694,4864,7.72,8.25,6.94,7.75,7.48,N/A,2.01,3.37,0.67,,
6020,大展證券,12975146,862256,415,15.04,16.7,13.6,15.34,14.5,N/A,4.41,0.37,1.05,,
6021,大慶證券,125212810,9216285,3076,13.58,14.55,11.5,13.43,11.9,N/A,11.76,3,0.89,,
6022,大眾證  ,171170915,17333122,4278,9.87,10.9,8.2,9.96,8.89,N/A,3.82,4.43,0.76,,
6023,寶來期  ,173549698,4654975,3002,37.28,39.6,33,36.73,33.4,9.44,7.19,3.55,1.33,,
6024,群益期  ,135450226,5225945,2561,25.91,27.15,23.4,25.25,26.25,10.94,3.81,5.67,1.3,,
2916,滿心企業,118610251,5006931,2321,23.68,24.85,22.45,23.21,22.85,12.91,8.75,9.17,1.31,,
2924,F-東凌  ,47061164,746031,607,63.08,65.9,60,63.23,60.9,16.11,3.28,2.47,2.84,,
5902,德記洋行,42547399,3622773,979,11.74,12.2,10.8,11.72,11.75,N/A,0,3.83,1.92,,
5903,全家    ,1453818997,9567490,6919,151.95,162,137.5,151.06,155,34.44,2.19,4.29,7.89,,
5904,寶雅國際,527583693,11608920,6253,45.44,48.8,41.85,45.63,45.8,12.28,6.33,12.89,2.46,,
