櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年8月 Aug., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 223,838,048,868元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,608,643筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,817,722,221股",,,,,,4. 成交量週轉率： 8.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5512,力麒建設,1367823029,96779379,21184,14.13,14.75,13.4,14.02,14.15,9.75862069,7.06,15.21,0.81
5514,三豐建設,70107760,3038054,556,23.07,24.55,20.65,22.45,22.2,9.866666667,7.65,2.27,1.48
5516,雙喜    ,46732575,3119985,1597,14.97,15.8,13.7,14.82,14.2,3.890410959,3.52,8.15,0.85
5519,隆大營建,207839848,5620719,2797,36.97,39.4,34.7,36.51,39.4,9.358669834,3.07,6.33,2.26
5520,力泰建設,5545118,262269,163,21.14,21.75,20.55,21.23,21.5,13.4375,6.27,0.37,0.83
5521,工信    ,204463948,26258364,5311,7.78,8.12,7.31,7.68,8.09,11.08219178,6.18,7.56,0.66
5523,宏都建設,13457294,1645815,700,8.17,8.63,7.1,7.91,8.49,N/A,0,0.93,0.95
5529,志嘉建設,7590513,477674,264,15.89,16.8,15.25,15.97,16.8,N/A,5.95,0.9,1.72
6177,達麗建設,156363557,5278185,1719,29.62,30.2,28.4,29.55,29.7,12.27272727,10.4,4.39,2.02
6212,理銘科技,2513069,225195,98,11.16,11.6,10.9,11.18,11.5,30.26315789,0,0.22,1.25
6219,富旺    ,21916382,1442991,1275,15.18,18.95,14.1,15.92,14.4,N/A,0,0.92,1.72
6264,德士通  ,11254598,1247571,566,9.02,9.39,8.8,9.06,9.08,N/A,0,0.91,1.23
9946,金革科技,216513061,14095656,5070,15.36,16.5,13.4,14.49,16.35,8.134328358,0,7.05,1.13
2636,台驊國際,81646765,3850705,1928,21.2,22.3,20,21.05,21.3,19.90654206,12.72,6.03,1.13
5601,台聯貨櫃,9269341,492452,332,18.82,19.55,17.5,18.14,19.55,36.88679245,1.32,0.68,0.97
5603,陸海交通,12005298,1179302,507,10.18,10.45,9.95,10.15,10.3,N/A,0,1.87,0.73
5604,中連貨運,8802903,347858,219,25.3,25.6,25,25.28,25.25,20.8677686,5.54,0.32,1.01
5609,中菲行  ,332673289,14939265,7198,22.26,23.5,20.2,22.32,22.8,21.92307692,4.47,11.07,1.7
1259,安心    ,187727254,1320359,1309,142.17,154,122,140.88,124,28.77030162,2.41,4.08,2.39
2718,桃園店  ,3124481,70011,51,44.62,46.65,43,45.12,46.6,34.01459854,3.21,0.31,1.79
2719,燦星旅  ,55248557,2112289,1429,26.15,27.4,24.35,26.12,25.1,52.29166667,2.58,5.82,1.73
2724,F-富驛  ,99462191,1348223,758,73.77,77.7,71,74.02,74,56.06060606,0.67,4.57,3.33
5701,劍湖山  ,66822965,12534279,3428,5.33,5.58,5.1,5.34,5.1,N/A,0,3.02,0.73
5703,亞都麗緻,3227381,154004,122,20.95,21.6,19.6,21.02,21.05,30.50724638,1.18,0.22,1.7
5704,老爺知  ,13094951,616742,322,21.23,22.8,18.1,20.97,20.75,23.85057471,3.37,1.59,1.56
5820,日盛金控,620325029,71257964,13673,8.7,9.05,8,8.59,8.02,8.10890681,9.22,2.62,0.71
6008,凱基證券,541440976,40776923,5325,13.27,14,13.05,13.28,13.3,35.94594595,3,1.25,0.88
6015,宏遠證券,412607877,61416379,10642,6.71,7.49,5.53,6.63,7.16,N/A,0,13.44,0.84
