櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年11月 Nov. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 435,557,747,218元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,288,778筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,835,527,797股",,,,,,4. 成交量週轉率： 16.27%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
9949,琉園    ,60198778,2227253,1119,27.02,28.75,24.5,26.92,27.5,43.65,1.67,4.93,1.79,,,,
1742,台蠟    ,59931623,1617565,1308,37.05,37.95,36.4,37.15,37.5,12.42,12.4,4,2.01,,,,
1787,福盈科技,24293348,2265862,802,10.72,11.3,10.25,10.69,10.75,76.79,8.37,3.75,0.74,,,,
4702,中美聯合,31400541,7307725,1633,4.29,4.55,4.05,4.24,4.39,NA,0,11.97,0.7,,,,
4703,金美克能,13611632,1709822,555,7.96,8.51,7.61,7.95,8.24,43.37,0,2.5,1.28,,,,
4706,大恭化學,16625750,1486750,534,11.18,11.65,10.1,11.18,11.15,21.04,4.48,1.88,0.74,,,,
4707,磐亞    ,26744621,2261862,1150,11.82,12.55,11.1,11.92,11.6,15.89,12.5,0.99,0.68,,,,
4711,永純    ,37375743,1981065,720,18.86,19.4,18.55,18.82,18.7,11.99,5.34,3.24,1.08,,,,
4712,南璋    ,18017852,2356203,684,7.64,8.05,6.82,7.67,7.8,NA,3.84,3.92,0.66,,,,
4714,永捷    ,434116813,28622747,8635,15.16,16.7,12.05,14.88,14.75,15.53,3.38,67.44,0.98,,,,
4716,大立    ,168030885,7883198,3606,21.31,23.25,19.5,20.7,22.5,56.25,1.06,14.68,1.82,,,,
4720,德淵企業,256594343,15302205,5174,16.76,18.2,15.6,16.44,16.1,64.4,3.1,22.5,1.24,,,,
