櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
99年08月 Aug.10,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 538,136,267,467元",,,,,,"3. 櫃檯買賣月總成交筆數： 5,525,623筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 15,218,014,869股",,,,,,4. 成交量週轉率： 21.11%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
3259,鑫創科技,68505105,2674929,1354,25.61,27.25,21.25,25.78,21.25,N/A,0,4.3,1.33,,,
3260,威剛科技,4474642684,86303698,43515,51.84,57.7,42.95,52,43,6.83,6.93,37.83,1.38,,,
3264,欣銓科技,2745494177,111705630,31630,24.57,26.75,22.65,24.27,22.9,8.09,5.24,25.13,1.39,,,
3265,台星科  ,899528887,53967906,15598,16.66,18,14.8,16.35,15,9.2,2.8,19.8,1.07,,,
3268,海德威  ,154713401,4453775,2766,34.73,37.45,30.05,34.63,30.05,300.5,0,14.52,3.03,,,
3291,遠翔科技,292094706,6332254,3603,46.12,51.3,38.6,46.51,38.6,11.99,4.48,18.98,2.71,,,
3317,尼克森  ,333351242,8363077,5512,39.85,42,34.55,39.45,34.55,18.78,2.89,13.65,1.3,,,
3372,典範    ,794375777,66869971,15506,11.87,12.6,10.6,11.63,10.7,N/A,0,22.11,0.94,,,
3438,類比科  ,571773447,7907288,5589,72.3,77.4,66.1,72.37,67.4,14.65,2.96,19.85,2.73,,,
3527,聚積    ,1380250429,10062645,7197,137.16,147,122,137.04,124,14.04,4.81,30.38,2.89,,,
3553,力積電子,2410161243,26177880,17666,92.06,107,74.3,90.32,75.3,7.8,6.64,46.21,3.26,,,
3556,禾瑞亞  ,4702420880,51856926,29833,90.68,103.5,73.6,85.8,91.3,32.72,1.86,118.02,4.66,,,
3582,凌耀    ,679922811,3658827,2743,185.83,198.5,157.5,182.02,157.5,35.16,3.53,10.95,5.6,,,
5302,太欣半導,44206610,3359703,1499,13.15,14,11.6,13.11,11.6,N/A,0,2.07,1.44,,,
5314,世紀民生,537362591,41665981,11971,12.89,13.9,10.95,12.8,12,N/A,0,37.25,1.43,,,
5324,德豐    ,68020520,1437113,1230,47.34,55.6,26.55,37.98,39.9,30.46,0,3.02,3.92,,,
5326,漢磊科技,2327452090,120138013,36755,19.37,20.8,17.3,19.11,17.4,36.25,0,36.78,1.86,,,
5344,立衛科技,103953136,5048820,2159,20.58,22.45,18.6,19.81,18.7,22.53,6.14,6.35,1.75,,,
