櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年4月 Apr., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 228,526,362,832元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,612,514筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,168,195,272股",,,,,,4. 成交量週轉率： 9.31%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
6177,達麗建設,132466131,5197539,2210,25.48,27.4,22.85,25.51,26.1,20.23,11.84,4.39,1.774303195
6212,理銘科技,1336337,123605,78,10.81,11.15,10.3,10.86,10.75,56.58,0,0.12,1.165943601
9946,金革科技,36392574,2314035,759,15.72,16.9,15.2,15.74,15.35,6.48,0,1.45,1.064493759
2636,台驊國際,54005780,2161460,1124,24.98,26.1,23.4,25.03,24,15.19,11.29,3.38,1.275917065
5601,台聯貨櫃,2251257,124759,73,18.04,18.9,17.8,18.32,18,35.29,1.28,0.17,0.895968143
5603,陸海交通,18069657,1663109,472,10.86,11.85,9.8,10.53,10.5,N/A,0,2.64,0.746799431
5604,中連貨運,19456725,776542,406,25.05,25.5,24.8,25.1,25.1,18.87,7.81,0.71,1.001996008
5609,中菲行  ,85187081,4942551,2224,17.23,18.2,16.55,17.29,16.8,13.13,8.99,3.66,1.251862891
1259,安心    ,150814353,965298,982,156.23,164.5,147.5,157.6,151.5,26.72,1.98,3.28,2.916827108
2718,桃園店  ,52408109,1139994,579,45.97,48.5,42.8,45.95,44.05,32.87,2.16,5.05,1.689681626
2719,燦星旅  ,113569282,3182596,2215,35.68,41,31.6,35.29,32,39.51,5.09,9.25,2.205375603
5701,劍湖山  ,79125179,13461252,3824,5.87,6.3,5.58,5.82,5.81,N/A,0,3.24,0.831187411
5703,亞都麗緻,4703122,211057,148,22.28,24.2,21.2,22.63,22,39.29,1.14,0.3,1.781376518
5704,老爺知  ,2577386,140582,183,18.33,19.75,17.9,18.35,18.2,21.41,1.65,0.36,1.364317841
5820,日盛金控,205076269,22930346,6693,8.94,9.38,8.3,8.93,8.8,,10.34,0.9,0.799273388
6008,凱基證券,8350760480,617327366,67712,13.52,14,11.4,13.2,13.5,24.55,4.81,18.88,0.898203593
6015,宏遠證券,68759678,13636773,3059,5.04,5.44,4.66,5.02,4.87,N/A,0,2.99,0.569590643
6016,康和證券,164966987,24705827,3747,6.67,7.3,5.9,6.64,6.14,N/A,2.44,3.57,0.546263345
6020,大展證券,13651145,980161,196,13.92,14.5,13.1,13.95,14,N/A,4.57,0.42,0.985221675
