櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年09月 Sep. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 247,911,835,357元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,769,136筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 6,399,491,231股",,,,,,4. 成交量週轉率： 9.57%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5213,亞昕    ,670688271,19831463,9466,33.81,39.1,23.2,33.53,24.6,3.23,18.78,8.08,1.05
5324,士林開發,91391319,2414765,422,37.84,42.8,36,38.28,39.9,9.9,0.75,4.93,2.89
5505,和旺建設,354457085,9578500,3921,37,42.2,34.1,37.35,35.85,6.89,0,8.77,2.03
5506,長鴻營造,20516153,2795510,7178,7.33,7.8,6.75,7.3,6.83,11.98,0,1.38,0.79
5508,永信建設,112989338,4226642,876,26.73,30.8,26.25,29.09,30,10.03,8.43,2.3,1.81
5511,德昌營造,62102353,2995632,1291,20.73,22.45,19.8,20.75,20.7,4.91,9.66,3.14,1.03
5512,力麒建設,441714007,36354582,9546,12.15,13.6,10.75,12.01,11.65,4.57,12.1,6.14,0.64
5514,三豐建設,21276040,927162,443,22.94,27.05,20,23.75,20.9,8.86,4.3,0.8,1.43
5516,雙喜    ,39774269,2454669,1159,16.2,19,14.2,16.11,15.3,7.57,3.26,6.41,1.16
5519,隆大營建,176757760,5390080,2603,32.79,37.4,28.1,32.43,30.1,3.79,12.45,6.07,1.55
5520,力泰建設,2512857,112867,50,22.26,23.95,21.2,22.81,21.65,15.58,6.23,0.16,0.87
5521,工信    ,215211305,23594580,6257,9.12,9.8,8.51,9.02,9.48,35.11,3.16,6.79,0.81
5523,宏都建設,49138361,4343983,953,11.31,12.1,10.8,11.43,11.5,1150,0,2.46,1.15
5529,志嘉建設,17222440,1638819,451,10.5,11.6,9.8,10.71,10.25,N/A,9.75,3.08,0.84
5530,龍巖    ,6355985999,74078211,42328,85.8,110,65.1,87.93,73,27.24,2.05,18.56,4.64
6177,達麗建設,85614789,3273524,1135,26.15,28.45,22.85,26.37,23.75,4.35,13.01,2.79,1.32
6212,理銘科技,2196960,185277,105,11.85,12.35,11.2,11.93,11.9,99.17,0,0.18,1.33
9946,金革科技,49962887,2983588,1222,16.74,19.2,14.8,16.86,15.45,10.1,0,1.86,1.2
2636,台驊國際,60246366,2327847,1022,25.88,27,23.8,25.87,24.95,8.94,10.86,3.7,1.39
5601,台聯貨櫃,5196103,313785,89,16.55,17.15,16.25,16.66,16.6,72.17,1.38,0.44,0.84
5603,陸海交通,18726767,1758664,604,10.64,12.75,9,11.23,9.05,N/A,0,2.79,0.72
5604,中連貨運,23368396,993650,482,23.51,24.1,22.55,23.55,22.95,13.91,8.54,0.91,1.02
5609,中菲行  ,87355047,4281680,2295,20.4,21.3,19.4,20.5,19.5,8.59,7.74,3.17,1.52
2718,桃園店  ,11958837,331819,153,36.04,37.9,35.1,36.48,36.5,33.18,2.6,1.47,2.03
5701,劍湖山  ,126828645,18565445,5271,6.83,7.3,6.2,6.79,6.68,N/A,0,4.47,0.88
5703,亞都麗緻,3567901,144140,94,24.75,26.5,23.25,25.3,24.8,34.44,0,0.21,2.07
5704,老爺知  ,2244533,115720,101,19.39,20.45,18.1,19.74,19.5,39.8,1.53,0.3,1.58
5706,鳳凰國際,1142116008,18202716,11079,62.74,66.8,56.3,61.1,60.8,17.47,9.75,29.62,3.4
5820,日盛金控,534870827,57459870,11517,9.3,10.15,8.25,9.17,8.69,8.12,10.47,2.25,0.77
6008,凱基證券,2823900639,243908388,47271,11.57,13.65,10.05,11.81,11,9.09,5.9,7.46,0.71
6015,宏遠證券,50841717,9013470,3349,5.64,6.31,5,5.71,5.23,N/A,0,1.97,0.57
6016,康和證券,137497180,19211297,4793,7.15,8,6.5,7.12,6.89,20.88,2.17,2.78,0.59
6020,大展證券,4397659,307193,152,14.31,15.5,13.6,14.46,13.85,15.56,4.62,0.13,0.96
6021,大慶證券,35608040,2894094,1182,12.3,13.85,10.7,12.33,11.3,7.39,12.38,0.94,0.72
6022,大眾證  ,84823236,9513440,2096,8.91,9.63,8.1,8.99,8.93,13.33,3.8,2.43,0.73
6023,寶來期  ,48989948,1268758,806,38.61,39.6,37.1,38.52,38.2,13.04,4.13,0.97,1.63
6024,群益期  ,21894727,928683,575,23.57,24.4,23.15,23.62,23.55,9.73,4.24,1.01,1.14
2916,滿心企業,96818734,3853036,1733,25.12,26.85,23.5,24.98,24.15,9.98,8.28,8.3,1.58
5902,德記洋行,24255880,2418492,808,10.02,10.8,9,9.96,9.1,N/A,0,2.56,1.48
5903,全家    ,1163486359,8245925,6127,141.09,162,118.5,141.42,132,29.73,2.57,3.69,7.56
5904,寶雅國際,335565431,9118294,4993,36.8,42.95,30.7,38.53,35.3,10.83,8.21,10.12,2.12
5905,南仁湖  ,322247908,29525577,9816,10.91,11.95,9.52,10.76,10.4,N/A,0,13.96,0.89
6195,詩肯    ,255192420,4818785,3222,52.95,57.5,45.3,51.57,47,11.66,4.25,12.69,3.23
8941,關中    ,11936917,1279034,535,9.33,9.9,8.54,9.35,8.62,N/A,0,0.98,1.5
9960,邁達康  ,20066149,950931,570,21.1,23.2,19.35,21.07,20.45,12.03,3.91,2.94,1.54
1584,精剛精密,456378227,16743315,8791,27.25,32.6,20.85,27.21,23.45,18.91,0.85,23.88,1.29
