櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
04月Apr. 08,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 503,279,227,831元",,,,,,4. 加權平均本益比：16.07,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 12,875,680,645股",,,,,,5. 加權平均殖利率： 5.56%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 4,278,317筆",,,,,,6. 成交量週轉率： 19.33%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5505,和旺建設,14062804,628102,359,22.38,25,19.05,22.25,20.9,8.46,0,1.57,1.75
5506,長鴻營造,2011289103,144887289,35009,13.88,16,10.75,13.4,12.3,307.5,8.13,113.89,0.87
5508,永信建設,624247957,7443035,4065,83.87,98,64,80.37,85.2,11.87,6.8,5.68,4
5511,德昌營造,213341510,11690667,3836,18.24,19.3,16.7,17.9,17.3,9.4,8.67,14.2,1.13
5512,力麒建設,11612960054,395252025,88469,29.38,33.55,21.8,28.52,27.3,28.44,5.86,126.24,1.61
5514,三豐建設,442622692,27264877,7554,16.23,17.5,14.2,15.5,15.05,25.51,9.96,27.63,1.21
5516,雙喜    ,8150333,755833,399,10.78,11.95,9.21,10.67,11.15,20.27,9.86,1.97,1.01
5519,隆大營造,100704811,2531631,1393,39.77,44.6,32.7,38.67,38.1,14.06,4.59,4.96,2.97
5520,力泰建設,10351865,407221,261,25.42,26.9,23.15,25.22,25.15,7.53,5.96,0.57,1.21
5521,工信    ,5025032901,260509039,65743,19.28,21.55,16.6,18.71,16.9,7.58,13.01,80.4,1.33
5523,宏都建設,1393584197,48012623,17043,29.02,31.95,24.2,27.81,27.8,9.52,8.27,50.92,2.23
5529,志嘉建設,114129455,3383383,1668,33.73,37.7,29.8,33.05,29.95,NA,3.33,7.66,2.19
5530,大漢建設,434482118,26542071,8977,16.36,17.9,13.5,15.67,13.9,18.05,10.79,24.75,1.16
5533,皇鼎建設,1657260273,46605612,16450,35.55,38.5,30.8,35.07,,13.48,7.41,32.32,1.86
6402,基泰營造,197468057,12529762,3997,15.75,17.4,13.3,15.14,13.3,5.36,7.51,18.94,1.2
5601,台聯貨櫃,41996878,2108208,958,19.92,23.75,15.5,18.38,18.75,64.66,1.33,2.93,0.95
5603,陸海交通,304933406,17877191,5247,17.05,18.9,15.5,16.9,15.7,523.33,5.09,28.98,1.17
5604,中連貨運,713695184,17190545,8242,41.51,44,38.55,41.28,40.9,12.51,6.4,15.8,1.86
5609,中菲行  ,1184499553,24317910,13055,48.7,52.8,43,47.5,45.7,19.61,3.61,24.27,3.43
5701,劍湖山  ,8407742291,381971262,91813,22.01,24.85,18.25,21.34,20.2,NA,0,91.89,1.5
5703,亞都麗緻,70387448,1753538,1270,40.14,43,34,39.36,36.8,NA,1.35,2.5,2.7
5704,老爺知  ,31008530,974213,653,31.82,33.85,29.1,31.43,30.2,61.63,0.99,1.63,2.41
5706,鳳凰國際,567445889,6348536,4527,89.38,96.4,79,89.69,81.5,40.35,2.28,20.72,4.85
8940,新天地  ,97565231,3240694,1551,30.1,32,28.2,29.63,29,15.85,5.17,6.88,2.02
5820,日盛金控,714892836,88552727,13539,8.07,8.5,7.72,8.01,7.93,NA,0,4.08,0.78
6008,中信證券,19149463761,746807388,144440,25.64,28.45,21.05,25.53,26,11.35,2.69,29.42,1.83
6015,宏遠證券,2825403928,157513104,35861,17.93,18.95,16.1,17.68,16.2,11.65,0,36.63,1.46
6016,康和證券,3219657545,178718905,38794,18.01,18.95,16.6,17.8,16.65,11.03,2.4,29.09,1.27
6020,大展證券,439175481,17636601,6080,24.9,26.5,23.1,24.51,23.2,10.84,2.8,7.58,1.44
6021,大慶證券,752005012,30753887,9731,24.45,25.8,22.4,24.24,22.85,11.6,1.75,12.33,1.54
6022,大眾證  ,2212997287,98352745,23195,22.5,23.6,20.7,22.17,20.85,6.66,3.5,42.69,1.4
6023,寶來期  ,538074355,9726211,4934,55.32,62,46.55,53.03,59.5,13.28,4.48,8.87,3.21
2916,滿心企業,18860632,871216,397,21.64,22.2,21.15,21.63,21.65,11.46,10.16,2.06,1.39
2921,特力和樂,26680487,1064467,509,25.06,26.6,23.25,24.23,26.6,13.37,8.83,2.66,1.8
5902,德記洋行,38592704,4822849,1346,8,8.41,7.22,7.84,7.8,NA,6.41,2.78,0.88
5903,全家    ,26691485,474652,264,56.23,59.1,54.8,56.11,55.6,20.9,4.31,0.21,3.65
5904,寶雅國際,111803594,4350853,2200,25.69,27,23.6,25.55,26.35,13.31,5.84,6.73,1.64
5905,南仁湖  ,2186242627,95288288,30058,22.94,25.45,20.5,22.35,21.6,98.18,3.61,56.09,1.63
8941,關中    ,122741107,5472799,2404,22.42,24.1,20,22.11,22.5,16.07,2.17,5.76,1.23
9960,邁達康  ,42747361,1658559,815,25.77,27,24.4,25.78,25.2,10.54,6.62,8.41,1.78
1584,精剛精密,106062671,2850555,1643,37.2,39.15,34.7,37.33,34.7,10.06,4.32,7.13,1.75
2221,大甲    ,28372842,1126162,663,25.19,26,24.6,25.13,24.6,8.4,6.09,2.65,1.35
3284,太普高  ,29097786,2802453,692,10.38,11.25,9.3,10.34,11.1,NA,9,6.77,1.04
3388,崇越電通,1100649237,7642364,5730,144.01,154.5,136,143.3,140,14.71,5,16.47,3.58
5312,寶島科  ,188290457,5199460,2562,36.21,39.6,32.4,35.33,39.45,17.53,6.84,9.09,2.82
8705,東隆五金,73334305,1530386,1094,47.91,48.8,47,47.98,47,9.14,10.63,1.91,2.47
8905,裕國    ,7988150,490251,231,16.29,16.55,16,16.31,16.45,13.37,4.13,0.41,1.22
8906,花王企業,4072932,626392,248,6.5,6.88,6.18,6.5,6.4,NA,1.56,1.22,0.62
8913,華夏資融,2783210,279604,188,9.95,10.6,9.45,10.04,10.15,7.41,0,0.8,1.1
8916,光隆    ,9387900,802334,335,11.7,12.5,11.35,11.64,11.55,10.13,3.46,0.97,0.6
8921,沈氏印刷,859021,69417,43,12.37,12.8,11.35,12.22,12,0,5.91,0.15,0.73
8923,時報出版,2867506,219913,111,13.03,13.6,12.8,13.1,13.2,17.37,7.57,0.72,0.98
8924,大田精密,287158033,4055382,2832,70.8,71.9,70,70.83,70.3,10.46,8.67,3.36,3.3
8925,偉盟工業,889976006,29362523,10787,30.3,32.6,28.1,29.77,30.1,41.81,4.28,16.26,2.36
8928,鉅明    ,37116823,2463969,1112,15.06,15.85,14.55,14.99,15.1,22.21,3.97,3.78,1.25
8929,富堡工業,402262,42693,39,9.42,9.7,9.01,9.35,9.1,NA,0,0.22,1.29
