櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年05月 May 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 425,129,230,170元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,019,226筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,585,590,742股",,,,,,4. 成交量週轉率： 14.59%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
1584,精剛精密,902924664,24919370,11341,36.23,39.1,32.5,35.4,34.5,29.49,0,36.38,1.91
2221,大甲    ,652787379,30439157,13285,21.44,24.05,16.15,20.62,24.05,19.24,0,71.75,1.89
3284,太普高  ,54102470,3123305,985,17.32,18.7,16.5,17.33,17.2,15.22,5.95,5.92,1.26
3388,崇越電通,474166006,5454396,3796,86.93,91.8,80.6,86.48,85,10.52,4.94,9.8,1.9
5312,寶島科  ,3956373913,39434943,23108,100.32,110,85.1,97.7,98.1,25.22,2.03,65.66,5.23
6186,晶磊興業,42404606,2891192,1082,14.66,15.75,13.3,14.35,14.55,N/A,0,9.58,1.33
6803,崑鼎投控,1776873890,11739833,8803,151.35,162,128,148.66,156,21.08,3.96,20.32,3.75
8390,金益鼎  ,524331893,11956173,5980,43.85,45.8,41.6,43.62,45.45,16.00,0,18.28,2.27
8401,白紗科技,152997303,4796588,2713,31.89,33.75,30.2,31.75,32.65,12.96,6.53,13.02,1.96
8705,東隆五金,29825960,968170,704,30.8,32.1,29.2,30.66,30.3,12.95,8.16,1.16,2.08
8905,裕國    ,48939001,3335115,1286,14.67,15.7,13.7,14.4,14.85,14.14,2.73,2.79,1.04
8906,花王企業,10859607,1429777,612,7.59,8,7.27,7.65,7.52,N/A,0,2.79,0.88
8913,華夏資融,86203614,3901629,1875,22.09,23.3,21.1,21.93,22,137.50,1.8,8.64,1.26
8916,光隆    ,73744869,3692718,1582,19.97,21.3,19.15,19.91,19.95,11.53,3.28,4.15,0.99
8921,沈氏印刷,8412614,573454,302,14.67,15.4,13.7,14.45,14.25,13.44,4.21,1.23,0.82
8923,時報出版,9914385,496224,275,19.97,21.45,18.3,19.59,19.6,15.93,5.01,1.63,1.29
8924,大田精密,218894140,6901313,4131,31.71,34.95,28.6,30.22,31.5,26.69,7.56,5.69,1.83
8925,偉盟工業,1706145241,85828523,20352,19.87,20.45,18.95,19.9,19.9,64.19,4.85,30.92,1.54
8928,鉅明    ,47937684,4688187,1465,10.22,10.7,9.65,10.14,10.1,N/A,4.85,7.38,1.19
