櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年02月 Feb. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 302,787,585,616元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,812,595筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 7,293,877,701股",,,,,,4. 成交量週轉率： 11.05%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
8923,時報出版,718016,38784,32,18.51,19,18,18.62,18.95,13.16,5.27,0.13,1.31
8924,大田精密,115098062,3254716,1763,35.36,37.9,33.3,35.77,33.5,15.80,7.46,2.68,1.87
8925,偉盟工業,839080734,43164750,9821,19.43,20.4,18,19.24,18.45,54.26,5.42,15.55,1.42
8928,鉅明    ,6655000,653652,210,10.18,10.35,9.5,10.16,10,N/A,5,1.03,0.96
8929,富堡工業,44524771,1047519,707,42.5,44.7,41,42.43,41.7,10.66,4.74,3.93,2.16
8932,宏大    ,5783816,580287,229,9.96,10.2,9.76,9.98,10.05,18.27,0,1.19,1.09
8933,愛地雅  ,92835482,6546169,2569,14.18,15.05,13.6,14.16,14.25,21.59,7.01,5.33,0.96
8934,馭鳳    ,0,0,0,0,0,0,0,2.32,N/A,0,0,4.14
8935,邦泰    ,588578046,49342755,11175,11.92,12.8,10.9,11.93,11.8,N/A,0,24.44,1.4
8936,國統國際,1342029371,34265515,13873,39.16,41.2,34.9,38.42,36.65,23.49,3.21,28.72,2.25
8937,合騏    ,19323886,1390075,643,13.9,14.6,13.4,13.86,13.7,N/A,0,1.92,1.18
8938,明安國際,203426759,3580105,2221,56.82,59.2,55,56.73,55.7,10.47,6.47,2.65,2
8942,森鉅科技,2883006679,66127405,26111,43.59,49.5,34.5,41.52,47.6,37.78,2.1,59.34,2.9
9946,金革科技,18069135,874966,416,20.65,21.8,18.6,20.72,19.05,31.23,0,0.87,2.12
9949,琉園    ,244320168,7808348,4090,31.28,37.3,23.6,29.25,37.3,34.86,2.33,17.28,2.39
1742,台蠟    ,89376441,1726573,1212,51.76,53,50.8,51.73,51.2,13.47,5.13,3.42,3.18
1787,福盈科技,76380699,4362380,1934,17.5,18.2,16.8,17.39,17.15,15.59,2.44,6.26,1.12
4702,中美聯合,102271898,7063337,2779,14.47,16.05,13.05,13.66,14.7,N/A,0,19.4,1.51
4703,金美克能,2346175,296928,155,7.9,8.2,7.62,7.91,7.92,N/A,0,0.43,1.3
4706,大恭化學,29382151,1727798,727,17,18.25,16.1,16.89,16.75,9.15,4.17,2.19,1.03
4707,磐亞    ,878945196,41533498,14541,21.16,24,19.45,21,20,37.04,1,18.42,1.19
4711,永純    ,95180117,4367469,1954,21.79,22.9,19.2,20.32,19.35,11.25,8.26,7.15,1.11
