櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年03月 Mar. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 523,700,709,051元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,914,571筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,928,243,769股",,,,,,4. 成交量週轉率： 18.00%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
6021,大慶證券,114673002,7352057,2687,15.59,16.9,14,15.5,15,11.03,3.33,2.64,1.03
6022,大眾證  ,143050917,12652900,3433,11.3,12.4,10.2,11.42,11.1,17.34,19.46,3.23,0.93
6023,寶來期  ,39660335,1086813,847,36.49,37.15,35.5,36.55,36.65,20.03,4.99,0.83,1.73
6024,群益期  ,25523840,891641,509,28.62,29.5,27.2,28.83,28.5,15.75,6.14,1.05,1.6
2916,滿心企業,94566255,3863827,1584,24.47,25.9,22.5,23.74,24.8,12.28,7.26,8.32,1.64
5902,德記洋行,26356717,2485230,1058,10.6,11.5,9.91,10.63,10.9,N/A,0,2.63,1.49
5903,全家    ,1983799382,17471640,11273,113.54,134,93.9,110.02,130,31.63,2,7.83,7.14
5904,寶雅國際,51134721,1731363,1059,29.53,30.4,28.3,29.61,30,10.83,8.17,1.96,1.83
5905,南仁湖  ,1030975325,45710428,17446,22.55,25,18.7,22.35,21.5,N/A,0,21.64,1.79
8941,關中    ,33750020,3150189,870,10.71,11.5,9.9,10.85,11.25,N/A,0,2.58,1.77
9960,邁達康  ,18031866,935098,539,19.28,21.55,18.15,19.76,18.55,9.56,12.94,3.01,1.41
1584,精剛精密,420171335,13097463,6787,32.08,34.8,29.1,31.5,29.85,497.50,0,19.13,1.81
2221,大甲    ,20394314,1305001,668,15.62,16.75,14.3,15.49,15.9,N/A,0,3.08,1.29
3284,太普高  ,141843545,7326991,3011,19.35,21.6,16.5,18.62,18.9,10.68,5.29,13.94,1.42
