櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年10月 Oct. 10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 376,490,989,404元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,870,596筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,756,239,918股",,,,,,4. 成交量週轉率： 14.87%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱N/Ame of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5530,大漢建設,3581392414,46475883,24463,77.05,82.4,70.3,75.86,78.6,35.57,0,12.16,7.01
6177,達麗建設,151488384,5339991,2114,28.36,29.35,27.05,28.04,27.9,15.00,5.34,6.94,2.25
6212,理銘科技,11142656,842854,250,13.22,13.85,12.7,13.21,13.25,8.03,0,0.83,1.48
2636,台驊國際,598926476,19200354,7812,31.19,33.55,27.8,30.77,31.85,12.79,2.19,37.34,1.86
5601,台聯貨櫃,11681548,697859,339,16.73,17.8,16.1,16.59,16.7,64.23,1.33,0.97,0.83
5603,陸海交通,28629317,2280218,848,12.55,13.15,12.1,12.49,12.45,56.59,0,3.62,0.93
5604,中連貨運,34767318,1370171,604,25.37,26.3,24.5,25.22,25.5,11.92,4.62,1.26,1.24
5609,中菲行  ,663617432,21761892,9675,30.49,31.8,28.4,30.13,28.9,12.96,4.13,16.61,2.12
5701,劍湖山  ,420014329,40059863,11437,10.48,11.15,10.05,10.4,10.25,N/A,0,9.64,1.23
5703,亞都麗緻,12913706,430073,276,30.02,31.2,28.8,29.68,29.8,36.34,0,0.61,2.49
5704,老爺知  ,8835944,367683,291,24.03,25.4,22.7,23.97,23.65,107.50,0.83,0.95,1.93
5706,鳳凰國際,363775487,5740418,3618,63.37,65.7,61.3,62.86,61.9,14.84,3.67,14.42,2.56
5820,日盛金控,1347794494,130663498,15224,10.31,10.65,10.05,10.22,10.2,16.89,0,5.56,0.98
6008,凱基證券,4507735599,310796321,53826,14.5,15.2,13.7,14.32,14.4,13.09,3.19,9.69,0.95
6015,宏遠證券,182168985,21080239,4848,8.64,9.15,8.26,8.53,8.46,24.88,0,4.61,0.92
