櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年10月 Oct. 10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 376,490,989,404元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,870,596筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,756,239,918股",,,,,,4. 成交量週轉率： 14.87%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱N/Ame of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5457,宣德    ,156781646,13670835,3687,11.46,12.45,10.8,11.4,11.05,N/A,0,5.7,1.57
5460,同協電子,53951674,3733839,1381,14.44,15.15,13.7,14.34,14.2,24.91,3.66,5.18,1.15
5464,霖宏科技,38959701,1247156,841,31.23,32.4,30,30.95,30.25,11.63,6.6,2.08,1.84
5475,德宏工業,1750231591,116687025,28315,14.99,17.1,13,14.85,15.05,10.67,0,57.07,1.22
5480,統盟電子,205144835,8688865,3391,23.61,27.85,21.45,23.25,21.8,6.90,5.5,5.31,1.3
5481,華韡電子,67712117,4686117,1570,14.44,15.85,13.5,14.35,13.55,24.20,0,4.58,0.71
5488,松普科技,71020936,6098703,1642,11.64,12.25,10.9,11.49,11.6,34.12,2.52,6.66,0.74
5491,連展科技,414670147,22273429,8660,18.61,19.65,17.2,18.07,17.3,27.90,6.64,11.82,0.95
5498,凱崴    ,81006940,9338954,2181,8.67,8.99,8.5,8.64,8.72,30.07,0,5.87,0.85
6101,弘捷    ,13521998,1708661,363,7.91,8.2,7.36,7.82,7.85,N/A,0,0.76,0.79
6107,華美電子,14217497,1504007,717,9.45,10.45,8.2,9.39,8.31,831.00,0,4.29,1.63
6114,翔昇電子,626093,207353,86,3.01,3.56,2.59,3.07,3.09,N/A,0,0.38,1.87
6124,業強科技,54054186,1305319,718,41.41,42.8,38,41.55,39,79.59,0,0.68,2.78
6126,信音企業,199757337,6530702,3604,30.58,32.45,28.4,30.23,30.75,7.69,11.73,6.86,1.73
6127,九豪精密,947155192,38153925,15772,24.82,27.9,22.2,24.54,23.25,21.93,0,44.59,1.61
6134,萬旭電業,143129539,3658275,2636,39.12,42.9,37.5,39.08,37.8,9.79,14.51,4.42,1.69
6158,禾昌興業,359685780,8270292,5289,43.49,46.15,41.5,43.13,41.8,8.44,9.56,7.21,1.42
6173,信昌電陶,4989375013,126789805,57612,39.35,42.45,35.5,38.74,36.8,19.78,1.78,75.82,2.54
6174,安碁科技,136096973,9923627,2080,13.71,14.55,13.2,13.68,13.3,21.98,0,13.84,1.34
6175,立敦科技,463676310,19006607,7226,24.39,27.2,22,24.22,23.3,28.07,0,20.29,2.19
6185,幃翔精密,169106154,5382714,2418,31.41,33.15,29.95,31.16,31.25,8.85,4.98,5.79,1.63
6194,育富電子,120719219,4181318,2003,28.87,30.2,28.15,28.52,28.3,13.10,10.6,3.71,1.09
6203,海韻電子,118026279,2016132,1669,58.54,62.6,55.5,57.92,57.5,11.41,10.75,2.61,3.65
6204,台灣艾華,57677248,1706880,931,33.79,34.75,32.85,33.59,33.95,8.20,6,4.65,1.58
6207,雷科    ,386654838,8482632,4587,45.58,47.55,43.5,45.35,43.85,10.72,3.73,11.21,2.31
6208,日揚科技,265162809,18983620,4894,13.96,15.35,13,13.5,13.5,15.70,0,16.23,1.02
6210,慶生電子,254388426,5684980,2913,44.74,48.1,41.6,44.67,44.2,8.75,2.23,16.22,2.78
6211,福登    ,75560019,3265366,1421,23.13,24.65,21.3,22.58,22.9,9.87,0,6.99,0.78
6217,中國探針,292573269,7422089,4721,39.41,44.5,35,38.95,37.25,19.10,0,17.08,3.04
6220,岳豐科技,76229832,3682547,2202,20.7,22.8,19.3,20.31,19.35,10.75,7.51,3.23,1.17
6242,聯豪科技,5424593,1843234,211,2.94,3.4,2.66,2.94,3.4,N/A,0,3.78,2.19
6248,沛波國際,80079645,6079529,2205,13.17,14.6,12,13.21,12.9,N/A,0,12.05,1.28
6250,宇加科技,6670754,466587,175,14.29,17,11.35,14.44,16.2,N/A,0,3.19,3.92
6266,泰詠電子,92425452,6390644,2480,14.46,15.05,13.95,14.34,14.8,8.65,0,9.28,0.87
6274,台燿科技,328474758,20399078,5972,16.1,16.9,15.45,15.98,15.8,11.53,1.26,8.74,0.84
6279,胡連精密,1532119936,17928766,10445,85.45,90.4,79.1,83.58,80.6,14.90,4.26,21.84,3.2
6284,佳邦科技,197064005,6572663,2649,29.98,30.9,28.95,29.76,30,14.35,1.7,6.38,1.02
6290,良維科技,927709806,20659826,9912,44.9,46.5,42.8,44.7,45.1,9.91,6.49,16.62,1.96
6292,迅德興業,25831969,874019,491,29.55,31.3,28.65,29.41,30,9.77,5.45,1.79,1.59
8042,金山電子,963487865,19154501,8057,50.3,53,48,49.66,50.7,8.48,6.16,20.3,2
8043,蜜望實  ,208713815,9267793,3344,22.52,23.3,21.3,22.35,22.25,9.63,3.17,10.09,1.05
8074,鉅橡    ,40270634,2426837,869,16.59,17.25,16,16.4,16,9.82,9.25,4.77,1.14
8080,奧斯特  ,18517695,1494383,795,12.39,13.15,11.7,12.4,11.7,N/A,0,2.99,1.05
8091,翔名科技,418384950,7725815,4081,54.15,58,51.3,53.56,55.6,9.13,4.04,20.86,2.95
8093,保銳科技,13317493,1113382,480,11.96,12.6,11.3,11.97,11.75,N/A,5.93,1.73,0.99
8109,博大科技,101185039,2331096,1477,43.4,45.55,41,42.99,42.3,12.44,8.16,4.57,2.68
8121,越峰電子,2633543676,35971031,22897,73.21,81.8,67.5,72.46,72.5,24.25,0,31.12,4.26
8182,加高電子,488939607,16469867,7936,29.68,31.2,28.75,29.38,29.8,14.47,3.42,15.39,1.23
8287,英格爾  ,3700432878,31867924,17402,116.11,129,104.5,117.85,129,36.75,1.69,46.99,3.88
8289,泰藝電子,574245956,22885302,9207,25.09,26.6,22.25,24.17,22.85,9.21,3.54,30.73,1.2
8358,金居    ,961989851,35024298,15074,27.46,29.8,24,26.77,26.05,9.14,1.85,16.54,2.09
3224,三顧    ,42557457,3582967,1179,11.87,12.9,11.2,11.72,11.45,10.70,0,8.27,1.27
3232,昱捷    ,94604607,5875351,2668,16.1,18.4,14,15.51,16.8,7.64,0,18.61,1.64
3312,弘憶股  ,109348875,6352259,2953,17.21,19.15,15.6,17.14,16.5,9.88,10.06,7.29,1.17
3360,尚立    ,390616539,20051616,7769,19.48,20.6,18.1,19.19,18.5,18.32,2.7,39.98,1.19
3389,志遠    ,249661926,8048265,3863,31.02,32.5,29.5,30.9,30.4,7.70,6.85,11.1,1.92
3444,利機企業,21575077,709465,586,30.41,32.5,28.1,30.22,29.1,13.11,6.7,2.09,1.98
5467,聯福生  ,6988112,1199821,252,5.82,5.99,5.33,5.76,5.54,20.52,0,1.08,1.44
6113,亞矽科技,1148337285,43513054,13077,26.39,29.45,23,25.24,27.5,9.65,0,78.25,2.08
6118,建達國際,100560282,4820554,2611,20.86,21.95,20,20.46,20.1,44.67,2.97,5.31,1.81
6135,佳營電子,211225096,13237630,4004,15.95,17.3,15.15,15.78,15.7,9.75,0,17.37,1.6
6154,順發電腦,44476767,1877115,1028,23.69,24.3,23,23.7,23.15,9.73,6.46,2.34,1.55
6171,亞銳士  ,24635532,2156395,778,11.42,12.1,10.75,11.39,10.85,542.50,0,7.88,0.95
6195,詩肯    ,113878968,2622875,1654,43.41,47.25,40.2,42.35,41.8,26.46,0,6.91,3.29
6227,茂綸    ,62341509,3294171,1603,18.92,20.35,18,18.71,18.4,9.29,5.4,4.33,1.16
6259,百徽    ,49424553,3543564,1474,13.94,15.25,13,13.66,13.15,28.59,0,5.13,1.9
6265,方土昶  ,62156160,5536508,1808,11.22,11.9,10.75,11.13,10.8,15.88,0,4.55,0.8
6270,倍微科技,61033836,2431172,1192,25.1,25.85,24.4,25.01,24.75,10.67,8.07,3.24,0.88
8032,光菱電子,1123020392,29621157,13145,37.91,39.85,34.3,36.94,36.3,10.06,2.75,57.17,1.83
8067,志旭國際,13517972,1243888,669,10.86,11.9,10.4,10.83,10.6,N/A,0,2.78,1.16
8068,全達國際,57625244,1036221,858,55.61,57.6,54.2,55.44,54.7,N/A,0,3.38,7.81
8096,擎亞國際,5978282865,110448165,54781,54.12,60.7,48,53.57,53.8,15.20,3.23,118.16,2.95
3083,中華網龍,2243252255,10500039,9314,213.64,239,192,216.69,211.5,21.21,5.02,11.94,7.86
3085,久大資訊,93636307,6037428,2040,15.5,17.05,14,15.18,14.8,N/A,0,12.42,1.4
3086,華義國際,498257444,17113473,9271,29.11,31.6,26.5,28.96,29.8,18.98,0,24.35,2.77
3293,鈊象電子,361105079,2292751,2419,157.49,165.5,151,157.42,158,10.68,7.38,3.26,3.77
3546,宇峻奧汀,1825114531,7892906,7954,231.23,266,200.5,233.57,233,17.66,3.27,24.74,6.59
3570,大塚資訊,19469350,684750,394,28.43,30,27.2,28.3,30,11.72,5.05,4.11,1.22
3664,KY安瑞  ,126093729,3962625,2173,31.82,38.8,28.6,32.8,32.55,N/A,0,5.86,2.33
5201,凱衛資訊,36013780,2080059,960,17.31,18.15,16.7,17.28,17.3,13.62,0,6.78,1.78
5202,力新國際,113543787,9710754,3279,11.69,12.5,11,11.55,11.15,20.27,0,16,1.08
5206,經緯科技,759196,554524,128,1.36,1.88,1.14,1.39,1.14,N/A,0,1.21,0.87
5209,新鼎系統,34601835,605526,472,57.14,58.6,56,57.04,56.5,10.78,5.26,2.81,3.04
5210,寶碩    ,249236967,17385522,6686,14.33,15.55,13.1,13.99,13.5,30.68,3.77,25.65,1.11
5211,蒙恬科技,1279112634,16020937,11673,79.84,85.7,75.3,78.84,78.2,24.14,2.57,50.03,4.46
5212,凌網科技,21276256,970444,521,21.92,24,19.3,21.43,20.3,N/A,0,2.82,2.21
5310,天剛資訊,16464755,362227,430,45.45,47.1,44,45.43,44.25,116.45,3.33,2.42,1.97
5403,中菲    ,221776044,9979682,4608,22.22,25,19.8,22.71,20.9,10.35,8.48,18.11,1.53
5410,國眾電腦,299707539,14506256,6853,20.66,22.7,19,20.47,19.05,10.13,1.57,17.14,1.61
5478,智冠    ,1617683213,12538343,9836,129.01,138.5,118.5,128.11,130.5,13.94,4.88,9.83,3.16
6111,大宇資訊,10599816,335105,293,31.63,34.05,29.7,31.68,31.3,N/A,0,0.92,4.81
6140,訊達電腦,131415662,7533478,3526,17.44,19.3,16.05,17.35,18.5,30.33,0,21.13,1.47
6148,驊宏資通,53078288,6503990,2199,8.16,8.94,7.67,8.07,7.98,99.75,0,7.39,0.89
6169,昱泉國際,569505664,8333661,6482,68.33,82,51.6,66.01,75.5,N/A,11.78,29.67,3.27
6180,橘子    ,643460202,15345355,9812,41.93,43.7,39.5,41.82,42.2,35.76,3.02,9.26,2.5
6183,關貿網路,173113513,9063833,1544,19.09,19.7,18.8,19.02,19.4,19.02,3.88,6.04,1.55
6214,精誠資訊,1010467611,23123164,12204,43.69,45.5,41.7,43.27,43.1,14.27,4.6,8.68,0.8
6221,晉泰科技,18816100,1347400,679,13.96,15,13,13.86,14.2,17.53,0,4.2,0.99
6231,系微    ,454763962,4818373,4107,94.38,99.9,85,93.19,95.8,16.93,5.95,12.68,5.51
6240,松崗    ,898999,692457,128,1.29,1.48,0.99,1.27,1.35,N/A,0,0.35,0.23
8044,網路家庭,1593707074,9507152,7146,167.63,179,154.5,166.64,154.5,31.66,1.22,16.32,11.2
8099,大世科  ,52438997,2048981,1133,25.59,26.8,24.5,25.45,25,11.16,6.82,3.05,1.83
1785,光洋科技,2976146305,43954159,24986,67.71,69.7,65.8,67.32,66.5,12.03,5.97,14.66,2.43
3064,泰偉電子,379537211,7529052,4055,50.4,54.3,45.25,48.17,50.5,N/A,0,11.33,3.28
3067,全域    ,1652550,61000,47,27.09,28.6,24.95,27.25,26.8,11.03,0,0.21,1.95
3093,台灣港建,104524598,1500136,1190,69.67,72.5,66.3,68.93,71.3,9.06,4.31,4.13,2.76
3289,宜特科技,244162012,7723848,4006,31.61,33.3,30.3,31.21,30.3,N/A,0,11.25,1.66
3303,岱稜    ,112060834,4433407,2402,25.27,27,23.5,25.28,23.5,N/A,3.38,5.57,1.14
3324,雙鴻科技,664720091,27968492,10241,23.76,26.25,19.2,22.8,24.1,25.64,0,50.34,2.17
3373,熱映光電,46231666,1630132,1042,28.36,30.1,27,28.3,27.3,11.77,6.85,5.4,1.78
3402,漢科    ,127946456,4661836,2462,27.44,28.9,26,27.48,26.25,25.00,2.33,7.17,1.55
3466,致振企業,20088228,744314,496,26.98,28.55,25.5,26.73,25.8,10.98,7.7,1.19,0.99
3498,陽程    ,28066459,1204168,861,23.3,25.2,22,23.41,22.15,N/A,3.38,1.77,0.97
3508,位速    ,86944464,1414766,978,61.45,66.7,56.9,60.93,58.3,112.12,0,1.52,2.03
3541,西柏科技,108312130,2899139,1508,37.36,38.7,36,36.72,37.3,9.82,4.8,8.79,2.29
3551,世禾科技,91916403,2300731,1331,39.95,41.1,39,40.07,40.2,10.52,4.98,4.8,1.14
3552,同致電子,2082542881,14429971,7909,144.32,163.5,125.5,142,156.5,23.64,1.53,24.91,6.33
3580,友威科  ,162151836,4523795,2651,35.84,42.4,31.3,35.84,32.2,80.50,1.81,10.22,1.47
3587,閎康科技,39347685,1415714,810,27.79,29.2,26.7,27.61,27.5,13.68,0,3.58,1.44
3628,盈正    ,8887477926,29542899,23309,300.83,377.5,258,292.88,278.5,17.60,1.07,65.65,6.6
4415,美嘉生電,636403253,9487372,6369,67.07,82.1,56,67.6,62,19.44,0,34.24,6.11
5205,漢康科技,421849755,7279756,3017,57.94,62,56,58.04,57.2,29.64,1.9,30.37,3.21
5383,金利    ,208582194,11420761,3977,18.26,20.5,16.1,17.87,16.65,11.98,2.94,16.47,1.28
5452,佶優科技,537051634,28411052,10394,18.9,19.7,17.8,18.45,18.85,13.66,2.88,21.99,1.37
5489,彩富電子,53173844,1432148,800,37.12,38,35.5,36.8,35.5,12.59,5.46,1.36,2.47
5493,三聯科技,228698954,6642143,3543,34.43,35.8,32.45,34,33.8,7.43,3.55,17.34,1.74
6144,得利影視,6299869,595909,284,10.57,12.45,9.98,10.62,10.5,N/A,0,1.22,1.54
6146,耕興    ,445098687,6703343,4231,66.39,68.5,63.7,66.21,66.7,10.90,6.3,8.43,3.03
6151,晉倫科技,1972316307,41408550,13895,47.63,54.6,40,47.07,53.4,16.38,3.58,92.91,3.67
6179,世仰科技,22966754,1826412,1174,12.57,14,12,12.35,12.2,N/A,0,3.27,1.2
6187,萬潤    ,3737974155,66261892,31141,56.41,63.6,46,53.39,47,12.18,2.04,106.31,2.4
6238,勝麗國際,169051,16684,25,10.2,10.9,8.47,10.32,10.9,5.67,0,0.05,2.28
6275,元山科技,287783487,12820633,5114,22.44,24.45,20.45,22.56,22.1,22.10,0,27.25,1.9
6276,名鐘科技,15942063,2354709,790,6.77,7.89,6.25,6.94,6.38,N/A,0,5.35,0.92
8047,星雲電腦,38929445,2326377,1112,16.73,17.8,15.75,16.7,15.75,29.72,0,4.6,1.49
8085,福華電子,53818452,5731361,2081,9.39,9.78,9,9.36,9.28,N/A,0,3.64,0.65
8092,建暐精密,20769749,1667260,584,12.45,13.35,11.3,12.46,12.2,64.21,0,5.88,1.04
8183,台灣精星,60366600,6386711,1950,9.45,10.1,9.01,9.38,9.01,23.10,0,5.5,0.65
8383,千附實業,211767693,8643589,4343,24.49,25.8,23.7,24.37,23.7,12.81,2.08,7.61,1.19
1107,建台水泥,3343871,2572013,586,1.3,1.43,1.16,1.3,1.32,N/A,0,0.82,-0.29
2341,英群    ,4347023,3387307,469,1.28,1.57,0.88,1.19,1.57,N/A,0,1.63,-1.79
2381,華宇光能,4398080,2910313,934,1.51,1.64,1.38,1.53,1.53,N/A,0,0.56,0.66
2396,精碟科技,3346026,8491346,736,0.39,0.45,0.35,0.39,0.39,N/A,0,0.67,-0.22
4801,碼斯特  ,3384,360,1,-,-,-,-,10.1,N/A,0,0,5.13
5204,得捷    ,1976043,301771,120,6.54,7.38,5.8,6.66,7.26,12.52,0,0.79,1.18
5318,佳鼎科技,1197749,119417,289,10.06,11.55,8.14,9.96,9.31,N/A,0,1.04,-1.1
,,,,,,,,,,,,,
