櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年04月 Apr. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 375,300,588,732元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,686,830筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,764,672,186股",,,,,,4. 成交量週轉率： 13.20%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
6509,聚和國際,519752156,21612192,9824,24.04,25.2,22.1,23.37,24.35,N/A,4.29,13.16,1.53
1565,精華光學,1972815706,4861246,4189,405.82,432,362,405.6,420,22.30,2.54,9.67,7.73
1752,南光    ,1005613116,26345145,14901,38.17,40.4,34.2,37.23,37.5,170.45,0.51,41.93,2.89
1777,生泰合成,127733415,2022835,1395,63.14,66,59.2,61.78,63.5,19.13,2.62,8.6,3.2
1781,合世生醫,422555989,14039248,6772,30.09,33,24.6,27.18,31.75,34.51,0,33.75,3.23
1784,訊聯    ,940419379,15669717,10768,60.01,64.4,52,57,59.8,N/A,0,31.69,2.67
1788,杏昌生技,820457300,7431054,5390,110.4,122,94.5,106.64,118,23.41,2.74,25.51,3.81
1795,美時化學,1178270542,21453412,11569,54.92,60.4,44.8,51.75,54.8,103.40,1.27,48.25,3.79
1799,紅電醫  ,26064496,1176055,656,22.16,23,21.2,22.1,21.7,N/A,8.92,3.89,1.8
1813,寶利徠  ,446446085,8930570,4031,49.99,53.8,37.5,41.2,52.5,52.50,2.44,21.89,3.25
3118,進階    ,100716698,2248851,1659,44.78,46.95,41.05,43.9,45.05,19.25,3.39,7.38,2.82
3205,佰研生化,45171489,2085052,1257,21.66,24,19.2,20.23,20.45,N/A,0,8.45,1.75
3218,大學光學,1546670319,30848233,18673,50.13,53.9,45.5,49.02,47.3,2365.00,0,68.31,3.1
3266,弘如洋  ,404674888,14460859,6574,27.98,30.8,23.9,27.35,27.95,13.50,0,17.4,2.02
4102,永日化工,1989336515,27907028,17639,71.28,75.6,62.7,68.39,72.7,29.55,2.74,69.78,3.7
4103,百略    ,269605302,5398744,3446,49.93,53.1,45,48.08,51,15.55,5.88,4.61,2.26
4105,東洋藥品,5399631208,33803743,20075,159.73,168,149.5,158.21,160.5,65.24,1.85,24.27,9.93
4107,邦特生技,691502855,15847693,8804,43.63,46.8,38.6,42.26,45.2,22.27,4.38,20.31,2.78
4109,加捷    ,936474881,27252979,14562,34.36,37.25,31.65,33.73,31.65,166.58,2.3,59.2,2.32
4111,濟生    ,577306297,21486568,10023,26.86,28.9,23.8,26.05,27.35,51.60,2.05,44.27,1.65
4114,健喬信元,175713799,5142846,2896,34.16,35.3,33.45,34.03,34.5,690.00,0,6.3,2.34
4120,友華生技,231198314,4940753,3245,46.79,50.2,43.05,46.11,48.6,12.76,4.34,5.73,1.87
4121,優盛醫學,272334558,11712077,5130,23.25,24.3,21.9,22.78,23,14.94,2.14,16.67,1.47
4123,晟德    ,440954019,9191280,5123,47.97,49.95,45,46.56,47.9,122.82,5.18,10.57,2.4
4126,太平洋醫,1224035034,9640730,6554,126.96,136.5,116.5,122.97,128.5,21.38,0.77,17.99,4.85
4127,天良    ,270111280,8873746,4563,30.43,32.5,28,29.73,30.5,N/A,0.64,19.51,1.98
4128,中天生技,2261551064,46163875,24064,48.98,51,44.65,48.32,49.4,15.63,0,20.59,2.16
4129,聯合骨科,943682942,17431797,10285,54.13,57.5,48.1,53.11,54.8,55.35,1.67,37.61,3.92
