櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
01月Jan. 08,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 339,872,575,306元",,,,,,4. 加權平均本益比：12.89,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,981,240,714股",,,,,,5. 加權平均殖利率： 7.13%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 2,927,065筆",,,,,,6. 成交量週轉率： 13.40%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5505,和旺建設,21704371,1026624,376,21.14,24.4,18.2,21.05,18.95,7.67,0,2.57,1.58
5506,長鴻營造,78607880,10125079,2596,7.76,8.47,7.01,7.71,7.1,177.5,14.08,7.96,0.5
5508,永信建設,142503714,2770041,1031,51.44,57,47,50.72,51,7.1,11.37,2.11,2.4
5511,德昌營造,22475281,1547315,596,14.52,15.6,13.85,14.52,14.15,7.69,10.6,1.88,0.93
5512,力麒建設,1621359003,106556752,18038,15.21,17.35,12.25,14.71,14.7,15.31,10.88,30.4,0.87
5514,三豐建設,91046497,7424384,2269,12.26,14,11,12.02,11.7,19.83,12.82,7.53,0.94
5516,雙喜    ,2027299,220001,102,9.21,9.99,8.31,9.27,9.49,17.25,11.59,0.57,0.86
5519,隆大營造,20201676,549392,341,36.77,39,35.1,36.88,36,13.28,4.86,1.08,2.81
5520,力泰建設,2969634,128004,86,23.19,25.4,21.8,22.86,21.85,6.54,6.86,0.18,1.05
5521,工信    ,2107340891,142054272,33912,14.83,17.05,12.5,14.1,12.8,5.74,17.18,43.84,1.01
5523,宏都建設,256426754,12023101,3093,21.32,22.95,19.8,20.86,21,7.19,10.95,12.75,1.68
5529,志嘉建設,55372622,2158382,622,25.65,27.4,24.1,25.74,26.4,NA,3.78,4.89,1.93
5530,大漢建設,105268755,7919724,2310,13.29,14.15,11.7,12.95,12.1,15.71,12.39,7.39,1.01
5533,皇鼎建設,979634541,40137059,12267,24.4,27.5,19.9,23.37,23.2,10.09,9.91,27.83,1.39
6402,基泰營造,51544424,4465763,1268,11.54,12.6,10.3,11.32,11.45,4.62,8.73,6.75,1.04
5601,台聯貨櫃,1672679,119731,52,13.97,14.75,13.05,14.07,14.3,49.31,1.74,0.17,0.73
5603,陸海交通,53529622,4291805,1409,12.47,14,11.35,12.1,11.35,378.33,7.04,6.96,0.85
5604,中連貨運,43969312,1573629,525,27.94,28.9,26.65,27.7,28.1,8.59,9.32,1.45,1.28
5605,遠東航空,428699745,52315688,9250,8.19,9,7.51,7.97,8,NA,0,8.62,1.59
5609,中菲行  ,668712401,16512868,7563,40.49,44.6,33.8,39.2,34,14.59,4.85,16.48,2.55
5701,劍湖山  ,4107963093,260429337,56060,15.77,17.65,13.05,15.15,15.75,NA,0,62.65,1.17
5703,亞都麗緻,87582184,3142406,707,27.87,32,26,28.74,28.8,NA,1.73,4.47,2.11
5704,老爺知  ,38118045,1538110,771,24.78,27.15,22.6,24.63,24.95,50.92,1.2,2.57,1.99
5706,鳳凰國際,863861206,11576966,7143,74.61,85,54.5,69.1,72.3,35.79,2.57,37.79,4.31
8940,新天地  ,45922905,1787463,884,25.69,27.5,23.7,25.22,25.25,13.8,5.94,3.8,1.76
5820,日盛金控,498467952,55283569,10423,9.01,9.7,7.65,8.81,7.71,NA,0,2.55,0.75
