櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
100年12月 Dec. 11,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 174,139,891,484元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,310,869筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,415,902,760股",,,,,,4. 成交量週轉率： 7.94%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
1259,安心    ,882477640,5517538,4331,159.94,168.5,146,157.08,157.5,21.37,1.9,18.74,6.26,
2718,桃園店  ,8466681,229020,107,36.96,37.8,34.2,36.88,37.1,32.83,2.56,1.01,2.06,
5701,劍湖山  ,92622523,16449861,4898,5.63,6.2,5,5.59,6.1,N/A,0,3.96,0.82,
5703,亞都麗緻,2146019,105460,86,20.34,21.95,19.3,20.57,21.2,34.75,1.17,0.15,1.8,
5704,老爺知  ,2612446,141393,127,18.47,20.25,17.4,18.8,18.4,30.67,1.63,0.36,1.45,
5820,日盛金控,459753965,58641011,13383,7.84,9.09,6.69,7.99,8.2,9.76,11.09,2.3,0.76,
6008,凱基證券,1766630820,158075443,36844,11.17,12.1,10.1,11.09,10.8,14.4,6.01,4.83,0.72,
6015,宏遠證券,47125874,10494350,2548,4.49,4.93,4.18,4.5,4.52,N/A,0,2.3,0.53,
6016,康和證券,91483776,14944375,3468,6.12,6.46,5.7,6.11,6.2,N/A,2.41,2.16,0.55,
6020,大展證券,2425499,197700,111,12.26,12.7,11.65,12.16,12.5,N/A,5.12,0.09,0.89,
6021,大慶證券,24391027,2436920,1082,10,11.05,8.85,10.02,9.9,61.88,14.14,0.79,0.73,
6022,大眾證  ,58537067,8138554,2042,7.19,8.2,6.43,7.31,7.01,N/A,4.85,2.08,0.59,
6023,寶來期  ,19250087,585905,422,32.85,33.85,31.7,32.95,33.1,9.17,4.77,0.45,1.34,
6024,群益期  ,23882118,1116413,596,21.39,21.95,20.85,21.41,21.45,9.05,4.66,1.21,1.1,
2916,滿心企業,25883937,1407591,639,18.38,19,17.55,18.33,18.5,8.73,10.81,2.58,1.22,
2924,F-東凌  ,299181941,5423961,3674,55.15,65,45.3,53.69,61.8,19.13,3.23,17.94,3.81,
5902,德記洋行,6947370,791482,266,8.77,9.1,8.2,8.79,8.77,N/A,0,0.84,1.41,
5903,全家    ,609370181,4838699,3596,125.93,135,119.5,126.27,121,26.59,2.8,2.17,6.29,
5904,寶雅國際,127288940,3808158,2591,33.42,35.35,31.9,33.72,34.55,10.47,8.39,4.23,2.05,
5905,南仁湖  ,364359072,34820049,9787,10.46,11.3,9.81,10.56,10.25,N/A,0,16.47,0.83,
