櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
100年12月 Dec. 11,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 174,139,891,484元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,310,869筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,415,902,760股",,,,,,4. 成交量週轉率： 7.94%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
5309,系統電子,64240196,8848035,2813,7.26,8.3,6.15,6.96,7.98,N/A,0,5.8,0.95,
5317,凱美電機,13276432,2287089,835,5.8,6.14,5.36,5.87,5.88,16.8,8.5,1.68,0.47,
5321,友銓電子,2372262,833868,324,2.84,3.05,2.67,2.85,2.83,N/A,0,0.46,0.47,
5328,華容    ,37618878,6022790,1310,6.24,6.54,5.6,6.23,6.53,13.06,4.59,2.65,0.59,
5340,建榮工業,17147424,3071115,691,5.58,5.78,5.37,5.57,5.54,277,0,1.85,0.62,
5345,天揚    ,4876962,1504893,565,3.24,3.53,2.84,3.21,3.53,N/A,0,3.01,0.47,
5349,先豐通訊,526572232,32304542,11901,16.3,17.7,14.65,16.13,16,8.74,6.62,15.64,1.11,
5355,佳總興業,33205669,4718491,1643,7.03,8.49,5.99,7.02,6.72,N/A,0,3.04,0.86,
5356,協益電子,518767694,16570384,7796,31.3,34.65,28.5,31.85,33.25,4.3,15.03,12.51,1.12,
5364,浩騰    ,931714,935389,205,0.99,1.12,0.74,0.93,0.88,N/A,0,0.44,0.99,
5381,合正科技,13375267,6263848,1485,2.13,2.35,1.9,2.15,2.22,N/A,0,2.08,0.26,
5398,力瑋實業,182548388,7075071,2812,25.8,27.5,23.7,25.54,24,N/A,0.83,16.95,2.27,
5439,高技企業,47314421,2271041,1222,20.83,21.75,19.75,20.86,21.05,6.64,14.25,3,1.33,
5457,宣德    ,24440561,5117863,1206,4.77,5.21,4.3,4.82,5.12,N/A,0,2.19,0.79,
5460,同協電子,16837434,1766024,799,9.53,10.25,8.9,9.45,9.39,12.86,6.38,2.45,0.75,
5464,霖宏科技,7288624,364526,271,19.99,20.95,18.65,19.89,20,12.99,5,0.61,1.17,
5475,德宏工業,81368830,10899652,3546,7.46,7.99,6.7,7.52,7.73,21.47,6.46,5.08,0.6,
5480,統盟電子,19058285,2223004,877,8.57,9.17,8.1,8.56,8.18,62.92,13.44,1.24,0.54,
5481,華韡電子,7715961,918634,360,8.39,8.97,7.89,8.48,8.3,N/A,0,0.9,0.44,
5488,松普科技,24934909,4138678,1465,6.02,6.5,5.57,5.99,6.15,N/A,0,4.52,0.39,
5491,連展科技,51054423,6115760,2428,8.34,9.29,7.6,8.45,8.38,N/A,2.98,3.19,0.47,
5498,凱崴    ,104165884,10112379,1844,10.3,11.3,9.72,10.19,10,100,0,6.36,0.98,
6101,弘捷    ,3436783,254911,149,13.48,15.5,12.5,14.1,14.5,39.19,0,0.45,1.45,
6107,華美電子,46921418,730382,387,64.24,78.6,57.9,69.16,66.4,N/A,0,1.33,10.2,
6114,翔昇電子,24926,6355,7,3.93,4.16,3.73,4.05,3.72,N/A,0,0.01,1.71,
6124,業強科技,10847152,407882,120,26.59,27.9,24.75,26.67,25.9,235.45,0,0.22,1.76,
6126,信音企業,95565129,4413279,1953,21.65,22.9,20.1,21.47,21.15,11.95,11.82,4.27,1.33,
6127,九豪精密,46468153,5049167,1827,9.2,10.1,8.26,9.15,10.1,10.74,5.14,5.63,0.65,
6134,萬旭電業,21163568,1844379,1073,11.47,12.4,10.4,11.4,12.1,N/A,4.13,2.23,0.65,
6158,禾昌興業,94172279,5311016,2607,17.73,18.65,16.05,17.64,18.4,9.68,13.04,4.63,0.63,
6173,信昌電陶,102625520,10586132,4393,9.69,10.65,8.4,9.34,10.4,19.62,13.36,5.69,0.74,
6174,安碁科技,68717650,9094111,4031,7.55,9.15,6.37,7.49,7.7,36.67,3.24,18.19,0.75,
6175,立敦科技,208991842,12369764,4357,16.89,18.6,14.95,16.89,18.1,6.63,2.87,11.44,1.14,
6185,幃翔精密,18832720,1533808,655,12.27,12.8,11.85,12.23,12.2,10,22.04,1.54,0.71,
6194,育富電子,38063593,1839839,1072,20.68,21.2,20.05,20.63,20.65,8.36,9.68,1.65,0.78,
6203,海韻電子,26235852,851144,664,30.82,32,29.6,30.92,30.8,10.27,11.36,1.12,2.02,
6204,台灣艾華,9362902,410750,252,22.79,23.5,21.8,22.79,22.7,9.3,9.69,1.12,1.08,
6207,雷科    ,74565070,2784148,1490,26.78,28,25.6,26.7,26.35,8.99,11.19,3.47,1.43,
6208,日揚科技,152320369,12074103,4326,12.61,13.6,11.5,12.52,13.2,5.87,3.78,10.49,0.88,
6210,慶生電子,54536679,1481140,440,36.82,40.9,30.6,34.81,32.7,8.18,12.23,4.23,2.03,
6211,福登    ,3269914,316335,195,10.33,11.15,9.6,10.35,10.55,N/A,0,0.76,0.38,
6217,中國探針,80652865,3048088,2015,26.46,30.3,23.65,26.25,26.5,14.1,1.5,6.76,1.82,
6220,岳豐科技,61682672,5495340,2583,11.22,12.5,10.3,11.13,11.1,37,2.25,4.74,0.65,
6242,亨豐科技,124184,8378,14,15.05,15.1,15.05,15.06,14,N/A,0,0.06,2.47,
6248,沛波國際,6726727,1031128,349,6.52,7,6.2,6.58,6.69,N/A,0,2.13,0.75,
6250,宇加科技,3586512,188133,96,19.06,21.15,16.4,18.68,18,10.71,0,1.03,3.19,
6266,泰詠電子,13425497,1689584,349,7.94,8.7,7.42,8.01,7.93,21.43,15.88,2.27,0.52,
6274,台燿科技,31652927,3558543,1185,8.89,9.52,8.15,8.9,8.95,10.78,8.93,1.52,0.47,
6279,胡連精密,220270189,4526960,3160,48.65,50.4,45.6,48.09,48,12.66,8.31,5.23,1.92,
6284,佳邦科技,109062585,6496202,3119,16.78,18.6,14.95,16.79,18.05,16.26,8.86,6.54,0.64,
6290,良維科技,302488479,10351594,4911,29.22,32.65,26.85,28.69,29.3,27.64,8.53,8.3,1.32,
6292,迅德興業,19365535,854203,428,22.67,24.45,21,22.46,24.15,7.34,12,1.78,1.28,
8042,金山電子,153235003,5536938,2961,27.67,30.1,25.85,27.66,28.2,6.48,14.18,5.99,1.07,
8043,蜜望實  ,39769688,2455688,1370,16.19,16.75,15.3,16.14,16.1,7.49,5.27,2.67,0.75,
8074,鉅橡    ,8394428,821923,375,10.21,10.55,9.8,10.2,10.25,15.3,9.75,1.54,0.74,
8080,奧斯特  ,6224680,750320,376,8.29,9.17,7.85,8.23,8.03,36.5,0,1.5,0.66,
8091,翔名科技,78965072,1684982,951,46.86,49.2,43.5,46.74,48.95,7.46,10.97,3.98,2.25,
8093,保銳科技,1949438,275670,156,7.07,7.67,6.72,7.16,7.17,N/A,0,0.43,0.64,
8109,博大科技,55099226,1523664,1040,36.16,37.5,35,36.07,36.6,8.93,9.5,2.54,2.39,
8121,越峰電子,2323025669,56563212,32566,41.06,45.55,34.1,39.42,43,7.89,11.46,34.45,2.5,
8182,加高電子,25732191,1980313,891,12.99,13.7,12.4,13,13.15,11.54,9.12,1.85,0.54,
8287,英格爾  ,1084214392,15636293,10169,69.33,74.9,63,67.83,66.4,22.21,5.87,17.27,2.69,
8289,泰藝電子,11392808,903791,397,12.6,13.25,11.8,12.8,12.95,9.38,11.58,1.19,0.66,
8291,尚茂    ,28998764,3904660,1691,7.42,8.5,6.8,7.26,6.8,48.57,9.85,5.14,0.64,
8358,金居    ,18857315,2047100,876,9.21,9.45,8.33,9.23,9.16,27.76,15.28,0.97,0.77,
3224,三顧    ,1903866,319506,188,5.95,6.28,5.66,5.99,5.93,N/A,0,0.76,0.7,
3232,昱捷    ,4731587,646110,437,7.32,8.24,6.68,7.41,7.45,53.21,0,1.55,0.71,
3360,尚立    ,12769250,1445947,663,8.83,9.5,8.2,8.9,9,N/A,5.44,2.88,0.6,
3389,志遠    ,81519778,3944257,1727,20.66,22.2,19.3,20.55,21.15,7.98,12.76,5.33,1.33,
3444,利機企業,25916388,1272454,583,20.36,21.5,19.2,20.4,20.9,8.2,9.56,3.42,1.38,
3528,安馳    ,7197728,279967,221,25.7,27.5,24.1,25.84,25.35,7.52,10.53,0.6,1.31,
5467,聯福生  ,332842,146024,97,2.27,2.57,2.06,2.34,2.28,38,0,0.13,0.59,
6113,亞矽科技,14437713,1462790,639,9.86,10.3,9.2,9.84,10,8.62,0,2.63,0.7,
6118,建達國際,15579824,1530831,919,10.17,11.1,9.4,10.22,10.1,67.33,2.47,1.68,0.91,
6135,佳營電子,51215339,4970459,1542,10.3,11.1,9.55,10.11,9.96,N/A,0,6.52,1.06,
6154,順發電腦,39903427,1667138,764,23.93,24.45,23.2,23.85,23.8,9.22,8.4,2.08,1.54,
6171,亞銳士  ,109495275,7398305,2611,14.8,15.75,13.2,14.56,14.95,N/A,0,27.05,1.29,
6227,茂綸    ,9026546,907208,471,9.94,10.45,9.41,10.01,10,15.87,8,1.19,0.64,
6259,百徽    ,4433918,703080,264,6.3,7.29,5.62,6.51,6.42,214,0,1.01,0.9,
6265,方土昶  ,8131009,1366976,478,5.94,6.35,5.53,5.97,5.91,N/A,0,1.12,0.46,
6270,倍微科技,21343659,1607755,669,13.27,13.75,12.55,13.27,13.3,10.81,15.03,2.14,0.45,
8032,光菱電子,6063676,224730,156,26.98,29.6,25.4,27.06,27.35,8.82,4.38,0.43,1.26,
8067,志旭國際,1678576,223210,148,7.52,8.41,7.01,7.61,7.57,N/A,0,0.5,1.01,
8068,全達國際,5209268,268596,230,19.39,21.8,16.85,19.27,20.65,N/A,0,0.88,3.58,
8096,擎亞國際,2826790697,91049418,49307,31.04,34.7,25.45,30.51,33.6,7.87,7.32,82.62,1.36,
3083,中華網龍,862986099,12346589,9631,69.89,78,61.5,67.29,72.4,13.19,12.91,13.96,3.06,
3085,久大資訊,50106419,4443705,1694,11.27,13.45,9.5,11.21,10.95,73,0,6.24,1.1,
3086,華義國際,140337633,7198568,4058,19.49,21.5,17,18.8,20.15,11.32,0,10.24,1.75,
3293,鈊象電子,2758395319,14331221,10710,192.47,206.5,178,190.84,203,16.78,4.67,20.34,4.6,
3546,宇峻奧汀,360291644,6025258,4926,59.79,66,50,57.37,64.5,60.85,13.16,17.56,2.42,
3570,大塚資訊,40375815,1029110,801,39.23,42,35.5,38.87,39.8,9.39,4.97,6.09,1.59,
3662,樂陞    ,588434587,9456128,5551,62.22,66.3,51.9,60.57,62.1,63.37,1.72,36.59,2.29,
3664,F-安瑞  ,30313791,1835283,857,16.51,18.5,14.65,16,17.9,21.06,0,2.64,0.95,
3687,歐買尬  ,385257959,2158412,2051,178.49,207.5,149,181.79,173.5,17.26,1.44,8.62,4.46,
4946,紅心辣椒,91135262,1630978,1432,55.87,62.8,47.2,52.74,59.1,N/A,5.07,7.99,1.88,
4965,商店街  ,27865673,262539,251,106.13,112,98,105.19,104,23.27,1.69,1.86,4.06,,,,,,
4994,傳奇    ,718563293,4406142,3739,163.08,179,143,159.46,162,14.57,2.4,18.72,7.56,,,,,,
5201,凱衛資訊,4695710,508010,205,9.24,10.25,8.85,9.52,9.19,22.41,0,1.66,0.97,,,,,,
5202,力新國際,11350763,1949213,742,5.82,6.05,5.5,5.79,5.83,53,0,3.21,0.56,,,,,,
5206,坤悅開發,6868344,389832,166,17.61,19.65,14.9,17.46,15.8,225.71,0,0.51,3,,,,,,
5209,新鼎系統,30553650,596068,445,51.25,53.8,49,51.42,51.7,8.5,7.67,2.7,2.46,,,,,,
5210,寶碩    ,11325130,1409250,765,8.03,9.13,7.42,8.08,7.81,21.11,6.4,2.04,0.67,,,,,,
5211,蒙恬科技,162221181,4590096,3363,35.34,38.35,32,34.77,37.95,17.02,7.77,14.33,2.15,,,,,,
5212,凌網科技,7426867,448712,161,16.55,17.15,15.7,16.66,16.5,10.44,1.69,1.3,1.54,,,,,,
5310,天剛資訊,6239829,265142,169,23.53,24.7,22.55,23.54,23.25,14.44,6.45,1.19,0.95,,,,,,
5403,中菲    ,28928012,1547964,779,18.68,19.7,17.5,18.8,18.9,13.7,10.52,2.76,1.62,,,,,,
5410,國眾電腦,77657405,7674415,3258,10.11,10.65,9.42,10.01,10.2,12.75,11.47,8.56,0.92,,,,,,
5478,智冠    ,692037896,12893273,9263,53.67,58.6,48.1,51.57,53.7,10.15,12.19,10.06,1.43,,,,,,
6111,大宇資訊,1046117,54570,48,19.17,20.2,18,19.75,19.2,N/A,0,0.15,3.93,,,,,,
6140,訊達電腦,16066463,1541855,772,10.42,11.85,9.5,10.36,10.3,7.57,4.85,3.42,0.81,,,,,,
6148,驊宏資通,14453486,3187308,1088,4.53,5.21,3.95,4.57,4.48,112,0,3.62,0.49,,,,,,
6169,昱泉國際,120953171,3857269,2964,31.35,35.8,26.3,30.19,33.05,16.44,0,13.64,1.35,
6180,橘子    ,216733070,8381792,5427,25.85,28,21.95,24.59,27.5,18.33,4.36,5.35,1.54,
6221,晉泰科技,37734916,2350260,1063,16.05,17.15,14.25,15.96,16.25,7.56,4.86,7.05,1.09,
6231,系微    ,1707956883,11950235,9335,142.92,156,125,142.52,143.5,14.76,3.83,31.58,6.59,
6240,松崗    ,93730,12312,12,7.61,8.66,6.76,7.57,7.21,N/A,0,0.1,4.77,
8044,網路家庭,1212897634,6530087,5317,185.73,201,172.5,186.09,186.5,31.4,2.9,9.43,10.96,
8099,大世科  ,30650187,1981516,1121,15.46,16.65,14.2,15.19,16.15,9.44,6.19,2.95,1.14,
1785,光洋科技,407160758,13370498,7064,30.45,32.9,27.8,30.31,31.1,10.13,14.4,3.57,1.29,
3064,泰偉電子,155011986,4105129,2755,37.76,41.1,33.6,37.96,37.5,N/A,0,6.2,2.54,
3067,全域    ,448584,22020,22,20.37,21.6,19.8,20.58,20,18.52,10.5,0.08,1.53,
3093,台灣港建,5753776,140906,136,40.83,42.8,39.4,40.92,41.45,11.48,14.47,0.39,1.82,
3131,弘塑科技,89980692,1450395,1177,62.03,64.9,58.5,61.7,63,6.83,13.49,6.59,2.66,
3289,宜特科技,141337174,7398964,3656,19.1,20.8,17.2,19.02,18.8,13.15,2.39,10.57,0.96,
3303,岱稜    ,16866851,1720081,857,9.8,10.15,9.3,9.77,9.9,N/A,0,2.14,0.54,
3324,雙鴻科技,316423800,11644693,5674,27.17,28.25,25.25,27.07,27.15,12.34,0,19.29,1.77,
3373,熱映光電,6691653,383252,271,17.46,18.05,17,17.35,17.55,17.21,8.37,1.25,1.16,
3402,漢科    ,24648857,1908687,1056,12.91,13.6,11.8,12.85,13,4.71,20.92,2.59,0.77,
3466,致振企業,7230886,356478,243,20.28,21.9,18.4,20.32,20.8,17.48,4.8,0.57,0.79,
3498,陽程    ,36048562,3069583,1120,11.74,13,10.35,11.47,12.4,N/A,0,4.52,0.55,
3508,位速    ,11386636360,117553511,78532,96.86,116,82.1,95.58,94,13.7,0.77,126.62,2.61,
3541,西柏科技,243672628,8326266,3999,29.26,31.7,26.1,28.26,27.75,10.09,11.35,22.95,1.82,
3551,世禾科技,98948970,2693400,1503,36.73,38.4,35.15,36.58,36.55,7.17,5.47,5.6,0.93,
3552,同致電子,175453672,3780997,2608,46.4,51,40,45.35,47.75,13.01,7.45,5.27,1.84,
3563,牧德科技,265571467,6575798,4439,40.38,43.55,37,39.92,42.1,9.09,5.58,21.44,2.4,
3580,友威科  ,14951381,1447295,776,10.33,11.5,9.6,10.36,10.05,N/A,2.98,3.24,0.46,
3587,閎康科技,41331200,1755386,734,23.54,24.6,22.5,23.56,23.65,9.03,8.2,4.07,1.22,
3628,盈正    ,399519834,6945915,5017,57.51,64.2,51.1,55.82,60.8,10.03,19.73,15.44,1.67,
3642,駿熠電  ,397873845,13668203,8436,29.1,35.25,24.6,28.65,28.1,5.15,5.33,40.49,0.91,
5205,漢康科技,280741349,14596605,6926,19.23,23.6,15.6,18.3,17.35,N/A,1.55,58.98,1.07,
5383,金利    ,34502148,3685533,868,9.36,10.5,8.64,9.58,10,45.45,10,5.16,0.77,
5452,佶優科技,178179930,13508324,3948,13.19,14.5,11.35,12.58,14.5,13.81,6.89,9.82,1.03,
5489,彩富電子,47080092,1837977,917,25.61,26.8,23.7,25.37,26.65,14.81,8.74,1.76,1.96,
5493,三聯科技,53462182,2166655,1097,24.67,27.5,22.35,25.1,24.7,6.22,12.14,5.66,1.21,
5536,聖暉    ,365556354,3813998,3284,95.84,101,89,94.92,95.5,6.16,10.47,8.27,2.04,
6144,得利影視,181050,19000,17,9.52,9.96,8.93,9.66,9.82,N/A,0,0.04,1.48,
6146,耕興    ,72406726,1181894,1034,61.26,63,59.6,61.46,61.5,11.12,8.11,1.48,2.72,
6151,晉倫科技,183087638,8833365,3361,20.72,23,17.8,19.48,21.9,14.31,9.13,18.47,1.29,
6179,世仰科技,8409514,894274,278,9.4,9.78,8.95,9.41,9.31,N/A,0,1.6,1.05,
6187,萬潤    ,46560107,3705477,1640,12.56,14.2,11.6,12.58,14.2,N/A,0,5.77,0.79,
6238,勝麗國際,158880,18500,4,8.58,8.7,7.37,7.99,7.37,N/A,0,0.09,2.47,
6275,元山科技,26002934,2460185,941,10.56,11.9,10,10.63,11.4,25.33,4.38,5.16,0.93,
6276,名鐘科技,185937761,9676907,2668,19.21,22.9,17,19.5,19.2,N/A,0,11.52,3.62,
8047,星雲電腦,2795403,315113,172,8.87,9.52,8.36,8.95,8.7,174,0,0.62,0.79,
8085,福華電子,21319875,5803202,1851,3.67,4.17,3.3,3.57,3.89,N/A,0,3.69,0.31,
8092,建暐精密,9080936,1114925,446,8.14,9,7.61,8.23,8.43,421.5,0,3.7,0.71,
8183,台灣精星,27588805,5000231,1699,5.51,5.95,4.96,5.58,5.76,N/A,0,4.31,0.41,
8383,千附實業,166993529,8534294,3848,19.56,21.25,18.2,19.57,18.85,12.57,6.36,7.22,0.91,
1107,建台水泥,6309541,4168109,373,1.51,1.64,1.35,1.49,1.59,N/A,0,1.33,-0.28,
2341,英群    ,1804954,1148208,310,1.57,2.24,1.35,1.67,1.44,2.15,0,0.55,-144,
2381,華宇光能,1710705,565027,437,3.02,3.31,2.8,3.04,3.16,0.62,0,0.29,0.26,
4801,高盛電子,0,0,0,0,0,0,0,33.65,168.25,0,0,3.56,
5318,佳鼎科技,1419805,233619,182,6.06,7.2,4.73,6.08,7.2,0.61,0,2.03,-1.14,
,,,,,,,,,,,,,,
