櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年11月 Nov. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 247,439,664,390元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,951,773筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 7,075,106,374股",,,,,,4. 成交量週轉率： 10.48%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
2596,綠意開發,9882110,700611,371,14.1,14.85,13.1,14.05,14,N/A,8.57,1.03,1.06
4113,聯上實業,8769229,672440,348,13.04,14.45,11.5,13.34,12,9.23,0,1.22,0.87
4416,三圓建設,3113168,46159,43,67.44,75,61.7,68.44,67.8,10.07,4.71,0.08,2.45
5213,亞昕    ,166941821,7573798,3480,22.04,24.5,18.15,22.23,18.2,4.46,25.38,3.09,0.74
5324,士林開發,94088725,2528230,201,37.21,39.8,36.75,38.51,38.45,10.45,0.78,5.16,2.72
5505,和旺建設,439833951,12937987,4915,33.99,36.3,29.95,34.09,29.95,5.98,14.52,10.95,1.42
5506,長鴻營造,24057104,4611442,1306,5.21,5.63,4.72,5.23,4.94,13.35,0,2.27,0.57
5508,永信建設,84933817,3196966,619,26.56,29.9,27,28.79,29.5,10.1,8.57,1.76,1.75
5511,德昌營造,209025777,8434165,3417,24.78,26.4,21.25,24.6,23,4.7,8.69,8.83,1.2
5512,力麒建設,261725437,22389314,6383,11.68,12.8,10.55,11.86,10.8,5.32,13.05,3.77,0.62
5514,三豐建設,25913427,1120193,250,23.13,24.8,20.2,22.84,21.8,10.09,4.12,0.96,1.58
5516,雙喜    ,26453382,1500866,885,17.62,20.5,15.65,17.52,17,7.3,2.94,3.92,1.22
5519,隆大營建,78488242,2764334,1595,28.39,30.2,25.45,28.15,25.7,3.94,14.59,3.11,1.57
5520,力泰建設,4524953,217449,88,20.8,23.65,19.8,21.73,20.45,14.71,6.6,0.31,0.81
5521,工信    ,227717831,25036306,4952,9.09,9.6,8.08,8.94,8.11,35.26,3.69,7.2,0.69
5523,宏都建設,22050055,2090758,694,10.54,11.45,9.81,10.62,10.3,N/A,0,1.18,1.04
5529,志嘉建設,7978932,764776,251,10.43,10.9,10.05,10.5,10.45,N/A,9.56,1.44,0.98
5530,龍巖    ,6542780147,66569319,38855,98.28,109.5,81.8,96.24,87,23.97,1.72,16.68,5.04
6177,達麗建設,44709320,2090979,823,21.38,23.45,18.5,21.36,20,4.54,15.45,1.77,1.39
6212,理銘科技,6999607,623004,98,11.23,12.35,11,11.8,12,54.55,0,0.61,1.32
9946,金革科技,23966735,1538786,708,15.57,16.8,14.35,15.57,14.8,7.4,0,0.96,1.09
2636,台驊國際,361342876,13389301,4966,26.98,29.6,21,26.41,21.25,9.2,12.75,21.3,1.12
5601,台聯貨櫃,8884618,535058,208,16.6,16.9,16,16.59,16.55,63.65,1.38,0.74,0.84
5603,陸海交通,7778891,648673,304,11.99,13.25,11.05,11.96,11.4,N/A,0,1.03,0.89
5604,中連貨運,10856869,471324,296,23.03,23.7,21.55,23.11,22.9,14.77,8.55,0.43,0.99
5609,中菲行  ,72037512,4113069,2618,17.51,19.45,15,17.7,15.9,8.83,9.49,3.05,1.17
2718,桃園店  ,11154918,303017,101,36.81,37.45,35.6,36.77,36.75,32.52,2.58,1.34,2.04
5701,劍湖山  ,138361701,21657529,6401,6.38,7.14,5.4,6.46,5.62,N/A,0,5.21,0.75
5703,亞都麗緻,3617934,159888,108,22.62,24.8,20.9,22.95,21.75,35.66,1.14,0.23,1.85
5704,老爺知  ,2274768,120504,115,18.87,20.15,17.85,19.06,18.95,31.58,1.58,0.31,1.49
5820,日盛金控,410233800,43824396,11368,9.36,10.1,8.26,9.24,8.58,10.21,10.6,1.72,0.8
6008,凱基證券,2238678241,196944872,42035,11.36,12.9,10.25,11.55,11.65,15.53,5.57,6.02,0.77
6015,宏遠證券,71664091,14407509,3306,4.97,5.6,4.36,5.06,4.36,N/A,0,3.15,0.51
6016,康和證券,103720678,15909048,3433,6.51,7.25,5.95,6.62,6.04,N/A,2.48,2.3,0.53
6020,大展證券,4625045,359654,149,12.85,13.7,11.55,12.97,11.9,N/A,5.37,0.15,0.85
6021,大慶證券,24872589,2155835,1112,11.53,13.1,9.81,11.55,10.35,64.69,13.52,0.7,0.77
6022,大眾證  ,60777558,7199483,1890,8.44,9.3,7.41,8.48,7.61,N/A,4.46,1.84,0.64
6023,寶來期  ,90001721,2609422,1461,34.49,36.9,30.75,34.72,32.25,8.93,4.89,1.99,1.31
6024,群益期  ,17629815,770265,489,22.88,23.7,21.05,22.72,21.4,9.03,4.67,0.84,1.09
2916,滿心企業,61444330,2828734,1704,21.72,23.8,18,21.44,18.4,8.68,10.86,6.09,1.21
5902,德記洋行,11450685,1222204,476,9.36,10,8.8,9.38,9,N/A,0,1.29,1.45
5903,全家    ,689100734,5165762,3714,133.39,138,124.5,132.52,129,28.35,2.63,2.31,6.7
5904,寶雅國際,102186741,2917898,1974,35.02,38.15,31.95,35.7,33.65,10.2,8.61,3.24,1.99
5905,南仁湖  ,713574157,63301853,15988,11.27,12.55,9.9,11.01,10.9,N/A,0,29.94,0.89
6195,詩肯    ,394784373,7503184,5210,52.61,59.5,44,53.48,48,8.32,4.16,19.76,2.89
8941,關中    ,9543247,1249488,473,7.63,8.2,6.9,7.67,7.45,N/A,0,0.96,1.4
9960,邁達康  ,8972288,481773,298,18.62,20,17.5,19.04,18.2,11.23,4.39,1.49,1.35
1584,精剛精密,341427776,13575723,6396,25.14,27.5,21.9,24.33,22.3,16.16,0.89,17.14,1.24
2221,大甲    ,172369200,8063027,4656,21.37,25.2,15.4,20.98,18.3,9.63,0,19.01,1.36
3284,太普高  ,15651756,1457850,605,10.73,11.8,9.8,10.86,9.98,21.23,11.02,2.73,0.79
3388,崇越電通,150042459,2361117,1624,63.54,68.4,58.5,63.52,61,8.78,9.83,3.81,1.35
4430,耀億    ,56375104,1510889,1003,37.31,41.5,32.55,36.38,33.65,61.18,5.94,3.45,1.17
5312,寶島科  ,762767925,9967021,6750,76.52,83.5,65,75.03,69,17.78,3.18,16.6,3.58
6186,新潤興業,13491065,932083,373,14.47,16,13.5,14.58,14,N/A,0,1.86,1.26
6803,崑鼎投控,656856745,4613502,3714,142.37,151,135.5,140.7,142.5,15.83,4.34,7.9,3.41
8390,金益鼎  ,110824076,3183448,2038,34.81,37.7,31,34.82,33.7,11.05,4.8,4.7,1.5
8401,白紗科技,44634157,2578840,1447,17.3,19.85,14.35,17.43,14.8,9.61,16.95,6.37,0.99
8705,東隆五金,8450680,321326,239,26.29,27.1,24.5,26.19,25.8,16.86,6.51,0.39,1.83
8905,裕國    ,57842720,3221760,1502,17.95,20,15.3,17.98,16.2,20.77,3.7,2.7,1.16
8906,花王企業,6613218,988533,465,6.68,7.38,5.86,6.6,5.92,N/A,0,1.93,0.71
8913,華夏資融,23136313,2148311,968,10.76,12.55,9.3,10.98,9.8,17.82,25.51,4.32,0.66
8916,光隆    ,71118268,3394116,1618,20.95,22.75,18.55,20.73,19.65,13.01,5.59,3.81,0.91
8921,沈氏印刷,5966996,429636,151,13.88,14.55,13.2,13.82,13.4,13.96,6.71,0.92,0.79
8923,時報出版,732180,40210,21,18.21,19.25,18,18.94,18.7,17.16,6.68,0.13,1.34
8924,大田精密,46642956,2351068,1227,19.83,20.95,18.05,19.98,18.05,N/A,0,1.94,1.06
8925,偉盟工業,1281066079,76387526,15219,16.77,18,15.2,16.78,16.2,101.25,3.14,26.23,1.27
8928,鉅明    ,3434093,496013,248,6.92,7.49,6,6.91,6.5,N/A,0,0.78,0.69
8929,富堡工業,10488772,415256,313,25.25,27,22.05,25.05,23.15,8.9,7.77,1.52,1.16
8932,宏大    ,12670113,1476409,347,8.58,9.1,7.7,8.57,8.51,N/A,0,3.03,1
8933,愛地雅  ,83713330,7882894,3136,10.61,11.7,8.55,10.45,9.59,17.76,8.23,6.05,0.67
8934,衡平    ,48480,10000,6,4.84,7,3.66,4.8,3.66,7.18,0,0.02,3.18
8935,邦泰    ,45196257,10274630,2646,4.39,4.93,3.64,4.48,4.11,N/A,0,5.09,0.49
8936,國統國際,389493253,12522384,6998,31.1,33.75,27,30.24,28,2.35,4.28,9.25,0.95
8937,合騏    ,43191904,3254007,1280,13.27,15.3,10.55,13.02,11.55,N/A,0,4.49,1.06
8938,明安國際,114337231,3789974,2272,30.16,34,25.3,30.62,26.5,69.74,9.81,2.81,1.03
8942,森鉅科技,640121608,14543500,8016,44.01,47.8,39.5,43.27,41.8,14.12,2.29,11.17,2.08
9949,琉園    ,112403450,5196551,2711,21.63,28,17.05,23.1,20.45,40.1,5.86,11.05,1.23
1742,台蠟    ,39383567,1897807,1285,20.75,24,17.6,20.43,18.4,18.78,16.3,2.93,1.42
1787,福盈科技,222183153,17436407,6157,12.74,14.3,10.35,11.65,13.8,25.56,5,25,0.91
4702,中美聯合,28381607,1228406,548,23.1,25.25,18.9,22.58,20.15,N/A,0,1.61,2.17
4703,金美克能,66699680,6757148,2037,9.87,12.45,8.14,9.27,12.45,103.75,0,9.88,2.03
4706,大恭化學,10916334,831904,444,13.12,13.75,12.5,13.04,13.2,12.69,7.57,1.05,0.81
4707,磐亞    ,83691320,8227212,2872,10.17,11.35,9.1,10.21,9.56,17.07,0,3.65,0.55
4711,永純    ,11020207,663914,367,16.59,18.6,15.2,16.84,15.95,11.31,8.77,1.09,0.91
4712,南璋    ,152471334,4639039,2174,32.86,36,28,33.37,33.8,55.41,0,7.72,2.99
4714,永捷    ,19252875,1417848,516,13.57,16,11.1,14.17,11.75,9.48,8.51,3.34,0.81
4716,大立    ,181285874,9599190,4736,18.88,21.25,15,18.04,16.2,13.39,6.17,15.92,1.25
4720,德淵企業,38230583,3021267,1439,12.65,13.7,10.9,12.69,11.7,22.94,1.7,4.33,0.89
4721,美琪瑪  ,45422011,2016639,1283,22.52,24.6,20.3,22.53,21.1,10.6,11.23,2.69,1.5
4722,國精化學,186614562,8671824,2868,21.51,22.9,20,21.44,22.7,13.43,3.48,11.62,1.39
6506,雙邦實業,11767094,1006242,529,11.69,12.85,11,11.8,11.6,20.71,8.62,1.6,0.94
6509,聚和國際,106884542,8100496,3940,13.19,15.15,10.9,13.08,11.2,N/A,2.67,4.83,0.68
1565,精華光學,688208480,1887094,1868,364.69,385,340,369.15,340,16.72,4.26,3.74,6.72
1752,南光    ,55502959,2260870,1396,24.54,27.7,20.05,25.13,23,2300,0,3.59,1.79
1777,生泰合成,18854943,451889,361,41.72,44.25,38.2,42.02,38.35,16.97,5.99,1.9,2.07
1781,合世生醫,31652582,2080694,1171,15.21,16.75,12.2,14.4,12.75,N/A,0,4.95,1.25
1784,訊聯    ,238389275,6127101,4219,38.9,42.5,31.8,37.38,33.3,81.22,0,12.22,1.46
1788,杏昌生技,234695329,3115239,2583,75.33,85.6,67,76.19,67.5,14.71,5.18,8.9,2.28
1795,美時化學,114820742,5291622,2929,21.69,28.7,16.35,23.16,17.2,N/A,1.74,11.87,1.29
1799,紅電醫  ,15485676,1183005,605,13.09,14.6,10.9,12.38,11.7,N/A,0,3.74,1.06
1813,寶利徠  ,33610260,1079002,693,31.14,33.5,27.3,30.58,27.6,31.01,5.43,2.62,1.77
3118,進階    ,27805191,1005494,860,27.65,30.6,24.2,27.95,24.4,13.71,8.19,3.1,1.67
3176,基亞    ,396062661,16156599,6618,24.51,27.6,22.95,24.36,27.4,N/A,0,14.6,3.98
3205,佰研生化,4969802,325706,192,15.25,16.3,13.5,15.08,14.5,N/A,0,1.32,1.32
3218,大學光學,437782045,15001439,8341,29.18,32.7,23.35,27.77,24,37.5,0,22.54,1.53
3266,昇陽開發,18462608,1198736,604,15.4,17.75,13.7,15.91,14.55,5.51,5.49,1.44,1.07
4102,永日化工,949922366,20394084,14123,46.57,51.8,38,44.7,38.8,19.5,5.15,48.13,2.08
4103,百略    ,131939952,2726799,1850,48.38,50.6,45,47.65,45.4,12.4,6.6,2.23,2.07
4105,東洋藥品,2243252136,24094377,16938,93.1,103,79,91.75,81,28.13,3.2,13.96,5.25
4107,邦特生技,74339221,3425252,1920,21.7,24.5,18.8,21.79,19.05,13.51,9.44,4.38,1.25
4109,加捷    ,46489910,2478163,1504,18.75,19.8,17,18.87,17.45,45.92,3.38,4.65,1.24
4111,濟生    ,35869711,2092185,1205,17.14,18.6,15.5,17.14,15.95,32.55,3.13,4.17,0.99
4114,健喬信元,95723140,3770090,1701,25.39,29,22.55,25.94,24.4,N/A,2.5,4.37,1.81
4120,友華生技,129242285,3394066,2194,38.07,41.7,32.45,37.78,33.25,10.87,1.95,3.91,1.33
4121,優盛醫學,27547085,2230843,1217,12.34,14.5,10,12.72,10.35,13.27,7.72,3.04,0.69
4123,晟德    ,69898857,2303648,1332,30.34,34.45,26,31.22,27.05,79.56,4.62,2.35,1.61
4126,太平洋醫,452366967,4946810,3687,91.44,102,82.1,93.74,83,14.74,4.96,8.24,3.44
4127,天良    ,33117306,2240555,1208,14.78,16.8,12.5,14.7,12.95,N/A,0,4.9,0.86
4128,中天生技,411963770,15446522,8934,26.67,30.5,21,26.77,23.25,9.73,10.75,5.64,1.25
4129,聯合骨科,201230845,5714847,3830,35.21,39,27.45,34.1,28.5,25.22,2.38,12.33,2.03
4131,晶宇生技,46582561,3026235,1671,15.39,17.15,12.35,14.42,12.7,N/A,0,6.27,2.1
4138,曜亞國際,198853971,2024862,1639,98.2,106.5,85,95.9,85.7,15.7,5.83,7.64,2.42
4139,KY馬光  ,11302803,150787,139,74.95,82.1,71.3,78.09,71.3,36.19,1.09,0.91,4.23
4735,豪展    ,17589408,1402448,542,12.54,13.55,10.45,12.36,10.45,N/A,4.78,4.88,0.81
4736,泰博    ,92943812,2281412,1459,40.73,45,34.55,40.2,34.55,13.19,11.95,3.61,1.17
4743,合一    ,92058547,4770048,2694,19.29,20.8,17,18.84,17.05,94.72,2.63,4.1,1.44
4911,德英    ,46296655,915321,776,50.57,60.5,41.9,53.55,43.4,N/A,0,1.66,2.89
8403,盛弘    ,50639059,1771561,1332,28.58,32.7,23.2,28.14,24.25,14.61,7.42,4.08,1.28
8908,欣雄    ,3048768,143018,158,21.31,22.3,20.25,21.42,20.8,16.91,6.73,0.16,1.84
