櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
03月 Mar. 08,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 364,128,386,063元",,,,,,4. 加權平均本益比：14.74,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,069,402,673股",,,,,,5. 加權平均殖利率： 6.09%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 3,316,682筆",,,,,,6. 成交量週轉率： 15.04%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
6021,大慶證券,993848169,43808059,13295,22.68,25.3,18.8,21.79,24.15,12.26,1.65,17.57,1.63
6022,大眾證  ,2848583315,136166465,27417,20.91,23.25,18.15,20.08,22.6,7.22,3.23,60.69,1.52
6023,寶來期  ,188911295,4161548,1845,45.39,48.6,42.3,44.63,47.1,10.51,5.66,3.79,2.54
2916,滿心企業,38829047,1835588,930,21.15,22.5,19.8,20.66,21.3,11.27,10.32,4.35,1.37
2921,特力和樂,14946134,624257,403,23.94,25.25,22.55,23.6,23.8,11.96,9.87,1.56,1.61
5902,德記洋行,26972708,3470102,978,7.77,8.5,7.2,7.67,7.46,NA,6.7,2,0.84
5903,全家    ,41029981,741942,515,55.3,58.7,52.6,54.84,57,21.43,4.21,0.33,3.75
5904,寶雅國際,63343690,2801643,1455,22.6,24.55,19.8,21.93,23.95,12.1,6.43,4.33,1.49
5905,南仁湖  ,2462698724,107004770,34309,23.01,26.3,19.5,22.65,21.6,98.18,3.61,62.98,1.63
8941,關中    ,74193964,3448068,1656,21.51,23.05,19.2,21.08,21.2,15.14,2.31,3.63,1.16
9960,邁達康  ,38848515,1552180,781,25.02,26.5,24,25,24.9,10.42,6.7,7.87,1.76
1584,精剛精密,192300513,4630379,2877,41.53,45.45,37.6,39.76,38.55,11.17,3.89,11.58,1.95
2221,大甲    ,39561650,1525000,840,25.94,27.7,24,25.14,24.9,8.5,6.02,3.59,1.36
3284,太普高  ,7172266,831685,275,8.62,9.35,8,8.6,9.11,NA,10.97,2.01,0.85
3388,崇越電通,917908924,6179118,4653,148.55,158,137,146.45,146.5,15.39,4.77,13.32,3.75
5312,寶島科  ,185114035,5756264,2818,32.15,34.6,28,31.35,32.7,14.53,8.25,10.06,2.33
8705,東隆五金,67444304,1404698,938,48.01,49.5,46.5,48.01,47.9,9.32,10.43,1.76,2.52
8905,裕國    ,6107758,371710,215,16.43,17,16,16.39,16.4,13.33,4.14,0.31,1.22
8906,花王企業,5824486,902249,272,6.45,6.8,6.2,6.47,6.51,NA,1.53,1.76,0.63
8913,華夏資融,6659981,646209,387,10.3,11.85,9.04,9.9,9.93,7.25,0,1.84,1.08
8916,光隆    ,8360149,705722,262,11.84,12.5,11.3,11.74,11.55,10.13,3.46,0.85,0.6
8921,沈氏印刷,282750,23926,26,11.81,12.5,11.2,11.87,12,20,5.91,0.05,0.73
8923,時報出版,3753318,293373,127,12.79,13.15,12.35,12.78,12.8,16.84,7.81,0.97,0.95
8924,大田精密,219902554,3183768,2024,69.06,71.9,67.4,68.67,70,10.42,8.71,2.64,3.28
8925,偉盟工業,960287359,36848395,9897,26.06,30.3,21.45,25.3,28.7,39.86,4.49,20.41,2.25
8928,鉅明    ,27085971,1816843,661,14.9,15.5,14.4,14.89,14.9,21.91,4.02,2.78,1.23
8929,富堡工業,536837,53521,32,10.03,10.55,9.36,10.04,9.99,NA,0,0.28,1.42
8932,宏大    ,59195519,4109923,1332,14.4,16.45,12.05,14.05,16.35,NA,4.46,10.87,1.91
8933,愛地雅  ,1151125559,54714453,20961,21.03,23.25,16.65,20.49,21.7,36.17,1.38,48.81,1.48
8934,世?,,,,,,,,11.05,NA,0,0,18.42
8935,邦泰    ,36670884,5251522,1694,6.98,7.33,6.6,6.96,6.91,NA,17.36,3.67,0.57
8936,國統國際,431296105,13166622,5913,32.75,39,27.65,32.59,30.5,12.01,2.16,19.69,2.38
8937,合騏    ,18870856,1420209,536,13.28,14.45,12.15,13.19,13.35,83.44,1.87,1.77,1.07
8938,明安國際,552954118,9388035,5241,58.89,61.5,56.5,58.82,60.3,10.85,7.84,8.12,2.41
8942,森鉅科技,169571235,4273340,2494,39.68,42.5,37.35,39.12,40.25,12.27,5.19,5.6,2.14
9946,金革科技,4758371,328673,130,14.47,14.85,13.9,14.56,14.3,476.67,3.49,1.29,1.27
9949,琉園    ,148527864,3011965,1857,49.31,52.4,45.4,48.61,47.65,25.9,3.35,7.2,2.65
1742,台蠟    ,57527282,1251844,753,45.95,49.9,44.1,45.54,49.35,11.56,7.39,4.12,2.86
1787,福盈科技,26891105,2076800,948,12.94,14.35,12.1,12.81,13.85,12.82,9.02,3.62,0.96
3303,岱稜    ,387781697,7890140,4500,49.14,53.5,42.35,47.55,52.5,15.72,4.34,12.89,2.36
4702,中美聯合,18873277,3097574,822,6.09,6.65,5.6,6.08,6.4,NA,0,5.08,0.9
4703,金美克能,29649704,2550215,991,11.62,13.1,10.2,11.16,11.1,NA,0,3.73,1.73
4706,大恭化學,5605352,523172,201,10.71,11.3,10.2,10.65,11.3,53.81,5.3,0.66,0.79
4707,磐亞    ,107462549,6549854,2045,16.4,18,14.5,16.24,17.9,19.04,0,3.45,0.82
4711,永純    ,36254155,2157889,939,16.8,18.45,15,16.19,17.9,12.18,7.82,3.53,1.07
4712,南璋    ,12050872,1490177,532,8.08,8.5,7.91,8.1,8.15,20.9,6.13,2.33,0.67
