櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
100年01月 Jan. 11,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 404,489,101,824元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,819,332筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,735,860,704股",,,,,,4. 成交量週轉率： 16.30%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
5457,宣德    ,87711929,9132240,2673,9.6,10,9.32,9.57,9.71,N/A,0,3.91,1.39,,
5460,同協電子,32147396,2424915,1027,13.25,13.85,12.8,13.28,13.15,23.07,3.92,3.37,1.07,,
5464,霖宏科技,29472761,1016748,592,28.98,29.4,28.45,28.94,29.35,11.29,6.81,1.69,1.78,,
5475,德宏工業,2605639222,138122682,34602,18.86,19.9,17,18.43,19.1,13.55,0,67.56,1.53,,
5480,統盟電子,248168807,12524594,4207,19.81,20.4,19.05,19.61,19.05,6.03,6.24,6.99,1.15,,
5481,華韡電子,64902726,4634431,967,14,14.5,13,13.86,13.85,24.73,0,4.53,0.71,,
5488,松普科技,35250426,3365649,1144,10.47,10.8,10.25,10.46,10.4,30.59,2.88,3.67,0.65,,
5491,連展科技,347037542,21107507,7358,16.44,17.3,15.7,16.22,16.6,26.77,6.92,11.18,0.91,,
5498,凱崴    ,63370291,6966318,1674,9.09,9.4,8.95,9.07,8.98,30.97,0,4.38,0.9,,
6101,弘捷    ,13269649,472324,329,28.09,29.3,26.6,28.14,28,N/A,0,0.83,2.91,,
6107,華美電子,11441709,1378723,683,8.29,8.7,7.95,8.24,8.14,814.00,0,3.94,1.54,,
6114,翔昇電子,1158934,233214,74,4.96,5.25,4.67,4.98,5,N/A,0,0.84,2.91,,
6124,業強科技,32531105,786073,492,41.38,44.15,40.1,41.23,41.75,85.20,0,0.41,2.82,,
6126,信音企業,452297206,12162094,5767,37.18,39.3,35,36.68,35.65,8.91,9.4,12.77,2.16,,
6127,九豪精密,923588408,37870135,14073,24.38,25.95,21.9,23.68,24.3,22.92,0,43.05,1.64,,
6134,萬旭電業,123650983,3544936,2124,34.88,36.6,33.4,34.9,34.25,8.87,16.17,4.28,1.52,,
6158,禾昌興業,182302791,4447172,2941,40.99,42.9,39.7,40.77,40.2,8.12,9.95,3.88,1.37,,
6173,信昌電陶,607174461,20427215,9933,29.72,31.5,28.1,29.46,28.3,15.22,2.36,12.21,1.91,,
6174,安碁科技,79657554,4883721,1727,16.31,17,15.55,16.15,15.8,25.08,0,9.77,1.53,,
6175,立敦科技,495874614,18784845,7433,26.39,28.2,25.25,26.2,25.55,30.78,0,20.05,2.32,,
6185,幃翔精密,136691671,4629000,2003,29.52,30.7,28.8,29.51,29.8,8.44,5.1,4.98,1.59,,
6194,育富電子,73413281,2807407,1531,26.14,27,25.8,26.13,26,12.04,11.6,2.49,0.99,,
6203,海韻電子,52775750,973626,827,54.2,56,53.1,54.22,53.6,10.63,11.47,1.26,3.42,,
6204,台灣艾華,37318269,1132986,700,32.93,33.5,32.35,32.93,33.05,7.98,6.05,3.09,1.57,,
6207,雷科    ,856905246,16589707,7696,51.65,54.2,50.3,51.61,51.8,12.67,3.18,21.92,2.71,,
6208,日揚科技,593417854,38116460,9824,15.56,16,14.9,15.42,15.25,17.73,0,32.58,1.18,,
6210,慶生電子,101515672,2139916,1173,47.43,49.6,44.25,47.01,47.15,9.34,2.12,6.11,2.93,,
6211,福登    ,93279504,4313434,1900,21.62,23.9,19.4,21.67,23.15,9.98,0,9.23,0.8,,
6217,中國探針,274505937,6616903,3575,41.48,43.5,39.6,40.89,40.25,20.64,0,15.17,3.25,,
6220,岳豐科技,156252858,8360216,2409,18.69,19.35,17.8,18.37,18.15,10.08,7.91,7.32,1.11,,
6242,聯豪科技,541827,173689,51,3.11,3.73,2.87,3.24,3,N/A,0,0.25,2.25,,
6248,沛波國際,61042106,4505503,1449,13.54,14.2,12.3,13.26,12.3,N/A,0,8.93,1.22,,
6250,宇加科技,30201560,847517,392,35.63,42.5,28.6,36.25,30,N/A,0,4.64,8.19,,
6266,泰詠電子,75134602,4988120,1724,15.06,15.4,14.75,15.01,14.95,8.74,0,7.2,0.9,,
6274,台燿科技,827038878,49710327,12780,16.63,17.5,15.75,16.4,16.5,12.04,1.2,21.27,0.88,,
6279,胡連精密,1021064971,14604767,8771,69.91,73,66.2,70.25,71.3,13.18,5.23,17.79,2.61,,
6284,佳邦科技,151415507,5052174,2398,29.97,31.4,28.55,29.78,28.95,13.85,1.7,4.91,1.01,,
6290,良維科技,675564705,14906635,7304,45.31,47.4,43.45,45.08,44.6,9.80,6.74,12,1.89,,
6292,迅德興業,51548633,1488119,827,34.64,35.7,33.35,34.49,34.2,11.14,4.73,3.05,1.83,,
8042,金山電子,1237155974,22924849,10670,53.96,56.9,50.5,52.83,53.9,9.01,5.52,24.29,2.23,,
8043,蜜望實  ,116457632,5579931,2256,20.87,21.55,20.3,20.7,20.85,9.03,3.3,6.08,1.01,,
8074,鉅橡    ,267960778,15154019,3659,17.68,18.2,16.95,17.48,17.4,10.67,8.61,30.37,1.22,,
8080,奧斯特  ,36970242,3168030,1206,11.66,12.65,10.95,11.44,11.9,N/A,0,6.34,1.03,,
8091,翔名科技,352483129,5528693,2949,63.75,65.9,62,63.96,63.6,10.44,3.41,14.42,3.49,,
8093,保銳科技,15724106,1380376,492,11.39,12,10.85,11.38,11,N/A,6.42,2.15,0.92,,
8109,博大科技,82588852,1882368,1139,43.87,45,43.1,43.82,43.8,12.88,7.83,3.69,2.79,,
8121,越峰電子,13625652093,103424726,60842,131.74,157,107.5,132.02,142.5,47.66,0,89.46,8.41,,
8182,加高電子,229364175,8632298,3521,26.57,27.35,25.9,26.38,26.6,12.91,3.83,8.06,1.1,,
8287,英格爾  ,3875350362,19403271,12287,199.72,229.5,182,194.75,223.5,63.68,0.88,28.61,7.44,,
8289,泰藝電子,221141080,9370693,3889,23.59,24.5,22.8,23.36,23,9.27,3.53,12.58,1.2,,
8358,金居    ,643729767,24117172,8971,26.69,27.8,25.05,26.15,27.35,9.60,1.9,11.39,2.03,,
3224,三顧    ,20117847,1801500,732,11.16,11.6,10.55,11.16,10.65,9.95,0,4.16,1.15,,
3232,昱捷    ,417315234,18366382,8704,22.72,24.2,21,22.13,23,10.45,0,58.18,2.24,,
3360,尚立    ,72663772,4194823,2029,17.32,18.25,16.7,17.3,16.85,16.68,2.96,8.36,1.08,,
3389,志遠    ,1074831929,27679056,9847,38.83,41.75,35.55,37.63,36.05,9.13,5.76,38.18,2.28,,
3444,利機企業,14975357,513039,387,29.18,30.2,28.9,29.13,29,13.06,6.89,1.51,1.93,,
5467,聯福生  ,5052056,920650,241,5.48,5.68,5.18,5.53,5.54,20.52,0,0.83,1.45,,
6113,亞矽科技,95258859,3939267,1848,24.18,24.75,23.6,24.12,23.8,8.35,0,7.08,1.8,,
6118,建達國際,202271295,10101306,4865,20.02,21.1,18.9,19.57,19.15,42.56,3.11,11.12,1.73,,
6135,佳營電子,72592171,4887072,2005,14.85,15.8,14.2,14.65,14.35,8.91,0,6.41,1.44,,
6154,順發電腦,46180528,1898837,983,24.32,24.9,24,24.28,24.4,10.25,6.17,2.37,1.62,,
6171,亞銳士  ,21811128,1980091,783,11.01,11.85,10.05,10.56,10.4,520.00,0,7.24,0.89,,
6195,詩肯    ,59701325,1793097,872,33.29,34.7,30.6,33.38,34.1,21.58,0,4.72,2.67,,
6227,茂綸    ,62995927,3452671,1757,18.24,19,17.5,18.13,17.7,8.94,5.49,4.54,1.14,,
6259,百徽    ,21207204,1638492,653,12.94,13.45,12.65,12.88,12.7,27.61,0,2.37,1.8,,
6265,方土昶  ,63584446,5998843,1957,10.59,10.95,10.3,10.57,10.55,15.51,0,4.93,0.78,,
6270,倍微科技,68682189,2785539,1467,24.65,25.3,24,24.48,24.8,10.69,8.2,3.71,0.87,,
8032,光菱電子,175851192,5285064,2523,33.27,34.25,32.15,33.28,32.9,9.11,2.96,10.2,1.7,,
8067,志旭國際,15381309,1280714,707,12,12.8,11.05,11.52,11.35,N/A,0,2.86,1.25,,
8068,全達國際,66505280,1227784,1034,54.16,56.2,53.2,54.27,54.5,N/A,0,4,7.78,,
8096,擎亞國際,1805777197,37712235,21081,47.88,50.9,45.4,47.3,48.9,13.81,3.47,40.34,2.75,,
3083,中華網龍,2958352255,12227840,11017,241.93,260,223.5,239.2,226.5,22.72,4.67,13.83,8.44,,
3085,久大資訊,101016708,6742191,2351,14.98,15.65,14.25,14.52,14.35,N/A,0,13.71,1.38,,
3086,華義國際,1104774791,33195735,18065,33.28,34.8,31,32.81,32.5,20.70,0,47.23,3.28,,
3293,鈊象電子,452211623,2870902,2814,157.51,164,152.5,157.15,154,10.41,7.13,4.08,3.9,,
3546,宇峻奧汀,2869382741,11852829,10109,242.08,267,210,235.7,212,16.07,3.4,37.14,6.33,,
3570,大塚資訊,30879699,910116,439,33.92,35.7,32.3,33.57,33.3,13.01,4.21,5.46,1.46,,
3664,KY安瑞  ,120417980,3035656,1503,39.66,42.8,36.3,39.59,40.05,21.77,0,4.48,2.14,,
3687,歐買尬  ,594437454,3904951,2990,152.22,167,140,149.57,144.5,33.22,4.33,18.72,7.25,,
5201,凱衛資訊,12991384,790292,448,16.43,17.25,15.6,16.36,15.8,12.44,0,2.58,1.67,,
5202,力新國際,362892238,26605965,8633,13.63,14.75,12.05,13.29,12.05,21.91,0,43.84,1.12,,
5206,經緯科技,754045,443193,138,1.7,1.99,1.3,1.6,1.44,N/A,0,0.97,0.96,,
5209,新鼎系統,261444795,3624612,2334,72.13,76.6,68,71.98,72.5,13.84,4.25,16.69,3.76,,
5210,寶碩    ,176313722,13907465,4294,12.67,13.2,11.85,12.35,11.85,26.93,4.06,20.51,1.03,,
5211,蒙恬科技,868670603,11063654,7732,78.51,81.9,74.5,76.94,75.5,23.30,2.64,34.55,4.34,,
5212,凌網科技,15959339,796813,366,20.02,20.7,19.45,20.19,20.1,N/A,0,2.31,2.1,,
5310,天剛資訊,28321628,609562,618,46.46,49.75,44.25,46.53,46.9,123.42,3.3,3.13,1.99,,
5403,中菲    ,150580315,6159565,2312,24.44,25.55,23.85,24.29,25.1,12.43,7.2,11.18,1.8,,
5410,國眾電腦,392557106,18894606,9007,20.77,22.2,19.65,20.46,19.8,10.53,1.49,22.31,1.7,,
5478,智冠    ,1745115171,12708370,10410,137.32,141.5,131,136.32,139,14.85,4.55,9.97,3.38,,
6111,大宇資訊,9164885,366257,303,25.02,28.15,22.45,25.22,26.5,N/A,0,1,3.77,,
6140,訊達電腦,118677467,7610282,1494,15.59,16.15,13.8,14.76,13.8,22.62,0,21.35,1.21,,
6148,驊宏資通,93348785,11222337,3590,8.31,9,7.53,7.98,8.1,101.25,0,12.75,0.89,,
6169,昱泉國際,248057215,3433205,2885,72.25,76.5,69.3,71.49,70,N/A,12.58,12.22,3.06,,
6180,橘子    ,1888166822,39103522,21730,48.28,50.9,45,47.51,47.25,40.04,2.75,23.59,2.74,,
6183,關貿網路,91751861,4579255,1100,20.03,20.3,19.7,19.96,19.75,19.36,3.74,3.05,1.61,,
6221,晉泰科技,53348306,3296574,1594,16.18,17.5,15.2,15.95,15.45,19.07,0,10.27,1.14,,
6231,系微    ,672598187,5622088,4583,119.63,129,111,116.9,115,20.32,4.94,14.9,6.63,,
6240,松崗    ,29517310,11908192,2109,2.47,2.81,2.15,2.44,2.16,N/A,0,5.95,0.37,,
8044,網路家庭,839923604,5048279,4024,166.37,180,151,165.92,159,32.58,1.27,8.65,10.83,,
8099,大世科  ,48430204,1946924,989,24.87,26,23.55,25.02,24.9,11.12,6.9,2.9,1.8,,
1785,光洋科技,10051314966,139383689,63182,72.11,76.9,64.8,70.22,72.7,13.15,5.38,46.49,2.7,,
3064,泰偉電子,519667169,8683854,5325,59.84,65.4,55.7,59.37,57.3,N/A,0,13.07,3.68,,
3067,全域    ,12707462,433027,311,29.34,32.85,25.5,27.89,28.75,11.83,0,1.49,2,,
3093,台灣港建,43932069,633380,561,69.36,71.7,67.4,69.43,70.5,8.96,4.31,1.75,2.77,,
3131,弘塑科技,1290908251,12925756,8181,99.87,111,88,100.74,101.5,12.48,2.33,58.75,5.62,,
3289,宜特科技,109961797,3972098,1972,27.68,29.2,26.8,27.68,27.1,N/A,0,5.79,1.46,,
3303,岱稜    ,60527643,2879776,1625,21.01,22.05,20.5,20.97,20.7,N/A,3.98,3.59,0.97,,
3324,雙鴻科技,673815915,23395400,10443,28.8,30.45,26.3,27.99,26.8,28.51,0,42.11,2.3,,
3373,熱映光電,18823136,746722,567,25.2,25.8,25,25.2,25.25,10.88,7.5,2.46,1.63,,
3402,漢科    ,209445863,8193654,3079,25.56,26.95,23.3,25.03,25.2,24.00,2.43,12.59,1.48,,
3466,致振企業,36765893,1324088,724,27.76,30.1,26.4,27.99,26.8,11.40,7.38,2.12,1.03,,
3498,陽程    ,40281006,1783459,996,22.58,23.6,21.2,22.6,21.2,N/A,3.39,2.62,0.97,,
3508,位速    ,563770791,9134469,5394,61.71,70.7,57.5,61.71,58.9,113.27,0,9.84,1.99,,
3541,西柏科技,344147502,8591720,2323,40.05,41.35,38.3,39.89,40,10.53,4.28,26.05,2.57,,
3551,世禾科技,81251566,2077791,1122,39.1,40.25,37.9,38.83,39.3,10.29,5.03,4.34,1.13,,
3552,同致電子,653228869,5119114,3180,127.6,133,121,127.6,123,18.58,1.95,8.49,4.98,,
3563,牧德科技,545124518,12959967,7361,42.06,47.9,35,42.12,42.75,15.89,1.15,50.71,2.99,,
3580,友威科  ,173672864,6923868,3620,25.08,26.85,22.7,24.42,25.05,62.63,2.39,15.52,1.12,,
3587,閎康科技,109805565,3470836,1675,31.63,33.9,29.45,31,30,14.93,0,8.79,1.6,,
3628,盈正    ,2700476918,10012407,8375,269.71,291.5,247.5,262.77,272,17.19,1.11,22.25,6.41,,
4415,美嘉生電,190890228,3238837,2415,58.93,64.9,55.1,58.92,56.2,17.62,0,11.69,5.53,,
5205,漢康科技,403482101,7663915,4042,52.64,56.5,46.4,52.07,51.4,26.63,2.09,30.97,2.91,,
5383,金利    ,360952275,18390640,5125,19.62,20.1,18.8,19.42,19.15,13.78,2.61,26.52,1.45,,
5452,佶優科技,160670411,9771649,4361,16.44,17.3,15.85,16.39,16,11.59,3.43,7.56,1.15,,
5489,彩富電子,83014920,2462385,1345,33.71,36,31.7,33.63,32.1,11.38,6.01,2.34,2.24,,
5493,三聯科技,374971436,10770579,5095,34.81,36.9,31.6,33.7,33.5,7.36,3.51,28.12,1.76,,
5536,聖暉    ,2366554567,14286378,10927,165.65,174,151,164,163,10.18,3.2,34.4,4.21,,
6144,得利影視,10728640,978651,475,10.96,11.8,9.82,10.71,11.8,N/A,0,2.01,1.71,,
6146,耕興    ,137112753,2056254,1594,66.68,69.1,64.8,66.63,69,11.27,6.31,2.59,3.02,,
6151,晉倫科技,2035057583,28053410,16058,72.54,83.2,62.7,71.27,70.1,21.50,2.84,56.31,4.62,,
6179,世仰科技,16369721,1416190,741,11.55,12.15,11.05,11.49,11.1,N/A,0,2.53,1.13,,
6187,萬潤    ,321484044,8279990,4431,38.82,41.8,36.3,38.61,36.75,9.52,2.62,13.13,1.87,,
6238,勝麗國際,748618,65054,66,11.5,14.5,10.15,11.78,13.5,7.50,0,0.32,3.01,,
6275,元山科技,267488680,11316650,4013,23.63,25.15,22.45,23.31,23.2,23.20,0,24.05,1.94,,
6276,名鐘科技,38208944,5358922,1674,7.12,7.75,6,6.68,6.05,N/A,0,12.18,0.91,,
8047,星雲電腦,19078802,1395689,623,13.66,15,12.8,13.69,13,24.53,0,2.75,1.18,,
8085,福華電子,710846854,59388815,15336,11.96,13.2,9.92,11.25,11.4,N/A,0,37.77,0.86,,
8092,建暐精密,31246045,2347378,976,13.31,14.25,12.4,12.94,12.85,67.63,0,8.28,1.07,,
8183,台灣精星,56861156,6415566,1904,8.86,9.18,8.56,8.83,8.86,22.72,0,5.53,0.64,,
8383,千附實業,897576697,33394961,12200,26.87,29.4,24,25.87,27.5,14.86,1.86,29.39,1.33,,
1107,建台水泥,57891059,23656845,2076,2.44,2.82,1.69,2.31,2.51,NA,0,7.53,-0.56,,
2381,華宇光能,5521143,3340067,993,1.65,1.75,1.56,1.65,1.56,NA,0,0.65,0.74,,
2396,精碟科技,15513862,35833062,1540,0.43,0.52,0.3,0.4,0.45,NA,0,2.81,-0.27,,
4801,碼斯特  ,0,0,0,0,0,0,0,5.3,NA,0,0,2.69,,
5204,得捷    ,2195167,258434,123,8.49,9.6,6.61,8.25,9.2,15.86,0,0.68,1.58,,
5318,佳鼎科技,331728,49611,120,6.68,7.4,6.05,6.72,6.51,NA,0,0.43,-0.76,,
,,,,
