櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
100年01月 Jan. 11,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 404,489,101,824元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,819,332筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 10,735,860,704股",,,,,,4. 成交量週轉率： 16.30%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
8923,時報出版,2441573,131864,85,18.51,19,18.35,18.57,18.55,12.88,5.3,0.43,1.3,,
8924,大田精密,86375765,2258951,1492,38.23,39.35,37.15,38.24,37.45,17.67,6.62,1.86,2.11,,
8925,偉盟工業,2154632361,104838338,20488,20.55,21.9,19.65,20.46,20,58.82,4.95,37.76,1.56,,
8928,鉅明    ,10680184,1047138,303,10.19,10.4,10,10.21,10.25,N/A,4.87,1.65,0.98,,
8929,富堡工業,144611170,3082742,1899,46.9,50.8,43.5,46.6,44.4,11.36,4.52,11.7,2.27,,
8932,宏大    ,23097990,2231033,795,10.35,10.75,10,10.18,10,18.18,0,4.57,1.11,,
8933,愛地雅  ,267614602,17477569,6236,15.31,15.9,14.6,15.1,14.85,22.50,6.75,14.22,0.99,,
8934,馭鳳    ,834793,361397,12,2.31,2.32,2.31,2.31,2.32,N/A,0,0.56,4.14,,
8935,邦泰    ,1013951459,86728896,17292,11.69,12.6,10.7,11.4,11.05,N/A,0,42.96,1.34,,
8936,國統國際,2988642264,84460431,33215,35.38,39.6,28.2,34.99,38.7,24.81,3.11,70.79,2.32,,
8937,合騏    ,152537392,8308229,2705,18.35,21,14.1,17.55,14.2,N/A,0,11.46,1.33,,
8938,明安國際,351294482,5861643,3658,59.93,61.7,58.2,59.56,59.2,11.13,6,4.34,2.16,,
8942,森鉅科技,652854329,18322220,7618,35.63,37.5,33.2,35.33,35.05,27.82,2.78,16.63,2.18,,
9946,金革科技,26231799,1193416,528,21.98,23.4,21,21.84,21.9,35.90,0,1.19,2.36,,
9949,琉園    ,94302535,3742896,1998,25.19,27.2,23.6,24.76,24.6,22.99,3.57,8.28,1.56,,
1742,台蠟    ,92331443,1821741,1168,50.68,51.7,49.95,50.76,51,13.42,5.13,3.6,3.18,,
1787,福盈科技,267783911,14693125,5602,18.22,19.45,16.5,17.76,18.2,16.55,2.25,21.08,1.21,,
4702,中美聯合,79818420,5728960,2687,13.93,14.85,13.05,13.75,13.6,N/A,0,15.73,1.41,,
4703,金美克能,10089864,1262910,326,7.98,8.1,7.82,7.98,8,N/A,0,1.85,1.31,,
4706,大恭化學,23476711,1352157,514,17.36,17.85,17,17.3,17.05,9.32,4.1,1.71,1.05,,
