櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年03月 Mar. 10,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 580,681,925,366元",,,,,,"3. 櫃檯買賣月總成交筆數： 5,813,721筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 16,162,582,471股",,,,,,4. 成交量週轉率： 22.13%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
6020,大展證券,18562436,1154168,581,16.08,16.8,15.7,16.1,16,44.44,7.56,0.5,1.14,,,,
6021,大慶證券,394167301,21660907,7218,18.19,18.9,16.65,18.07,18,11.92,3.61,8.16,1.32,,,,
6022,大眾證  ,590315086,35586249,10266,16.58,17.6,14.95,16.55,17.3,14.42,6.82,11.07,1.29,,,,
6023,寶來期  ,170728118,4361464,2429,39.14,39.9,38.4,39.09,39.55,10.72,7.58,3.32,1.87,,,,
6024,群益期  ,188520857,5444013,2863,34.62,35.3,34,34.58,34.5,12.02,6.14,7.24,1.86,,,,
2916,滿心企業,75758308,4275515,1553,17.71,19.4,14.2,16.27,18.85,NA,1.59,10.13,1.24,,,,
5902,德記洋行,37164639,3416267,1326,10.87,12.15,9.95,10.54,12.15,NA,0,3.62,1.47,,,,
5903,全家    ,10980730,176320,186,62.27,64,60,62.39,64,19.45,3.9,0.08,3.81,,,,
5904,寶雅國際,55450422,1900275,1097,29.18,30.3,28.4,29.01,29.8,10.92,9.06,2.6,1.8,,,,
5905,南仁湖  ,2161786059,98207276,31168,22.01,25.55,19.45,21.04,24.95,NA,0,56.19,2.12,,,,
8941,關中    ,121620237,8979496,3129,13.54,14.2,12.65,13.37,13.55,NA,6.64,9.77,1.09,,,,
9960,邁達康  ,456382034,13792944,6305,33.08,36.6,26.2,31.11,32.6,16.3,3.68,55.07,2.25,,,,
1584,精剛精密,118007077,6524830,2735,18.08,19.5,15.7,17.43,18,NA,0,11.21,1.09,,,,
2221,大甲    ,71471644,4679401,1732,15.27,16.5,12,13.65,14.6,NA,10.27,11.03,1,,,,
3284,太普高  ,507810559,22661146,7888,22.4,25.75,18.25,21.16,23.7,32.92,0,44.09,2.12,,,,
3388,崇越電通,444329848,6253765,3687,71.04,74.5,65.5,70.51,72.2,19.94,4.15,11.23,1.88,,,,
5312,寶島科  ,2200298191,30823447,16120,71.38,77,62,71.46,75.3,30.12,2.65,51.32,4.82,,,,
8390,金益鼎  ,376075340,7793450,4312,48.25,50.5,43.9,47.08,50.5,129.49,2.99,13.83,2.86,,,,
8401,白紗科技,92133417,2870424,1515,32.09,33.9,30.2,32.01,31.35,NA,3.18,8.57,1.89,,,,
8705,東隆五金,66300774,2061834,782,32.15,32.9,31.1,32.15,32,14.75,2.5,2.48,2.29,,,,
8905,裕國    ,44877290,2894748,1307,15.5,16.3,14.55,15.13,14.85,114.23,1.34,2.42,1.17,,,,
8906,花王企業,103409612,14304538,3643,7.22,7.99,6.2,6.73,7.11,NA,0,27.87,0.78,,,,
8913,華夏資融,700886562,41123398,10599,17.04,19.8,13.6,17.22,17.8,890,0,116.95,1.71,,,,
8916,光隆    ,68358273,4279519,1847,15.97,17.05,14.7,15.58,16.1,17.13,3.16,4.94,0.77,,,,
8921,沈氏印刷,8884045,709975,184,12.51,13,12,12.53,12.7,26.46,1.57,1.52,0.77,,,,
