櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
100年10月 Oct. 11,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 223,329,158,139元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,516,490筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,475,576,574股",,,,,,4. 成交量週轉率： 8.12%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
8921,沈氏印刷,1054077,80175,38,13.14,13.55,12.65,13.26,13.3,13.85,6.76,0.17,0.78,,,
8923,時報出版,1060665,56424,45,18.79,19.7,18.3,18.68,18.5,16.97,6.75,0.19,1.33,,,
8924,大田精密,23966887,1180986,739,20.29,21.6,19.7,20.39,20.1,N/A,0,0.97,1.18,,,
8925,偉盟工業,491667442,30035908,6966,16.36,16.95,15.9,16.45,16.4,102.5,3.1,10.43,1.29,,,
8928,鉅明    ,3613891,503822,194,7.17,7.34,7.04,7.19,7.1,N/A,0,0.79,0.76,,,
8929,富堡工業,15479132,638548,499,24.24,26.2,21.3,23.68,26,10,6.92,2.34,1.3,,,
8932,宏大    ,3816169,513311,191,7.43,7.8,7.16,7.49,7.77,N/A,0,1.05,0.91,,,
8933,愛地雅  ,119065662,10454083,4142,11.38,12.2,10.6,11.42,10.9,20.19,7.24,8.03,0.76,,,
8934,衡平    ,281962,52212,32,5.4,6.86,4.15,5.24,6.86,13.45,0,0.08,5.97,,,
8935,邦泰    ,44923166,8720615,2278,5.15,5.7,4.8,5.21,4.8,N/A,0,4.32,0.57,,,
8936,國統國際,213464303,7077469,3534,30.16,31.45,28.6,29.94,30.4,2.56,3.94,5.23,1.03,,,
8937,合騏    ,14038677,1046022,513,13.42,15.6,11.95,13.93,13.8,N/A,0,1.44,1.26,,,
8938,明安國際,128386972,3705023,2180,34.65,36.3,33,34.31,33.9,89.21,7.66,2.74,1.32,,,
8942,森鉅科技,667088300,16647015,8714,40.07,44.45,35,39.92,42.75,14.44,2.24,12.79,2.12,,,
9949,琉園    ,89350586,3495411,1997,25.56,28.2,22,23.64,27.9,54.71,4.3,7.44,1.68,,,
1742,台蠟    ,38463279,1666673,1216,23.07,25.8,20.55,22.93,24.7,25.2,12.14,2.58,1.91,,,
1787,福盈科技,52964946,4565336,2007,11.6,12.35,10.4,11.31,11.4,21.11,6.05,6.54,0.75,,,
4702,中美聯合,41374808,1767184,818,23.41,25.2,21,23.36,24.6,N/A,0,2.31,2.65,,,
4703,金美克能,15140530,1821050,406,8.31,8.81,7.84,8.33,8.52,71,0,2.66,1.39,,,
4706,大恭化學,7555615,603511,295,12.51,13.25,11.95,12.58,13,12.5,7.69,0.76,0.79,,,
4707,磐亞    ,93611964,8449225,2651,11.07,11.7,10,10.96,11.1,19.82,0,3.75,0.64,,,
4711,永純    ,8676220,458963,268,18.9,19.9,18.55,19.06,18.7,13.26,7.48,0.75,1.07,,,
4712,南璋    ,210115258,5836813,2770,35.99,38.2,33.5,35.82,35.75,58.61,0,9.71,3.16,,,
4714,永捷    ,23874211,1514010,566,15.76,17.1,14.7,15.85,15.95,12.86,6.26,3.57,1.09,,,
4716,大立    ,55694350,3093131,1767,18,19.4,16.2,17.79,18.05,14.92,5.54,5.13,1.39,,,
4720,德淵企業,32191545,2451398,1085,13.13,13.5,12.7,13.12,13.15,25.78,1.52,3.52,1,,,
4721,美琪瑪  ,77608035,3302225,1707,23.5,24.35,22.1,23.2,23.55,11.83,10.06,4.4,1.67,,,
4722,國精化學,94242205,4402696,1522,21.4,22.4,20,21.44,21.25,12.57,3.71,5.9,1.3,,,
6506,雙邦實業,12914603,954877,573,13.52,14.6,12.55,13.57,12.7,22.68,7.87,1.52,1.02,,,
6509,聚和國際,116582652,8592096,3979,13.56,14.75,12.2,13.14,14.6,N/A,2.05,5.12,0.88,,,
1565,精華光學,978623589,2597382,2137,376.77,395,367,379.42,379,18.64,3.82,5.15,7.49,,,
1752,南光    ,38601600,1419964,986,27.18,28.4,26.5,26.99,27.5,2750,0,2.25,2.14,,,
1777,生泰合成,16919508,399665,319,42.33,44.35,40.5,42.34,43.7,19.34,5.26,1.68,2.36,,,
1781,合世生醫,29138067,1999109,1159,14.57,15.6,12.55,13.81,14.6,N/A,0,4.76,1.43,,,
1784,訊聯    ,132428339,3764273,2632,35.18,38.5,29,34,37.5,91.46,0,7.52,1.64,,,
1788,杏昌生技,242534798,2945140,2168,82.35,87.5,73.5,81.81,85.8,18.69,4.07,8.41,2.9,,,
1795,美時化學,67707149,2317313,1678,29.21,31.4,26.6,28.44,29,N/A,1.03,5.2,2.18,,,
1799,紅電醫  ,8737486,714517,325,12.22,12.95,11.1,12.26,12.1,N/A,0,2.26,1.1,,,
1813,寶利徠  ,31792800,964000,651,32.98,35,30,32.84,34,38.2,4.41,2.34,2.18,,,
3118,進階    ,41790578,1427383,1210,29.27,31,26.1,28.7,30.8,17.3,6.49,4.4,2.11,,,
3205,佰研生化,9001700,556562,134,16.17,17.8,15.7,16.48,16.3,N/A,0,2.25,1.48,,,
3218,大學光學,187128263,6962112,4134,26.87,29.2,22.75,26.26,27.9,43.59,0,10.46,1.77,,,
3266,昇陽開發,22811070,1332744,664,17.11,18.75,15.2,16.78,17.55,6.65,4.55,1.6,1.29,,,
4102,永日化工,1287492926,28491132,17520,45.18,50.6,37.2,43.37,50,25.13,4,67.24,2.68,,,
4103,百略    ,51560730,1114882,867,46.24,48.5,44.05,45.93,47.3,12.92,6.34,0.91,2.16,,,
4105,東洋藥品,2238245891,24603328,16969,90.97,99.1,77.3,89.58,97.9,33.99,2.65,14.26,6.35,,,
4107,邦特生技,114153499,4913641,2626,23.23,25,21.4,23.06,24.65,17.48,7.3,6.28,1.62,,,
4109,加捷    ,57158761,2951288,1748,19.36,20.3,18.65,19.31,19.7,51.84,2.99,5.54,1.4,,,
4111,濟生    ,26965955,1558748,849,17.29,18.1,16.5,17.33,17.8,36.33,2.8,3.11,1.11,,,
4114,健喬信元,76834153,2873838,1755,26.73,27.95,24.65,26.62,26.9,N/A,2.26,3.33,1.99,,,
4120,友華生技,103686345,2560719,1720,40.49,42.6,38.05,40.18,41.5,13.56,1.56,2.95,1.66,,,
4121,優盛醫學,25534740,1778826,990,14.35,14.7,14.05,14.32,14.45,18.53,5.53,2.43,0.97,,,
4123,晟德    ,64368751,1949777,1324,33.01,34.5,32,32.93,34.1,100.29,3.66,1.99,2.02,,,
4126,太平洋醫,462819614,4786543,3687,96.69,102,90.2,96.51,99,17.58,4.16,7.98,4.1,,,
4127,天良    ,28200095,1821185,1085,15.48,16.45,13.7,15.38,16.4,N/A,0,3.98,1.09,,,
4128,中天生技,337874904,11402217,7313,29.63,31.5,28,29.21,30.75,12.87,8.13,4.16,1.66,,,
4129,聯合骨科,118218586,3386749,2168,34.9,37.5,31.8,33.94,37.35,33.05,1.82,7.3,2.66,,,
4131,晶宇生技,15051584,1080006,631,13.93,14.25,13.55,13.9,13.75,N/A,0,2.24,2.27,,,
4138,曜亞國際,320872809,3577469,2899,89.69,104,79.4,90.86,102,18.68,4.9,11.92,2.88,,,
4139,KY馬光  ,12236068,156553,108,78.15,81,76,78.38,76.5,,1.01,0.95,4.38,,,
4735,豪展    ,16017539,1226700,617,13.05,13.6,12.5,12.88,13.05,31.83,3.83,4.27,1.01,,,
4736,泰博    ,39101807,1000272,669,39.09,42.25,35.95,37.83,42.25,16.13,9.77,1.58,1.43,,,
4743,合一    ,177552755,9405149,4151,18.87,20.95,17.05,18.84,20.4,113.33,2.2,8.08,1.72,,,
4911,德英    ,48364749,826802,731,58.49,63.1,56,58.32,60.6,N/A,0,1.5,4.04,,,
8403,盛弘    ,71070677,2247939,1534,31.61,33.35,30.2,31.56,31.85,19.19,5.65,5.17,1.68,,,
8908,欣雄    ,3195055,146558,179,21.8,23.3,20.9,21.88,20.9,16.99,6.69,0.16,1.85,,,
8917,欣泰    ,2342677,54362,36,43.09,43.5,42.15,42.99,42.6,19.91,5.16,0.05,2.86,,,
8927,北基加油,25071358,1668994,280,15.02,15.55,14.5,14.82,14.5,N/A,2.06,1.48,1.34,,,
8931,大園汽電,12430751,1063187,423,11.69,12.1,11.4,11.68,12.05,20.08,7.46,1,0.89,,,
