櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
100年10月 Oct. 11,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 223,329,158,139元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,516,490筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,475,576,574股",,,,,,4. 成交量週轉率： 8.12%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
5355,佳總興業,69881247,8237916,2655,8.48,10,6.98,8.89,7.24,N/A,0,5.31,0.93,,,
5356,協益電子,856560928,20745400,9839,41.28,43.7,39.4,41.31,39.4,5.09,12.69,15.66,1.33,,,
5364,浩騰    ,808527,820437,213,0.98,1.16,0.91,0.96,0.93,N/A,0,0.39,1.04,,,
5381,合正科技,14504468,5518049,1383,2.62,2.72,2.53,2.62,2.58,N/A,0,1.83,0.3,,,
5398,力瑋實業,486597917,17908053,8181,27.17,30,24.15,27.42,24.15,N/A,0.82,42.89,2.28,,,
5439,高技企業,99226480,4219829,2210,23.51,25.15,20,22.75,24.35,7.68,12.32,5.57,1.54,,,
5457,宣德    ,32386135,4986466,1155,6.49,7.1,6.01,6.55,6.22,N/A,0,2.13,0.96,,,
5460,同協電子,24595141,2565304,782,9.58,10,9.29,9.52,9.84,13.48,6.09,3.56,0.78,,,
5464,霖宏科技,10823441,519058,337,20.85,22,19.8,20.79,21.4,13.9,4.67,0.87,1.26,,,
5475,德宏工業,171382671,15574059,4497,11,11.3,10.55,10.91,11,30.56,0,7.62,0.85,,,
5480,統盟電子,21957460,2456470,755,8.93,9.2,8.21,8.87,9.07,69.77,12.12,1.37,0.6,,,
5481,華韡電子,45553098,3877599,739,11.74,12.2,10.9,11.73,11.45,N/A,0,3.79,0.61,,,
5488,松普科技,24055028,3396759,1102,7.08,7.81,6.6,6.92,7.66,N/A,0,3.71,0.49,,,
5491,連展科技,244890899,23990512,7071,10.2,10.8,8.9,9.96,10,N/A,2.5,12.53,0.56,,,
5498,凱崴    ,121973328,10700061,3226,11.39,12.5,9.8,10.89,10.95,109.5,0,6.73,1.07,,,
6101,弘捷    ,4368157,260553,148,16.76,18.5,15.65,17.32,16,43.24,0,0.46,1.6,,,
6107,華美電子,181408119,3018573,1586,60.09,72.7,44.75,60.38,69.6,N/A,0,5.49,10.69,,,
6114,翔昇電子,482436,181012,62,2.66,3.05,2.4,2.8,2.79,N/A,0,0.39,1.29,,,
6124,業強科技,33605495,1099196,208,30.57,32.5,28.6,30.81,31.8,289.09,0,0.6,2.17,,,
6126,信音企業,36768329,1841488,1042,19.96,20.65,18.65,19.98,19.85,11.21,12.59,1.78,1.25,,,
6127,九豪精密,239441863,20570045,6129,11.64,12.3,10.7,11.39,10.7,11.38,4.85,22.93,0.69,,,
6134,萬旭電業,363898820,19919929,8148,18.26,20.15,16.3,18.12,16.45,N/A,3.03,24.06,0.88,,,
6158,禾昌興業,282637763,12535227,6107,22.54,24.3,19.75,22.26,21.75,11.45,11.03,10.93,0.74,,,
6173,信昌電陶,139664860,10562598,5060,13.22,13.95,12.3,13.1,13.25,25,10.49,5.68,0.95,,,
6174,安碁科技,92726716,9945437,4399,9.32,9.93,8.86,9.23,9.08,43.24,2.75,19.89,0.88,,,
6175,立敦科技,615339161,24946343,9516,24.66,26.1,23.6,24.51,23.95,8.77,2.17,23.08,1.51,,,
6185,幃翔精密,15538001,981427,603,15.83,17.4,15,15.94,15.1,12.38,17.81,0.99,0.87,,,
6194,育富電子,51880162,2557242,1215,20.28,21.3,18.8,20.32,20.65,8.36,9.68,2.29,0.78,,,
6203,海韻電子,39094255,1210877,939,32.28,34.7,28.95,31.47,34.5,11.5,10.14,1.59,2.26,,,
6204,台灣艾華,12656336,528185,313,23.96,25.8,22.5,23.62,24.7,10.12,8.9,1.44,1.18,,,
6207,雷科    ,167599346,4859062,2764,34.49,37.25,33.2,34.49,33.85,11.55,8.71,5.77,1.84,,,
6208,日揚科技,521935316,31370304,11850,16.63,17.6,15.45,16.45,16.7,7.42,2.99,27.25,1.11,,,
6210,慶生電子,39400103,1133446,649,34.76,38.5,32.4,34.49,38,9.5,10.52,3.23,2.36,,,
6211,福登    ,11455933,673807,449,17,18,15,16.38,17.15,N/A,0,1.62,0.62,,,
6217,中國探針,103522320,3477210,1996,29.77,31.4,28.1,29.29,31.4,16.7,1.27,7.73,2.15,,,
6220,岳豐科技,252932876,16493055,6357,15.33,16.6,14.15,15.02,16.25,54.17,1.53,14.22,0.95,,,
6242,亨豐科技,4125999,1277688,166,3.22,3.4,2.98,3.19,3.4,,0,1.86,0.6,,,
6248,沛波國際,10103840,1368417,478,7.38,7.8,7.07,7.36,7.63,N/A,0,2.82,0.86,,,
6250,宇加科技,2913253,119079,67,24.46,25.5,21.9,23.8,21.9,13.04,0,0.65,3.88,,,
6266,泰詠電子,17448562,1958371,646,8.9,9.28,8.45,8.85,8.45,22.84,14.91,2.63,0.55,,,
6274,台燿科技,52412143,4712285,1667,11.12,11.4,10.8,11.11,11.2,13.49,7.14,2.01,0.59,,,
6279,胡連精密,233406744,5136334,3920,45.44,50.1,40.85,43.73,46.7,12.32,8.54,5.94,1.87,,,
6284,佳邦科技,99827890,4341175,2019,22.99,25.2,20.3,23.15,22.65,20.41,7.06,4.37,0.8,,,
6290,良維科技,685207687,25217077,11511,27.17,31.4,25.2,27.11,27.35,25.8,9.14,20.34,1.24,,,
6292,迅德興業,8920543,388180,238,22.98,24,21.15,22.64,23.5,7.14,12.34,0.81,1.25,,,
8042,金山電子,514033985,15730759,5079,32.67,34.5,30.6,32.26,32.8,7.54,12.19,17.02,1.25,,,
8043,蜜望實  ,64972885,3894283,1573,16.68,18,15.1,16.14,18,8.37,4.72,4.24,0.83,,,
8074,鉅橡    ,5479615,538260,310,10.18,10.65,9.35,10.29,10.55,15.75,9.47,1.01,0.76,,,
8080,奧斯特  ,15838729,1454735,497,10.88,11.8,10.4,11,10.45,47.5,0,2.91,0.86,,,
8091,翔名科技,120830928,2299654,1294,52.54,55,50.6,52.56,54.1,8.25,9.92,5.52,2.49,,,
8093,保銳科技,13613942,1636069,574,8.32,8.85,7.06,8.22,8,N/A,0,2.55,0.72,,,
8109,博大科技,105275074,2609862,2028,40.33,43,37.05,39.88,41.15,10.04,8.45,4.35,2.69,,,
8121,越峰電子,5719065930,99215205,57254,57.64,60.6,53.2,56.62,53.2,9.76,9.26,60.44,3.1,,,
8182,加高電子,60421991,3975847,1473,15.19,15.7,14.4,14.98,14.95,13.11,8.02,3.71,0.62,,,
8287,英格爾  ,1325187371,16422098,11168,80.69,86.7,72.3,79.33,73,24.41,5.34,17.9,2.96,,,
8289,泰藝電子,39133723,2807011,1078,13.94,14.7,12.8,13.7,14.5,10.51,10.34,3.69,0.73,,,
8358,金居    ,40328038,3787406,1484,10.64,11.35,10.1,10.61,10.3,31.21,13.59,1.79,0.87,,,
3224,三顧    ,1614423,268872,212,6,6.3,5.64,6.11,6,N/A,0,0.64,0.71,,,
3232,昱捷    ,11477181,1037121,384,11.06,11.6,11,11.08,11,78.57,0,2.5,1.04,,,
3360,尚立    ,43673027,4274387,1214,10.21,10.75,9.06,9.79,10.25,N/A,4.78,8.5,0.69,,,
3389,志遠    ,112550932,5337945,2433,21.08,22.4,18.6,20.62,22,8.3,12.27,7.22,1.39,,,
3444,利機企業,10981809,474654,304,23.13,25.2,21.35,22.81,23.9,9.37,8.36,1.27,1.58,,,
3528,安馳    ,20671899,697278,461,29.64,31,28.8,29.91,29.5,8.75,9.05,1.49,1.53,,,
5467,聯福生  ,245260,79947,61,3.06,3.33,2.82,3.1,3.1,51.67,0,0.07,0.8,,,
6113,亞矽科技,29940406,2488609,999,12.03,12.9,10.9,11.7,12.3,10.6,0,4.48,0.86,,,
6118,建達國際,35169983,2679821,1563,13.12,13.65,12.3,13.01,12.85,85.67,1.94,2.95,1.15,,,
6135,佳營電子,55288859,6436853,1779,8.58,9.43,7.06,7.94,9.07,N/A,0,8.45,0.96,,,
6154,順發電腦,39593857,1660654,986,23.84,24.6,23.15,23.8,24.25,9.4,8.24,2.07,1.57,,,
6171,亞銳士  ,31979552,2535738,869,12.61,13.4,11.9,12.44,12.35,N/A,0,9.27,1.07,,,
6227,茂綸    ,14757727,1254146,522,11.76,12.65,11.1,11.83,11.9,18.89,6.72,1.65,0.76,,,
6259,百徽    ,2381530,345000,154,6.9,7.25,6.62,6.87,7.23,241,0,0.49,1.02,,,
6265,方土昶  ,9223125,1335973,451,6.9,7.08,6.73,6.94,6.89,N/A,0,1.1,0.54,,,
6270,倍微科技,33593300,2208399,781,15.21,15.6,14.7,15.17,15,12.2,13.33,2.94,0.51,,,
8032,光菱電子,53860508,1667265,801,32.3,34.4,30,32.47,31.35,10.11,3.82,3.22,1.44,,,
8067,志旭國際,1833369,217321,147,8.43,8.89,8.04,8.54,8.58,N/A,0,0.49,1.15,,,
8068,全達國際,24960405,820900,655,30.4,32.5,28.4,29.93,28.4,N/A,0,2.68,4.92,,,
8096,擎亞國際,3591078900,71666239,39257,50.1,54,45.8,49.33,49,11.48,5.02,72.04,1.98,,,
3083,中華網龍,814192131,10199621,7973,79.82,84.9,70.5,78.71,78.9,14.37,11.85,11.53,3.33,,,
3085,久大資訊,170629255,10210292,4272,16.71,17.8,15.05,16.59,17,113.33,0,14.33,1.7,,,
3086,華義國際,127624076,6399165,3273,19.94,22.5,17.6,19.56,20.65,11.6,0,9.1,1.79,,,
3293,鈊象電子,2027609659,12491855,9119,162.31,182.5,137,155.25,175,14.46,5.42,17.73,3.96,,,
3546,宇峻奧汀,544486921,8914301,7413,61.08,67.6,49.5,58.9,59.6,56.23,14.24,25.98,2.23,,,
3570,大塚資訊,86733317,1972016,1487,43.98,47.6,40.1,43.05,43.8,10.33,4.52,11.67,1.75,,,
3662,樂陞    ,44799612,860422,487,52.06,54.5,49.9,52.5,50.1,35.53,2.39,3.64,1.84,,,
3664,KY安瑞  ,10155950,527000,322,19.27,19.95,18.75,19.18,19.1,,0,0.76,1.08,,,
3687,歐買尬  ,284011735,1323062,1440,214.66,233,203,213.6,207.5,20.65,1.2,5.28,5.33,,,
4946,紅心辣椒,99417117,1598536,1348,62.19,68.3,56.3,61.88,60,N/A,5,7.83,1.91,,,
4965,商店街  ,93273447,819132,705,113.86,131,103,117.72,108,24.16,1.62,5.79,4.21,,,
5201,凱衛資訊,4712524,455124,184,10.35,10.95,10.05,10.43,10.35,25.24,0,1.48,1.09,,,
5202,力新國際,11789747,1650730,632,7.14,7.5,6.68,7.14,7.25,65.91,0,2.72,0.69,,,
5206,坤悅開發,14680910,1353648,250,10.84,11.4,10.5,10.88,10.8,154.29,0,1.35,2.05,,,
5209,新鼎系統,49424624,824065,642,59.97,63.2,56.2,60.26,61.7,10.15,6.43,3.75,2.94,,,
5210,寶碩    ,32905126,3463169,1179,9.5,10.25,8.73,9.22,9.85,26.62,5.07,5.02,0.85,,,
5211,蒙恬科技,633487582,14373480,9603,44.07,49.2,32.05,38.84,47.6,21.35,6.19,44.88,2.7,,,
5212,凌網科技,5034309,296686,232,16.96,17.9,14.75,16.82,17.6,11.14,1.59,0.86,1.64,,,
5310,天剛資訊,7214140,294429,268,24.5,25.9,23.2,24.56,23.55,14.63,6.36,1.32,0.96,,,
5403,中菲    ,20263122,1089563,665,18.59,19.1,18,18.55,18.3,13.26,10.87,1.94,1.57,,,
5410,國眾電腦,173599400,13378750,5338,12.97,13.75,11.85,12.81,13.3,16.63,8.79,14.91,1.2,,,
5478,智冠    ,576417405,8154840,6676,70.68,74.2,65.8,70.73,69,13.04,9.49,6.36,1.84,,,
6111,大宇資訊,479476,24204,26,19.82,21.4,18.15,20.06,19.8,N/A,0,0.07,4.05,,,
6140,訊達電腦,26330964,2083237,1082,12.63,13.6,11.65,12.3,13.6,10,3.67,5.62,1.07,,,
6148,驊宏資通,10777154,2107870,740,5.11,5.83,4.7,5.07,5.83,145.75,0,2.4,0.64,,,
6169,昱泉國際,81505149,2349114,1930,34.69,36.6,32,34.23,34.7,17.26,0,8.31,1.42,,,
6180,橘子    ,189597832,6270618,4271,30.23,31.9,27.7,30.1,30.35,20.23,3.95,4,1.69,,,
6183,關貿網路,47137276,2823341,609,16.69,17.15,16.4,16.64,17.05,16.08,5.92,1.88,1.38,,,
6221,晉泰科技,25084310,1509267,883,16.62,17.5,15.8,16.4,16.8,7.81,4.7,4.53,1.12,,,
6231,系微    ,1950032926,14416331,11334,135.26,146,125,134.27,135,13.89,4.07,38.1,6.2,,,
6240,松崗    ,495351,54177,52,9.14,11.2,7,8.65,7.07,N/A,0,0.43,4.68,,,
8044,網路家庭,2182429458,10627832,8035,205.35,229.5,176,203.37,198,33.33,2.73,15.39,11.63,,,
8099,大世科  ,56351823,2873703,1552,19.6,20.4,18.1,19.34,19.15,11.2,5.22,4.28,1.35,,,
1785,光洋科技,739358458,18589140,10554,39.77,41.8,37.1,39.88,37.1,12.08,12.07,4.96,1.53,,,
3064,泰偉電子,155790714,3125926,2016,49.83,51.8,47.6,49.32,50,N/A,0,4.72,3.39,,,
3067,全域    ,352550,15000,12,23.5,24.2,23.15,23.68,23.75,21.99,8.84,0.05,1.82,,,
3093,台灣港建,5505122,123223,122,44.67,46,43,44.7,43.95,12.17,13.65,0.34,1.93,,,
3131,弘塑科技,143368077,2521534,1861,56.85,61.7,50,55.74,61.7,6.69,13.77,11.46,2.6,,,
3289,宜特科技,222324010,8965177,4833,24.79,27.35,22,24.96,22.1,15.45,2.03,12.81,1.13,,,
3303,岱稜    ,60914249,4339418,2005,14.03,15.4,12.8,13.6,13.1,N/A,0,5.41,0.71,,,
3324,雙鴻科技,896904412,31297391,14138,28.65,30.25,26.9,28.43,28.9,13.14,0,50.03,1.89,,,
3373,熱映光電,6362943,367263,221,17.32,17.65,16.4,17.35,17.15,16.81,8.57,1.21,1.13,,,
3402,漢科    ,35262295,2296323,1332,15.35,16.15,15.05,15.35,15.45,5.6,17.6,3.12,0.91,,,
3466,致振企業,14680494,620516,261,23.65,24,22.9,23.61,23.25,19.54,4.3,0.99,0.88,,,
3498,陽程    ,21807214,1690880,818,12.89,13.5,12.1,12.76,13.5,N/A,0,2.47,0.6,,,
3508,位速    ,7317645514,77130124,44590,94.87,104.5,83.5,93.52,103.5,15.09,0.7,83.08,2.87,,,
3541,西柏科技,32623572,1228859,851,26.54,29,22.55,26.29,28.35,10.31,11.11,3.39,1.86,,,
3551,世禾科技,279096989,7077648,3762,39.43,41.8,35.9,38.03,40.95,8.03,4.88,14.78,1.04,,,
3552,同致電子,145756200,2658037,2038,54.83,57.4,50.2,54.15,52.5,14.31,6.78,3.71,2.02,,,
3563,牧德科技,412710132,9257897,6653,44.57,48,39,43.31,47,10.15,5,30.19,2.68,,,
3580,友威科  ,18754022,1456276,668,12.87,13.6,12.15,12.77,12.9,N/A,2.32,3.26,0.6,,,
3587,閎康科技,31861432,1272749,827,25.03,26.25,23.05,24.89,26.05,9.94,7.44,2.95,1.35,,,
3628,盈正    ,315850482,4466400,3411,70.71,74.8,65.5,69.58,67.4,11.12,17.8,9.93,1.85,,,
3642,駿熠電  ,761170625,21309480,10971,35.71,40.95,29.4,34.04,40.95,7.02,3.66,63.13,1.33,,,
4415,美嘉生電,132467732,8599060,4645,15.4,21.4,8.8,14.96,21.4,N/A,0,31.04,2.11,,,
5205,漢康科技,917527956,13765514,5321,66.65,74.6,54,67.57,54,N/A,0.5,55.62,3.31,,,
5383,金利    ,15248938,1373861,727,11.09,11.8,10.25,11.19,10.65,48.41,9.38,1.92,0.82,,,
5452,佶優科技,227654082,15621107,5592,14.57,15.35,12.75,14.15,14.2,13.52,7.04,11.35,1.01,,,
5489,彩富電子,42067081,1725411,575,24.38,24.9,23.1,24.34,24.3,13.5,9.58,1.66,1.79,,,
5493,三聯科技,90927404,2879414,1775,31.57,33.4,29.7,31.26,31.6,7.96,9.49,7.52,1.54,,,
5536,聖暉    ,795716479,6685337,5015,119.02,130,105,116.95,118,7.61,8.47,14.49,2.52,,,
6144,得利影視,806986,80838,58,9.98,10.9,9.44,10.06,10.9,N/A,0,0.17,1.64,,,
6146,耕興    ,189604882,2939057,1273,64.51,66.9,63.4,64.58,65.1,11.77,7.66,3.68,2.88,,,
6151,晉倫科技,163345052,6398127,3071,25.53,26.6,23.4,25.02,24.8,16.21,8.06,13.38,1.46,,,
6179,世仰科技,16621253,1649680,696,10.07,10.45,9.6,9.96,9.94,N/A,0,2.95,1.12,,,
6187,萬潤    ,237451978,15960971,5235,14.87,15.9,13.5,14.63,14.3,N/A,0,24.86,0.79,,,
6238,勝麗國際,0,0,0,0,0,0,0,9.1,N/A,0,0,3.05,,,
6275,元山科技,64019975,4730361,1491,13.53,13.9,13,13.42,13.25,29.44,3.77,9.93,1.08,,,
6276,名鐘科技,244413631,16503045,4912,14.81,18.8,8.2,13.08,17.85,N/A,0,37.52,3.36,,,
8047,星雲電腦,3443761,347445,161,9.91,10.3,9.5,9.93,10,200,0,0.68,0.91,,,
8085,福華電子,24970163,5454659,1673,4.57,4.9,4.03,4.59,4.14,N/A,0,3.47,0.33,,,
8092,建暐精密,20813209,1887413,618,11.02,11.8,10.4,10.89,10.9,545,0,6.66,0.91,,,
8183,台灣精星,16890902,2810217,1063,6.01,6.19,5.82,5.99,5.86,N/A,0,2.42,0.42,,,
8383,千附實業,133081010,6523631,3384,20.39,21.25,19.85,20.29,20.25,13.5,5.92,5.52,0.98,,,
1107,建台水泥,4084475,2119091,296,1.92,2.04,1.8,1.95,1.82,N/A,0,0.67,-0.32,,,
2341,英群    ,6402085,2110420,510,3.03,3.79,2.42,3.05,2.49,3.72,0,1.02,-249,,,
2381,華宇光能,7728696,5309386,962,1.45,1.65,1.2,1.41,1.65,N/A,0,1.03,0.14,,,
4801,高盛電子,0,0,0,0,0,0,0,33.65,168.25,0,0,3.56,,,
5318,佳鼎科技,758729,156640,106,4.84,5.74,4.13,4.94,4.7,0.4,0,1.36,-0.74,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
