櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年12月 Dec.10,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 523,052,176,581元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,998,387筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,526,535,192股",,,,,,4. 成交量週轉率： 20.65%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
2221,大甲    ,128726855,7507103,3140,17.14,18.25,15,16.13,16.65,N/A,0,17.69,1.41,,,,
3284,太普高  ,136915973,6262986,2432,21.86,22.9,20,21.68,21.9,12.37,4.55,11.99,1.65,,,,
3388,崇越電通,229353333,3157627,1998,72.63,74.1,71.5,72.61,72.1,9.30,5.73,5.67,1.75,,,,
5312,寶島科  ,2726872338,30587817,19532,89.14,96.8,79.9,88.32,80,23.26,2.19,50.93,5.21,,,,
6186,晶磊興業,82686732,4829647,2405,17.12,18.1,15.5,16.47,16.15,15.38,0,22.8,1.41,,,,
6803,崑鼎投控,737489562,5686275,3954,129.69,139.5,117.5,129.06,132,19.24,4.69,9.85,3.54,,,,
8390,金益鼎  ,108007019,2606571,1997,41.43,43.2,40.3,41.31,40.45,15.93,3.64,4.49,2.17,,,,
8401,白紗科技,456716821,12110112,5822,37.71,39.8,35.55,37.3,36.8,13.38,5.39,32.88,2.28,,,,
8705,東隆五金,48895040,1498678,1003,32.62,33.8,31.8,32.49,32.85,12.30,7.4,1.8,2.26,,,,
8905,裕國    ,41270949,3037090,1016,13.58,14,13.15,13.56,13.6,11.62,2.89,2.54,1.01,,,,
8906,花王企業,10895154,1576962,459,6.9,7.37,6.45,6.88,6.9,N/A,0,3.07,0.78,,,,
8913,華夏資融,204777914,9037058,4279,22.65,24.3,19.25,22.42,22.1,3.00,1.77,20.01,1.29,,,,
