櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
99年05月 May 10,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 453,920,360,344元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,781,712筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,263,394,846股",,,,,,4. 成交量週轉率： 18.06%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
5820,日盛金控,380643039,99642106,13160,3.82,4.09,3.42,3.79,3.69,N/A,0,2.2,0.72,
6008,凱基證券,4182533193,331720387,59048,12.6,14.5,10.9,12.65,11.8,14.75,1.16,10.34,0.82,
6015,宏遠證券,181662071,22778434,5434,7.97,8.93,6.99,7.92,7.44,12.61,0,4.99,0.8,
6016,康和證券,330296782,35176465,6797,9.38,10.15,8.53,9.41,8.93,24.14,7.48,5.37,0.76,
6020,大展證券,25711085,1638527,481,15.69,16.3,15.05,15.86,16.3,22.96,7.63,0.7,1.14,
6021,大慶證券,135115555,8452942,3198,15.98,18.2,13.7,15.85,14.7,5.79,4.67,3.18,1.01,
6022,大眾證  ,369264324,23175569,7168,15.93,17.35,14.4,16,15.5,9.39,7.42,7.21,1.1,
6023,寶來期  ,133022053,3382193,1577,39.33,40.5,38.05,39.31,40.5,22.38,7.73,2.58,1.85,
6024,群益期  ,89999575,2746190,1442,32.77,34.5,30.85,32.79,32.1,15.43,6.43,3.65,1.65,
2916,滿心企業,226282359,10148698,4403,22.29,24.1,20.3,22.13,22.4,15.24,1.43,24.04,1.32,
5902,德記洋行,24487397,2357866,787,10.38,11.65,9.72,10.32,10,N/A,0,2.5,1.25,
