櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
99年05月 May 10,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 453,920,360,344元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,781,712筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,263,394,846股",,,,,,4. 成交量週轉率： 18.06%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
6126,信音企業,681137992,15873007,6253,42.91,46.8,37.8,42.42,40.25,8.96,1.95,19.87,2.08,
6127,九豪精密,2302863100,101268067,32962,22.74,25.75,17.05,22.23,19.75,94.05,2.19,124.79,1.52,
6134,萬旭電業,460868509,6661564,4569,69.18,72.8,64,68.59,66.1,9.85,2.25,9.66,2.33,
6158,禾昌興業,1212093694,20553623,11064,58.97,65.5,51.1,58.65,54.9,7.25,3.75,17.93,1.73,
6173,信昌電陶,2963439238,102909738,31261,28.79,30.75,25.7,28.46,28,20.44,0.75,62.79,1.86,
6174,安碁科技,297444565,20360742,5643,14.6,16.65,12.05,14.27,14.35,N/A,0,28.4,2.12,
6175,立敦科技,719795863,47955831,12812,15,16.65,12.7,14.74,14.2,N/A,0,51.19,1.4,
6185,幃翔精密,208219432,6628559,2519,31.41,33.3,27.9,31.02,29.6,11.17,2.22,7.34,1.61,
6194,育富電子,225501598,6086433,3251,37.04,39.5,33.55,36.75,35,9.7,5.88,5.4,1.24,
6203,海韻電子,367506392,4471844,2809,82.18,86.6,77.3,82.07,82.1,12.87,6.4,7.5,4.01,
6204,台灣艾華,294785983,9359307,4175,31.49,34.3,26.8,30.53,30.4,11.18,4.91,25.5,1.5,
6207,雷科    ,1617583075,40077786,16910,40.36,43.3,35.8,39.83,39.4,11.35,1.44,55.98,2.22,
6208,日揚科技,224030747,17559655,4614,12.75,13.85,11.8,12.67,12.5,N/A,0,15.01,0.99,
6210,慶生電子,1492928210,39060226,18040,38.22,42.4,32.55,36.96,36.6,13.92,1.89,111.45,2.57,
6211,福登    ,111194863,4674997,2317,23.78,27.5,19.55,23.22,21.1,8.65,0,10,0.74,
6217,中國探針,1895549245,32005909,17517,59.22,69.8,45.85,59.2,52.2,28.68,0,79.68,4.6,
6220,岳豐科技,1036695433,39835652,12691,26.02,28.7,23.25,25.46,25.55,10.65,1.98,36.16,1.42,
6242,聯豪科技,9609639,2003891,221,4.79,6.47,3.12,4.5,5.24,N/A,0,5.93,1.65,
6248,沛波電子,258830753,15383638,5870,16.82,19.8,13.5,16.65,15.5,N/A,0.64,30.48,1.47,
6250,宇加科技,121746,8003,7,15.21,16,13.6,15.42,15.4,N/A,0,0.05,5.56,
6266,泰詠電子,961321675,64197789,17142,14.97,16.7,12.65,14.41,14.55,24.25,7.44,93.7,0.93,
6274,台燿科技,2125770731,124064084,29989,17.13,18.55,15.25,16.61,16.15,28.84,1.2,53.23,0.91,
6279,胡連精密,1924193568,21632757,14184,88.94,102,78.2,89.1,84.7,15.34,2.36,29.36,4.03,
6284,佳邦科技,298431927,11002131,5065,27.12,30.7,22.2,26.22,24.5,20.42,2.02,10.68,0.83,
6290,良維科技,7791638100,140902106,55988,55.29,59.9,49,54.72,54.1,12.58,1.4,114.14,2.25,
6292,迅德興業,251400700,7873661,3364,31.92,35.6,28,31.27,29.7,14.01,1.35,15.39,1.65,
8042,金山電子,2322142591,39639522,18290,58.58,64.7,50.1,57.82,56,9.52,2.64,45.16,2.36,
8043,蜜望實  ,421422234,19243057,6717,21.89,23.2,19.7,21.74,20.8,10.67,0.96,20.95,0.98,
8074,鉅橡    ,243948745,12564771,4552,19.41,20.7,17.5,19.3,18.1,9.19,7.68,24.69,1.21,
8080,奧斯特  ,129331717,8421917,2958,15.35,16.85,12.6,14.71,13.9,N/A,6.42,16.86,1.17,
8091,翔名科技,702613858,15729403,7787,44.66,47.7,38.15,43.48,41.25,12.28,4.81,42.51,2.57,
8093,保銳科技,68292562,4552272,1550,15,16.35,12.45,14.38,13.4,25.28,3.12,7.09,1.06,
8109,博大科技,702686905,13834149,8062,50.79,54.6,41.5,48.89,45.3,16.06,5.44,31.03,2.79,
8121,越峰電子,7900880608,113274055,58600,69.75,79.4,57,68.33,77.1,N/A,1.09,98.21,5.33,
8182,加高電子,244072634,9709460,4873,25.13,27.3,22.7,24.9,24.35,12.88,2.83,11.83,1,
8287,英格爾  ,3579532250,54115554,24871,66.14,70.7,58.2,65.85,68,31.78,1.16,110.52,3.75,
8289,泰藝電子,1129454120,51906257,16178,21.75,24.35,17.4,20.61,23.5,22.82,4.16,71.27,1.22,
3224,三顧    ,22459628,2547388,901,8.81,9.75,7.9,8.79,8.66,N/A,7.85,5.88,1.06,
3232,昱捷    ,336700468,20414505,7402,16.49,18.9,13.55,15.87,14.5,N/A,1.26,64.67,1.6,
3312,弘憶股  ,541855970,20397226,8009,26.56,28.5,22.55,24.93,23.85,9.43,3.45,28.27,1.75,
3360,尚立    ,482455629,26256001,10604,18.37,20.15,15.65,17.7,19.2,20.87,0,52.94,1.24,
3389,志遠    ,888338739,27983932,10444,31.74,35,27.1,30.67,29,9.73,3.27,40.53,1.82,
3444,利機企業,149359746,4378565,2158,34.11,38,29,33.72,31.6,14.17,6.32,14.22,1.95,
5467,聯福生  ,2014440,368416,158,5.46,5.87,5.06,5.5,5.42,16.94,0,0.33,1.37,
6113,亞矽科技,1766414538,79290487,24873,22.27,24.95,18.1,21.81,23.55,11.16,0,142.59,2,
6118,建達國際,256494847,11812558,5642,21.71,23.5,18.45,21.21,19.6,28.82,1.86,13.39,1.68,
6135,佳營電子,175085179,12709104,4456,13.77,15.3,11.9,13.72,12.9,16.75,0,16.68,1.44,
6154,順發電腦,54026206,2198461,1266,24.57,26.3,22.8,24.58,24.15,15,6.06,2.75,1.56,
6171,亞銳士  ,51975940,4415162,1711,11.77,12.9,10.55,11.55,11.7,1170,2.63,16.14,1,
6195,旭展電子,619556001,15194709,7968,40.77,47.55,31.15,38.1,35.2,45.13,1.39,40.02,2.79,
6227,茂綸    ,72488857,3904131,1741,18.56,20.2,16.9,18.7,18.3,10.83,5.24,5.13,1.13,
6259,百徽    ,42933370,3554661,1027,12.07,13.9,10.3,12.4,11.5,35.94,0,5.6,1.76,
6265,方土昶  ,342204960,25271827,7327,13.54,15.1,11.5,12.81,12.3,19.52,12.41,20.76,0.94,
6270,倍微科技,149308409,5746932,2950,25.98,28.15,23.5,25.99,25.3,11.82,8.08,7.69,0.83,
8032,光菱電子,711056971,25225639,10107,28.18,31,24,27.35,26.45,13.43,1.9,48.69,1.42,
8067,志旭國際,30065683,2446609,1053,12.28,13.8,10.8,12.28,12.2,N/A,5.19,5.47,1.28,
8068,全達國際,128323360,2277318,1703,56.34,61.5,47.9,53.99,53.7,N/A,0,7.43,7.65,
8096,擎亞國際,4014964403,128692445,42503,31.19,35,25.6,30.31,33.15,17.18,2.29,137.68,1.94,
3083,中華網龍,7919975361,22630673,18907,349.96,393,317,346.88,338,30.78,1.93,25.73,10.33,
3085,久大資訊,252323029,14142364,5670,17.84,20,15.25,17.75,16.15,N/A,0.66,31.63,1.62,
3086,華義國際,4761532366,160896654,63993,29.59,35.2,22.55,28.93,33.75,76.7,0,228.92,3.84,
3293,鈊象電子,1898445897,8112985,7064,234,258,214,231.52,230.5,12.36,4.85,12.12,4.75,
3546,宇峻奧汀,13233887051,28672704,25848,461.55,507,428.5,458.59,480.5,35.41,1.01,94.45,12.5,
3570,大塚資訊,41277982,1355141,904,30.46,34.4,27.2,30.15,30.6,14.23,4.93,8.2,1.35,
5201,凱衛資訊,220992748,9754068,4973,22.65,28.5,18.35,21.52,20,18.52,0,37.99,2.21,
5202,力新國際,1579953347,111632349,28768,14.15,17.3,9.14,12.56,15.9,54.83,0,183.93,1.55,
5206,經緯科技,313231,172169,54,1.82,2.07,1.59,1.81,1.6,N/A,0,0.38,0.83,
5209,新鼎系統,277225085,4503630,3104,61.55,68.1,52.3,60.09,57.1,17.68,1.7,20.91,3.14,
5210,寶碩    ,120130459,10594387,3693,11.33,12.7,10,11.17,10.7,19.11,7.87,15.76,0.88,
5211,蒙恬科技,3321786661,43687491,25510,76.03,86.1,60.6,73.7,84.6,32.92,2.3,136.42,4.8,
5212,凌網科技,101265686,4320601,2349,23.43,26.9,19.5,22.82,21.2,N/A,3.6,12.54,2.09,
5310,天剛資訊,71323518,1438298,1150,49.58,56.7,43.35,49.47,45.1,10.56,0,13.03,3.69,
5403,中菲    ,378405179,15807543,7528,23.93,26.9,21,23.65,23.3,10.64,5,28.69,1.62,
5410,國眾電腦,1392893597,56729943,23557,24.55,28.5,20.7,24.37,21.95,51.05,0,69.03,2.05,
5478,智冠    ,7720592151,45686692,30659,168.98,182.5,155,168.71,172,20.26,3.71,36,4.04,
6111,大宇資訊,12357371,290077,163,42.6,45,40.15,42.8,43.8,32.93,0,1.13,12.55,
6140,訊達電腦,130357303,7391219,3826,17.63,20.45,14.7,17.26,16.6,150.91,3.98,20.74,1.45,
6148,驊宏資通,438127938,49807359,12950,8.79,9.65,7.6,8.26,8.03,N/A,0,56.6,0.86,
6169,昱泉國際,1257276095,9948668,7890,126.37,142.5,111,125.4,120,N/A,3.49,35.42,3.8,
6180,橘子    ,6430641111,118423571,63283,54.3,59.4,47.85,52.53,57.8,35.24,1.71,71.5,3.2,
6183,關貿網路,799838154,37711839,6499,21.2,21.9,19.4,21.1,21.75,26.85,3.61,25.14,1.76,
6214,精誠資訊,1752531759,39505703,19176,44.36,50.1,38,43.06,41.5,8.11,2.44,14.85,0.76,
6221,晉泰科技,102250052,7008268,3056,14.58,16.7,12.4,14.3,14.65,N/A,5.03,22.02,1.14,
6231,系微    ,423207520,3828704,2999,110.53,119,100.5,111.64,107.5,16.74,1.87,11.53,5.28,
6240,松崗    ,3394462,2201752,320,1.54,1.9,1.33,1.56,1.54,N/A,0,1.1,2.48,
8044,網路家庭,1153741752,13495551,7558,85.49,94,71,84.13,93.6,34.29,0.57,24.11,6.93,
8099,大世科  ,149000963,5383078,2946,27.67,32.4,24,27.47,25.7,11.32,9.23,8.01,1.77,
1785,光洋科技,2255333127,31413283,17385,71.79,75.5,66.5,71.62,70.8,10.89,3.1,12.56,2.24,
3064,泰偉電子,683768330,13616619,8000,50.21,56.2,41.15,49.47,45.4,N/A,0,20.49,2.71,
3067,全域    ,3384672,114060,84,29.67,31.3,26.25,29.94,29.4,18.15,5.41,0.39,2.41,
3093,台灣港建,217114454,3714304,2299,58.45,62,52.4,56.58,55.6,19.31,11.11,10.24,2.51,
3289,宜特科技,813832400,23232151,10964,35.03,39.8,29.05,34.34,31.95,N/A,6.95,33.85,1.95,
3303,岱稜    ,616064231,20430759,9016,30.15,32.9,25.8,29.79,28.1,N/A,4.4,25.97,1.24,
3324,雙鴻科技,815780742,31563311,11169,25.84,28.25,21.4,24.38,24,N/A,0,65,2.27,
3373,熱映光電,49633980,1709340,775,29.03,30.9,27.2,28.98,28.5,12.56,5.37,6.06,1.72,
3402,漢科    ,679348791,22972038,9045,29.57,32.15,24.9,28.31,28.1,46.07,15.27,49.04,1.86,
3466,致振企業,55262964,1606545,994,34.39,40,29.4,33.79,32.95,12.39,3.26,2.58,1.21,
3498,陽程    ,194261213,6482840,3053,29.96,32.9,26,29.75,27.1,542,6.76,9.86,1.1,
3508,位速    ,328250194,5255177,3090,62.46,71.5,53,61.47,57.6,480,2.72,5.66,1.98,
3541,西柏科技,180630055,4809113,3048,37.55,42,30.1,36.36,34.2,14.49,8.18,14.58,2.21,
3551,世禾科技,234719304,5407743,2987,43.4,47.05,38.8,43.13,41.6,16.06,6.17,11.29,1.17,
3552,同致電子,570310188,4158869,2301,137.13,151,123,137.95,138.5,20.86,0.71,8.48,5.42,
3587,閎康科技,107664490,3738121,2037,28.8,30.9,24.1,28.09,26.3,49.62,3.56,9.49,1.52,
4415,美嘉生電,532226653,7574067,4257,70.26,80.9,58.8,68.97,77,13.1,0,27.34,6.95,
5205,漢康科技,498624368,6520174,3115,76.47,80.3,69.1,76.76,77.5,71.76,0,27.2,4.38,
5383,金利    ,854962293,40667678,15716,21.02,23.6,17.4,20.24,18.85,11.93,8.02,58.65,1.43,
5452,佶優科技,510580017,28396629,10476,17.98,20.05,15.5,17.84,17,18.89,1.36,22.39,1.27,
5489,彩富電子,76097748,1981816,1055,38.39,40.9,35.8,38.27,37.85,14.5,3.84,1.98,2.44,
5493,三聯科技,145881321,5460042,2508,26.71,29.05,23.1,26.5,27.1,12.66,2.9,14.25,1.58,
6144,得利影視,64821836,4459900,1775,14.53,16.55,12.2,13.99,13.45,N/A,0,9.16,1.77,
6146,耕興    ,441263381,6445125,3866,68.46,71,65,68.44,69.8,12.71,5.07,8.27,3.09,
6151,晉倫科技,556197339,15391103,7634,36.13,38.9,32.5,35.95,33.2,11.49,5.72,34.53,2.25,
6179,世仰科技,250379085,15733646,5573,15.91,17.55,12.6,14.7,14.2,N/A,3.47,23.11,1.66,
6187,萬潤    ,2693733739,53235338,21786,50.6,57.8,41,50.22,55.9,24.73,2.34,86.03,2.99,
6238,勝麗國際,2127781,141545,59,15.02,18,14.5,15.77,16,7.37,0,0.41,6.37,
6275,元山科技,278342560,12684580,4532,21.94,25.45,17.5,21.86,19.25,40.96,4.21,29.5,1.53,
6276,名鐘科技,175105171,18621448,5200,9.4,10.75,7.15,8.25,8,N/A,0,42.34,1.14,
8047,星雲電腦,27856052,2274265,1033,12.24,13.2,10.8,12.13,12.15,N/A,3.22,4.55,1.15,
8085,福華電子,124276788,12345678,3464,10.06,11.45,8.51,9.9,9.06,N/A,8.1,7.85,0.65,
8092,建暐精密,41615570,3170864,1179,13.12,14.6,11.35,13.05,12.6,N/A,0,11.19,1.08,
8183,台灣精星,157424002,14318991,4150,10.99,12.4,9.63,10.96,10.55,N/A,2.7,12.33,0.78,
8383,千附實業,144740805,4983321,2745,29.04,31.5,26.8,29.15,29.3,293,2.63,5.32,1.52,
1107,建台水泥,4885458,3313074,429,1.47,1.73,1.3,1.45,1.41,N/A,0,1.06,-0.38,
2381,華宇光能,9912613,5151043,769,1.92,2.14,1.62,1.93,2.04,N/A,0,0.99,0.49,
2396,精碟科技,7586154,15194737,885,0.49,0.56,0.43,0.49,0.53,N/A,0,1.19,-0.49,
4801,碼斯特  ,73269,12043,14,6.08,6.45,5.64,6.16,6.45,N/A,0,0.04,3.56,
5204,得捷    ,1447967,136104,67,10.63,13.05,8.88,10.42,9.49,16.95,0,0.36,1.67,
5318,佳鼎科技,790377,95301,155,8.29,10.5,7.42,8.52,8.09,N/A,0,0.83,-6.42
