櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
12月Dec. 07,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 370,142,867,977元",,,,,,4. 加權平均本益比：15.94,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,664,846,017股",,,,,,5. 加權平均股利率： 5.71%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 3,076,601筆",,,,,,6. 成交量週轉率： 12.76%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均股利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5704,老爺知  ,4563588,200297,161,22.78,24,21.15,22.81,23.2,47.35,1.29,0.34,1.85
5706,鳳凰國際,109926765,2034390,1357,54.03,59.7,49.1,53.63,57.5,28.47,3.23,6.64,3.42
8940,新天地  ,24345997,1023774,475,23.78,26.2,21.15,24.59,24.2,13.22,6.19,2.17,1.69
5820,日盛金控,527908949,57044809,9007,9.25,10.15,8.3,9.22,9.3,NA,0,2.54,0.91
6008,中信證券,2536141001,159790020,28278,15.87,17.4,14.05,15.81,16.75,7.31,4.17,6.3,1.18
6015,宏遠證券,882951416,73714606,17104,11.97,14.2,9.73,11.89,12.8,9.21,0,17.14,1.15
6016,康和證券,1081508631,92553474,18496,11.68,14.25,9.5,12.01,12.7,8.41,3.14,15.07,0.97
6020,大展證券,115856263,6455282,1984,17.94,23.5,15.3,19.02,18.3,8.55,3.55,2.78,1.13
6021,大慶證券,368739952,20860039,6702,17.67,21.7,14.4,17.85,17.45,8.86,2.29,8.36,1.18
6022,大眾證  ,750212039,41299360,10430,18.16,23.2,14.85,18.76,17.7,5.65,4.12,18.41,1.19
6023,寶來期  ,281800774,6886148,2825,40.92,42,39.2,40.92,42,9.37,6.35,6.28,2.27
2916,滿心企業,11796500,550437,226,21.43,22.55,20.2,21.49,21.3,11.27,10.32,1.3,1.37
2921,特力和樂,60208249,2536740,339,23.73,25.6,20,22.73,22,11.06,10.68,6.35,1.49
5902,德記洋行,30438110,3705000,964,8.21,9.6,6.96,8.03,7.4,NA,6.75,2.14,0.84
5903,全家    ,12873252,261323,195,49.25,52.4,48,49.91,50,18.8,4.8,0.12,3.29
5904,寶雅國際,27595825,1383931,732,19.94,23,18.1,20.56,20,10.1,7.7,2.14,1.25
5905,南仁湖  ,2768392717,127273947,35016,21.75,29,17.65,23.35,22.1,100.45,3.52,78.23,1.67
8941,關中    ,69254428,3405547,1252,20.33,24.45,18.6,21.59,21,15,2.33,3.59,1.15
9960,邁達康  ,49579351,2342591,1088,21.16,31.55,17.5,23.75,20.6,8.62,8.1,11.88,1.46
1584,精剛精密,182670647,4286603,2318,42.61,46,37.4,42.08,43.85,12.71,3.42,10.72,2.22
2221,大甲    ,11394917,418471,315,27.22,30.1,24.7,26.88,26.1,8.91,5.74,0.99,1.43
3284,太普高  ,7245026,857080,343,8.45,9.3,7.44,8.54,8.3,NA,12.04,2.07,0.78
3388,崇越電通,1077560070,7713157,6084,139.7,155,118,139.02,150.5,15.81,4.65,15.3,3.85
