櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
12月Dec. 07,,,,,,,,,,,,,
,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 370,142,867,977元",,,,,,4. 加權平均本益比：15.94,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,664,846,017股",,,,,,5. 加權平均股利率： 5.71%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 3,076,601筆",,,,,,6. 成交量週轉率： 12.76%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均股利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
6203,海韻電子,730324774,3493336,1328,209.06,236,186,210.42,229,24.78,1.67,5.86,11.9
6204,台灣艾華,22399753,806460,443,27.77,31.3,25.8,28.46,28.1,9.76,7.11,2.31,1.51
6205,詮欣    ,390389667,6830648,3492,57.15,62.3,50.4,57.2,59.5,10.55,4.2,9.48,3.05
6207,雷科    ,721800721,16298554,6778,44.28,49.1,40.2,42.98,48.9,9.17,6.13,23.9,2.57
6208,日揚科技,106902816,5043818,2282,21.19,24.35,18.85,21.49,19.8,16.23,10.1,6.27,1.34
6210,慶生電子,19367963,960182,441,20.17,21.4,19.5,20.16,20,21.05,2.5,2.74,1.93
6211,福登    ,35553176,2178134,1136,16.32,20.6,13.45,17.59,15,10.07,5.53,4.66,0.6
6213,聯茂    ,1459433530,42882578,15413,34.03,39.5,28,34.61,37.2,10.39,7.09,15.55,2.27
6217,中國探針,13361143,1694196,686,7.88,8.61,7.07,7.78,7.66,NA,26.1,4.19,0.85
6220,岳豐科技,44236048,2602106,1088,17,19.1,15.2,17.19,16.7,17.77,5.98,2.53,0.95
6224,聚鼎科技,331520569,9086501,4325,36.48,41.55,31.2,36.28,37.6,12.7,5.74,13.27,2.73
6242,聯豪科技,297617108,11378073,2794,26.15,27.6,24,25.7,27.15,36.2,1.84,27.88,3.11
6248,沛波電子,30806973,2305739,852,13.36,14,12.15,13.48,13.9,347.5,3.45,4.52,1.13
6250,宇加科技,5326626,678644,323,7.84,8.96,7.1,7.92,8,NA,0,2.74,1.07
6266,泰詠電子,113922680,6609016,2451,17.23,18.4,15.3,16.93,17,9.94,5.23,10.06,1.1
6274,台燿科技,272151563,17780114,4919,15.3,17.3,13.3,15.22,15.4,10.41,9.09,7.75,0.89
6279,胡連精密,85391655,2300696,964,37.11,41.5,33.8,37.58,37.1,11.78,7,3.46,2.18
6284,佳邦科技,716844525,13701820,7579,52.31,57.1,44.6,52.22,52.3,9.81,7.85,18.29,1.8
6290,良維科技,61035189,5071121,1611,12.03,14.4,10.1,12.27,13.4,NA,5.97,4.78,0.78
6292,迅德興業,12520804,596187,329,21,23.5,18.3,21.82,20.5,8.72,4.87,1.19,1.17
8039,台虹科技,635215132,23468143,8437,27.06,31.5,22.25,27.63,29.2,12.07,5.06,15.63,1.39
8042,金山電子,81504511,4239799,2040,19.22,22.35,17.2,19.72,19.25,12.5,7.79,5.44,1.05
8043,蜜望實  ,204245512,8475560,4126,24.09,29.7,20.2,24.5,24.85,8.31,8.85,10.42,1.4
8074,鉅橡    ,33991441,2994767,1016,11.35,13.8,9.5,11.99,12.5,NA,8.64,6.63,0.97
8080,奧斯特  ,159423038,5790631,2947,27.53,32.9,23.9,28.58,29.65,10.02,5.73,12.66,2.13
8091,翔名科技,17310546,584204,363,29.63,33.65,27.4,30.56,29.8,9.87,6.71,1.67,2.07
8093,保銳科技,51904825,2299399,1146,22.57,25.8,19.4,22.64,24.2,9.34,12.39,3.76,1.75
8103,瀚荃    ,406747629,8074673,3864,50.37,55,44.7,51.05,52,11.56,6.05,15.26,2.41
8109,博大科技,28072779,773427,493,36.29,39,33,36.28,37,9.79,8.02,1.92,2.76
8121,越峰電子,207903466,6796171,3121,30.59,36.55,25.5,31.11,31.4,87.22,1.91,6.4,1.98
8182,加高電子,105209506,3701237,1985,28.42,33.5,24.8,29,28.7,9.8,6.27,4.58,1.36
8287,英格爾  ,213809110,5213100,2499,41.01,43.7,36,40.08,42.05,18.05,3.56,13.51,2.24
3209,全科科技,35036381,1940921,1029,18.05,19.4,16.6,18.13,17.95,10.08,8.46,3.47,1.23
3224,三顧    ,18825084,1339663,625,14.05,15.1,12.55,13.86,13.8,11.9,14.49,3.17,1.13
3232,昱捷    ,20416829,1527989,341,13.36,14.65,12.05,13.36,12.7,24.42,1.41,4.89,1.02
3312,弘憶股  ,31112719,2293963,886,13.56,15.55,12.1,13.99,14,21.21,3.57,4.02,1.12
3360,尚立    ,11491695,811300,413,14.16,15.75,13.1,14.3,14.1,11.85,7.09,2.05,0.94
5467,聯福生  ,3063687,376035,152,8.14,8.9,7.2,8.2,7.55,8.99,0,0.34,2.59
5498,凱崴    ,90974637,9926264,2688,9.16,10.65,8,9.4,10.1,13.65,9.9,6.93,0.78
6113,亞矽科技,10464623,1686148,522,6.2,7.27,5.5,6.31,6.38,NA,12.53,2.59,0.58
6118,建達國際,269104209,12464508,6170,21.58,26.65,17.8,21.98,21.4,142.67,2.33,14.84,1.9
6135,佳營電子,23185879,3161335,880,7.33,8.47,6.02,6.97,6.24,39,0,4.07,0.65
6154,順發電腦,246830619,5458003,3303,45.22,51.5,39.3,46.37,45.85,8.32,7.63,7.8,2.76
6159,詮鼎科技,590625468,31076998,10281,19,21.7,16.3,18.87,19.2,9.23,4.63,12.79,1.18
6171,亞銳士  ,12052455,1582664,457,7.61,8.43,6.85,7.8,7.36,46,3.39,5.21,0.67
6177,十全企業,30791296,1450716,685,21.22,22.95,18.7,20.72,20.9,NA,3.44,2.95,1.97
6195,旭展電子,5742995,453510,277,12.66,14.5,10.8,12.58,11.35,NA,0,1.97,1.72
6227,茂綸    ,59380282,3810238,1646,15.58,17.35,14.25,15.73,16.1,7.74,9.93,5.06,1.04
6259,百徽    ,11908150,1215900,371,9.79,10.7,8.51,9.65,9.5,NA,21.05,2.25,1.74
6265,方土昶  ,258222868,11419535,3236,22.61,26.05,20.2,23.05,21.2,37.86,1.88,13.09,1.52
6270,倍微科技,172532280,5222597,2871,33.03,37.45,29.7,33.1,32.6,7.8,8.28,6.04,1.18
8032,光菱電子,28558182,1602534,721,17.82,19.5,15.8,17.63,17.4,9.41,4.02,3.09,1.01
8067,志旭國際,14032128,1094498,671,12.82,14.85,10.85,12.88,12.15,16.64,4.44,2.75,1.14
8068,全達國際,96355700,1324000,1167,72.77,84.5,62.4,71.84,72.7,33.81,1.19,4.32,7.11
8070,長華電材,568079589,3972615,1939,142.99,150.5,127,143.45,149.5,16.09,4.37,6.58,3.98
8096,擎亞國際,371223526,19499670,6804,19.03,22,16.55,18.82,18.7,9.21,5.77,19.52,1.19
8112,至上電子,334407369,27627014,6887,12.1,13.85,10.45,12.3,13.3,22.93,6.31,16.1,0.75
3083,中華網龍,3151430571,24639748,14700,127.9,139,110,126,137,14.32,2.77,30.25,5.87
3085,久大資訊,409932884,11940717,5197,34.33,40.5,27,34.06,33.05,16.28,4.87,29.59,2.56
3086,華義國際,48809698,3902554,1593,12.5,15,9.85,12.16,11,NA,0,6.22,1.19
3293,鈊象電子,1374289490,5506807,4715,249.56,287,210,251.19,252.5,16.55,3.96,10.08,7
5201,凱衛資訊,22948669,898463,411,25.54,27.2,23.1,25.51,26.65,53.3,0,3.5,4.34
5202,力新國際,24259881,3370130,1034,7.19,8.65,6.5,7.6,7.12,NA,5.61,5.38,0.67
5205,漢康科技,8124643,343854,264,23.62,28.5,19.8,24.2,22.3,NA,0,1.7,3.89
5206,經緯科技,3105380,685519,266,4.52,5.81,3.98,4.45,5.3,NA,0,2.61,0.63
5209,新鼎系統,10242979,428219,305,23.91,25.5,21.7,23.97,23.7,11.56,10.12,2.05,1.54
5210,寶碩    ,18373236,2057214,728,8.93,9.68,8.31,9.05,9.6,22.33,6.25,2.86,0.75
5211,蒙恬科技,82306740,2126454,1316,38.7,45.45,31.6,39.71,37.4,0,3.63,5.5,2.53
5212,凌網科技,36293305,1629994,709,22.26,26.2,19.2,22.49,20.95,18.22,8.11,4.81,2.2
5213,捷鴻開發,37492578,2015038,1103,18.6,22.6,15.3,18.01,17.5,13.78,0,3.43,1.18
5310,天剛資訊,1162106,713754,189,1.62,1.95,1.31,1.62,1.31,NA,0,1.24,0.92
5403,中菲    ,30108627,2354862,851,12.78,13.15,12,12.85,13.1,9.7,8.54,4.21,0.99
5410,國眾電腦,40580486,2995857,1594,13.54,16.1,11.8,13.77,13.85,34.63,0,6.27,1.33
5478,智冠    ,2585119291,29405211,18458,87.91,97.4,73.2,87.08,87.7,12.71,3.38,23.95,2.59
6110,艾群科技,7213259,2457797,296,2.93,3.3,2.61,2.96,3.3,NA,0,4.89,1
6111,大宇資訊,9032758,935698,174,9.65,10,9.1,9.62,10,NA,0,1.8,3.25
6140,訊達電腦,7729577,633859,277,12.19,13.25,11,12.14,11.55,6.79,6.49,1.87,0.93
6148,和平資訊,10334200,2313660,624,4.46,5.28,4,4.55,4.69,156.33,49.04,1.53,0.74
6149,禾鴻科技,21606198,1327064,701,16.28,18.45,14,16.17,16.95,NA,0,4.67,2.08
6169,昱泉國際,62956868,2777740,1161,22.66,27.9,19,24.08,21,29.58,7.14,9.99,1.66
6180,橘子    ,717340795,23301436,9002,30.78,32.95,26.6,30.22,30.35,8.9,4.51,15.22,1.87
6183,關貿網路,111201232,7330793,1644,15.16,16.2,13.8,15.04,15.2,18.1,4.93,3.71,1.35
6214,精誠資訊,511521115,16113358,7245,31.74,35.6,28.1,32.07,32,9.82,3.12,5.03,0.69
6221,晉泰科技,69615728,5170385,1193,13.46,14.8,12,13.38,13.4,8.99,4.7,15.18,0.98
6231,系微    ,289336585,3576375,1794,80.9,97,71.8,85.49,87.8,82.83,0.56,11.44,8.63
6240,統一元氣,1920510,254200,68,7.55,10.6,6.25,8.05,6.25,NA,8,0.22,2.59
8044,網路家庭,85605705,3473102,1540,24.64,29.7,20.35,25.88,26.2,NA,1.41,6.2,2.96
8099,大世科  ,202317483,7864628,3716,25.72,31,22,26.47,28,11.86,8.57,12.24,2.08
1785,光洋科技,15907882195,134760835,70602,118.04,166,92.8,126.23,115,12.11,3.38,88.82,2.93
3064,泰偉電子,5735736623,42015992,28435,136.51,158,110,136.04,132,64.71,2.14,75.05,11.33
3067,全域    ,1411054,82339,50,17.13,18.9,16.3,17.5,16.5,0,9.09,0.28,1.31
3093,台灣港建,50120834,984979,379,50.88,54.5,43,48.45,46,10.53,14.13,2.85,2.38
3289,宜特科技,459384580,8521410,4406,53.9,61.5,46.5,54.81,57,12.34,6.05,16.85,2.49
3305,昇貿科技,524836021,9341317,5119,56.18,64,49.15,56.31,57,10.44,6.12,13.35,2.26
3324,雙鴻科技,25921549,1480369,698,17.51,21,15.9,18.18,17.25,NA,14.49,3.39,1.11
3373,熱映光電,65585581,2152848,1141,30.46,31.95,26.5,29.6,30,10.1,12.66,10.66,2.01
3402,漢科    ,147193849,3401764,2001,43.26,46.5,39.5,42.78,43.6,8.37,7.72,8.2,2.51
3466,致振企業,293876597,4910614,3105,59.84,68.5,48.85,59.58,63.6,14.79,6.76,8.33,2.28
3498,陽程    ,142322737,2110527,1525,67.43,74.8,61,66.48,65.8,9.19,6.07,4.27,2.51
3508,位速    ,261912140,1890771,1315,138.52,155,123.5,137.83,143.5,48.48,2.66,4.5,10.26
5383,金利    ,58312181,3605224,1234,16.17,19.75,14.55,17.15,16.5,11.46,5.93,5.72,1.21
5452,佶優科技,183697803,13232771,4883,13.88,15.35,11.9,13.67,13.7,25.37,4.96,9.97,1.12
5489,彩富電子,121737882,2232970,1361,54.51,58.5,49.6,54.4,53.5,14.9,4.63,2.54,3.72
5492,亞智科技,206648025,7729227,2608,26.73,31.8,22,26.83,25.8,9.7,8.52,12.57,1.85
5493,三聯科技,9362620,534402,308,17.51,19.5,16.3,18.06,18.3,12.28,3.27,1.4,1.19
6144,得利影視,44319450,3571660,185,12.4,12.7,10.9,12.25,12.3,0,13.82,4.33,1.67
6146,耕興    ,252412195,5392049,3124,46.81,52.6,42,45.78,45.2,11.96,6.57,7.09,2.52
6151,晉倫科技,13312471,887994,499,14.99,16.55,13.8,15.47,15.4,12.52,10.71,2.06,1.24
6179,世仰科技,33038754,2143180,828,15.41,17,13,15.37,16.15,NA,3.71,2.94,1.3
6187,萬潤    ,104340651,4240837,1729,24.6,26.15,22.15,24.54,24.65,18.82,3.28,8.04,1.61
6212,理銘科技,2437741,271521,65,8.97,9.86,8.3,8.87,8.3,NA,18.07,0.2,2.12
6215,和椿    ,42569105,953825,426,44.62,48,42,44.79,44.7,21.91,3.55,1.55,3.37
6238,巨圖    ,283878,114711,41,2.47,2.96,2.29,2.6,2.78,NA,0,0.12,6.62
6275,元山科技,968615790,38045942,17285,25.45,29,20.4,25.03,23.2,20.9,3.44,108.14,1.91
6276,名鐘科技,188522093,10814767,3333,17.43,18.7,16,17.39,17.25,NA,2.43,22.81,1.57
6283,淳安電子,232427555,8149469,3689,28.52,32,24.5,28.37,28.1,10.11,5.33,10.78,1.44
8021,尖點科技,361198499,4955463,3003,72.88,85.3,62,75.21,79,16.81,4.44,5.19,3.29
8047,星雲電腦,10967697,801818,493,13.67,14.55,12.6,13.63,12.9,20.48,1.55,1.86,1.13
8085,福華電子,618113930,26383281,10796,23.42,31,19.1,24.51,23.3,38.2,5.66,16.5,1.28
8092,建暐精密,14056400,1089000,323,12.9,13.9,11.4,12.89,12.7,NA,3.14,3.84,0.91
8183,台灣精星,93568032,8380876,1803,11.16,12.4,9.58,11.6,11.8,22.26,2.79,6.91,0.67
8383,千附實業,359379217,8504238,4358,42.25,47.3,34,40.65,41.15,10.72,2.74,10.01,2.08
1107,建台水泥,14070073,10300159,699,1.36,1.63,1.07,1.32,1.33,NA,0,3.28,-2.61
1807,羅馬磁磚,383473,573998,111,0.66,0.83,0.5,0.64,0.62,2,0,0.42,4.43
2326,亞瑟科技,1127418,1182070,241,0.95,1.11,0.84,0.97,1.04,NA,0,1.97,-0.09
2410,鼎大科技,1955063,1710494,188,1.14,1.33,0.88,1.11,1.04,NA,0,0.7,-0.4
2479,和立聯合,0,0,0,0,0,0,0,0,NA,0,0,-1.18
3053,鼎營科技,818,403,2,2.03,0,0,0,0,NA,0,0,-3
3142,遠茂光電,1991045,2367333,180,0.84,0.94,0.7,0.84,0.94,NA,0,1.01,-0.22
4801,碼斯特  ,46966,3000,5,15.65,16.35,15.2,15.77,15.2,NA,0,0.01,2.5
5207,飛雅    ,336316,292142,41,1.15,1.35,1.04,1.21,1.04,NA,0,0.12,-11.56
5501,金腦科技,2975155,2278138,178,1.3,1.82,1.03,1.38,1.61,NA,0,4.3,-0.25
