櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,
99年07月 Jul.10,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 453,840,760,681元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,740,919筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 13,163,617,037股",,,,,,4. 成交量週轉率： 17.83%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高        Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
4714,永捷    ,105307063,6024694,2229,17.47,18.4,16.1,16.82,17.7,9.78,2.82,14.19,0.97
4716,大立    ,1366109314,34144669,15830,40,46.8,29.3,35.26,44.5,53.61,0.53,63.59,3.49
4720,德淵企業,506900556,25995994,9657,19.49,21,17.6,18.9,19.6,25.79,2.55,38.23,1.48
4721,美琪瑪  ,679148861,20155781,10268,33.69,36.4,28.3,32.1,34.1,20.54,4.39,28.99,2.4
4722,國精化學,111087155,6092129,1753,18.23,19.35,17.05,18.17,18,24.32,3.27,9.65,1.17
4733,上緯企業,1281650616,21243247,11283,60.33,65.3,53,58.31,61.9,22.27,4.99,32.44,2.83
6509,聚和國際,2570973303,88457297,35199,29.06,30.75,25.15,27.83,28.7,20.65,2.4,57.51,1.71
1565,精華光學,1560363599,5659636,4770,275.7,293,256.5,275.95,280,20.82,3.75,11.23,6.09
1752,南光    ,310722373,11194849,5632,27.75,29.5,26.05,27.4,27,N/A,3.7,17.77,2.11
1777,生泰合成,135114019,3034404,1624,44.52,46.6,40.7,44.04,43.3,19.24,3.92,12.77,2.35
1781,合世生醫,140231773,5454417,3080,25.7,28.25,23,25.2,26,N/A,0,15.31,3.4
1784,訊聯    ,257545224,4787544,3008,53.79,58.5,49,52.74,58.5,45.7,2.17,11,2.67
1788,杏昌生技,1452475629,17542395,10096,82.79,94.5,62.7,72.88,87.1,19.93,3.67,59.97,2.98
1795,美時化學,815574101,17994156,9700,45.32,51,34.5,41.73,46.4,132.57,1.5,44.16,3.49
1799,紅電醫  ,122465137,4433647,2062,27.62,29.45,24.05,27.13,24.75,29.12,8.08,14.34,1.6
1813,寶利徠  ,90618814,2036420,1218,44.49,46.5,41.85,44.1,42.85,24.07,2.33,4.95,2.93
3118,進階    ,452891872,11634818,6151,38.92,41.35,33.6,36.91,38,22.75,3.94,37.64,2.51
3205,佰研生化,19598523,679041,551,28.86,31.35,27.2,28.5,28.2,N/A,0,4.62,3.46
