櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,
"101年5月 May, 12",,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 220,209,384,344元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,437,907筆",,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,641,766,644股",,,,,,4. 成交量週轉率： 8.49%（以上櫃股數計算）,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,
3520,振維    ,9463096,713396,355,13.26,14.4,12.1,13.6,13.3,N/A,0,1.39,1.05,
3526,凡甲科技,86779728,2579300,1917,33.64,37.2,30.1,33.84,33.4,13.92,17.09,4.23,1.65,
3537,堡達    ,84730539,3242905,1191,26.12,27.35,23.55,25.89,26.1,14.66,3.83,6.99,1.57,
3548,兆利科技,551977920,22246099,11701,24.81,27.2,19.35,23.04,25.7,55.87,3.89,44.01,0.61,
3609,東林科技,10268473,577242,395,17.78,21,15.8,18,17,170,7.05,1.84,0.71,
3624,光頡科技,1088685990,36075555,19018,30.17,32.65,26.9,29.71,30.5,21.63,4.91,41.61,1.43,
3631,晟楠    ,30854633,642386,483,48.03,51,41.5,46.64,43.75,15.68,8.93,0.82,2.37,
3646,艾恩特  ,159125656,5748259,3182,27.68,29.4,25,27.05,25.7,18.1,5.83,14.95,1.46,
4912,F-聯德  ,286633629,3910363,2507,73.3,79.5,68.2,73.33,76.9,16.02,1.3,14.07,3.09,
4927,F-泰鼎  ,738998522,16487191,7913,44.82,49.5,41,44.55,43.8,7.84,3.08,17.74,1.78,
4939,亞電    ,256343810,10543856,5529,24.31,26.2,21.65,23.87,24.5,14.33,5.14,14.66,1.57,
4974,亞泰    ,197797317,5967213,3450,33.14,35.45,30.3,32.71,32.8,9.56,7.92,11.63,1.73,
5301,祥裕電子,348827,73273,46,4.76,5,4.2,4.74,4.2,N/A,0,0.32,8.57,
5309,系統電子,56393519,7965473,2093,7.07,8.5,5.72,6.86,6.3,N/A,0,5.22,0.73,
5317,凱美電機,11160595,1799783,651,6.2,6.88,5.43,6.16,5.81,N/A,8.6,1.32,0.5,
5321,友銓電子,707398,472496,149,1.49,1.75,1.3,1.53,1.39,N/A,0,0.26,0.44,
5328,華容    ,15553032,2295756,634,6.77,7.3,6.2,6.82,6.54,N/A,4.58,1.05,0.62,
5340,建榮工業,8154179,1450486,378,5.62,6.2,5,5.61,5.25,N/A,0,0.87,0.6,
5345,天揚    ,8386233,1953775,782,4.29,4.86,3.96,4.19,4,N/A,0,3.91,0.62,
5349,先豐通訊,830771376,39569657,15299,20.99,22.05,19.45,20.85,20.85,9.61,5.08,19.16,1.37,
5355,佳總興業,12119592,1769324,706,6.84,7.2,6.36,6.92,6.9,53.08,0,1.14,0.84,
5364,浩騰    ,2445263,1433633,259,1.7,2.07,1.32,1.62,1.6,N/A,0,0.7,2.11,
5381,合正科技,29802889,11503185,2935,2.59,2.97,2.25,2.51,2.48,N/A,0,3.81,0.36,
5398,力瑋實業,32068795,1459016,708,21.97,23.55,20.8,22.02,21.4,N/A,0.93,3.49,2.05,
5439,高技企業,72367242,3001933,1730,24.1,25.15,23.15,24.07,23.6,8.19,12.71,3.97,1.39,
5457,宣德    ,35384223,5325115,1376,6.64,7,6.32,6.64,6.58,N/A,0,2.28,1.17,
5460,同協電子,44636697,4048271,1698,11.02,11.65,10.2,10.84,10.9,12.25,5.5,5.62,0.84,
5464,霖宏科技,9841960,432990,323,22.73,23.8,21.15,22.84,22.25,11.84,4.49,0.72,1.31,
5475,德宏工業,125324406,13068424,3836,9.58,10.45,8.8,9.54,9.23,25.64,5.41,6.09,0.77,
5480,統盟電子,1790223622,93353623,30082,19.17,20.95,16.25,18.82,20.35,17.1,5.4,52.12,1.28,
5481,華韡電子,11141760,1095362,348,10.17,10.4,10,10.2,10.25,N/A,0,1.13,0.59,
5488,松普科技,9236895,1574191,769,5.86,6.2,5.25,5.88,5.99,N/A,0,1.72,0.43,
5491,連展科技,48613323,5978552,1969,8.13,8.75,7.4,8.07,7.86,N/A,3.18,3.12,0.46,
5498,凱崴    ,123767285,11842859,2819,10.45,11,10,10.37,10.3,N/A,0,7.38,1.02,
6101,弘捷    ,2558431,178182,116,14.35,15.9,12.8,14.27,13.15,N/A,0,0.31,1.38,
6107,華美電子,68708531,1285934,278,53.43,58,42,52.62,46.5,N/A,0,2.34,8.2,
6114,翔昇電子,326559,94010,16,3.47,4,2.95,3.33,2.95,N/A,0,0.2,4.34,
6124,業強科技,15099122,611080,195,24.7,27.15,23.7,25.79,24.3,N/A,0,0.33,1.71,
6126,信音企業,179007220,6909918,3179,25.9,28.7,23.4,25.57,25,12.82,10,6.69,1.51,
6127,九豪精密,61933825,6031447,2307,10.26,11.05,9.1,10.12,9.83,N/A,5.28,7.09,0.67,
6134,萬旭電業,9856103,823088,549,11.97,13,11.05,12.04,12,N/A,4.16,1,0.79,
6158,禾昌興業,52175206,2747937,1430,18.98,19.8,18.05,18.85,18.8,17.57,12.76,2.4,0.65,
6173,信昌電陶,58450970,5890654,2476,9.92,11,8.91,9.91,9.93,331,13.99,3.17,0.74,
6174,安碁科技,68486350,9190182,4593,7.45,7.76,7.02,7.43,7.35,66.82,3.4,18.38,0.72,
6175,立敦科技,106009239,6114817,2531,17.33,19.2,15.6,17.16,16.5,9.88,3.15,5.66,1.06,
6185,幃翔精密,18504504,1328915,642,13.92,15,12.6,13.77,13.5,15,19.92,1.35,0.78,
6194,育富電子,67927082,3029650,1445,22.42,22.75,22,22.45,22.6,8.97,8.84,2.72,0.85,
6203,海韻電子,50838035,1344619,972,37.8,41.5,34,36.52,35.1,7.53,9.97,1.77,1.98,
6204,台灣艾華,11686594,506652,293,23.06,23.8,22.25,23.02,22.7,9.23,9.69,1.38,1.05,
6207,雷科    ,46875176,1732064,1001,27.06,28.7,25.5,27.17,26.4,11.68,11.17,2.16,1.53,
6208,日揚科技,90584487,6921877,2715,13.08,13.95,12.05,13.02,12.65,10.04,3.95,6.01,0.86,
6210,慶生電子,113853434,2467010,1193,46.15,48.9,41,45.57,42.8,11.96,9.34,7.04,2.43,
6211,福登    ,1733994,146681,93,11.82,12.8,10.85,11.92,11,N/A,0,0.35,0.42,
6217,中國探針,382157944,9476096,5555,40.32,42.5,36.55,40.13,40.8,49.76,0.98,20.98,2.89,
6220,岳豐科技,32188426,2841425,1380,11.32,12.4,10.05,11.19,11.35,70.94,2.2,2.45,0.69,
6242,亨豐科技,521459,42931,51,12.14,14.5,10.1,13.06,12.5,N/A,0,0.23,2.2,
6248,沛波國際,12826150,2821768,720,4.54,5.85,3.99,4.54,4.08,N/A,0,5.94,0.71,
6250,宇加科技,3065788,157236,134,19.49,21.7,17.35,19.76,17.35,61.96,0,0.86,3.15,
6266,泰詠電子,15949794,1551224,458,10.28,10.75,9.53,10.17,10.05,14.15,12.53,2.08,0.64,
6274,台燿科技,1780621287,109668768,30111,16.23,17.3,15,16.05,15.95,16.97,5.01,46.78,0.82,
6279,胡連精密,167273216,3280739,2255,50.98,56,47.5,51.01,50.1,10.8,7.96,3.79,1.81,
6284,佳邦科技,34655962,1997376,1000,17.35,18.25,16,17.49,17.25,63.89,9.27,2.01,0.62,
6290,良維科技,425829924,12755784,4691,33.38,38.5,29.5,34.05,30.2,13.07,8.27,10.13,1.27,
6292,迅德興業,16036769,711519,448,22.53,23.3,21.7,22.6,23,9.02,12.6,1.52,1.2,
8042,金山電子,208838901,5630699,3243,37.08,39.9,33.9,36.98,35.7,7.53,11.2,6.09,1.3,
8043,蜜望實  ,23972540,1570523,768,15.26,15.8,14.7,15.25,15.1,8.44,5.62,1.71,0.68,
8074,鉅橡    ,11074309,949207,458,11.66,12.1,10.8,11.6,11.5,10.55,8.69,1.78,0.81,
8080,奧斯特  ,5962411,913117,403,6.52,7,5.94,6.62,6.21,N/A,0,1.83,0.54,
8091,翔名科技,331587076,5368412,2859,61.76,66.6,57.5,61.84,61,9.92,8.8,12.04,2.32,
8093,保銳科技,2106534,335157,186,6.28,6.67,6,6.26,6.17,N/A,0,0.52,0.59,
8109,博大科技,31172266,854134,617,36.49,38.2,35.2,36.5,36.25,11.47,9.6,1.42,2.23,
8121,越峰電子,2960686212,56271361,32945,52.61,57,47.8,52.06,54.2,51.62,9.09,34.22,3.13,
8182,加高電子,39064673,3026699,998,12.9,13.6,12,12.74,12.3,21.58,9.75,2.83,0.52,
8287,英格爾  ,856920786,13578793,8519,63.1,75,53.1,65.17,58.4,13.39,0,12.07,2.31,
8289,泰藝電子,20314256,1696300,648,11.97,12.75,11.05,11.91,11.5,39.66,13.04,2.23,0.6,
8291,尚茂    ,6096660,983312,419,6.2,6.8,5.68,6.14,5.99,N/A,11.18,1.29,0.6,
8358,金居    ,24404113,2499168,919,9.76,10.7,8.81,9.73,9.14,N/A,15.31,1.18,0.82,
3224,三顧    ,2755083,496443,277,5.54,5.99,5,5.6,5.33,N/A,0,1.18,0.71,
3232,昱捷    ,59989137,5707070,2681,10.51,12.75,7.58,9.35,12.75,N/A,0,13.73,1.27,
3360,尚立    ,15309483,1779630,747,8.6,9.33,7.99,8.6,8.28,82.8,5.91,3.54,0.56,
3444,利機企業,17338288,793877,449,21.84,22.85,20.6,22.03,21.5,10.24,9.3,2.13,1.35,
3528,安馳    ,19247811,675752,449,28.48,29.5,27.6,28.59,28.8,11.38,9.27,1.43,1.39,
5467,聯福生  ,707481,173198,100,4.08,5.2,2.9,4.17,3.29,41.13,0,0.16,0.85,
6113,亞矽科技,9228935,1016379,407,9.08,9.67,8.35,9.1,9.29,84.45,0,1.83,0.69,
6118,建達國際,14828000,1343624,768,11.03,11.75,10.3,11.1,10.5,29.17,2.38,1.48,0.92,
6135,佳營電子,4328253,425998,181,10.16,10.7,9.6,10.19,10.3,N/A,0,0.56,1.12,
6154,順發電腦,42702373,1614014,872,26.45,27.2,25.7,26.52,26.25,11.36,7.61,2.02,1.58,
6171,亞銳士  ,20241773,1050321,434,19.27,20.4,18.4,19.23,18.7,93.5,0,3.84,1.58,
6227,茂綸    ,6535820,584965,212,11.17,11.7,10.65,11.34,11.55,16.5,6.92,0.77,0.72,
6259,百徽    ,5655959,894104,286,6.32,6.8,6.1,6.49,6.3,N/A,0,1.28,0.95,
6265,方土昶  ,13368092,2233575,744,5.98,6.3,5.55,6.01,6.03,N/A,0,1.83,0.48,
6270,倍微科技,57726914,3806242,1719,15.16,16.25,14,14.87,14.35,N/A,13.93,5.06,0.48,
8032,光菱電子,3681424,139689,103,26.35,27.9,25.5,26.77,27.3,10.83,4.39,0.27,1.22,,
8067,志旭國際,618232,87380,74,7.07,7.55,6.72,7.22,6.96,N/A,0,0.2,1.01,,
8068,全達國際,9022154,883325,451,10.21,13.8,8.05,10.27,10.5,N/A,0,2.88,2.25,,
8096,擎亞國際,3469068768,89861775,45958,38.6,43.65,30.75,38.31,36.8,10.28,6.68,81.54,1.57,,
3083,中華網龍,991244320,11008364,9130,90.04,101,79.1,88.29,87,46.52,10.74,12.59,3.66,,
3085,久大資訊,15142567,1481350,641,10.22,10.65,9.9,10.24,10.1,N/A,0,2.08,1.06,,
3086,華義國際,159242605,7551938,3832,21.08,22.8,19.45,20.82,20.85,16.68,0,10.74,1.77,,
3293,鈊象電子,2602997239,18845842,14775,138.12,148,125,136.86,140,10.91,6.78,27.13,2.8,,
3546,宇峻奧汀,560930837,6694869,5575,83.78,91.8,73.7,81.62,79.9,67.71,10.62,19.54,2.79,,
3570,大塚資訊,18287555,503030,338,36.35,40.45,34,36.3,34.8,9.91,5.68,2.94,1.33,,
3662,樂陞    ,40714939,758019,498,53.71,57.6,51,54.16,53,N/A,2.01,2.93,2.17,,
3687,歐買尬  ,1147913710,5468704,4735,209.9,230,184.5,205.59,208,18.29,1.2,21.84,4.91,,
4946,紅心辣椒,559304890,6457199,5436,86.61,94.9,75,83.92,81.9,52.17,3.66,31.62,2.4,,
4965,商店街  ,17544970,164166,160,106.87,113,103,106.95,106,22.46,1.66,1.16,3.69,,
4994,傳奇    ,1233916087,3200215,3275,385.57,420,350,379.95,374,26.68,1.04,13.6,8.28,,
5201,凱衛資訊,4920578,570106,208,8.63,9.15,7.59,8.75,8.59,19.98,0,1.86,0.88,,
5202,力新國際,19893457,3071765,1245,6.47,7.21,5.77,6.3,5.99,99.83,0,5.06,0.58,
5206,坤悅開發,8194991,403709,210,20.29,21.9,19.5,20.37,19.85,12.89,0,0.53,3.14,
5209,新鼎系統,44463525,642314,515,69.22,70.7,67.5,69.06,69.1,11.59,5.74,2.88,2.96,
5210,寶碩    ,6506607,836351,433,7.77,8.35,7.34,7.8,7.5,N/A,6.66,1.21,0.65,
5211,蒙恬科技,67156922,1797151,1329,37.36,40.4,34.95,37.48,38.75,17.38,7.61,5.61,2.07,
5212,凌網科技,3770893,229757,139,16.41,17.05,15.85,16.61,16.2,N/A,1.72,0.66,1.54,
5310,天剛資訊,44708598,882005,686,50.68,56.4,43.5,50.73,45,102.27,3.33,3.94,2.09,
5403,中菲    ,11810213,634416,423,18.61,19.05,18.25,18.68,18.8,10.22,10.58,1.13,1.47,
5410,國眾電腦,135983569,11191415,4103,12.15,13.15,10.7,11.93,11.7,14.1,10,12.48,1.01,
5478,智冠    ,2093910561,29399972,22030,71.22,78.8,63.5,68.66,78.8,63.04,8.31,23.06,2.13,
6111,大宇資訊,970319,51010,59,19.02,20,18.05,19.31,18.5,N/A,0,0.14,5.04,
6140,訊達電腦,8383262,720319,389,11.63,12.6,10.65,11.29,11.2,19.31,4.46,1.6,0.91,
6148,驊宏資通,9654050,1794056,612,5.38,5.69,5.23,5.4,5.4,38.57,0,2.04,0.59,
6169,昱泉國際,39661068,1357494,1151,29.21,32.2,27.15,29.17,29.7,N/A,0,4.79,1.29,
6180,橘子    ,306018399,9901494,6372,30.9,34.6,26.2,30.49,30.85,45.37,3.88,6.31,1.71,
6221,晉泰科技,290890890,13369346,6762,21.75,25.3,19.2,21.68,20.9,8.39,3.77,39.42,1.3,
6231,系微    ,404329587,2992105,2584,135.13,143,126,135.25,133.5,16.92,4.11,7.91,5.31,
6240,松崗    ,5861,1010,2,5.8,5.8,5.8,5.8,6.63,N/A,0,0,3.9,
8044,網路家庭,1117296116,6534101,5392,170.99,188,157,170.02,162,28.42,3.33,9.32,7.9,
8099,大世科  ,34075912,1799661,1189,18.93,20,18.25,18.85,19,13.29,5.26,2.68,1.24,
1785,光洋科技,1538772315,37776221,20626,40.73,44.2,35.7,39.55,38,19.1,11.78,10.1,1.5,
3064,泰偉電子,164007741,3508185,2459,46.75,51.9,41.1,45.58,43.9,18.52,0,5.3,2.74,
3067,全域    ,561876,30007,34,18.72,19.45,17.9,18.92,18.9,46.1,11.11,0.1,1.45,
3093,台灣港建,4077683,87479,84,46.61,49,44.1,46.71,46,12.92,13.04,0.24,1.95,
3131,弘塑科技,109792630,1480358,1074,74.16,77.8,70.6,74.77,76.6,9.45,11.09,6.73,2.79,
3289,宜特科技,238728936,11454433,3273,20.84,22.6,19,20.79,20.35,13.13,2.21,16.36,1.03,
3303,岱稜    ,72398008,5823300,2793,12.43,13.7,11.3,12.19,11.4,N/A,0,6.45,0.65,
3324,雙鴻科技,1083145352,28098442,15018,38.54,46.3,30,38.59,36,13.28,0,45.6,2.17,
3373,熱映光電,17165827,589649,401,29.11,30.35,27.3,28.85,29.2,55.09,5.03,1.93,1.95,
3402,漢科    ,35696831,2706623,1253,13.18,13.8,12,13.15,13.55,30.11,20.07,3.67,0.82,
3498,陽程    ,29931820,2029569,832,14.74,16.2,12.8,14.41,14.2,N/A,0,2.99,0.67,
3508,位速    ,3744664467,43718214,29448,85.65,94,79,85.36,83.8,8.36,0.87,47.09,2.12,
3541,西柏科技,24072151,748963,503,32.14,33.3,31.2,32.12,31.9,9.01,9.87,2.06,1.87,
3551,世禾科技,156576162,3896493,2082,40.18,42,38.6,39.92,40.25,8.85,4.96,6.88,1,
3552,同致電子,618669686,8609476,5300,71.85,79.5,64,69.75,66.2,17.38,5.37,12,2.31,
3563,牧德科技,647355890,11714216,8144,55.26,58.3,50.6,54.7,54.6,9.38,4.3,38.2,2.71,
3580,友威科  ,10375680,1051362,494,9.86,10.5,9.25,9.84,9.7,N/A,3.09,2.35,0.5,
3587,閎康科技,59334903,1963704,869,30.21,31.35,29,30.22,29.7,9.87,6.53,4.55,1.43,
3628,盈正    ,136885915,2006276,1681,68.22,72.7,63.5,67.39,66.5,12.09,18.04,4.46,1.74,
3642,駿熠電  ,363776133,11423943,6802,31.84,35.65,28,30.57,29.4,6.85,5.1,33.84,0.94,
5205,漢康科技,54827188,4598085,2409,11.92,12.85,10.8,11.77,12.7,N/A,2.12,18.58,1.36,
5383,金利    ,28949169,2631628,912,11,12.15,9.95,11.1,10.55,N/A,9.47,3.69,0.82,
5452,佶優科技,395487818,23882292,5976,16.55,17.35,14.8,16.51,17.3,20.6,5.78,17.36,1.23,
5489,彩富電子,83565917,2558604,1190,32.66,34.3,31,32.57,32.5,14.91,7.16,2.46,2.21,
5493,三聯科技,24341929,985668,555,24.69,25.5,23.55,24.63,24,10.71,12.5,2.57,1.15,
5536,聖暉    ,593730997,4831695,4064,122.88,128,118,122.06,126,12.4,7.93,10.47,2.25,
6144,得利影視,1844508,183196,164,10.06,11.15,9.21,10.14,10.7,N/A,0,0.38,1.69,
6146,耕興    ,158294960,2273938,1776,69.61,71.2,68.3,69.7,70.7,12.63,7.05,2.85,2.84,
6151,晉倫科技,58069706,2423438,1354,23.96,26.7,20.2,24.05,21.7,15.5,9.21,5.07,1.25,
6179,世仰科技,11491712,1329284,238,8.64,9.15,8.21,8.44,9.1,N/A,0,2.38,1.18,
6187,萬潤    ,45123519,2692967,1402,16.75,17.9,15.35,16.54,15.65,N/A,0,4.19,0.87,
6238,勝麗國際,71389,24191,22,2.95,3.28,2.67,2.89,2.95,N/A,0,0.12,1.16,
6247,淇譽電子,20902472,1725006,887,12.11,12.3,11.3,12.14,12.2,N/A,3.68,2.86,0.86,
6275,元山科技,22117260,1316150,546,16.8,17.4,16.2,16.8,17,80.95,2.94,2.76,1.4,
6276,名鐘科技,235613371,11300432,3797,20.84,23.3,16.1,19.37,23.3,N/A,0,13.46,4.46,
8047,星雲電腦,2457283,267506,141,9.18,9.79,8.9,9.39,9.35,77.92,0,0.53,0.87,
8085,福華電子,22106083,4859872,1364,4.54,5.1,4.18,4.51,4.39,N/A,0,3.09,0.38,
8092,建暐精密,9954693,975417,267,10.2,10.75,9.6,10.22,10,62.5,0,3.23,0.84,
8183,台灣精星,18529546,3128820,1306,5.92,6.35,5.58,5.93,5.62,N/A,0,2.7,0.43,
8383,千附實業,68249155,3760271,1776,18.15,19.4,17,18.54,17.2,40.95,6.97,3.18,0.85,
1107,建台水泥,3015572,2283308,319,1.32,1.53,0.74,1.25,0.74,N/A,0,0.73,-0.13,
2341,英群    ,838200,636860,318,1.31,1.5,1.12,1.29,1.24,N/A,0,0.31,-7.75,
2381,華宇光能,16410624,2648678,674,6.19,7.2,5.1,5.98,5.57,3.87,0,1.36,0.42,
4801,高盛電子,0,0,0,-,-,-,-,32,20.13,0,0,3.02,
5318,佳鼎科技,636054,70312,83,9.04,10,7.9,9.33,9.75,0.99,0,0.38,-4.3,
,,,,,,,,,,,,,,
