櫃檯買賣股票成交資料彙總表（一）,,,,,,,,,,,,,
The Trading Summary of Listed Stocks（1）,,,,,,,,,,,,,
02月Feb. 08,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 214,612,664,226元",,,,,,4. 加權平均本益比：14.44,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,
"2. 櫃檯買賣股票月總成交量： 5,670,823,819股",,,,,,5. 加權平均殖利率： 6.25%,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Weighted Average Yield,,,,,,,
"3. 櫃檯買賣月總成交筆數： 1,973,597筆",,,,,,6. 成交量週轉率： 8.46%（以上櫃股數計算）,,,,,,,
     Number of Transactions,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5820,日盛金控,247906681,31154140,6241,7.95,8.24,7.5,7.91,8,NA,0,1.44,0.78
6008,中信證券,5573536010,312824992,46935,17.81,18.95,16.2,17.47,18.75,8.19,3.73,12.33,1.32
6015,宏遠證券,888951279,64232289,14589,13.83,15.25,12.2,13.48,14.8,10.65,0,14.94,1.33
6016,康和證券,1142429399,81928102,17156,13.94,15.2,12.3,13.55,15,9.93,2.66,13.34,1.14
6020,大展證券,131824264,6563516,2264,20.08,22,17.8,19.72,21.5,10.05,3.02,2.82,1.33
6021,大慶證券,318537048,16358206,4784,19.47,21.85,16,18.51,21.8,11.07,1.83,6.56,1.47
6022,大眾證  ,1206718742,66126060,13213,18.24,19.7,17.35,18.07,19.05,6.09,3.83,29.47,1.28
6023,寶來期  ,80429236,1803403,791,44.59,45.8,43.5,44.39,45.8,10.22,5.82,1.64,2.47
2916,滿心企業,4946942,243104,153,20.34,21,19.4,20.13,20.8,11.01,10.57,0.58,1.34
2921,特力和樂,6989173,305578,126,22.87,24,21,23.03,23.2,11.66,10.12,0.76,1.57
5902,德記洋行,19394781,2874158,731,6.74,7.63,6.35,6.79,7.57,NA,6.6,1.66,0.85
5903,全家    ,15980509,305836,179,52.25,57.2,50.2,52.22,55,20.68,4.36,0.14,3.61
5904,寶雅國際,15270948,781955,432,19.52,20.75,18.3,19.41,20.3,10.25,7.58,1.21,1.27
5905,南仁湖  ,936450014,43183700,14150,21.68,23.8,19.8,21.02,23.3,105.91,3.34,25.42,1.76
8941,關中    ,20352563,1020471,627,19.94,21.5,19,19.77,21.5,15.36,2.27,1.07,1.18
9960,邁達康  ,24803238,1086856,477,22.82,24.7,19.9,21.59,24.7,10.33,6.76,5.51,1.75
1584,精剛精密,60160913,1535532,906,39.17,42.5,37.3,38.9,42.5,12.32,3.52,3.84,2.15
2221,大甲    ,18472522,752003,406,24.56,25.9,22.7,24.16,25.55,8.72,5.87,1.77,1.4
3284,太普高  ,3132791,363150,159,8.62,9.2,7.8,8.48,8.9,NA,11.23,0.88,0.83
3388,崇越電通,839879241,5846140,4334,143.66,154,113.5,136.46,153,16.07,4.57,12.6,3.92
5312,寶島科  ,33622766,1230131,713,27.33,29,25,27.26,28.5,12.67,9.47,2.15,2.03
8705,東隆五金,26889360,564948,497,47.59,49.3,45.1,47.53,49.2,9.57,10.16,0.71,2.58
8905,裕國    ,2338950,144120,92,16.22,16.5,15.7,16.25,16.4,13.33,4.14,0.12,1.22
8906,花王企業,1521325,237889,128,6.39,6.89,6.12,6.41,6.55,NA,1.52,0.46,0.63
8913,華夏資融,1569571,183892,112,8.53,9.52,8.15,8.43,9.52,6.95,0,0.52,1.03
8916,光隆    ,4911518,432055,217,11.36,11.9,10.7,11.32,11.7,10.26,3.41,0.52,0.61
8921,沈氏印刷,1924,175,2,0,0,0,0,11.6,0,6.12,0,0.71
8923,時報出版,742845,59865,53,12.4,13,12.2,12.36,12.4,16.32,8.06,0.2,0.92
8924,大田精密,107772929,1585202,1067,67.98,69.8,66.6,67.92,68.8,10.24,8.86,1.31,3.23
8925,偉盟工業,221933214,10336805,3208,21.47,23,19.6,21.54,22.35,31.04,5.77,5.73,1.75
8928,鉅明    ,13120118,898727,424,14.59,15.4,13.75,14.69,15.1,22.21,3.97,1.38,1.25
8929,富堡工業,639396,62440,42,10.24,11,9.5,10.13,10,NA,0,0.33,1.42
8932,宏大    ,38692493,3276465,803,11.8,13.95,9.7,11.32,13.2,NA,5.53,8.67,1.55
8933,愛地雅  ,274110593,17290915,6253,15.85,18,12.85,14.66,17.6,29.33,1.7,15.42,1.2
8934,世一旦  ,0,0,0,0,0,0,0,11.05,NA,0,0,18.42
8935,邦泰    ,28376338,4063642,1182,6.98,7.3,6.5,6.98,7.23,NA,16.59,2.84,0.59
8936,國統國際,132899583,3875273,2232,34.29,36.8,32.5,34.12,33.8,13.31,1.95,5.8,2.64
8937,合騏    ,7808113,612132,206,12.75,13.3,12.3,12.72,13,81.25,1.92,0.77,1.04
8938,明安國際,341806138,6023535,3394,56.74,59.1,54.1,56.56,59,10.61,8.01,5.21,2.36
8942,森鉅科技,60787368,1643094,1014,36.99,38.3,35.15,37.08,37.9,11.55,5.51,2.15,2.01
9946,金革科技,9026496,672165,310,13.42,14.7,10.5,12.67,14.4,480,3.47,2.63,1.28
9949,琉園    ,35264338,795106,575,44.35,47,42.4,44.19,45.5,24.73,3.51,1.9,2.53
1742,台蠟    ,23500238,548711,394,42.82,45.3,40,42.44,44.8,10.49,8.14,1.8,2.59
1787,福盈科技,21950751,1748178,626,12.55,13.2,12,12.46,13.1,12.13,9.54,3.05,0.91
3303,岱稜    ,154421425,3496785,2186,44.16,47.8,38.2,43.31,46,13.77,4.95,5.87,2.07
4702,中美聯合,11857585,1986587,598,5.96,6.5,4.9,5.84,6.1,NA,0,3.26,0.86
4703,金美克能,13881295,1245990,469,11.14,11.85,9.82,10.98,11.35,NA,0,1.82,1.77
4706,大恭化學,3556868,343880,131,10.34,10.85,9.88,10.43,10.8,51.43,5.55,0.44,0.75
4707,磐亞    ,55831870,3924019,1125,14.22,15.1,13.05,14.37,14.85,15.8,0,2.07,0.68
