櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,
"101年2月 Feb., 12",,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 459,457,575,866元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,903,874筆",,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,868,461,438股",,,,,,4. 成交量週轉率： 17.38%（以上櫃股數計算）,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,
5516,雙喜    ,17357298,934447,555,18.57,20.2,17.6,18.51,18.9,8.11,2.65,2.44,1.35,,
5519,隆大營建,278489209,9192526,3935,30.29,31.7,27.6,29.96,30.7,4.71,12.21,10.35,1.88,,
5520,力泰建設,5218780,236423,126,22.07,23.75,20.1,21.72,21.6,15.54,6.25,0.33,0.85,,
5521,工信    ,281295407,33440137,8050,8.41,8.84,7.77,8.41,8.64,37.57,3.47,9.62,0.73,,
5523,宏都建設,36213091,3567910,1303,10.14,11.25,8.8,10.18,10,N/A,0,2.02,1.01,,
5529,志嘉建設,12985438,960845,426,13.51,15.3,11.5,13.44,14.15,N/A,7.07,1.8,1.33,,
5530,龍巖    ,4440074762,44377474,27641,100.05,107.5,92.9,98.54,96,26.45,1.56,11.12,5.56,,
6177,達麗建設,64852592,3035249,1503,21.36,23.5,18.85,20.66,23.15,5.25,13.35,2.56,1.61,,
6212,理銘科技,1775116,156065,99,11.37,11.75,11.05,11.42,11.35,51.59,0,0.15,1.24,,
9946,金革科技,41544105,2623336,1124,15.83,16.95,14,15.64,15.7,7.85,0,1.64,1.16,,
2636,台驊國際,91017088,3577016,1912,25.44,26.45,24.2,25.4,25.55,11.06,10.61,5.6,1.34,,
5601,台聯貨櫃,3521955,204434,106,17.22,17.9,16.7,17.18,17.25,66.35,1.33,0.28,0.87,,
5603,陸海交通,22912529,2105656,375,10.88,11.55,9.81,10.85,10.6,N/A,0,3.35,0.83,,
5604,中連貨運,18234694,726480,377,25.1,25.5,24.9,25.15,25.05,16.16,7.82,0.67,1.09,,
