櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年1月 Jan. 2010,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 634,665,897,804元",,,,,,"3. 櫃檯買賣月總成交筆數： 6,047,741筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 17,662,926,769股",,,,,,4. 成交量週轉率： 24.41%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
5508,永信建設,1412700708,30704495,13757,46,51,38.05,42.78,39.75,17.67,19.52,16.74,2.34,,,,
5511,德昌營造,81407534,5009595,1442,16.25,16.75,15.8,16.2,16.05,11.22,6.23,6.09,1.01,,,,
5512,力麒建設,5626135217,298906741,61033,18.82,20.7,15.9,18.25,16.15,16.65,3.09,62.81,0.91,,,,
5514,三豐建設,38867605,2311316,769,16.81,17.25,15.55,16.87,16.95,29.74,6.48,2.34,1.33,,,,
5516,雙喜    ,70139976,5321569,2033,13.18,15.15,11.9,12.83,12.85,23.8,5.83,13.9,1.13,,,,
5519,隆大營建,45792191,1989757,1055,23.01,25.65,20.75,22.59,21.75,27.19,6.62,3.02,1.72,,,,
5520,力泰建設,101241680,3705774,1624,27.31,29,25.7,26.94,26.1,8.97,4.21,5.22,1.05,,,,
5521,工信    ,2234377334,177561512,33643,12.58,13.7,11,12.27,12,NA,6.66,51.09,1.07,,,,
5523,宏都建設,231635443,17929439,5720,12.91,14.2,11.5,12.62,11.85,NA,12.91,16.4,1.04,,,,
5529,志嘉建設,171619402,15031147,4655,11.41,12.75,9.3,10.96,9.97,NA,5.01,32.51,0.68,,,,
5530,大漢建設,743461917,27308492,8983,27.22,31.2,20.7,27.25,28.5,NA,0,8.89,4.34,,,,
