櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
99年04月 Apr. 10,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 630,339,981,199元",,,,,,"3. 櫃檯買賣月總成交筆數： 6,313,963筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Weighted Average P/E Ratio,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 19,097,191,994股",,,,,,4. 成交量週轉率： 26.09%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
2114,鑫永銓  ,93495220,2653320,1138,35.23,36.9,32.9,34.96,35,11.85,4.21,5.29,1.58,,,,
5102,富強輪胎,136285561,10383182,3049,13.12,14.15,11.85,12.91,13.2,30,3.78,17.86,1.09,,,,
2596,綠意開發,184872151,7104890,3312,26.02,27.95,24,25.81,25.5,9.07,9.7,10.43,1.61,,,,
4416,三圓建設,10837942,127861,123,84.76,89.5,81.6,84.7,87.6,22.93,2.05,0.21,3.34,,,,
5213,亞昕    ,1116066496,29821264,12280,37.42,40.4,34,36.47,37,6.25,2.9,25.31,1.89,,,,
5505,和旺建設,1362038603,27067857,6950,50.31,56.2,39.7,48.56,55.9,NA,0,50,5.39,,,,
5506,長鴻營造,56773258,10621370,1933,5.34,5.8,4.9,5.34,5,NA,0,3.99,0.95,,,,
5508,永信建設,500957184,11880231,6442,42.16,45,38.5,40.9,39,14.31,19.23,6.48,2.16,,,,
5511,德昌營造,83042740,4855863,1499,17.1,17.75,16.3,16.68,16.9,8.5,5.88,5.9,0.99,,,,
5512,力麒建設,1937525123,118373161,25806,16.36,17.65,15.15,16.06,15.35,8.74,3.26,24.13,0.86,,,,
5514,三豐建設,28464015,1604961,683,17.73,19.1,16.3,17.31,19.1,27.74,6.39,1.63,1.43,,,,
5516,雙喜    ,34259723,2328003,1117,14.71,16.9,12.5,13.84,15.6,15.78,5.72,6.08,1.31,,,,
5519,隆大營建,19704400,868364,349,22.69,24,21.05,22.57,21.5,16.42,6.54,1.32,1.67,,,,
5520,力泰建設,22838085,877933,431,26.01,26.7,25.4,25.96,25.4,8.49,4.26,1.24,0.97,,,,
5521,工信    ,4239906479,303918412,54183,13.95,15.6,12.15,13.5,12.6,28.3,6.01,87.45,1.1,,,,
5523,宏都建設,163085428,14682897,4107,11.1,11.95,9.75,10.78,10,NA,13.72,13.43,0.92,,,,
5529,志嘉建設,87405522,7929507,2545,11.02,11.9,10.15,10.84,10.9,NA,4.67,17.15,0.74,,,,
5530,大漢建設,1345586288,27198928,9630,49.47,53.9,43.8,49.28,51.1,50.1,0,7.12,4.92,,,,
6177,達麗建設,571338496,18637276,7103,30.65,32.75,27,28.75,27.3,23.88,3.1,29.62,2.08,,,,
2636,台驊國際,779435266,28354396,11279,27.48,30.85,23.65,26.56,27.8,24.11,5.66,56.22,1.76,,,,
5601,台聯貨櫃,143757183,7791933,2943,18.44,20.1,15.35,17.18,18.7,70.8,1.24,10.82,0.94,,,,
5603,陸海交通,147954691,10247814,2958,14.43,15.5,13.25,14.08,14.65,143,3.49,16.28,1.12,,,,
5604,中連貨運,244924376,9831739,3681,24.91,26.1,23.3,24.64,24.2,17.11,6.07,9.04,1.18,,,,
5609,中菲行  ,2199891546,63191586,25313,34.81,37.2,31.2,34.82,31.9,17.45,3.43,51.38,2.23,,,,
5701,劍湖山  ,1127662760,91768934,22333,12.28,12.65,11.8,12.15,11.8,NA,0,22.08,1.34,,,,
5703,亞都麗緻,7121030,284596,241,25.02,26.3,23.7,24.85,25.15,51.91,0,0.41,2.22,,,,
5704,老爺知  ,5909744,309310,188,19.1,19.5,18.6,19.1,18.8,63.5,1.57,0.52,1.61,,,,
5706,鳳凰國際,747766073,11456168,7246,65.27,68.8,61,64.25,62.5,26.85,2.58,28.77,2.65,,,,
5820,日盛金控,939299372,220327783,23626,4.26,4.64,4.01,4.16,4.12,NA,0,4.87,0.81,,,,
6008,凱基證券,4233479207,284592830,50723,14.87,15.55,14.05,14.82,14.5,18.25,1.02,8.87,1.01,,,,
6015,宏遠證券,320906014,34796563,8335,9.22,9.63,8.73,9.14,8.93,15.2,0,7.62,0.97,,,,
6016,康和證券,601471187,57809694,11000,10.4,10.85,9.91,10.32,10.1,27.3,6.63,8.82,0.86,,,,
6020,大展證券,19755475,1217010,574,16.23,16.75,15.75,16.2,16,22.75,7.49,0.52,1.12,,,,
6021,大慶證券,482325662,25612234,8044,18.83,19.8,17.5,18.59,18.1,7.46,3.43,9.64,1.24,,,,
6022,大眾證  ,806241523,45728130,11437,17.63,18.7,16.9,17.59,17.2,10.33,6.92,14.23,1.22,,,,
6023,寶來期  ,177949113,4480335,1994,39.71,41.3,38.8,39.61,39.85,21.85,7.58,3.41,1.82,,,,
6024,群益期  ,145045805,4197532,1947,34.55,35.45,33.5,34.5,34.2,16.49,6.18,5.58,1.76,,,,
2916,滿心企業,100143738,5148678,2117,19.45,21.8,18,19.01,20.3,12.82,1.59,12.2,1.2,,,,
5902,德記洋行,146890261,11910619,3560,12.33,13.2,11.15,11.77,11.65,NA,0,12.6,1.46,,,,
5903,全家    ,98441513,1431438,494,68.77,75.6,63.3,67.97,67.5,18.65,3.7,0.64,3.74,,,,
5904,寶雅國際,326566192,10378271,4226,31.46,33.2,29,29.8,31.2,9.69,9.19,14.21,1.68,,,,
5905,南仁湖  ,2161724281,87888374,30414,24.59,26.1,22,24.42,23.55,NA,0,50.2,2.1,,,,
8941,關中    ,259458013,17246921,4942,15.04,16.6,12.95,14,15.4,NA,5.43,18.76,2.54,,,,
9960,邁達康  ,94380051,2965657,1774,31.82,33.75,29.5,31.7,31.3,12.27,3.79,11.84,2.03,,,,
1584,精剛精密,142596502,7901485,3133,18.04,19.35,16.4,17.77,18.65,NA,0,13.57,1.16,,,,
2221,大甲    ,101974005,6099550,2465,16.71,18.35,14.35,15.91,16.2,NA,9.25,14.38,1.38,,,,
3284,太普高  ,1309755585,51855701,17745,25.25,27.25,22.9,24.8,23.8,15.67,0,100.9,1.84,,,,
3388,崇越電通,950902207,11844146,7205,80.28,87,72,78.03,81.5,12.17,3.52,21.27,1.95,,,,
5312,寶島科  ,1661192623,22120195,11625,75.09,81.5,67.2,72.81,74.7,28.49,2.52,36.83,4.28,,,,
8390,金益鼎  ,236447945,4883966,2995,48.41,50.6,45.6,47.94,45.9,20.99,3.22,8.66,2.39,,,,
8401,白紗科技,1115695803,26121088,11436,42.71,58.1,31.35,39.44,51.6,15.41,2.53,78.02,2.98,,,,
8705,東隆五金,125008117,3519603,2077,35.51,39,31.9,33.78,33.45,13.34,2.39,4.23,2.19,,,,
8905,裕國    ,89845318,5341689,2188,16.81,18.3,14.85,16.02,16.65,17.09,1.19,4.47,1.24,,,,
8906,花王企業,118252519,14891523,4178,7.94,8.81,6.95,7.64,7.9,NA,0,29.02,0.89,,,,
8913,華夏資融,1011401619,41146885,14610,24.58,28.2,17.8,23.05,24.6,3.13,0,91.1,1.39,,,,
8916,光隆    ,70408464,4399455,1929,16,17,15.3,15.84,15.5,8.96,3.12,5.07,0.78,,,,
8921,沈氏印刷,6838889,532925,263,12.83,13.6,12.4,12.83,12.8,17.7,1.52,1.14,0.75,,,,
8923,時報出版,17975210,1061003,357,16.94,18.25,15.1,15.86,18.25,10.72,5.46,3.49,1.22,,,,
8924,大田精密,264258008,6132125,3428,43.09,45,40.8,42.78,42.9,20.23,8.12,5.06,2.18,,,,
8925,偉盟工業,3610222336,143187648,42487,25.21,26.45,22.7,24.71,25.15,75.76,6,57.63,1.83,,,,
8928,鉅明    ,59131052,4190963,1559,14.1,15.2,13.1,13.95,13.5,NA,5.67,6.59,1.17,,,,
8929,富堡工業,351342209,6868266,3903,51.15,53.8,48,50.5,49.4,10.79,0,27.25,2.74,,,,
8932,宏大    ,222513391,16948788,4913,13.12,15.15,10.45,12.05,14,21.95,0,44.84,1.62,,,,
8933,愛地雅  ,1007403054,45088125,16684,22.34,23.75,19.8,21.27,21.6,21.06,2.19,39.43,1.47,,,,
8934,世?,40,15,1,0,0,0,0,2.85,NA,0,0,5.38,,,,
8935,邦泰    ,387220949,29761174,8170,13.01,13.65,12.4,12.9,12.55,NA,0,19.59,1.47,,,,
8936,國統國際,2571257384,66190503,26388,38.84,40.7,36,38.23,36,20.83,2.48,73.16,2.66,,,,
8937,合騏    ,102128473,6803104,2736,15.01,16.25,13.1,14.4,14.9,NA,0.65,9.3,1.25,,,,
8938,明安國際,2816105365,40892102,19665,68.86,73,65.5,68.34,65.5,15.97,4.68,31.19,2.26,,,,
8942,森鉅科技,205908696,7492472,2719,27.48,29.9,25.5,27.55,26.5,40.45,3.89,7,1.6,,,,
9946,金革科技,16693777,1075363,468,15.52,16.2,14.25,15.66,14.4,87.5,0,1.54,1.66,,,,
9949,琉園    ,254258260,6363503,1762,39.95,42.2,37.1,39.95,37.9,36.11,1.17,14.08,2.34,,,,
1742,台蠟    ,573872504,10800594,6232,53.13,56,48.3,53.14,52,13.73,8.48,26.71,2.93,,,,
1787,福盈科技,2303019405,103063935,32438,22.34,24.75,18.6,22.12,21.25,26.56,4.4,170.72,1.4,,,,
4702,中美聯合,140801537,12563856,4254,11.2,12.65,9.25,10.71,11.95,NA,0,34.51,1.2,,,,
4703,金美克能,59701051,6768768,2098,8.82,9.5,7.9,8.64,8.22,53.75,0,9.89,1.28,,,,
4706,大恭化學,330288776,19119133,6857,17.27,19.2,14.15,16.83,17.55,12.38,2.78,24.19,1.09,,,,
4707,磐亞    ,215804502,14520038,5226,14.86,15.6,13.55,14.69,14,34.19,9.86,6.38,0.85,,,,
4711,永純    ,341628211,12795070,5747,26.69,29.4,23.2,25.98,25.3,12.1,3.69,20.96,1.38,,,,
4712,南璋    ,380611042,21118086,6362,18.02,19.9,16.3,17.81,17.65,NA,1.69,35.15,1.55,,,,
4714,永捷    ,621547356,32535540,10587,19.1,21.05,15.55,18.22,18.4,10.55,2.61,76.65,1.01,,,,
4716,大立    ,2987549631,78031105,31499,38.28,44.75,31.1,37.72,40.05,49.4,0.58,145.33,3.14,,,,
4720,德淵企業,859481567,42615261,14483,20.16,23,17.7,19.72,18.25,26.64,2.46,62.67,1.38,,,,
4721,美琪瑪  ,553106120,15859949,8696,34.87,37.7,32,34.35,33.2,20.42,4.42,22.81,2.34,,,,
4722,國精化學,739092879,34202330,10669,21.6,23.2,20.3,21.25,20.6,29.46,1.37,56.3,1.34,,,,
4733,上緯企業,994425858,13882326,7763,71.63,75.3,67.6,70.78,70.3,25.11,6.06,21.24,3.21,,,,
6509,聚和國際,4366500752,139949270,58292,31.2,33,29.1,30.62,29.4,22.16,2.24,93.49,1.75,,,,
1565,精華光學,637946218,2707956,2234,235.58,255,227.5,234.33,250,17.73,3.36,5.37,5.44,,,,
1752,南光    ,1143343379,36014746,16807,31.74,36.45,26.2,30.03,29.5,NA,3.14,57.17,2.31,,,,
1777,生泰合成,107832688,2632226,1638,40.96,43.5,37.4,40.45,41.6,18.33,4.36,11.07,2.26,,,,
1781,合世生醫,126909752,5734886,2945,22.12,24.25,20.4,21.65,22.5,NA,0,16.36,2.95,,,,
1784,訊聯    ,516474327,7774700,5358,66.43,69.9,62.5,65.43,64.1,52.73,1.88,17.97,2.93,,,,
1788,杏昌生技,260487934,3959133,2822,65.79,69.1,63,65.17,66.4,14.85,4.62,13.54,2.27,,,,
1795,美時化學,855791020,19264909,10222,44.42,48.8,34.05,43.39,40.75,130,1.53,47.27,3.07,,,,
1799,紅電醫  ,155335282,5503640,2645,28.22,29.5,26.8,28.1,26.8,33.06,6.4,19.59,1.73,,,,
1813,寶利徠  ,544144403,10511386,6229,51.76,55,48,50.62,50.5,28.37,0,25.57,3.46,,,,
3118,進階    ,151171208,4243496,2436,35.62,37.2,33,35.28,35,21.44,5.02,13.73,2.31,,,,
3205,佰研生化,93468768,2656697,1818,35.18,39.35,30.6,33.97,31.95,NA,0,18.06,3.92,,,,
3218,大學光學,119086642,3655185,2086,32.58,34.5,30.8,32.2,31.2,NA,3.2,8.07,2.13,,,,
3266,弘如洋  ,237060431,10497917,4971,22.58,25.4,19.3,21.13,20.2,NA,0,45.34,1.71,,,,
4102,永日化工,805785470,19244418,9920,41.87,45.3,37,40.41,39.7,17.68,1.24,58.23,2.62,,,,
4103,百略    ,459124621,9530447,5315,48.17,50.3,45.5,47.71,47.5,9.58,5.75,7.8,2.08,,,,
4105,東洋藥品,4580515869,46144732,24956,99.26,106,89.1,97.7,100.5,36.44,3.18,35.97,6.02,,,,
4107,邦特生技,1211761096,26083590,14025,46.45,49.5,43.3,45.58,43.3,21.04,3.3,33.32,2.62,,,,
4109,加捷    ,1044000085,41885289,15242,24.92,28.2,19.05,23.84,25.7,57.02,2.92,93.45,1.9,,,,
4111,濟生    ,582086755,26117982,9856,22.28,24.4,18.55,21.51,21.9,33.53,2.19,54.42,1.31,,,,
4113,聯上實業,401105543,13696696,6196,29.28,35.5,21.1,26.63,29.6,11.06,0,30.3,2.63,,,,
