櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年08月 Aug. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 344,867,404,777元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,701,055筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 9,265,894,136股",,,,,,4. 成交量週轉率： 13.94%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
2596,綠意開發,17550897,1097493,578,15.99,17.65,13.7,15.85,14.1,N/A,8.51,1.61,1.06
4113,聯上實業,36202940,2264745,1074,15.98,17.7,14,15.93,16.2,19.06,0,4.1,1.2
4416,三圓建設,95846906,1433016,43,66.88,78,65,71.89,66.8,14.21,5.38,2.39,2.67
5213,亞昕    ,569105505,14725669,5859,38.64,42.8,33.95,38.7,38.3,5.03,0,8.12,1.63
5324,士林開發,7790261,202168,169,38.53,40.9,37,39.07,38,9.43,0,0.41,2.75
5505,和旺建設,846402722,18905063,6822,44.77,48.95,37.6,44.2,40.8,7.85,0,17.31,2.31
5506,長鴻營造,59929320,7847575,5275,7.63,8.21,6.65,7.65,7.53,13.21,0,3.87,0.87
5508,永信建設,83925493,2691443,1390,31.18,34.5,28,31.68,31,10.37,8.16,1.47,1.87
5511,德昌營造,94310729,4933123,1481,19.11,22.5,16.85,19.53,21.5,5.09,9.3,5.17,1.07
5512,力麒建設,1497162524,96874079,23746,15.45,18,12.8,15.43,13.25,5.2,10.64,16.36,0.73
5514,三豐建設,31841587,1175928,536,27.07,29.1,23,27.13,27,11.44,3.33,1.01,1.84
5516,雙喜    ,18563846,1305658,618,14.21,15.9,12,13.82,15.9,7.87,3.14,3.41,1.21
5519,隆大營建,851620245,18212614,9611,46.75,56.7,35.55,45.25,36.75,4.62,10.2,20.51,1.89
5520,力泰建設,3866451,168131,102,22.99,24.3,22.1,23.13,23.35,16.8,5.78,0.24,0.93
5521,工信    ,537169824,52589661,11511,10.21,11.75,8.7,9.63,9.05,33.52,3.31,15.13,0.77
5523,宏都建設,86393154,7197913,1748,12,14,10.7,11.99,11.75,1175,0,4.91,1.18
5529,志嘉建設,33989743,2759533,711,12.31,13.7,10.5,12.13,10.95,N/A,9.13,5.18,0.9
5530,龍巖    ,8257263396,71061409,38132,116.19,135.5,94.5,116.13,101,37.69,1.48,17.81,6.42
6177,達麗建設,133545416,4266587,1227,31.3,35.4,23.5,28.47,26.35,4.83,11.72,3.64,1.47
6212,理銘科技,9217571,753872,144,12.22,12.7,12,12.33,12.35,102.92,0,0.74,1.38
9946,金革科技,145276816,8043924,2880,18.06,20.7,15.95,17.84,18.7,12.22,0,5.03,1.45
2636,台驊國際,145488394,4838640,1954,30.06,32.2,26.8,30.27,26.95,9.66,10.05,7.7,1.5
5601,台聯貨櫃,6052195,361988,142,16.71,17.6,16,16.73,16.8,73.04,1.36,0.5,0.85
5603,陸海交通,35921676,2696862,881,13.31,14.75,12,13.53,12.6,N/A,0,4.29,1
5604,中連貨運,48281593,2051959,858,23.52,24.5,22.1,23.83,24,14.55,8.16,1.89,1.06
5609,中菲行  ,172520272,8534495,4010,20.21,24.5,17.95,20.38,20.6,9.07,7.33,6.32,1.61
2718,桃園店  ,31906239,852847,426,37.41,38.4,35.1,37.53,37.3,33.91,2.54,3.78,2.08
5701,劍湖山  ,212131184,28771787,8302,7.37,8.68,6.52,7.35,7,N/A,0,6.92,0.92
5703,亞都麗緻,9734772,378160,255,25.74,28.25,23.3,26.44,25.7,35.69,0,0.54,2.15
5704,老爺知  ,3815243,190049,161,20.07,21.6,19,20.37,20,40.82,1.5,0.49,1.62
5706,鳳凰國際,1684064001,27307066,16583,61.67,68,53.8,60.57,60.8,17.47,9.75,44.43,3.4
5820,日盛金控,1178033831,109857512,21152,10.72,13.05,9.11,11.08,9.2,8.6,9.89,4.3,0.81
6008,凱基證券,5313925922,374228903,64441,14.19,16.75,12.3,13.92,13,10.74,5,11.45,0.84
6015,宏遠證券,109657471,17240279,4793,6.36,7.45,5.65,6.36,6.09,N/A,0,3.77,0.66
6016,康和證券,241038148,30203186,7622,7.98,9.28,7.18,7.99,7.67,23.24,1.95,4.43,0.65
6020,大展證券,7918948,515256,241,15.36,17.1,13.95,15.52,15.2,17.08,4.21,0.22,1.06
6021,大慶證券,116321826,8128479,2444,14.31,16.25,12.85,14.28,13.35,8.73,10.48,2.65,0.85
6022,大眾證  ,164812780,17510076,5073,9.41,11.25,8.53,9.46,9.33,13.93,3.64,4.48,0.76
6023,寶來期  ,65344974,1771201,795,36.89,38,35,37.21,37.55,12.82,4.2,1.35,1.6
6024,群益期  ,33156393,1368906,661,24.22,27.55,22.25,24.36,23.35,9.65,4.28,1.48,1.13
2916,滿心企業,547553073,19447362,9532,28.15,31.8,24.3,27.47,26,10.74,7.69,41.88,1.7
5902,德記洋行,44403882,3961931,1586,11.2,12.8,9.9,11.12,10.55,N/A,0,4.19,1.72
5903,全家    ,1901693610,12343258,8251,154.06,171,139.5,153.52,153,34.46,2.22,5.53,8.76
5904,寶雅國際,1046475368,24000646,14028,43.6,51.6,36.7,42.89,41.35,12.68,7.01,26.64,2.48
5905,南仁湖  ,300046460,29389615,9388,10.2,11.8,8.88,10.31,10.2,N/A,0,13.9,0.88
6195,詩肯    ,894714967,15646891,9922,57.18,66.9,48.8,55.96,54.9,13.62,3.64,41.21,3.78
8941,關中    ,14010471,1426812,524,9.81,10.3,9.22,9.82,9.88,N/A,0,1.09,1.72
9960,邁達康  ,142127766,6157175,2683,23.08,25.25,20.4,22.36,22.35,13.15,3.57,19.06,1.68
