櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
"101年6月 Jun., 12",,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 183,475,481,610元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,126,927筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 4,415,241,305股",,,,,,4. 成交量週轉率： 6.59%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
5820,日盛金控,145415787,17477032,4816,8.32,8.72,7.75,8.32,8.5,9.44,10.7,0.68,0.75
6008,凱基證券,849079235,65934340,8169,12.87,13.35,12.6,13.06,13.05,23.73,4.98,2.02,0.87
6015,宏遠證券,41388782,8442802,2395,4.9,5.15,4.52,4.91,5,N/A,0,1.85,0.58
6016,康和證券,52550889,8593196,2476,6.11,6.42,5.73,6.12,6.15,N/A,2.43,1.24,0.55
6020,大展證券,1168267,90078,89,12.96,13.4,12.6,12.99,13.2,N/A,4.84,0.04,0.93
6021,大慶證券,18739459,1932380,773,9.69,10.2,9.12,9.65,9.65,N/A,14.5,0.63,0.7
6022,大眾證  ,35633933,4786100,1580,7.44,7.9,7.01,7.49,7.72,N/A,4.4,1.27,0.63
6023,元大期貨,25413293,782175,609,32.49,33.4,31.9,32.6,32.9,10.25,7.29,0.34,1.4
6024,群益期  ,49562005,1882580,808,26.32,26.7,25,26.33,26.55,11.2,3.76,2.04,1.27
2916,滿心企業,131648374,6979801,2575,18.86,19.6,18,18.89,19.6,12.56,10.2,12.78,1.1
2924,F-東凌  ,218366539,3421524,1410,63.82,67.9,61,64.6,64.8,20.38,3.08,11.32,2.95
5902,德記洋行,7331532,627004,279,11.69,12.3,11.1,11.65,11.85,N/A,0,0.66,1.96
5903,全家    ,317374106,2247415,1818,141.21,145.5,139,141.23,139,33.9,2.44,1.01,6.96
5904,寶雅國際,254030244,4858609,3433,52.28,55.3,50.1,51.99,54.6,13.06,5.31,5.39,2.72
5905,南仁湖  ,495283774,39255205,9815,12.61,13.7,11.25,12.33,12.15,75.94,0,18.57,1.01
6195,詩肯    ,69276012,1296819,1029,53.41,55.7,49.65,53.51,54.4,9.02,3.67,3.42,2.82
8941,關中    ,6036360,801662,248,7.52,8.49,6.4,7.71,7.5,N/A,0,0.61,2.01
9960,邁達康  ,6363140,331531,130,19.19,20.3,18.5,19.23,19.4,11.35,4.12,1.03,1.36
1584,精剛精密,302568659,16117958,4750,18.77,20.5,17.85,18.81,18.6,29.06,1.07,20.27,0.99
2221,大甲    ,12213375,691218,490,17.66,19.3,17,17.73,18,10.65,0,1.63,1.28
3284,太普高  ,50320599,4225422,1332,11.9,12.4,11.1,11.8,12.4,82.67,8.87,8.4,0.97
4430,耀億    ,21548054,592906,386,36.34,39,34.45,36.8,37.8,23.19,5.29,1.35,1.28
5304,鼎創達  ,4581571,909146,503,5.03,5.5,4.66,5.09,5.01,7.95,0,0.49,0.94
5312,寶島科  ,467625165,6653778,4909,70.27,74.4,65.7,70.43,70.1,17.35,3.13,11.08,3.23
5530,龍巖    ,759186682,8906906,6100,85.23,88.5,78.9,84.91,85.5,16.73,1.75,2.23,4.4
6186,新潤興業,6817899,419032,163,16.27,17,15.45,16.35,16.45,86.58,0,0.73,1.44
6294,智基科技,3106485,76106,94,40.81,43.65,38,41.27,40.4,19.24,0,0.5,4.57
6803,崑鼎投控,150252933,1061356,675,141.56,146,138.5,141.88,144,15.17,4.29,1.77,3.06
8390,金益鼎  ,79874478,2251531,1460,35.47,36.9,33.8,35.41,36,12.72,4.5,3.21,1.54
8401,白紗科技,19958360,1062523,687,18.78,20,17,18.53,19.5,10.48,12.87,2.62,1.22
8418,F-必勝  ,52721224,1179243,692,44.7,47.45,41.9,44.8,45.65,9.9,0.43,2.13,1.29
8423,F-保綠  ,5763322,197004,187,29.25,31.7,26.9,29.5,27.45,25.42,0,1.18,1.75
8426,F-紅木  ,11453487,240369,193,47.64,49.5,45.5,47.7,47.8,11.6,7.32,0.6,2.62
8705,東隆五金,172719175,4098836,1749,42.13,42.35,41.8,42.16,42.35,24.77,4.25,5.04,2.77
8905,裕國    ,23917565,1446078,480,16.53,17.5,15.2,16.5,17.5,35.71,3.42,1.21,1.2
8906,花王企業,6969282,819377,350,8.5,8.99,7.5,8.38,8.5,212.5,0,1.6,0.99
8913,華夏資融,26955669,2415599,747,11.15,11.95,10.55,11.34,11.5,10.65,3.47,4.86,0.74
8916,光隆    ,10071320,574208,296,17.53,18.1,17,17.59,17.9,9.78,6.14,0.64,0.87
8921,沈氏印刷,1040612,68315,57,15.23,15.8,14,15.28,15.7,14.95,5.09,0.15,0.89
8923,時報出版,29796184,1638856,218,18.18,19.3,16.7,18.13,18.3,17.43,5.46,5.4,1.24
8924,大田精密,18422769,894016,605,20.6,21.45,19.7,20.55,19.95,57,3,0.74,1.12
8925,偉盟工業,740689948,52142043,7681,14.2,15.35,13.6,14.2,15.3,N/A,3.33,18.22,1.2
8928,鉅明    ,7221252,836593,257,8.63,9.19,8.29,8.71,8.8,23.78,0,1.32,0.9
8929,富堡工業,21284061,738514,482,28.82,31.8,27,28.55,31.7,9.66,5.67,2.7,1.5
8932,宏大    ,2869353,406048,191,7.06,7.6,6.62,7.15,7.13,N/A,0,0.83,0.83
8933,愛地雅  ,29596250,3029717,1499,9.76,10.1,9.35,9.74,9.8,14.41,8.06,2.33,0.7
8934,衡平    ,1691930,42077,36,40.17,43.3,35.55,40.76,42,5.07,0,0.81,2.83
8935,邦泰    ,12909705,3276212,1248,3.94,4.28,3.68,3.97,4.16,N/A,0,1.62,0.53
8936,國統國際,228730590,7617902,4302,30.02,31.2,28.2,29.8,30.35,22.82,3.95,5.59,1.11
8937,合騏    ,9404034,942554,280,9.97,10.2,9.7,10,9.99,N/A,0,1.3,0.93
8938,明安國際,89076382,2431976,1519,36.62,38.1,35.15,36.62,37,16.59,7.02,1.81,1.36
8942,森鉅科技,924047864,15462728,8268,59.75,63.2,58.2,59.28,59.7,14.74,0,11.29,2.67
9949,琉園    ,10772005,560987,418,19.2,20.2,18,19.28,20.2,35.44,5.94,1.19,1.2
1742,台蠟    ,20112996,1336867,780,15.04,16.05,14,15.15,15.65,N/A,19.16,2.07,1.23
1787,福盈科技,48516350,4021259,1710,12.06,13.1,11,11.81,12.5,69.44,5.52,5.76,0.84
4702,中美聯合,7250064,451285,379,16.06,16.8,15.3,16.03,16,N/A,0,0.59,2.15
4703,金美克能,29655835,2365850,1000,12.53,13.5,11.6,12.54,12.35,6.24,0,3.46,1.6
4706,大恭化學,6368041,456645,245,13.94,14.4,13.25,13.84,14.4,12.31,6.94,0.58,0.86
4707,磐亞    ,20539321,2710688,1182,7.57,8.05,7.36,7.59,7.57,26.1,0,1.2,0.44
4711,永純    ,2455205,145368,124,16.88,17.8,16.35,17.01,17.05,23.04,8.21,0.24,0.89
4714,永捷    ,87091391,5983839,1485,14.55,16.1,13.55,14.81,15.85,15.1,6.3,14.1,1.09
4716,大立    ,52902676,2948348,1777,17.94,19.15,16.6,18.02,18.75,15.37,5.33,4.89,1.41
4720,德淵企業,50159844,3424286,1733,14.64,15.6,13.3,14.24,14.7,17.5,1.36,4.91,1.1
4721,美琪瑪  ,32707231,1405363,911,23.27,24,22.3,23.21,23.55,14.91,10.06,1.87,1.62
4722,國精化學,66025484,2801039,1536,23.57,25.1,22.6,23.61,23.7,15.19,3.33,3.82,1.42
4739,康普    ,8304997,382113,252,21.73,23.1,20.9,21.96,22.3,16.4,4.48,0.79,1.12
6506,雙邦實業,6925010,566141,323,12.23,13.65,11.9,12.32,12.15,28.26,8.23,0.9,0.96
6509,聚和國際,67834539,5555148,2654,12.21,12.8,11.35,12.05,12.3,43.93,2.43,3.31,0.77
1565,精華光學,1576359458,4936010,4310,319.35,338,287.5,319.54,332,15.95,4.36,9.79,5.45
1593,祺驊    ,341530579,10922716,6044,31.26,34.4,28.1,31.56,32.35,20.87,5.56,44.4,1.23
1752,南光    ,232825557,7560227,4323,30.79,32.8,27.2,29.48,30.2,143.81,0,12,2.31
1777,生泰合成,30134558,682023,519,44.18,46.65,42.6,44.25,44.55,19.2,5.16,2.87,2.1
1781,合世生醫,103318155,4982938,2359,20.73,24.9,15.05,19.51,24.2,N/A,0,11.85,2.59
1784,訊聯    ,521049900,11598670,6841,44.92,48.4,34.8,39.06,46.1,55.54,0,23.1,2.11
1788,杏昌生技,175326778,2357915,1789,74.35,80,69,73.25,77.2,18.34,4.53,6.74,1.98
1795,美時化學,58574736,2520924,1677,23.23,25.6,20.15,22.57,23.5,N/A,1.27,5.65,1.88
1799,紅電醫  ,16626967,1719696,910,9.66,10.95,8.2,9.37,9.7,N/A,0,5.4,1.03
1813,寶利徠  ,112718968,2958003,1987,38.1,41.4,36,37.57,37,15.29,3.24,7.19,2.18
3118,進階    ,82419408,2675123,1776,30.8,32.8,28.1,30.1,29.55,16.89,6.76,8.24,1.9
3176,基亞    ,1565115600,24827064,16559,63.04,67.6,56.5,62.59,64,N/A,0,19.29,8.42
3205,佰研生化,1581774,98179,85,16.11,16.9,15.5,16.14,16.2,N/A,0,0.4,1.56
3218,大學光學,241511987,10730423,6119,22.5,24.6,18.7,21.17,22.9,78.97,0,16.12,1.34
4102,永日化工,186123945,4817556,3636,38.63,41,34.8,37.45,39.05,22.97,5.12,11.37,2.05
4103,百略    ,36278676,782143,673,46.38,48.95,44.05,46.55,48.3,12.88,6.21,0.64,2.07
4105,東洋藥品,2857300803,25868167,16407,110.45,119,98.6,108.64,115,34.95,2.26,14.99,7.02
4107,邦特生技,696591770,23123620,13055,30.12,32.75,26.9,29.79,30.9,17.46,5.82,29.54,1.9
4109,加捷    ,79456455,4505252,2708,17.63,18.8,15.5,16.65,17.85,41.51,3.3,8.87,1.35
4111,濟生    ,816107554,30288635,16269,26.94,29.3,22.05,25.43,28.5,34.34,1.75,60.37,1.71
4114,健喬信元,99460416,3452308,2602,28.8,30.45,27.1,28.44,28.95,32.9,2.1,4,2.08
4120,友華生技,202051733,4818553,3116,41.93,44.2,38.8,41.25,41.4,19.53,2.89,5.55,1.56
4121,優盛醫學,57288772,5159013,2684,11.1,12.2,9.13,10.28,11.55,37.26,6.92,7.04,0.77
4123,晟德    ,104058144,3134882,2000,33.19,35.95,30.5,32.96,34.65,192.5,3.6,3.2,1.95
4126,太平洋醫,240711926,2787794,1901,86.34,90.3,81.5,86.38,89.5,16.95,4.6,4.65,3.39
4127,天良    ,257796378,14204327,7175,18.14,19.9,14.55,16.4,19,35.19,0,31.04,1.19
4128,中天生技,793360365,21679460,13457,36.59,38.4,33.9,35.8,36.85,N/A,6.78,7.91,1.95
4129,聯合骨科,207536473,5976391,3935,34.72,38.4,29.25,32.49,37,31.36,1.83,12.89,2.55
4130,健亞    ,608428400,21573909,12184,28.2,31,24.65,27.21,29,56.86,0,22.26,2.89
4131,晶宇生技,18578564,1544247,977,12.03,13.3,10.5,11.39,12.25,N/A,0,3.2,2.16
4138,曜亞國際,279584494,2667656,2223,104.8,111,96.8,104.04,107.5,17.12,4.65,10.07,2.77
4139,F-馬光  ,17675743,227428,119,77.72,81,71.5,74.74,80.5,58.33,0,1.14,3.07
4154,F-康樂  ,44940650,1184077,908,37.95,41,32.65,37.41,40.1,13.92,4.81,5.43,2.51
4728,雙美    ,377404914,13017095,7691,28.99,32.7,25.3,28.6,29.4,29.11,2.04,23.9,2.43
4735,豪展    ,5108421,458303,266,11.14,12.45,9.8,10.91,11.85,N/A,4.21,1.6,0.99
4736,泰博    ,206130484,3822586,2517,53.92,56.6,51.1,53.37,51.4,15.96,7.78,6.05,1.63
4743,合一    ,161476433,7542451,4317,21.4,22.6,19,20.64,21.5,35.25,2.09,6.48,1.79
4911,德英    ,82226681,1445037,1130,56.9,58.8,54.7,57.21,56.9,517.27,0,2.63,3.75
6130,基因科技,3730528,48037,85,77.82,82.8,73,78.38,80,15.21,0,0.19,7.41
8403,盛弘    ,511308152,15732512,8431,32.5,35.5,23.6,28.93,33.6,28,5.35,36.2,1.74
8406,F-金可  ,4506151339,15154422,12495,297.34,334.5,254.5,302.92,312.5,29.04,0.73,16.84,7.86
8432,東生華  ,672624251,6649871,5166,101.14,109,92.6,99,102.5,17.73,1.46,20.96,4.1
