櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年08月 Aug. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 405,663,273,980元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,892,380筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 11,802,443,930股",,,,,,4. 成交量週轉率： 16.32%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
5521,工信    ,1153599254,110452921,21445,10.44,12.25,9.6,10.45,10.05,NA,7.96,31.78,0.91,,,,
5523,宏都建設,412401188,29954993,9458,13.76,17.45,12.1,13.75,12.6,NA,12.14,27.4,1.1,,,,
5529,志嘉建設,38679994,3863584,1219,10.01,10.7,9.31,9.9,9.45,12.6,5.29,8.37,0.6,,,,
5530,大漢建設,216845213,13790406,3862,15.72,18,12.3,15.45,15.55,NA,0,4.49,2.37,,,,
2636,台驊國際,60366183,3191075,770,18.91,19.55,18.3,18.75,18.45,30.25,6.5,6.52,1.17,,,,
5601,台聯貨櫃,4575557,284796,157,16.06,17.2,15.4,16.52,17.2,68.8,1.27,0.4,0.88,,,,
5603,陸海交通,10946839,1346304,499,8.13,8.59,7.9,8.15,8.04,15.76,6.21,2.14,0.61,,,,
5604,中連貨運,29405278,1532370,712,19.18,19.9,18.9,19.14,19,14.18,8.15,1.41,0.97,,,,
5609,中菲行  ,335768130,15248091,6581,22.02,23.9,20,21.85,21.8,11.3,5.5,12.4,1.63,,,,
5701,劍湖山  ,2348844823,190311995,45474,12.34,15.5,10.1,12.19,10.8,NA,0,45.78,1.04,,,,
5703,亞都麗緻,44918980,1738112,938,25.84,29,22.15,25.35,24.5,NA,0,2.47,2.26,,,,
5704,老爺知  ,6885501,361930,257,19.02,21.3,17.8,19.15,18.5,NA,1.62,0.61,1.62,,,,
5706,鳳凰國際,412888399,6413429,4431,64.37,78.4,52.2,63.92,55.8,26.2,2.92,17.42,2.92,,,,
5820,日盛金控,976506183,190438327,20020,5.12,5.48,4.57,5.06,4.74,NA,0,4.21,0.93,,,,
6008,凱基證券,8716837686,596249891,87824,14.61,16.5,13.15,14.56,13.9,115.83,1.07,18.59,1.04,,,,
6015,宏遠證券,174622147,23274979,5097,7.5,8.29,6.7,7.34,6.85,NA,0,5.41,0.8,,,,
6016,康和證券,397895208,40776593,9070,9.75,10.6,8.68,9.52,8.9,NA,7.52,6.22,0.77,,,,
6020,大展證券,12811976,880950,381,14.54,15.6,13.95,14.43,14.35,68.33,8.43,0.38,1.03,,,,
6021,大慶證券,119774577,9785810,2912,12.23,13.9,10.05,12,11.1,74,5.85,3.68,0.87,,,,
6022,大眾證  ,900170652,56910169,11921,15.81,17.2,13.35,14.98,13.85,27.7,8.51,18.32,1.07,,,,
6023,寶來期  ,167914455,4352221,2543,38.58,40.3,37.1,38.19,37.2,8.02,8.06,3.32,1.78,,,,
6024,群益期  ,94207716,2840277,1506,33.16,34.2,32.35,33.03,32.7,9.82,6.48,3.78,1.64,,,,
2916,滿心企業,18276948,1430670,311,12.77,13.7,11.35,12.77,11.45,NA,2.62,3.39,0.74,,,,
2921,特力和樂,13588295,545203,302,24.92,26.9,24,24.89,26.9,15.2,8.21,1.29,1.86,,,,
5902,德記洋行,7416506,3303693,234,2.24,2.36,2.1,2.21,2.11,NA,0,1.44,0.96,,,,
5903,全家    ,18657167,344042,323,54.22,56.2,52,54.02,54,16.93,4.62,0.15,3.49,,,,
5904,寶雅國際,65431600,2435206,1352,26.86,28.5,25.8,26.99,26.5,8.72,10.18,3.33,1.5,,,,
5905,南仁湖  ,331582882,28472304,7092,11.64,12.9,10.2,11.45,11.05,NA,0,16.29,0.91,,,,
8941,關中    ,16788142,1426862,525,11.76,12.5,10.9,11.68,11.5,NA,7.82,1.55,0.81,,,,
9960,邁達康  ,26066616,1453111,659,17.93,19.4,15.05,17.33,17.65,10.38,6.79,5.86,1.22,,,,
1584,精剛精密,32257905,2635687,1605,12.23,14.5,10.7,12.58,10.75,NA,0,4.57,0.57,,,,
2221,大甲    ,47330984,4123583,1244,11.47,12.8,9.8,10.71,10.15,NA,14.77,9.72,0.63,,,,
3284,太普高  ,35337980,3399882,822,10.39,10.8,9.03,9.81,10,27.03,0,8.21,0.93,,,,
3388,崇越電通,333432234,5913756,3684,56.38,60,51,54.7,59.8,14.24,5.01,10.62,1.61,,,,
5312,寶島科  ,580545972,10177837,6100,57.04,63.5,49.1,55.38,53.5,20.9,3.73,16.95,3.6,,,,
8390,金益鼎  ,105089372,2782014,1664,37.77,40.5,32.85,37.57,35,46.05,4.31,4.94,1.97,,,,
8705,東隆五金,20688561,807084,571,25.63,26.6,24.5,25.54,25.9,10.36,3.08,0.97,1.96,,,,
8905,裕國    ,21030017,1299474,445,16.18,17.1,14,15.38,14.4,NA,1.38,1.09,1.16,,,,
8906,花王企業,4654390,981578,267,4.74,5.1,4.26,4.8,4.73,NA,0,1.91,0.52,,,,
8913,華夏資融,14114357,1421928,610,9.92,11.15,8.37,10.03,8.37,NA,0,4.04,0.83,,,,
8916,光隆    ,4088541,342201,146,11.94,12.35,11.05,11.59,11.5,13.07,4.34,0.41,0.57,,,,
8921,沈氏印刷,233098,25126,25,9.27,9.46,9.03,9.34,9.3,23.25,2.15,0.05,0.57,,,,
8923,時報出版,1247832,93689,22,13.31,13.6,13,13.23,13.05,11.86,6.51,0.31,0.97,,,,
8924,大田精密,179822035,4917020,3030,36.57,39.2,33.7,35.95,35.2,10.32,9.94,4.05,1.9,,,,
8925,偉盟工業,534341709,31229357,10701,17.11,18.25,15.75,16.64,16.8,23.33,8.92,13.89,1.13,,,,
8928,鉅明    ,42298759,3589471,1284,11.78,13.25,10.4,11.1,10.8,11.74,7.4,5.65,0.91,,,,
8929,富堡工業,60468151,2300940,1289,26.27,31,21.5,24.78,31,8.47,0,11.98,2.26,,,,
8932,宏大    ,15144117,1265368,528,11.96,12.65,10.8,11.81,11.45,20.82,0,3.35,1.32,,,,
8933,愛地雅  ,2979070618,108016133,34721,27.57,29.5,25.75,27.23,26.75,10.25,1.86,94.47,1.91,,,,
8934,世?,0,0,0,0,0,0,0,2.72,NA,0,0,3.68,,,,
