櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
100年06月 Jun. 11,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 370,341,054,350元",,,,,,"3. 櫃檯買賣月總成交筆數： 3,553,086筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 8,178,032,248股",,,,,,4. 成交量週轉率： 12.61%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,週轉率（%）　　Turnover Rate,淨值比  （%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
8932,宏大    ,4804541,595721,237,8.06,8.89,7.43,8.11,8.1,N/A,0,1.22,0.95
8933,愛地雅  ,247871723,15321132,5767,16.17,17.2,14.6,15.88,15.5,19.87,6.66,12.46,1.1
8934,馭鳳    ,0,0,0,0,0,0,0,2.17,N/A,0,0,4.52
8935,邦泰    ,78970760,9502127,3086,8.31,8.77,7.41,8.2,7.93,N/A,0,4.71,0.93
8936,國統國際,657657730,16891641,9372,38.93,43,34.7,38.99,37.8,3.10,3.18,13.71,1.23
8937,合騏    ,24337001,2116109,831,11.5,13,10.05,11.47,10.55,N/A,0,2.92,0.95
8938,明安國際,571310156,11228415,6554,50.88,57.1,44.95,51.38,46.25,19.27,7.45,8.31,1.68
8942,森鉅科技,3320823405,65210123,27881,50.92,56.5,44.05,50.45,55.7,27.44,1.94,53.72,2.95
9946,金革科技,129858989,8793845,5287,14.76,16.2,13.8,15.25,14.3,13.49,0,5.5,1.26
9949,琉園    ,132292016,3799448,2581,34.81,38.2,30.1,34.11,33.5,42.41,2.74,8.41,2.11
1742,台蠟    ,128934427,2776715,1493,46.43,49.3,45.3,46.5,45.7,13.64,5.75,5.49,2.62
1787,福盈科技,36144071,2438339,1136,14.82,15.5,13.8,14.78,14.1,12.48,2.98,3.5,0.91
4702,中美聯合,93813667,5885826,2366,15.93,17.5,14.3,15.55,15.65,N/A,0,16.17,1.61
4703,金美克能,7950695,1009221,315,7.87,8.25,7.25,7.86,7.74,N/A,0,1.48,1.27
4706,大恭化學,10323190,654587,309,15.77,16.2,15.45,15.84,15.5,12.81,4.48,0.83,0.94
4707,磐亞    ,214005012,13128906,5275,16.3,18.1,14.5,16.26,16.35,56.38,1.31,5.82,0.92
4711,永純    ,23629359,1098152,412,21.51,21.8,20.95,21.52,21.65,13.36,7.42,1.8,1.18
4712,南璋    ,1334489943,29514259,13700,45.21,49.7,39.4,44.3,43.25,N/A,0,49.12,3.95
4714,永捷    ,425273090,19659148,6309,21.63,23.85,17.3,21.6,21.4,18.94,4.66,46.32,1.33
