櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,
99年09月 Sep.10,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 515,562,430,247元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,945,715筆",,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 12,962,323,819股",,,,,,4. 成交量週轉率： 18.66%（以上櫃股數計算）,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,
5511,德昌營造,56228607,3292771,932,17.07,18.4,16.1,16.86,18,8.49,7.1,4,1.03,,,
5512,力麒建設,4063607901,238366522,46298,17.04,18.4,15.3,16.59,18.2,11.03,7.58,44.03,0.97,,,
5514,三豐建設,34719120,1857001,590,18.69,19.5,18.05,18.78,19.2,44.65,4.22,1.74,1.44,,,
5516,雙喜    ,13119822,1063194,514,12.34,13.4,12,12.25,12,12.77,4.11,2.78,1,,,
5519,隆大營建,74322905,2535360,1116,29.31,32,26.65,28.49,27.5,11.80,4.02,3.62,2.16,,,
5520,力泰建設,7624750,325024,156,23.45,24.35,22.85,23.42,22.9,8.74,6.42,0.46,0.94,,,
5521,工信    ,675735842,58480469,12416,11.55,12,11.2,11.49,11.3,16.62,0,16.83,0.97,,,
5523,宏都建設,51992178,5213147,1690,9.97,10.45,9.66,9.91,9.92,N/A,0,4.77,0.91,,,
5529,志嘉建設,13631423,1358984,529,10.03,10.35,9.85,10.06,9.95,N/A,5.01,2.81,0.7,,,
5530,大漢建設,9072431216,134454376,53761,67.47,89.3,52.3,69.9,79.5,48.77,0,35.18,7.01,,,
6177,達麗建設,370968287,13597416,5159,27.28,29.5,24.95,27.33,27.45,13.26,5.31,18.22,1.98,,,
6212,理銘科技,55675736,4021273,1088,13.84,14.4,12.65,13.73,13.4,8.02,0,3.94,1.51,,,
2636,台驊國際,157773627,5716375,2815,27.6,28.95,26.4,27.48,28.2,16.02,2.51,11.12,1.67,,,
5601,台聯貨櫃,31963601,1882633,852,16.97,18.4,15.6,16.77,16.75,N/A,1.24,2.61,3.48,,,
5603,陸海交通,27669061,2215024,774,12.49,12.95,12.05,12.42,12.25,306.25,0,3.52,0.94,,,
5604,中連貨運,28264934,1163849,480,24.28,24.8,23.7,24.35,24.6,12.00,4.77,1.07,1.23,,,
5609,中菲行  ,591845267,19809358,9431,29.87,31.15,28.9,29.78,30.25,13.15,4.07,15.12,2.05,,,
5701,劍湖山  ,409153104,38252315,11518,10.69,11.05,10.3,10.68,10.65,N/A,0,9.2,1.27,,,
5703,亞都麗緻,19687898,663196,492,29.68,32,28.1,29.45,29.6,42.90,0,0.94,2.57,,,
5704,老爺知  ,8827781,370353,280,23.83,24.8,23.1,23.89,23.6,69.41,0.84,0.95,1.94,,,
5706,鳳凰國際,464968582,7335135,4907,63.38,66.5,60,62.77,62.6,23.01,3.64,18.42,2.86,,,
5820,日盛金控,2405005331,235549071,28808,10.21,10.6,9.77,10.17,10.3,16.89,0,10.02,0.96,,,
6008,凱基證券,3618177729,256629030,44494,14.09,14.55,13.4,14.02,14.05,18.99,3.16,8,1.01,,,
6015,宏遠證券,163084684,19286628,4470,8.45,8.85,7.98,8.42,8.56,20.88,0,4.22,0.97,,,
6016,康和證券,225140513,23655602,5703,9.51,9.88,9,9.48,9.57,957.00,4.14,3.47,0.83,,,
6020,大展證券,9437006,552346,282,17.08,17.7,16.5,17.03,17,80.95,3.19,0.24,1.25,,,
6021,大慶證券,221934379,12906168,3736,17.19,17.85,16,17.02,17.4,13.28,2.87,4.63,1.22,,,
6022,大眾證  ,253484378,19251327,6005,13.16,13.6,12.6,13.09,13,21.67,16.17,4.93,0.97,,,
6023,寶來期  ,32297359,820289,665,39.37,40.1,38.9,39.39,39,23.64,4.65,0.62,1.9,,,
6024,群益期  ,42432274,1488426,975,28.5,28.9,28.1,28.51,28.55,14.49,6.12,1.76,1.47,,,
2916,滿心企業,59077666,2835586,1483,20.83,21.65,20.3,20.77,20.8,11.01,8.71,6.11,1.25,,,
5902,德記洋行,529260680,34030617,9660,15.55,16.65,14.25,15.52,15.2,N/A,0,36.01,2.01,,,
5903,全家    ,120698118,1324335,965,91.13,94.4,86,91.1,88.3,23.24,2.86,0.59,5.47,,,
5904,寶雅國際,183464754,5513868,2559,33.27,37.35,30.25,31.73,30.7,9.48,7.98,6.32,1.6,,,
5905,南仁湖  ,751747234,33699920,12252,22.3,22.9,21.75,22.19,22.1,N/A,0,16.6,1.87,,,
8941,關中    ,39311750,3268117,1500,12.02,12.8,11.6,11.98,11.95,N/A,0,2.68,1.52,,,
9960,邁達康  ,19373466,875726,586,22.12,23.2,21.25,22.12,21.95,8.82,10.93,2.82,1.38,,,
1584,精剛精密,1048018479,35183928,17230,29.78,35.45,23,28.93,29.8,N/A,0,60.38,1.83,,,
2221,大甲    ,15224730,1001200,488,15.2,16.15,14.2,15.16,14.7,N/A,0,2.36,1.27,,,
3284,太普高  ,595109928,24292046,7613,24.49,26,19.75,23.75,24.65,14.17,4.02,47.27,1.92,,,
3388,崇越電通,300330939,3926372,2637,76.49,78.3,73.6,76.26,77.3,9.99,5.46,7.05,1.9,,,
5312,寶島科  ,362446397,5060191,3526,71.62,77.5,67.5,71.11,69.6,21.89,2.87,8.43,4.19,,,
6186,晶磊興業,63070035,3081599,1848,20.46,21.9,19.75,20.3,20.3,16.24,0,14.55,1.61,,,
6803,崑鼎投控,804770355,6425247,4924,125.25,135,116,123.71,123.5,17.54,4.96,12.3,3.58,,,
8390,金益鼎  ,205369496,4618262,3120,44.46,47.3,39.9,43.72,44.15,17.31,3.44,7.96,2.29,,,
