櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年10月 Oct. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 467,262,462,066元",,,,,,"3. 櫃檯買賣月總成交筆數： 4,881,399筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 14,296,664,073股",,,,,,4. 成交量週轉率： 19.69%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
2114,鑫永銓  ,42416996,1574017,570,26.94,27.7,26.3,26.88,27.3,9.25,5.49,3.14,1.31,,,,
5102,富強輪胎,25153250,2141587,700,11.74,12.65,10.6,11.25,12.15,NA,4.11,3.68,1.01,,,,
2596,綠意開發,151875840,6637065,3405,22.88,24,20.95,22.73,21.2,8.98,11.79,9.75,1.45,,,,
4416,三圓建設,16428583,244197,138,67.27,71,65,67.64,70,20.06,2.57,0.41,2.89,,,,
5213,亞昕    ,1769477252,49198173,21497,35.96,41,27.6,35.5,33.95,15.02,2.97,47.84,2.43,,,,
5505,和旺建設,68778474,3788910,1104,18.15,19.9,16,17.52,17,43.59,0,8.06,1.4,,,,
5506,長鴻營造,6855769,1340449,575,5.11,5.6,4.75,5.13,5.19,NA,0,2.03,0.33,,,,
5508,永信建設,208931561,5232761,3579,39.92,42.5,36.05,39.56,36.35,16.16,21.34,2.85,2.14,,,,
5511,德昌營造,121939926,8224962,2801,14.82,15.5,13.7,14.6,14.55,10.17,6.87,9.99,0.91,,,,
5512,力麒建設,7927714896,458965602,80841,17.27,19.05,15.05,16.96,15.15,15.62,3.3,107.27,0.86,,,,
5514,三豐建設,37147941,2457957,746,15.11,15.7,13.85,15.23,15.05,26.4,7.3,2.49,1.18,,,,
5516,雙喜    ,22797959,1806973,733,12.61,13.75,11.45,12.27,11.9,22.04,6.3,4.72,1.04,,,,
5519,隆大營建,29300107,1163680,691,25.17,28.8,22.2,25.14,22.8,28.5,6.31,1.77,1.8,,,,
5520,力泰建設,11441142,441361,255,25.92,26.85,24.75,26.01,26.1,8.97,4.21,0.62,1.05,,,,
5521,工信    ,1611984656,133988633,27329,12.03,13,10.55,11.8,11.7,NA,6.83,38.55,1.05,,,,
5523,宏都建設,172212276,13773373,5001,12.5,13.5,10.25,12.44,10.45,NA,14.64,12.6,0.92,,,,
5529,志嘉建設,194958410,16091326,5519,12.11,14.1,10,11.62,10.6,NA,4.71,34.8,0.73,,,,
5530,大漢建設,161138021,9236229,2903,17.44,19,16.5,17.14,18.7,NA,0,3.01,2.85,,,,
2636,台驊國際,186670961,9765062,3071,19.11,20.7,16.5,18.4,17,58.62,9,19.36,1.08,,,,
5601,台聯貨櫃,24518352,1522121,408,16.1,16.8,15.1,16.18,16.1,64.4,1.36,2.11,0.82,,,,
5603,陸海交通,122387411,13119791,2617,9.32,9.84,8.41,8.95,8.62,22.1,5.8,20.85,0.65,,,,
5604,中連貨運,48273997,2300951,972,20.98,21.4,20,20.99,20.25,14.36,7.65,2.12,1.02,,,,
5609,中菲行  ,538777028,19784823,9470,27.23,28.55,25.2,27.03,25.3,14.46,4.74,16.09,1.93,,,,
5701,劍湖山  ,2015730396,166897514,36075,12.07,12.5,11.45,11.92,11.8,NA,0,40.15,1.28,,,,
5703,亞都麗緻,19691467,796183,514,24.73,26,23.05,24.32,25,NA,0,1.13,2.33,,,,
5704,老爺知  ,5006854,261682,188,19.13,19.95,18.6,19.02,19.1,1910,1.57,0.44,1.64,,,,
5706,鳳凰國際,1026406240,17799606,10025,57.66,60.3,55,57.09,57.5,29.95,2.83,44.7,3,,,,
5820,日盛金控,2199849538,411418563,43031,5.34,5.73,4.82,5.24,5.07,NA,0,9.1,1,,,,
6008,凱基證券,6561306833,382487243,68666,17.15,18.2,15.2,17.08,15.3,29.42,0.98,11.93,1.1,,,,
6015,宏遠證券,692811477,72392617,14940,9.57,10.15,8.43,9.45,8.65,NA,0,16.84,0.97,,,,
6016,康和證券,1522903809,130743177,23904,11.64,12.25,10.15,11.41,10.4,45.22,6.44,19.95,0.88,,,,
6020,大展證券,95687116,5206806,1716,18.37,19.45,15.75,18.03,16,44.44,7.56,2.24,1.14,,,,
6021,大慶證券,484608571,30325994,8256,15.97,16.75,14.3,15.82,15.1,10,4.3,11.42,1.11,,,,
6022,大眾證  ,960109830,56365413,12958,17.03,17.95,15.3,16.79,15.55,12.96,7.58,18.05,1.16,,,,
6023,寶來期  ,259443245,6566783,3846,39.5,41.8,38,39.15,38.15,10.34,7.86,5,1.8,,,,
6024,群益期  ,227535513,6568965,3380,34.63,36.15,33.2,34.41,33.7,6.39,6.29,8.73,1.82,,,,
2916,滿心企業,19173764,1520064,588,12.61,13.1,12.2,12.62,12.25,NA,2.44,3.6,0.81,,,,
2921,特力和樂,4753692,214993,188,22.12,22.55,22,22.17,22.05,9.04,10.02,0.51,1.46,,,,
5902,德記洋行,23737088,7901180,578,3,3.28,2.74,2.98,3.13,NA,0,3.44,0.38,,,,
5903,全家    ,5727520,103277,135,55.45,57,54.6,55.42,56,17.02,4.46,0.05,3.34,,,,
5904,寶雅國際,89872273,3153821,1743,28.49,29.25,27.1,28.48,27.2,9.96,9.92,4.32,1.64,,,,
5905,南仁湖  ,1071711953,76833992,17430,13.94,15.35,12.8,13.56,14.4,NA,0,43.96,1.22,,,,
8941,關中    ,151374501,11206328,3397,13.5,15.1,11.75,13.07,12.95,NA,6.94,12.19,1.04,,,,
9960,邁達康  ,188848503,7488555,3141,25.21,27.75,20.45,23.75,23.25,11.63,5.16,29.9,1.61,,,,
1584,精剛精密,31958778,2379579,1125,13.43,14.4,12.4,13.34,13.05,NA,0,4.12,0.79,,,,
2221,大甲    ,21558366,1767770,845,12.19,12.95,11.25,12.09,11.4,NA,13.15,4.17,0.78,,,,
3284,太普高  ,348210974,21963907,5151,15.85,17.6,13.3,15.48,15.1,20.97,0,53.06,1.35,,,,
3388,崇越電通,460349643,6557400,4075,70.2,74.7,63.8,69.85,65.6,18.12,4.57,11.78,1.71,,,,
5312,寶島科  ,811567468,12670047,6891,64.05,68.5,58.5,63.25,61.1,24.44,3.27,21.1,3.91,,,,
8390,金益鼎  ,713212701,14859445,7967,47.99,53.5,40,46.72,45,115.38,3.35,26.36,2.55,,,,
8705,東隆五金,20764844,739474,598,28.08,29.15,27,28.09,27.55,12.7,2.9,0.89,1.97,,,,
8905,裕國    ,16709119,1108393,592,15.07,15.8,14.3,15.04,14.8,113.85,1.35,0.93,1.17,,,,
8906,花王企業,27756100,4344610,1485,6.38,7.2,4.86,5.78,6.57,NA,0,8.47,0.72,,,,
8913,華夏資融,17681065,1840776,736,9.6,9.97,9.1,9.57,9.3,465,0,5.23,0.9,,,,
8916,光隆    ,48767219,3681523,1481,13.24,14.3,12.4,13.25,13.75,14.63,3.7,4.45,0.65,,,,
8921,沈氏印刷,3377998,335873,160,10.05,10.9,9.69,10.08,9.82,20.46,2.03,0.72,0.59,,,,
8923,時報出版,3034122,222379,96,13.64,13.9,13.35,13.6,13.6,12.25,6.25,0.73,0.98,,,,
8924,大田精密,344752305,8068906,4698,42.72,44.6,39.4,42.59,43.8,14.5,7.99,6.65,2.35,,,,
8925,偉盟工業,2558628104,118231598,26962,21.64,23.5,18.8,20.67,22.35,NA,6.71,52.59,1.71,,,,
8928,鉅明    ,47188741,3989984,1408,11.82,12.25,11.05,11.76,11.45,81.79,6.98,6.28,0.97,,,,
8929,富堡工業,448298636,11979063,6855,37.42,43.85,30.5,37.97,38.3,8.27,0,47.52,2.4,,,,
8932,宏大    ,22952043,1985352,818,11.56,12.5,10.45,11.53,10.65,25.36,0,5.25,1.22,,,,
8933,愛地雅  ,1560058504,55209553,21190,28.25,29.5,25.8,28.12,26,11.02,1.92,48.29,1.77,,,,
8934,世?,0,0,0,0,0,0,0,2.72,NA,0,0,4.53,,,,
8935,邦泰    ,1099152228,82530134,21346,13.31,14.6,10.8,13.05,14,NA,0,54.33,1.39,,,,
8936,國統國際,568507225,29045361,9841,19.57,20.9,17.3,19.16,19,32.76,5.26,32.1,1.52,,,,
8937,合騏    ,40559113,3671851,1353,11.04,11.85,9.83,10.67,10.7,NA,0.93,5.02,0.89,,,,
8938,明安國際,1037399613,16903201,8865,61.37,64.5,56.8,60.81,57.1,12.77,5.65,13.18,2.18,,,,
8942,森鉅科技,231793228,12617534,5374,18.37,20.2,16,17.77,17.1,15.98,6.08,13.72,1.05,,,,
9946,金革科技,50141751,4942334,1559,10.14,12.75,8.67,10.43,11.15,NA,0,11.86,1.33,,,,
9949,琉園    ,54373301,2008548,1007,27.07,28.2,25.05,27.14,26.2,41.59,1.75,4.44,1.7,,,,
1742,台蠟    ,88781988,2329798,1601,38.1,39.2,37,38.06,37.1,12.28,12.53,5.76,1.99,,,,
