櫃檯買賣股票成交資料彙總表,,,,,,,,,,,,,,,,,
The Trading Summary of Listed Stocks,,,,,,,,,,,,,,,,,
98年09月 Sep. 09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 551,922,632,649元",,,,,,"3. 櫃檯買賣月總成交筆數： 5,259,643筆",,,,,,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,,,,,
"2. 櫃檯買賣股票月總成交量： 15,229,440,295股",,,,,,4. 成交量週轉率： 20.98%（以上櫃股數計算）,,,,,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",         成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield,  週轉率（%）　　Turnover Rate,  淨值比（%）　　PBR,,,,
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,,,,,
5516,雙喜    ,14646355,1203009,512,12.17,13.1,11.4,12.17,11.6,24.68,6.46,3.14,1.03,,,,
5519,隆大營造,20228002,863229,585,23.43,26.5,21.05,23.62,26.5,24.77,2.41,1.42,2.12,,,,
5520,力泰建設,27346928,1048275,474,26.08,27.8,23,25.67,26.4,8.66,4.16,1.48,1.11,,,,
5521,工信    ,904452612,83142557,17116,10.87,11.6,10,10.66,10.6,NA,7.54,23.92,0.96,,,,
5523,宏都建設,274792227,20735617,6793,13.25,14.1,12.3,13.05,12.7,NA,12.04,18.97,1.1,,,,
5529,志嘉建設,57379533,5563082,1811,10.31,10.8,9.39,10.15,10.2,13.6,4.9,12.05,0.65,,,,
5530,大漢建設,121596447,7224870,2234,16.83,17.6,15.4,16.54,16.9,NA,0,2.35,2.58,,,,
2636,台驊國際,119834614,6088048,2474,19.68,21,18.3,19.17,20.5,33.61,5.85,12.43,1.3,,,,
5601,台聯貨櫃,21491908,1294327,517,16.6,18.5,15.75,17.35,16.4,65.6,1.34,1.8,0.83,,,,
5603,陸海交通,31225977,3626920,1152,8.6,9.26,7.55,8.23,9.08,17.8,5.5,5.76,0.69,,,,
5604,中連貨運,65696937,3298513,1442,19.91,21.3,19,19.68,20.9,15.6,7.41,3.03,1.07,,,,
5609,中菲行  ,1480788561,56759245,19282,26.08,28.5,21.3,25.87,27.65,14.33,4.33,46.15,2.07,,,,
5701,劍湖山  ,3553013854,278315346,61488,12.76,14.75,10.7,12.46,12.3,NA,0,66.95,1.18,,,,
5703,亞都麗緻,10637397,429404,264,24.77,25.5,23.4,24.59,24.3,NA,0,0.61,2.25,,,,
5704,老爺知  ,3592654,190003,136,18.9,19.85,18.2,18.95,18.9,NA,1.58,0.32,1.66,,,,
5706,鳳凰國際,340634938,5558558,4145,61.28,63.9,55.5,60.88,60,28.17,2.71,13.96,3.14,,,,
5820,日盛金控,790217178,160322395,18487,4.92,5.24,4.67,4.87,4.83,NA,0,3.55,0.95,,,,
6008,凱基證券,12141587825,751708110,114997,16.15,17.5,13.4,16.16,17.3,144.17,0.86,23.44,1.3,,,,
6015,宏遠證券,624076894,71576752,13603,8.71,9.48,6.85,8.08,9.15,NA,0,16.65,1.07,,,,
6016,康和證券,1766283417,160278757,28207,11.02,11.8,8.8,10.43,11.3,NA,5.92,24.45,0.98,,,,
6020,大展證券,136751427,7803214,2355,17.52,19.7,14.3,16.09,18.2,86.67,6.64,3.36,1.31,,,,
6021,大慶證券,588086383,40179449,10327,14.63,16.05,11.25,14.11,15.15,101,4.29,15.13,1.18,,,,
6022,大眾證  ,1638793023,98754198,21161,16.59,18.1,13.85,16.22,16.95,33.9,6.96,31.63,1.31,,,,
6023,寶來期  ,187542514,4870118,2921,38.5,40.1,37.15,38.42,38.65,8.33,7.76,3.71,1.85,,,,
6024,群益期  ,174754235,5183769,2870,33.71,34.8,32.45,33.72,33.9,10.18,6.25,6.89,1.7,,,,
2916,滿心企業,51104669,3973273,1406,12.86,13.65,11.4,12.38,12.5,NA,2.4,9.41,0.81,,,,
2921,特力和樂,24230741,1035282,460,23.4,27.7,21.95,23.27,22.05,12.46,10.02,2.46,1.53,,,,
5902,德記洋行,29909995,11246462,773,2.65,3.13,2.11,2.53,2.92,NA,0,4.89,1.33,,,,
5903,全家    ,16151039,295036,242,54.74,56.5,53.5,54.98,56.5,17.71,4.42,0.13,3.65,,,,
5904,寶雅國際,70679514,2626623,1471,26.9,27.55,26.4,26.99,27.55,9.06,9.8,3.6,1.56,,,,
5905,南仁湖  ,541361916,43020686,9797,12.58,13.4,10.95,12.51,13,NA,0,24.61,1.08,,,,
8941,關中    ,72482692,6027708,2130,12.02,12.6,10.95,11.74,12,NA,7.5,6.56,0.85,,,,
9960,邁達康  ,62308529,3051848,1533,20.41,23.5,16.6,20.12,21.05,12.38,5.7,12.18,1.45,,,,
1584,精剛精密,42313752,3434833,1828,12.31,13.7,10.6,12.23,13,NA,0,5.95,0.69,,,,
2221,大甲    ,21513954,1902642,829,11.3,12.25,9.87,11.07,11.9,NA,12.6,4.48,0.74,,,,
3284,太普高  ,246174983,19091600,4653,12.89,14.7,9.9,12.25,13.75,37.16,0,46.12,1.27,,,,
3388,崇越電通,584798230,8998838,5542,64.98,71.5,59.8,65.01,71.4,17,4.2,16.16,1.92,,,,
5312,寶島科  ,889928276,14937442,8109,59.57,64.2,52.5,57.29,62.1,24.26,3.22,24.87,4.18,,,,
8390,金益鼎  ,274352868,6714109,3828,40.86,43.85,34.4,40.01,40,52.63,3.77,11.91,2.25,,,,
8705,東隆五金,42322230,1510648,1039,28.01,29.5,26.3,27.99,28.1,11.24,2.84,1.82,2.13,,,,
8905,裕國    ,9346531,629766,331,14.84,15.45,14.05,14.87,15.1,NA,1.32,0.53,1.22,,,,
8906,花王企業,15262581,2727893,857,5.59,6.19,4.67,5.4,5.4,NA,0,5.32,0.59,,,,
8913,華夏資融,16763945,1819011,797,9.21,10.35,8.12,9.17,9.9,NA,0,5.17,0.99,,,,
8916,光隆    ,63807468,4863974,1667,13.11,15.1,11.1,12.1,13.35,15.17,3.82,5.88,0.66,,,,
8921,沈氏印刷,1918352,189254,105,10.13,11.2,9.3,9.82,9.88,24.7,2.02,0.41,0.6,,,,
8923,時報出版,4691514,345420,80,13.58,14,13.1,13.58,13.6,12.36,6.25,1.14,1.01,,,,
8924,大田精密,285067929,7439585,4101,38.31,40.6,35,38.15,39.4,11.55,8.88,6.14,2.13,,,,
8925,偉盟工業,1047495256,56252338,15639,18.62,20.2,16.5,18.17,19.2,26.67,7.81,25.02,1.29,,,,
8928,鉅明    ,42780849,3839464,1264,11.14,11.55,10.6,11.02,11.05,12.01,7.23,6.04,0.93,,,,
8929,富堡工業,222146698,5509159,3201,40.32,48.35,31,39.49,36.9,10.08,0,21.86,2.69,,,,
8932,宏大    ,32987265,2781841,1093,11.85,12.7,11,11.87,12.4,22.55,0,7.36,1.43,,,,
