櫃檯買賣股票成交資料彙總表  The Trading Summary of Listed Stocks,,,,,,,,,,,,,
101年1月 Jan. 12,,,,,,,,,,,,,
"1. 櫃檯買賣股票月總成交值： 172,173,857,770元",,,,,,"3. 櫃檯買賣月總成交筆數： 2,095,298筆",,,,,,,
     Total Trading Value of Listed Stocks（NTD）,,,,,,     Number of Transactions,,,,,,,
"2. 櫃檯買賣股票月總成交量： 4,980,615,626股",,,,,,4. 成交量週轉率： 7.29%（以上櫃股數計算）,,,,,,,
     Total Trading Volume of Listed Stocks（Share）,,,,,,     Turnover Rate,,,,,,,
代 號 Code,股 票 名 稱Name of　　　 Stock,總  成  交  值　　　　（ 元 ）　　　　Total Trading 　Value　　　　　　　（NTD）,總  成  交  量（ 股 ）　　　Total Trading Volume　　　　　（Share）,"總 成 交 筆 數
　（ 筆 ）　　
Total Transactions",       成　　交　　價　　（元 / 股）　　　　  　　Average Price （NTD / Share）,,,,月底收盤價    .End of       Month," 本益比    P/E 　　
Ratio",平均殖利率（%）　　Average Yield, 週轉率（%）　 　Turnover Rate, 淨值比（%）　　PBR
,,,,,平　均Average,最　高Highest,最　低   Lowest,"收市平均Cls. Avg. 
Price",,,,,
8935,邦泰    ,52825626,10085054,2859,5.23,5.72,4.77,5.18,5.6,N/A,0,5,0.67
8936,國統國際,279352529,9174801,4579,30.44,32.75,29.05,29.99,32.5,2.73,3.69,6.77,1.1
8937,合騏    ,6477136,584270,261,11.08,12,10.6,11.14,11.45,N/A,0,0.81,1.05
8938,明安國際,99577628,3208592,1703,31.03,33.3,28.8,30.37,33,86.84,7.87,2.38,1.29
8942,森鉅科技,1189465447,24896097,11534,47.77,54.2,38.55,46.9,52.2,17.64,1.83,19.12,2.59
9949,琉園    ,41612599,1761749,1028,23.62,25.9,22.35,23.53,24.4,47.84,4.91,3.75,1.47
1742,台蠟    ,82735652,4500821,2442,18.38,19.65,17,18.02,18.6,18.98,16.12,6.96,1.44
1787,福盈科技,38064972,3420543,1381,11.12,11.9,10.6,11.11,11.8,21.85,5.84,4.9,0.78
4702,中美聯合,27217512,1364660,668,19.94,21.6,17.4,20.15,19.75,N/A,0,1.79,2.12
4703,金美克能,152558199,12653955,2862,12.05,13.45,10.45,12.41,12.4,103.33,0,18.5,2.02
4706,大恭化學,4467136,337074,152,13.25,13.6,12.85,13.23,13.15,12.64,7.6,0.43,0.8
4707,磐亞    ,33253092,3706701,1424,8.97,9.5,8.63,8.89,9.43,16.84,0,1.64,0.55
4711,永純    ,4071429,258640,163,15.74,16.3,15.2,15.8,16.15,11.45,8.66,0.42,0.93
4712,南璋    ,290797264,7485332,2975,38.84,40.2,35.5,38.84,39.4,64.59,0,12.46,3.48
4714,永捷    ,6736921,572733,275,11.76,12.2,11.1,11.77,12.2,9.84,8.19,1.35,0.84
4716,大立    ,82744976,4837396,2136,17.1,18.75,15.75,16.49,18.6,15.37,5.37,8.02,1.44
4720,德淵企業,16184269,1277368,594,12.67,13.1,12.25,12.71,13.1,25.69,1.52,1.83,1
4721,美琪瑪  ,26287305,1258676,824,20.88,21.9,19.7,20.63,21.9,11.01,10.82,1.68,1.55
4722,國精化學,580994412,23455531,6882,24.77,26.3,20.65,22.66,26.1,15.44,3.02,31.43,1.6
4739,康普    ,12857125,601875,366,21.36,22.75,19.8,21.06,22,9.91,4.54,1.24,1.17
6506,雙邦實業,6181547,517829,243,11.93,12.4,11.3,11.92,12.2,21.79,8.19,0.82,0.98
6509,聚和國際,130029577,10093658,4288,12.88,13.8,11.85,12.94,13.2,N/A,2.27,6.02,0.8
